,run,na_ratio,tool,mae_cont,mae_cat,mae_joint,acc_cat,mre_cont,dim,bins,discretization
0,4.0,0.25,KNN,16.708161937560426,-1,-1,0.8622649759510276,121554408452395.52,-1,-1,
1,4.0,0.25,AutoComplete,16.832043128801217,-1,-1,0.8867512024486226,139746914497717.02,-1,-1,
2,4.0,0.25,MissForest,13.341200791889747,-1,-1,0.8670747704416266,44611569190274.11,-1,-1,
3,4.0,0.25,POME,16.498081327515475,-1,-1,0.8858766943594228,104110437279206.53,16,7,nonlinear
4,4.0,0.25,POME,16.496694494238845,-1,-1,0.8666375163970267,108680624054089.25,32,7,nonlinear
5,4.0,0.25,POME,17.116801863735063,-1,-1,0.8854394403148229,104503978086782.22,64,7,nonlinear
6,5.0,0.5,KNN,18.35585468288298,-1,-1,0.8668005354752343,112242809255266.45,-1,-1,
7,5.0,0.5,AutoComplete,17.201362322832086,-1,-1,0.8817492190986167,140833605632710.5,-1,-1,
8,5.0,0.5,MissForest,14.495697471772575,-1,-1,0.8710397144132084,45891450096117.01,-1,-1,
9,5.0,0.5,POME,16.58969498591494,-1,-1,0.8710397144132084,103427929202075.3,16,7,nonlinear
10,5.0,0.5,POME,17.192742880081468,-1,-1,0.8746095493083444,110283463053382.45,32,7,nonlinear
11,5.0,0.5,POME,16.91577430397182,-1,-1,0.8694779116465864,120101553069749.19,64,7,nonlinear
12,5.0,0.05,KNN,16.676375943972662,-1,-1,0.8744186046511628,97329010229583.7,-1,-1,
13,5.0,0.05,AutoComplete,17.516399850311497,-1,-1,0.8860465116279069,103780698860892.05,-1,-1,
14,5.0,0.05,MissForest,13.612831471500986,-1,-1,0.8744186046511628,32311544249899.207,-1,-1,
15,5.0,0.05,POME,16.9172893102989,-1,-1,0.8744186046511628,94447030438218.16,16,7,nonlinear
16,5.0,0.05,POME,16.825619578712313,-1,-1,0.8813953488372093,94447030438218.16,32,7,nonlinear
17,5.0,0.05,POME,16.91680712800918,-1,-1,0.8744186046511628,94447030438218.16,64,7,nonlinear
18,2.0,0.1,KNN,17.308047908282294,-1,-1,0.8558758314855875,123186979167239.83,-1,-1,
19,2.0,0.1,AutoComplete,17.55672042606671,-1,-1,0.8824833702882483,159212538350971.44,-1,-1,
20,2.0,0.1,MissForest,13.471309230203312,-1,-1,0.8603104212860311,44749506009850.37,-1,-1,
21,2.0,0.1,POME,17.502849217955514,-1,-1,0.8603104212860311,114483172721012.2,16,7,nonlinear
22,2.0,0.1,POME,17.235735487660182,-1,-1,0.8813747228381374,118384992605750.94,32,7,nonlinear
23,2.0,0.1,POME,17.829540834314404,-1,-1,0.8813747228381374,114483172721012.22,64,7,nonlinear
24,5.0,0.01,KNN,12.801296445384214,-1,-1,0.8666666666666667,99518870897301.42,-1,-1,
