,dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15
1,10.1807375,2.0069582,5.3570004,7.5323834,2.3783329,8.563121,4.8829722,4.325129,5.5025415,3.202473,5.0650926,4.9375367,6.0880947,5.8621216,3.367349,5.2346764
2,11.301568,1.2687461,5.722169,7.778518,2.1191792,8.437829,4.585765,4.1533537,5.650329,3.4909377,5.090367,5.063436,5.9531507,6.290819,3.4299128,5.2664003
3,2.0777888,2.4402654,6.575695,2.8413568,5.451943,6.486028,6.2496605,6.485865,4.958014,6.02812,6.5859904,5.444726,6.691888,6.112657,5.3576393,5.6171217
4,8.738418,1.7188017,6.31843,6.837878,2.807973,7.6789966,4.375906,4.7986565,5.918161,2.9748006,6.1195765,5.2302303,6.511195,6.844343,4.180865,4.4262686
5,2.3061638,2.363138,6.2955666,3.4480643,5.863152,6.986837,5.5747986,6.558758,5.090764,4.8224664,6.418263,4.807674,7.0181303,6.2310777,5.3728967,5.1067295
6,3.7525127,1.3460652,5.4627523,5.5459514,5.578827,7.423295,5.6006255,6.639134,5.3615637,4.249812,5.8740926,4.6365414,7.1006203,5.1344924,4.525207,5.0267544
7,10.007688,2.118395,5.3083596,7.4530115,2.3583624,8.569034,4.8897805,4.3200054,5.521041,3.0393953,5.252897,4.954351,6.2043395,5.89466,3.360086,4.990817
8,3.535182,1.8053564,5.6933994,5.371868,5.779066,7.554701,5.4633274,6.7601833,5.6493406,3.7289536,5.6737647,4.367322,7.181164,5.4949727,4.7188454,4.8597093
9,10.908406,0.5002316,5.780178,7.686308,1.6100273,8.162797,4.3929505,3.8950677,5.81774,3.60759,5.9793644,5.282498,5.8689847,6.8297663,3.7234366,4.754277
10,10.790425,0.3053493,5.895606,7.5793095,1.5763348,8.055816,4.4077187,3.9416854,5.8354907,3.691175,6.118178,5.2593045,5.7957177,6.878097,3.8553886,4.731794
11,10.364594,2.277222,5.169404,7.5612335,2.4328423,8.784307,4.924547,4.318276,5.5482717,2.8923888,5.0069227,4.9323225,6.2200875,5.8040686,3.1938019,5.054909
12,11.342026,1.2836432,5.732047,7.7688494,2.1451256,8.435862,4.601271,4.17874,5.6413536,3.514966,5.0657053,5.053793,5.9572783,6.266958,3.4246743,5.301534
13,11.228104,2.7299557,4.8950114,7.9092307,2.3800528,9.255398,4.937217,4.0596223,5.5500054,2.4071777,4.6429358,4.874483,6.453427,5.571651,2.8562071,4.99465
14,3.9522667,1.8284593,5.367921,5.5263257,5.4186244,7.3439193,5.861035,6.6208744,5.394851,4.6653867,5.743269,4.7666006,7.0391116,5.001774,4.51827,5.366028
15,2.3562176,2.321524,6.258113,3.500091,5.832784,6.977994,5.579504,6.559061,5.119623,4.806396,6.3928895,4.7951317,7.0130577,6.208926,5.3295016,5.1011333
16,2.5824132,2.162889,6.2393656,3.6377554,5.722634,6.8762846,5.680624,6.4638577,5.10012,4.900657,6.392646,4.872746,7.051519,6.130227,5.2360144,5.2338114
17,8.759432,1.2936192,6.522947,6.7533307,2.572363,7.4177437,4.519659,4.8084316,5.6260505,3.3079944,6.2474236,5.0934157,6.4243574,6.7818785,4.2133894,4.4869576
18,8.804217,1.0889336,6.552748,6.7360826,2.5085928,7.3042846,4.4550567,4.712382,5.569257,3.4490368,6.3651867,5.0812407,6.3180547,6.9329386,4.292804,4.388027
19,11.322786,1.1526978,5.6823697,7.8153315,1.9862183,8.461037,4.523089,4.0257487,5.72732,3.4046116,5.2752934,5.1319757,5.995004,6.42388,3.4339375,5.127656
20,2.339593,2.1647522,6.329125,2.9267972,5.425067,6.2624993,6.241569,6.5001235,4.9935684,5.9594483,6.5525346,5.2684608,6.937873,6.064541,5.303329,5.6963973
21,10.332483,2.597708,5.089345,7.5441957,2.4977508,8.92574,4.9510293,4.404804,5.4546804,2.7196057,4.7978773,4.9135427,6.301561,5.603706,3.0819414,5.231715
22,12.296418,3.3123264,4.4970956,8.287842,2.354353,9.890528,4.8286614,3.763666,5.471019,1.7751269,4.144759,4.9140058,6.6717277,5.085009,2.2533972,5.147838
23,3.835034,2.2730784,5.481704,5.5385714,5.7630014,7.7808995,5.5182877,6.6391573,5.555564,3.6715877,5.4094605,4.4828515,7.047075,5.346895,4.665924,5.038729
24,11.10013,1.3627027,5.6696205,7.72519,2.1176357,8.458834,4.6024904,4.173209,5.6548576,3.3942885,5.100049,5.0651684,5.982342,6.2609468,3.4073446,5.2725325
25,4.01614,1.2165188,5.4306297,5.449425,5.3878646,7.169749,5.530818,6.520767,5.345595,4.9204493,6.239222,4.8102655,7.224986,4.9565763,4.689769,5.2016926
26,9.132625,1.0739423,6.658595,6.9674797,2.372512,7.395731,4.2564807,4.8749385,5.921128,3.2557864,6.4807177,5.4249043,6.20916,7.122079,4.3958592,4.5917587
27,10.343089,2.6887796,5.163987,7.5406766,2.5861602,8.879308,4.848511,4.4648023,5.5102377,2.5588827,4.746038,4.919283,6.385984,5.7006936,3.1343174,5.225294
28,3.9088762,1.6200527,5.3667235,5.687301,5.4666834,7.3864822,5.8159275,6.710049,5.4616027,4.476538,5.7106667,4.6529374,7.0553036,5.0067086,4.482508,5.2154627
