,dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15,dim_16,dim_17,dim_18,dim_19,dim_20,dim_21,dim_22,dim_23,dim_24,dim_25,dim_26,dim_27,dim_28,dim_29,dim_30,dim_31,dim_32,dim_33,dim_34,dim_35,dim_36,dim_37,dim_38,dim_39,dim_40,dim_41,dim_42,dim_43,dim_44,dim_45,dim_46,dim_47,dim_48,dim_49,dim_50,dim_51,dim_52,dim_53,dim_54,dim_55,dim_56,dim_57,dim_58,dim_59,dim_60,dim_61,dim_62,dim_63
1,11.387773,2.7762196,5.826657,3.544951,7.9599094,6.9745693,4.5269156,4.9809566,4.916132,4.8260884,5.6526465,4.930839,4.2271914,4.9281855,4.091734,4.2604747,5.9806542,4.3577085,3.2569757,4.5257525,4.1855354,4.855365,3.1880598,4.9658556,5.4546776,4.785095,3.6805758,4.100368,4.7960644,5.429046,5.0254016,3.5086963,5.6730103,4.9700646,5.1644354,4.0929146,3.6162841,4.661009,4.7972193,5.8893785,5.37078,3.9450266,6.5336647,4.848574,4.251668,3.6610236,6.359813,4.8570147,6.868431,5.698198,3.8444736,5.067834,4.023553,5.4775596,5.1398196,4.5867667,5.6479154,5.0072737,2.938451,5.0655403,3.7351785,4.604725,4.841727,5.267816
2,12.4970665,2.2783902,6.335579,3.426137,8.517002,6.878327,4.601272,4.93459,4.963218,4.8079357,5.644763,4.927695,4.312229,4.948622,3.9706187,4.348816,5.968548,4.2162914,3.0804565,4.5342484,4.0732284,4.872575,3.2977908,5.151752,5.498042,4.811129,3.4910774,4.303964,4.8139887,5.2634225,5.264655,3.627666,5.45417,5.1015043,5.21689,4.1623816,3.570497,4.550298,5.0108314,5.968082,5.349234,3.9449513,6.2638307,4.885452,4.1475844,3.4925535,6.137511,4.7287765,6.9083586,5.7490363,3.8918514,5.184452,3.882389,5.7681565,5.111174,4.480511,5.5757074,4.8194375,2.875822,5.009978,3.7147954,4.8260374,4.8692846,5.0423007
3,2.3648434,2.0610142,5.795445,6.2856965,5.271958,7.20253,5.794912,5.6053967,5.706875,5.1243453,5.4547477,4.566796,3.8261642,4.483614,4.436213,4.703683,5.767066,4.9999437,2.769966,5.3626685,4.381758,5.233298,2.6621351,3.604132,5.4419093,4.8763013,4.1970716,3.0953896,5.210103,5.873644,5.5015125,3.3747504,5.733807,5.6958923,5.4115467,3.9096632,4.2621064,5.576989,4.270076,5.438389,6.651228,4.7420955,5.5268054,4.2174764,5.0381484,3.67921,6.3071556,5.2417207,6.1880155,6.324304,3.4792101,4.9379234,3.8914795,5.27944,5.166069,4.160262,5.0376477,4.7029195,3.7859032,5.1405864,3.9832697,4.2556324,4.513687,4.985321
4,9.632051,1.7585654,6.202774,3.7471902,8.245478,6.8284054,4.0658627,4.714424,4.9100385,4.8367877,6.0123544,4.6140747,4.329627,4.6834726,4.0763307,4.4670095,6.1858287,4.394733,3.4911866,4.87367,4.321171,5.0088296,3.339686,4.9882793,5.400405,4.9975014,3.9351327,4.4698186,4.8103848,5.3817787,4.653331,3.471581,5.8934016,5.125299,5.3705473,4.327923,3.522643,4.810376,5.181364,6.1641774,5.2500496,4.22884,6.137126,5.0029664,4.555735,3.3943963,6.2465496,4.7672715,7.245729,6.0082984,3.7809591,4.780498,3.7648532,5.654577,5.162143,4.180466,5.1798186,4.9878707,2.9796145,5.336339,3.5004678,4.3932695,4.8767066,5.0360146
5,2.4956157,2.1573334,5.333795,6.0774655,5.653688,7.4858217,5.3916755,5.4010205,5.2688904,5.1354795,5.523481,4.5628376,3.9471455,4.685662,4.3961415,4.5269113,5.536058,4.8389673,3.171721,4.9692345,4.5924306,4.9663754,2.6089272,3.8706605,5.56115,4.8180118,4.043344,2.9427006,5.146925,6.0708985,5.5405746,3.2686396,5.5455327,5.500044,5.2700977,4.1226406,4.208979,5.1010704,4.189977,5.325857,6.422803,4.444416,6.1632586,4.313707,4.621627,3.8762987,6.489034,5.0955586,6.29436,5.9195933,3.5532737,4.996045,4.1680336,5.064817,5.096942,4.5192566,5.128857,4.773906,3.5203326,5.1634727,3.6853566,4.263864,4.5226717,5.5058575
6,4.585084,2.6301174,5.271306,5.135893,6.243744,7.375608,4.5382,5.4258285,5.10514,4.825154,5.6047044,4.432592,3.7877505,4.3318744,4.6676035,4.388774,5.9179344,4.816241,3.7779508,4.8878326,4.67567,4.6611342,2.8309186,3.7125032,5.817594,4.6845813,4.374129,3.559281,5.1451206,5.972967,5.096957,3.1036148,5.6497164,4.940555,5.246809,4.037658,3.8941755,5.0413923,4.3609633,5.474029,5.745175,4.4378037,6.7883487,5.0405116,4.5408425,3.8750222,6.446519,5.113936,6.4804263,5.7405634,3.6112864,4.844701,4.5018883,5.294793,4.90315,4.6662617,4.8845754,4.6373925,3.4307888,5.3796735,3.5664842,4.2769103,4.7735367,6.0139728
7,11.084739,2.7778256,5.8526044,3.5570023,7.9642644,6.916675,4.447937,4.89208,4.896603,4.851365,5.7539415,4.939985,4.251555,4.9460015,4.06219,4.2002187,5.9794283,4.3733397,3.2946446,4.511659,4.2287407,4.8744087,3.2232099,5.0214057,5.4053245,4.808177,3.6718025,4.1490016,4.7643886,5.464719,4.9887285,3.4207935,5.7326136,4.916353,5.1658287,4.202539,3.6002586,4.6260605,4.8531117,5.962601,5.3130207,3.9446301,6.578298,4.9306483,4.2602277,3.6946075,6.383566,4.8353853,6.9658766,5.7132545,3.8114285,5.0605817,4.0896287,5.4881787,5.19213,4.6145725,5.59405,5.035261,2.9219708,5.118791,3.6610227,4.5415664,4.828263,5.3161597
8,4.2943797,2.4605427,5.098564,5.193973,6.3454833,7.5592346,4.4338665,5.3257604,4.9124956,4.8313403,5.7324376,4.395766,3.8474276,4.4789376,4.5964427,4.3298016,5.7586765,4.7806954,3.7089584,4.6753836,4.8056135,4.6499586,2.694855,3.7673275,5.7930107,4.682038,4.311447,3.4264874,5.137469,6.062633,5.0657697,3.038181,5.620358,4.9349566,5.1942396,4.1659913,4.015786,4.819922,4.243404,5.423835,5.712313,4.290628,6.982066,4.9040713,4.3830924,3.950178,6.5592213,4.975154,6.4477673,5.6655374,3.5350258,4.8218126,4.5503035,5.211777,4.883023,4.637629,5.0214815,4.7357016,3.3812745,5.3506784,3.4599297,4.2159634,4.7378263,6.076973
9,12.164891,1.9222089,6.676042,3.9915679,8.647735,6.659426,4.2723904,4.9485073,5.010722,4.766277,5.79974,4.809061,4.218541,4.814461,3.976041,4.5688467,6.196399,4.3226314,3.1671224,4.969555,4.1727114,4.9768267,3.2995532,5.067539,5.3972707,4.950427,3.7490191,4.4549,4.626744,5.225656,5.042261,3.6437144,5.691125,5.305974,5.403306,4.1421585,3.650586,4.8747416,5.1576643,6.05318,5.4596143,4.313615,5.5315456,4.893402,4.4597273,3.1174185,6.0267773,4.753668,7.0715423,5.9700637,3.8689778,4.9415207,3.56,5.897068,5.1642,4.215673,5.2128124,4.909605,2.8618817,5.264709,3.7512743,4.794587,5.003196,4.5601883
10,12.06685,1.8249643,6.7801757,4.057377,8.681128,6.657503,4.2793894,4.9919133,5.0209775,4.764699,5.7568994,4.791409,4.1645513,4.8373165,3.9821389,4.609784,6.225575,4.352309,3.1800125,5.0070653,4.2207823,4.9683285,3.2395687,5.03037,5.3882666,4.949979,3.7480137,4.4354486,4.584709,5.216208,5.0113535,3.679787,5.720918,5.2892747,5.4259243,4.1217785,3.6908221,4.8887854,5.1483097,5.998825,5.4517565,4.3426175,5.4312143,4.897107,4.4443707,3.0385327,6.0290585,4.73509,7.011393,5.9477534,3.8626726,4.9558253,3.5293486,5.9047003,5.1491075,4.22341,5.195697,4.902352,2.8604887,5.2715487,3.7907014,4.8155403,5.065923,4.5304565
11,11.589414,2.9925785,5.7471957,3.385948,8.034692,6.9069915,4.435107,4.826555,4.8508015,4.8868766,5.793082,5.0163174,4.2790465,5.018573,4.012551,4.091105,5.9334207,4.3527346,3.3075006,4.4006724,4.218063,4.8626366,3.2701564,5.1563106,5.36565,4.7859383,3.5998664,4.135784,4.722506,5.484196,5.01719,3.3716998,5.7220263,4.838577,5.1246467,4.2458973,3.567267,4.5389776,4.8483667,6.0153613,5.236793,3.835436,6.746782,4.9532237,4.221944,3.803574,6.443317,4.8487535,6.997494,5.660697,3.8193173,5.103494,4.1815805,5.4399433,5.256539,4.710098,5.7001014,5.1125584,2.8812106,5.092469,3.619385,4.5230384,4.776437,5.3980536
12,12.490111,2.3066587,6.318476,3.4033794,8.51733,6.8624153,4.5847435,4.9257812,4.949512,4.8165793,5.662804,4.9251904,4.323756,4.949936,3.959495,4.3363156,5.972464,4.2165446,3.0927708,4.5313487,4.072243,4.8753386,3.3135111,5.173047,5.4839478,4.8142347,3.505596,4.3137846,4.803397,5.270116,5.2588124,3.6161273,5.4644895,5.0999084,5.2168236,4.166516,3.571028,4.552743,5.017406,5.990538,5.3401527,3.941819,6.287862,4.8934655,4.166044,3.510956,6.1433954,4.733529,6.924164,5.757163,3.8955164,5.1700797,3.890012,5.7645454,5.1321526,4.4820633,5.57738,4.83854,2.8674002,5.026921,3.7066507,4.820477,4.855642,5.04661
13,12.636602,3.33846,5.7109585,3.0662243,8.285196,6.8515754,4.424703,4.669586,4.770836,4.9534025,5.893523,5.1854467,4.3641105,5.161511,3.8906012,3.9011998,5.8488774,4.299928,3.309491,4.1902122,4.2109146,4.842429,3.3625937,5.435472,5.301516,4.770014,3.4256217,4.1748314,4.6487384,5.497373,5.100093,3.282275,5.6873455,4.6997113,5.0654383,4.3878465,3.513267,4.345972,4.912265,6.1315207,5.0764604,3.6614892,7.0409117,5.0473557,4.111074,3.9721713,6.4894524,4.8115435,7.0992627,5.577826,3.8234646,5.20381,4.328776,5.442501,5.370392,4.869629,5.8286924,5.190177,2.7979996,5.0621343,3.5156772,4.5266786,4.7063446,5.542896
14,4.8213253,2.6702845,5.309277,5.12359,6.059751,7.381141,4.501667,5.4613714,5.152549,4.7482557,5.658489,4.3722477,3.656175,4.220014,4.7991676,4.4458914,6.016906,4.903605,3.633699,4.8934855,4.6751757,4.790017,2.7024107,3.4233134,5.8464656,4.6547604,4.5455713,3.738953,5.2645583,5.963031,4.828949,3.1146245,5.7518406,4.860648,5.226834,3.9727688,3.8796747,5.06151,4.3355985,5.4597845,5.76004,4.4719777,6.7281356,5.1767015,4.6254125,3.7874217,6.4480944,5.072395,6.4233623,5.8728194,3.4252145,4.7642183,4.5619445,5.355719,4.8631654,4.4535313,4.9096975,4.5001855,3.5266826,5.4118166,3.666933,4.2011576,4.8254642,5.8686314
15,2.4817586,2.1551144,5.315179,6.0804777,5.664984,7.495567,5.385144,5.398174,5.248973,5.1365232,5.527769,4.5668635,3.954926,4.698816,4.390397,4.5192704,5.5165744,4.827131,3.1815164,4.9566326,4.599728,4.952467,2.6116278,3.8932557,5.5631356,4.8133516,4.02856,2.9237068,5.1425443,6.080598,5.5580163,3.2664194,5.531552,5.5024977,5.262262,4.132468,4.2155037,5.0837927,4.1871243,5.3209653,6.4239316,4.427392,6.1852384,4.3003488,4.599999,3.8882186,6.500773,5.0898175,6.297973,5.8981276,3.5616236,5.001124,4.1785173,5.0528913,5.0941215,4.5395064,5.1394973,4.786862,3.5050116,5.1625085,3.6739547,4.263863,4.5212417,5.523164
16,2.7949586,2.1872962,5.373591,5.9563694,5.7228756,7.4543567,5.344814,5.354117,5.302453,5.136198,5.5662775,4.541141,3.9465482,4.6560206,4.4162393,4.5391335,5.588023,4.862059,3.1742458,4.97141,4.5633,5.0018663,2.6317036,3.8188512,5.5630283,4.8368955,4.096248,3.0336063,5.140516,6.0260806,5.39602,3.2802243,5.588177,5.430759,5.2933655,4.0960846,4.1495895,5.1252837,4.2370048,5.370067,6.3608694,4.4510636,6.1198897,4.376564,4.6750154,3.845243,6.457175,5.11215,6.3165326,5.979241,3.5466094,4.9751577,4.137077,5.10148,5.1004868,4.4398127,5.1208415,4.7472215,3.539944,5.1736937,3.7003057,4.2537756,4.5293293,5.494072
17,9.439683,1.7044119,6.2725554,3.849316,8.101307,6.835744,4.2325535,4.9014792,5.018814,4.7766395,5.8616595,4.6467247,4.263798,4.644387,4.131125,4.588373,6.210263,4.3709307,3.3375869,4.978621,4.2052846,5.019665,3.2867749,4.843672,5.4524837,4.9443426,3.9675212,4.4447074,4.8782005,5.3193526,4.7659082,3.5581129,5.821361,5.261163,5.3848934,4.178378,3.5663161,4.905528,5.121914,6.054367,5.3916125,4.2936153,5.968136,4.9225388,4.588143,3.2712333,6.144668,4.7989683,7.087073,6.0476146,3.796857,4.8058243,3.6694572,5.7259,5.1286874,4.1359234,5.174146,4.876811,3.0081937,5.3036737,3.6465921,4.523762,4.9121633,4.8734465
18,9.510313,1.6455199,6.4146633,4.0019436,8.138617,6.807966,4.297585,4.950344,5.0607915,4.750297,5.836833,4.6041627,4.255154,4.590251,4.1422825,4.6551385,6.225422,4.3751445,3.293085,5.0563293,4.1854587,5.0146904,3.2708337,4.7822027,5.497461,4.9658685,4.0081997,4.4625235,4.898886,5.305662,4.8345985,3.5710835,5.752105,5.3392396,5.3989234,4.139527,3.6086245,4.9507027,5.122409,6.0363736,5.4907217,4.3893366,5.7893395,4.9102993,4.615168,3.2017522,6.0750966,4.7827754,7.079131,6.0827723,3.8097758,4.7904086,3.594555,5.8100624,5.085192,4.0626926,5.096512,4.806847,3.025804,5.3219767,3.6892107,4.590685,4.9312572,4.759555
19,12.345068,2.1995795,6.4205155,3.5600638,8.571871,6.8380203,4.546963,4.8700075,4.959041,4.7755914,5.729808,4.8617134,4.3764067,4.877297,3.9826164,4.3498673,6.0009947,4.226585,3.1115959,4.60799,4.0826387,4.885301,3.3331246,5.140935,5.5131035,4.865149,3.5706902,4.352128,4.835337,5.2862267,5.218043,3.551729,5.472702,5.172606,5.2214017,4.202269,3.5904596,4.623581,5.0413857,6.027114,5.4258513,4.038829,6.086821,4.869372,4.2231617,3.491164,6.0888963,4.7310014,7.021488,5.823314,3.8936346,5.108598,3.8409767,5.803576,5.102634,4.3963437,5.477633,4.8393474,2.8959227,5.0672927,3.6929991,4.7845182,4.847213,4.9468937
20,2.5819,2.1187992,5.76489,6.0146766,5.4618425,7.236315,5.716954,5.530856,5.670805,5.1424975,5.5313597,4.551804,3.8640316,4.5187182,4.413165,4.6950336,5.7686367,5.000776,2.8263261,5.28606,4.387745,5.2024713,2.684961,3.6522448,5.455605,4.90372,4.2006974,3.111,5.1621327,5.863626,5.3969445,3.3656895,5.737711,5.6383257,5.4269767,3.9281116,4.204635,5.518233,4.2952013,5.4559,6.5701637,4.6747966,5.4113846,4.246586,5.0111556,3.7033088,6.308088,5.255758,6.235754,6.301097,3.5167828,4.939237,3.9059775,5.2771482,5.1716013,4.1557164,5.0627823,4.711146,3.7850637,5.138451,3.9167762,4.2689347,4.506064,5.032698
21,11.399982,3.1356328,5.672651,3.371392,7.954771,6.9453444,4.5718045,4.7993164,4.8266153,4.874362,5.7758346,5.020151,4.322697,5.0356846,4.0322843,4.0205865,5.9034023,4.391167,3.3339534,4.3411303,4.271571,4.837239,3.2468755,5.1267285,5.3605795,4.8031397,3.6082122,4.041281,4.7181334,5.5525227,5.0359936,3.3183913,5.6806073,4.7592115,5.0732684,4.279692,3.5945287,4.5291286,4.754288,5.992048,5.259948,3.8312669,6.8482895,4.9244123,4.175041,3.9080145,6.524401,4.8491206,7.026984,5.6101995,3.807776,5.094567,4.260136,5.366654,5.2288003,4.762901,5.757019,5.152187,2.8906236,5.0761585,3.610665,4.4606133,4.769817,5.5303063
22,13.792575,3.7036765,5.631627,2.6997905,8.50098,6.7780886,4.3840656,4.5408554,4.7250175,5.0238833,6.004955,5.422256,4.3643885,5.304451,3.776458,3.7440403,5.7911377,4.2338295,3.2930026,4.015764,4.149227,4.867874,3.4816632,5.736003,5.1947145,4.705382,3.2492476,4.2504807,4.5578604,5.4689903,5.1432147,3.22772,5.72223,4.5761113,5.0355062,4.4974265,3.401624,4.1716657,5.0090036,6.257391,4.869677,3.4480927,7.3553,5.1500416,4.0595775,4.0765,6.5469065,4.827757,7.163609,5.518345,3.8108587,5.304579,4.464092,5.434573,5.543025,5.030625,5.9822025,5.2863417,2.7003646,5.02968,3.4230766,4.5294423,4.6369905,5.6327057
23,4.434483,2.4328272,5.038644,5.1787667,6.3113256,7.658392,4.295544,5.295625,4.7949896,4.731768,5.833238,4.3161154,3.7932146,4.4620633,4.6394715,4.313949,5.7801466,4.766763,3.7317855,4.553528,4.923791,4.6514716,2.585205,3.6441522,5.831814,4.648395,4.391304,3.518224,5.1706576,6.098826,4.955715,2.963247,5.6522236,4.855781,5.1726284,4.2188277,4.077762,4.69755,4.1630173,5.391051,5.604537,4.2908316,7.153568,4.973053,4.3034053,3.9305294,6.5895905,4.8654623,6.412603,5.6211367,3.4256673,4.740432,4.6121516,5.245528,4.8127847,4.571628,5.033387,4.712842,3.3635588,5.3915997,3.402678,4.1784134,4.786833,6.127628
24,12.312697,2.3270922,6.3041863,3.5210903,8.434043,6.90684,4.6324296,4.9259863,4.9713964,4.778576,5.647014,4.914764,4.3251824,4.9163923,4.015144,4.326657,5.9626274,4.244876,3.0941854,4.5534077,4.092278,4.864563,3.275549,5.083133,5.521516,4.8244314,3.530941,4.2514806,4.8374796,5.3096876,5.2492275,3.5769496,5.4496756,5.1016483,5.190062,4.171726,3.5929077,4.5923295,4.953911,5.9413095,5.4152045,3.9814746,6.2072115,4.8478575,4.1603875,3.524183,6.157381,4.7515364,6.9292426,5.750364,3.8822882,5.157246,3.902744,5.7289305,5.0815854,4.4798174,5.5602407,4.8292427,2.907512,5.010302,3.7198825,4.7768927,4.8621745,5.0478125
25,4.684887,2.7393148,5.43783,4.9075265,6.1952953,7.2400827,4.625724,5.381152,5.3341036,4.967081,5.571292,4.4691253,3.8150036,4.250123,4.7551575,4.456792,6.025179,4.9336095,3.7318738,5.103971,4.474479,4.800707,2.9367492,3.6116405,5.7711496,4.7678003,4.483589,3.6620193,5.167575,5.8557663,4.8762836,3.2025669,5.75905,4.9085507,5.2740564,3.8805537,3.6462393,5.2617292,4.5510755,5.6067114,5.748274,4.5256605,6.556957,5.16332,4.8054857,3.7999542,6.3761168,5.2688165,6.51293,5.9444547,3.6311824,4.8244343,4.403031,5.3423796,4.988164,4.559821,4.853158,4.566704,3.5383263,5.396457,3.7370043,4.2243423,4.7397,5.875837
26,9.866488,1.1970474,6.611659,3.8917036,8.298544,6.7810946,4.3472853,4.8463826,5.0534115,4.7867055,5.884988,4.5751014,4.396295,4.5969143,4.0871882,4.655638,6.203303,4.3430395,3.2975583,5.052463,4.2047534,5.0365434,3.3110995,4.8601213,5.4709816,5.0357647,3.9493043,4.4958534,4.9130325,5.3014708,4.829919,3.5969996,5.667006,5.3297324,5.4008646,4.2508326,3.571805,4.921245,5.1955953,6.0951586,5.5268674,4.376587,5.6503563,4.895459,4.584343,3.1622198,6.070288,4.698828,7.1992006,6.0992684,3.8306737,4.7857237,3.539378,5.8210816,5.0594645,3.999341,5.098708,4.804276,3.00255,5.326867,3.6453066,4.5762324,4.9316473,4.731851
27,11.31131,3.1811273,5.7392893,3.438818,7.935428,6.9598513,4.7256327,4.799119,4.80984,4.860876,5.733944,4.951689,4.4062757,5.0369534,4.032365,4.0010834,5.873218,4.411223,3.3245687,4.311397,4.3107915,4.7892094,3.2087657,5.073126,5.405326,4.852837,3.6112943,3.9746375,4.7394257,5.6004243,5.1297636,3.2880173,5.579523,4.7530746,5.0351825,4.288836,3.6679761,4.5254374,4.6874576,5.962919,5.3478374,3.8870466,6.796093,4.8908496,4.10938,3.962073,6.5136914,4.803137,7.0499625,5.58244,3.8322492,5.0994353,4.2609396,5.3859577,5.1458006,4.762216,5.742475,5.1237826,2.9048274,5.0687356,3.6310413,4.4793487,4.7734485,5.578142
28,4.7731466,2.644678,5.325711,5.1279187,6.170987,7.347829,4.3937016,5.507468,5.1232553,4.69986,5.632891,4.3806915,3.6519718,4.196939,4.7799854,4.4433384,6.0284643,4.852019,3.7080693,4.903777,4.6905956,4.6970696,2.7652256,3.4892852,5.8748994,4.630629,4.507513,3.7518091,5.2399936,5.9633284,4.9323516,3.1130517,5.6996317,4.88155,5.2383113,3.9902582,3.9065437,5.056792,4.35521,5.447615,5.743194,4.4551573,6.7957315,5.1792917,4.5812683,3.7929792,6.4350595,5.075144,6.4681454,5.815916,3.4900215,4.788925,4.576937,5.3721147,4.843711,4.5249233,4.8444014,4.508612,3.4815328,5.418839,3.6207893,4.2535067,4.8517704,5.9217477
29,11.323273,3.1673737,5.790963,3.4724193,7.9726186,6.968118,4.793844,4.812321,4.821979,4.8387523,5.7059283,4.9338827,4.4303665,5.016432,4.0412626,4.030019,5.8809433,4.4121766,3.3066964,4.338835,4.3086267,4.786462,3.2035422,5.04782,5.423529,4.8733177,3.6273983,3.960637,4.750311,5.5930014,5.150893,3.302938,5.5348797,4.7832046,5.0368075,4.2723236,3.683815,4.556606,4.670372,5.949617,5.3936963,3.9261386,6.7085233,4.8469663,4.1100445,3.9379153,6.4990726,4.79668,7.061295,5.591835,3.8452494,5.082229,4.214112,5.3972287,5.1106796,4.7234626,5.737814,5.120184,2.9139907,5.0587907,3.6530018,4.4912586,4.7857485,5.536631
30,2.2283952,2.044254,5.7433367,6.358344,5.3185635,7.1854925,5.760632,5.57174,5.6520524,5.1462326,5.4959617,4.6031423,3.8543153,4.4771023,4.46418,4.687111,5.713689,4.9351544,2.794497,5.377344,4.344347,5.2249465,2.6943123,3.6612616,5.466935,4.8447075,4.176319,3.0823236,5.244807,5.9185185,5.4877167,3.398324,5.6636324,5.667843,5.3413267,3.9215164,4.2575626,5.556451,4.302255,5.4154024,6.6576166,4.6693454,5.6006017,4.194912,4.9802294,3.7104256,6.3649416,5.213236,6.2560835,6.272507,3.4896731,4.952161,3.9012136,5.2245836,5.1473165,4.1708784,5.0823126,4.671371,3.6877594,5.1507964,4.0044804,4.2474365,4.5155177,5.0350227
31,4.650687,2.5114665,5.3591437,5.0600586,6.1923947,7.355109,4.5446215,5.2780766,5.231167,4.9291945,5.6753364,4.3872657,3.7744362,4.3477416,4.789385,4.4324803,5.985824,4.921942,3.6403105,4.9970536,4.5890994,4.911455,2.7643292,3.5002043,5.758656,4.7862678,4.521416,3.6653798,5.2155514,5.891592,4.7312036,3.1960788,5.809244,4.8498607,5.2635345,3.9444954,3.7355347,5.1021643,4.4632344,5.588876,5.7260985,4.452206,6.677949,5.0877743,4.7533436,3.7543347,6.424333,5.1206827,6.4460754,6.0263495,3.4572575,4.800798,4.389762,5.339013,4.9443073,4.406096,4.971968,4.58101,3.5044072,5.38255,3.7239287,4.1218376,4.7420263,5.8396525
32,13.975632,3.6753337,5.7589927,2.7639604,8.516487,6.6810293,4.481936,4.55341,4.757116,5.000424,6.0329823,5.436318,4.325634,5.3104897,3.7613616,3.7787495,5.819773,4.231861,3.2285998,4.100213,4.091277,4.898708,3.5177276,5.773208,5.1519413,4.696563,3.2503738,4.2853713,4.552979,5.4414506,5.236796,3.2062743,5.739085,4.644305,5.049124,4.463693,3.401476,4.2441664,5.029776,6.290291,4.9017124,3.487111,7.2443266,5.1350355,4.1416273,4.009541,6.4945717,4.8693905,7.1909804,5.5558834,3.8149824,5.3024154,4.400439,5.522928,5.6074953,5.0089064,5.9584465,5.2431054,2.6679738,5.0476832,3.4691923,4.584071,4.635274,5.489812
33,11.351034,2.6946487,6.0965943,3.6804097,8.219071,6.8514476,4.4945273,4.8492427,4.8787107,4.817941,5.774989,4.794861,4.3811717,4.893445,4.0285773,4.2512045,6.024671,4.372782,3.3014476,4.6005197,4.2603245,4.8512635,3.2387335,5.035805,5.4543405,4.9225435,3.7344189,4.2004657,4.758292,5.4524765,5.0525174,3.3989217,5.6392198,5.036556,5.183946,4.2010193,3.6840506,4.6890216,4.891024,6.013822,5.425713,4.1038895,6.2398067,4.8781705,4.2844796,3.650027,6.274123,4.771876,7.08205,5.7768173,3.8715365,4.9948316,3.9322197,5.6044436,5.1071467,4.477465,5.4779005,5.025742,2.9192395,5.170097,3.6852474,4.5966463,4.8449764,5.1303005
34,11.382,3.133546,5.7291746,3.4248927,7.9628353,6.956919,4.688443,4.809011,4.8342514,4.8536158,5.742395,4.989294,4.360536,5.0217614,4.0419884,4.028298,5.8973956,4.4025226,3.3164504,4.3524776,4.281059,4.8238583,3.2317188,5.089186,5.382737,4.8296814,3.622169,3.9999516,4.7311597,5.5674677,5.0855746,3.3127246,5.6113095,4.7770834,5.05919,4.269656,3.6303332,4.5539145,4.7110524,5.971611,5.3286295,3.8760426,6.771583,4.876563,4.160352,3.9145525,6.5176964,4.838893,7.041293,5.6089683,3.8207784,5.084634,4.236488,5.373482,5.18242,4.7393427,5.754322,5.1424937,2.9033031,5.0650134,3.6353326,4.468938,4.7747273,5.5155163
