	dim_0	dim_1	dim_2	dim_3	dim_4	dim_5	dim_6	dim_7	dim_8	dim_9	dim_10	dim_11	dim_12	dim_13	dim_14	dim_15
bin_0	-0.2090646	0.46357232	0.03389544	-0.54687536	0.152388	0.4816391	0.56222385	-0.24869056	-0.20330696	-0.08058275	-0.09788831	0.46681303	-0.5256801	-0.019042483	-0.23693018	-0.18329072
bin_1	-0.0126402415	-0.1546301	-0.09741035	-0.073490806	0.09616155	0.2530534	-0.13586935	0.071965404	-0.17810586	-0.7145177	0.06301511	-0.32194903	0.2742809	-0.1711756	-0.14166601	-0.16086242
bin_2	0.7705094	0.5381472	0.18140705	-0.6045647	-0.2176773	0.29118958	0.102516375	0.102392584	-0.45365953	-0.43046272	-0.17075604	0.044952005	-0.4667154	-0.3665216	-0.08508056	-0.13446787
bin_3	0.043984942	-0.15120511	0.23139395	0.19822241	0.21211506	0.012520829	0.20048839	-0.16075616	0.005928343	-0.14860675	-0.043245766	-0.11627923	-0.5396435	-0.5602363	-0.4763537	0.19778633
bin_4	-0.032462187	0.22909471	0.27952185	0.11110239	0.13112693	-0.20167318	0.4036349	-0.07211021	0.33319023	0.07540758	0.47039804	-0.31606838	-0.118974656	0.2801008	-0.44153246	-0.026715025
bin_5	0.060616557	0.023889832	0.22275034	0.15967256	0.41184297	0.15433043	-0.24844731	0.24294575	0.33534852	0.15246926	-0.019956598	-0.009649268	0.38791624	-0.42549506	-0.43463045	0.3605337
bin_6	-0.14821443	0.03642374	0.22004871	-0.20532389	-0.20180689	-0.3094481	-0.1544199	0.41646644	0.2927757	0.12771197	0.18693754	-0.100507595	0.46264917	0.31423417	-0.29974306	0.41323858
bin_7	-0.094162524	-0.35797724	0.0009969821	-0.33460373	-0.26207182	-0.4079467	-0.11401948	-0.19977833	0.37115398	-0.19077653	0.12698877	-0.41802543	0.25663942	0.014318861	0.44344458	0.051413808
bin_8	-0.272306	0.16389073	0.45156202	0.35932407	0.35253814	-0.43356434	-0.0015687975	0.2359141	0.0040913066	0.35330275	0.05637605	-0.21582359	0.36305982	-0.0621763	-0.30058035	0.46386248
bin_9	0.12976159	0.12582077	0.23778032	-0.04186288	0.18871441	-0.32494196	-0.041461818	0.3763152	0.18999605	0.046940655	0.34553438	0.31436294	-0.30632246	-0.31660503	0.4964068	0.35229945
bin_10	0.035583317	-0.50430524	-0.5006679	0.22309482	-0.020415481	-0.13422039	0.40014046	0.29402763	-0.25888216	-0.08217173	0.2830356	-0.37147978	0.032367136	-0.024425345	0.4033494	-0.22128198
bin_11	-0.2985304	0.021266887	-0.12668575	-0.14089748	0.14881489	0.103920996	-0.39692906	0.19222325	-0.7535983	-0.161662	0.23478375	0.1638584	-0.4242937	0.12663223	0.1893519	-0.38555327
bin_12	0.16079874	0.18463394	-0.49476027	-0.49075067	-0.3622464	-0.056102812	0.4939564	-0.9157167	-0.00041923046	-0.10228958	0.56406516	0.45295477	-0.15053724	0.14486817	-0.04397198	-0.38406658
bin_13	0.07749328	0.009777494	-0.15142083	-0.105816096	-0.54425126	0.14648975	0.04850058	-0.39616162	-0.2577192	-0.21658358	0.42500317	0.5599835	-0.4119877	-0.31603023	0.0011672489	-0.5863591
bin_14	-0.15207937	-0.29737797	-0.24490167	-0.4693434	0.12040112	-0.29110718	0.43007395	-0.3776943	-0.038950566	-0.3348168	-0.1199046	0.43155554	-0.3277924	0.01781593	-0.10143867	-0.4332625
