	dim_0	dim_1	dim_2	dim_3	dim_4	dim_5	dim_6	dim_7	dim_8	dim_9	dim_10	dim_11	dim_12	dim_13	dim_14	dim_15	dim_16	dim_17	dim_18	dim_19	dim_20	dim_21	dim_22	dim_23	dim_24	dim_25	dim_26	dim_27	dim_28	dim_29	dim_30	dim_31	dim_32	dim_33	dim_34	dim_35	dim_36	dim_37	dim_38	dim_39	dim_40	dim_41	dim_42	dim_43	dim_44	dim_45	dim_46	dim_47	dim_48	dim_49	dim_50	dim_51	dim_52	dim_53	dim_54	dim_55	dim_56	dim_57	dim_58	dim_59	dim_60	dim_61	dim_62	dim_63
bin_0	-0.1287252	1.5146794	-0.8270662	0.39193532	0.6150212	-0.105748765	0.48373795	-0.16151494	0.70607626	0.05354885	0.5534734	0.10455775	0.40365127	0.05863524	0.49004576	0.1797289	0.31273493	0.09907426	-0.98195255	0.05263877	0.058369182	0.53233445	-0.26978812	0.10225694	-1.1754218	0.9138711	0.10930888	-1.4013114	0.13127396	0.030925268	-0.4865299	0.34582803	0.93919474	-0.49860084	0.020583559	-0.5837256	-0.10914143	0.18628423	0.31070095	0.6836168	-0.018552247	-0.89060354	-0.24977666	-0.3845727	0.15398192	0.22784013	-0.45598432	-0.3851639	0.044464726	-0.38518754	-0.25946522	0.053301975	0.0024533337	0.23903929	-0.042305026	0.5297288	-0.42395872	0.58403444	-0.36836606	0.36933038	0.4252414	-0.5108888	0.35144913	-0.14325577
bin_1	-0.060176134	-0.26756716	-0.13280767	-0.33514202	0.19270706	0.6285787	-0.89527506	-0.2256266	0.44237423	-0.32980835	0.33454686	0.21793844	0.60576123	0.408261	-0.29827067	0.30540568	-0.13684438	-0.50454015	0.042629186	0.1087265	0.25715974	1.5936848	-0.31752554	-0.25777152	0.19356856	-0.13541901	-0.15135765	-0.8586854	0.008399206	-0.80006456	0.08090929	0.27039593	1.2200462	0.18268247	0.39338353	0.4272832	0.5351052	0.6979091	0.021371963	0.74234575	0.061345648	-1.0755811	0.081439316	-0.14263679	-0.1892135	0.07062339	0.102029644	-0.94589967	0.27543208	-0.049015068	0.047706604	-0.016983608	0.357096	-0.19252159	0.1557913	-0.26404887	0.5260298	-0.40228668	0.1617541	-0.10805168	0.12385309	-0.1624803	0.15165126	-0.28008202
bin_2	0.46612358	-0.06466327	-0.5254919	0.12810314	0.2951788	-0.017242238	0.3356302	0.199161	0.84991246	0.020274505	0.33359188	-0.87243664	0.11590442	0.09146311	0.12872422	-0.041214067	0.10814983	0.2606557	0.054706097	0.45073986	-0.19934122	0.7522962	0.16427639	-0.11642849	-0.6063774	0.27100667	-0.17460488	-1.1347197	-0.13707621	-0.20821346	-0.04238737	-0.45475522	-0.026129903	0.101911835	0.1155045	0.21988381	-0.1559582	0.30326122	0.202604	0.5099426	0.021737708	-0.63146	0.1506816	-0.7622721	0.0859177	0.5559365	0.2303225	-0.71750337	0.7879573	-0.1260849	0.29185823	0.29908845	-0.021818494	0.003168256	-0.03903982	-0.19863807	0.0024042698	0.53893757	0.15379564	-0.19737564	0.4385304	0.2920269	0.03999451	0.45657584
bin_3	-0.069002666	0.4544585	-0.2553252	0.27242127	0.19329824	0.058406856	-0.6211531	0.23213974	0.38434154	-0.19147012	0.39833045	0.07801878	0.30172297	0.3154122	0.2810345	-0.051811352	0.199638	0.07167162	-0.48744315	0.0844299	-0.06000585	0.36822245	-0.3587678	-0.07357577	0.1686943	0.061394487	-0.40938556	-0.747076	-0.004459206	-0.014861114	-0.20007297	-0.047339007	0.24726364	-0.31880367	0.15922324	0.3661711	-0.0070465286	0.23694304	0.18672203	0.23424406	-0.32615092	-0.6225707	-0.26285845	-0.011220749	-0.24452625	0.48249978	0.3647591	-0.015979227	-0.15973864	-0.17418845	-0.07407222	-0.13199522	0.613751	0.14568536	-0.15849017	0.13133435	0.11877657	0.039718363	-0.4078914	-0.09458647	0.120671794	-0.27544785	-0.23708169	-0.029295336
bin_4	-0.06545304	-0.07987399	0.56899077	-0.020905226	-0.03850216	1.4215035	0.21522737	0.23104998	-0.34824803	0.26225135	0.31643534	-0.096247844	-0.39797804	0.4463736	0.47569114	0.50447327	0.15164196	-0.44227234	-0.114659265	0.37992832	-0.2745141	0.20488966	-0.6968225	0.021467475	-1.004581	0.18436085	-0.009368465	0.56064594	-0.31328398	0.88019407	-0.2492761	-0.15470757	-0.05817714	-0.10131267	-0.4707853	-0.0075391596	-0.28633302	-0.34933957	-0.5576036	0.3212741	-0.21664558	0.17201741	-0.47614998	-0.19905983	-0.65187347	0.41957492	0.08557529	0.85945183	0.013651315	-0.2108617	-0.24958605	0.04716008	0.076869026	0.3555503	0.050836213	0.2998916	0.2979315	0.15241143	0.10701991	0.11429278	-0.021494346	-0.40440017	-0.054297987	-0.08298119
bin_5	-0.13249587	0.07258877	0.115749985	0.029348398	-0.018232541	-0.11951895	0.2313461	-0.062703155	-0.033377327	0.27885854	-0.52974975	0.17061268	-0.26025298	-0.004486056	-0.23459998	0.2167233	-0.20548064	-0.4316776	0.61276984	0.017489683	0.060434844	0.1355857	0.47219196	0.25470066	-0.25525057	0.57027775	-0.31189632	0.5676338	0.06674756	0.2801829	-0.12557061	-0.25490484	-0.74964684	0.27690092	-0.04525133	-0.13640526	-0.008186204	-0.0063817822	-0.13515738	-0.05518067	0.24774006	0.36756307	0.42925557	0.2136115	0.14993964	-0.3408593	-0.079064935	0.39872125	0.00502199	0.2379861	0.80709	-0.11277802	-0.4577497	-0.08831525	0.41596073	-0.14077473	-0.5357045	0.4935095	-0.08451499	-0.006960101	-0.07053512	0.2323911	-0.15793888	-0.32459927
bin_6	0.15992227	0.17527948	0.21640804	-0.2970322	-0.32934117	0.17493969	0.049424868	0.21924071	-0.119605154	0.13843358	-0.10612743	0.39842615	0.104836255	-0.5500908	-0.13005893	-0.056913085	-0.4317213	-0.13216673	0.553726	0.11731881	-0.22652933	-0.059628524	0.38275287	0.24137203	0.077682085	-0.039140716	-0.25416565	-0.03669467	-0.0070741023	0.019103507	0.08952109	-0.34982497	-0.4025254	-0.07514371	-0.055335984	0.04315344	0.046934646	0.11856852	-0.26604104	0.030681875	0.016630055	-0.25822172	0.32818675	0.32547686	0.3863155	-0.19893682	0.10190193	0.46399507	0.11536041	0.17765869	-0.13302243	-0.14449188	-0.45211378	-0.1988934	0.5241348	-0.059081174	-0.28675497	0.17167725	-0.29913476	0.087166324	-0.46325475	0.11764077	-0.16644697	0.16472809
bin_7	-0.049479365	-0.04190795	0.00798172	-0.065163136	-0.4473585	-0.19771768	0.21294847	0.06252199	-0.16523087	0.02648482	-0.25470302	0.16967501	-0.109366916	-0.6435932	0.09010404	-0.2668761	-0.34355605	-0.036723506	0.38003072	-0.18556006	-0.08759576	-0.13001007	0.4676867	0.4009507	0.071794696	0.012233233	0.09392226	0.034840718	0.25464338	0.2951816	0.27936465	-0.0299754	-0.36737505	0.096311755	-0.20108289	0.015926408	0.10163254	0.22245471	0.11399742	0.27325928	0.48563346	-0.086129144	0.39875978	0.33510485	0.34915254	-0.25619477	-0.16289549	-0.040002882	0.30218667	0.2647739	0.3076214	-0.2170501	-0.61910087	-0.232531	0.4732585	-0.23725873	-0.14285126	0.3005359	-0.1979039	0.34548342	-0.076985925	-0.18698168	-0.13923319	-0.021073764
bin_8	0.07346496	-0.35244137	0.2095308	-0.2615431	-0.31823382	0.007460995	0.2359298	0.13673438	-0.075310335	0.22099853	-0.29802874	0.12770276	-0.03770773	-0.17258728	-0.13151136	0.049643807	-0.031237338	-0.07203115	0.107365735	0.10012361	-0.29598704	-0.14412054	0.17689608	0.077724256	-0.15709446	0.08048662	-0.118382536	0.469116	-0.07907645	0.28515118	0.12672926	0.031567547	-0.4366997	0.20270394	-0.28973502	-0.065037705	-0.023753963	0.112235956	-0.006628658	-0.11715582	0.13410601	0.22059642	0.39472112	0.10151807	0.16440725	-0.03808844	-0.080301344	0.59418446	-0.10117279	-0.1162492	0.050602674	0.09254644	-0.09059797	0.064907104	0.239451	-0.20382673	0.055735447	0.07857855	-0.119345225	0.09022047	-0.20438159	-0.08674881	-0.06367884	0.060718957
bin_9	-0.0628904	-0.20466428	0.14966746	0.17858972	-0.2800387	0.08902112	-0.1343255	0.18852372	-0.29885787	0.47341415	0.014898534	-0.027879607	-0.34244606	0.114366814	-0.2401314	0.008147762	-0.1755396	-0.56808203	0.22261451	-0.16849613	0.009611353	0.29995203	0.24622032	0.19886547	-0.2226106	0.2506709	-0.25734642	0.40949792	-0.07377215	0.26292527	-0.20174141	0.06034626	-0.5042183	0.052751288	-0.109648235	-0.111992955	-0.17368333	0.09861071	0.04282792	-0.20929004	0.050240766	0.14107536	0.1618303	-0.02411404	0.1809292	-0.24985269	-0.09972973	0.49250883	-0.31647155	0.02536463	0.16500339	-0.016607571	-0.16723123	0.031559374	0.12298636	0.0044960724	-0.10631016	0.14973256	-0.4193143	0.06915697	-0.072190195	0.0791018	-0.1545784	0.070307225
