	dim_0	dim_1	dim_2	dim_3	dim_4	dim_5	dim_6	dim_7	dim_8	dim_9	dim_10	dim_11	dim_12	dim_13	dim_14	dim_15	dim_16	dim_17	dim_18	dim_19	dim_20	dim_21	dim_22	dim_23	dim_24	dim_25	dim_26	dim_27	dim_28	dim_29	dim_30	dim_31
c020	0.050313577	0.11190062	0.016751627	-0.022263555	-0.060971856	-0.17192239	0.29894465	-0.07653338	0.06198864	-0.22310494	0.1346087	-0.18984783	0.25520158	0.04164358	0.11551159	-0.098638706	0.0516803	-0.048645146	-0.14396171	-0.19442198	-0.2541636	-0.10676736	-0.023921693	-0.20113254	0.20769821	0.16596042	0.07902277	-0.23122628	0.07805128	0.17616983	0.27208677	-0.03445468
c021	0.3611729	0.22241507	0.18338925	0.110841	0.01998255	0.0015228378	0.122529395	0.024328182	-0.16974613	-0.33592063	0.02121439	0.19980529	0.29775614	-0.19269939	-0.25271735	0.33604518	0.16770239	-0.043025494	-0.07948976	-0.23588043	-0.12883352	-0.44689417	0.100407615	-0.17839369	-0.2465364	0.20623395	-0.25785115	-0.14842324	-0.229687	0.20395021	0.081178956	0.03457912
c022	0.30451167	0.04330195	-0.3290827	0.02161193	0.19406691	-0.0049766884	-0.25919193	0.20411101	0.36913896	0.12081173	0.2489052	0.06014623	0.10047303	-0.22133291	0.238336	0.11916354	0.30492806	0.025719328	0.00814876	-0.07102796	-0.022968728	0.26368275	-0.4038019	-0.06401292	0.07867153	-0.11190717	0.103149034	-0.18075778	-0.25829625	-0.09261884	-0.2564519	0.21726894
c028	-0.025780123	-0.09564177	-0.119915985	-0.09836496	0.3047843	-0.46482074	-0.17195089	0.36786848	-0.00091585785	-0.16311947	-0.08684641	-0.3935273	0.12170127	-0.09556556	0.21969835	-0.13172802	-0.087391794	-0.19490547	0.14465733	0.2896348	0.20501217	-0.083626635	0.18449749	-0.25047943	0.23588967	-0.01453366	-0.12252307	-0.059688747	-0.3973188	0.17641439	0.14707087	0.1632831
c029	0.07850449	0.31263196	0.062671006	-0.2658091	0.43376788	-0.48477507	0.118989475	-0.012459204	-0.14525864	0.22403607	0.14853942	0.0552835	-0.13178088	-0.3141379	-0.14576031	0.24481614	0.11234648	-0.24776445	-0.05726004	-0.106558	-0.36455357	-0.037885677	-0.2573466	-0.1365571	-0.20168464	-0.008849485	-0.12697735	-0.008774794	-0.046844136	0.20867252	0.06767925	-0.028360771
c048	-0.105461635	-0.26473445	0.057555705	0.12582809	0.370781	-0.09538768	-0.15530273	0.11921844	0.15612409	-0.09984391	-0.10287266	-0.24522993	0.06672193	-0.17779504	-0.10861574	0.027791081	-0.06049801	-0.25030038	-0.30433443	0.16350888	-0.21335052	-0.22056213	-0.11852683	0.0100711705	0.15618376	-0.15591703	-0.40379807	0.012151264	0.13813832	0.12534608	-0.082631834	0.077715814
c051	-0.13465768	0.057814248	-0.17109446	0.31231526	0.26131386	-0.09263076	0.10658562	0.10964826	0.06799513	-0.24444737	0.07551803	0.13422923	0.27136075	0.045086868	-0.30487025	0.122686006	-0.0069972696	-0.1751273	0.16962785	-0.03713495	0.18705297	0.14511356	-0.041564707	0.3006801	-0.10198532	-0.12980297	0.14158884	0.2311426	0.045499686	-0.09576168	0.2875666	-0.14607337
c052	0.06361079	0.317428	-0.16673236	-0.23189858	-0.1224004	-0.24505936	-0.2704478	0.1031473	-0.07247077	0.24792878	-0.18455973	0.13558136	0.31222743	-0.2528384	0.22000158	0.06310196	0.22338122	0.14340338	-0.09483073	-0.20691092	0.20041311	-0.053692557	-0.12452337	-0.2418446	0.12663874	0.26403683	0.025000451	-0.19539149	-0.16975802	0.05319081	0.22985269	0.10616102
c058	0.051784534	-0.02491747	-0.13859281	-0.17526941	-0.063705444	-0.32163534	-0.041925583	0.039710835	0.23466313	-0.16135208	0.16556151	-0.1258848	-0.002333343	-0.16183788	-0.27079898	-0.016216494	0.13434176	0.103255	0.124592364	-0.023991529	-0.11860245	-0.37427637	-0.00598431	-0.25059634	0.23793605	-0.034533206	0.20910907	0.12290489	-0.3602385	-0.20197782	0.20064932	0.19404317
c068	0.252594	-0.21671002	0.093896665	-0.2939809	0.35686734	-0.39464596	-0.29039052	0.039574943	0.07341483	0.106845364	-0.22480692	0.20303379	-0.1144132	-0.20023982	0.043212086	-0.0498882	-0.19352275	-0.023576347	0.18573245	-0.20987707	-0.23626317	0.07900979	0.026370985	-0.088461496	0.27510235	0.09447147	0.19098496	0.24975091	-0.08330964	-0.17614932	-0.07956066	-0.15900321
c090	0.0016212808	0.08810506	0.19505383	0.015787432	0.2695892	-0.17020327	0.32935965	-0.06866791	0.24465075	-0.033642933	-0.33338794	-0.20293194	0.34971526	0.096928336	-0.21713941	-0.22334018	0.03341847	-0.22655149	-0.047507234	0.14771637	0.037411954	-0.030654207	-0.020930557	-0.06652093	-0.2295608	0.04631451	-0.032689482	-0.24095362	-0.27381685	0.15791412	0.20796229	-0.12061401
c091	0.24848966	0.29573816	-0.06698849	-0.21043655	0.25215116	-0.020224638	0.28176114	-0.21311499	0.062662445	-0.30746946	0.11451357	0.06207403	0.10584453	0.068324015	0.13427128	-0.10592655	0.15743452	-0.011636598	0.0083531635	0.3686236	-0.09856004	-0.30042705	-0.028631138	-0.10867291	0.07622372	0.18415481	-0.28171262	0.15363291	0.030755367	-0.24400802	0.30116102	0.004795705
c098	0.3581283	0.1507942	0.0451411	0.074552596	0.28228685	-0.1721023	0.28459215	0.07103348	-0.17288631	0.03506843	-0.278037	0.023797346	0.15925755	-0.009860875	-0.093802065	0.17085779	-0.075677715	-0.009916073	0.12191029	0.17575215	-0.102775015	-0.004964072	0.21111922	0.24290897	0.290332	0.2825521	-0.34088066	-0.21088578	0.02964613	0.25506634	0.34814274	-0.061366033
c099	0.15359652	0.31203192	-0.008792561	-0.15351845	-0.08391394	-0.20817666	-0.038568236	0.15848787	0.22509709	0.10760914	0.014974681	-0.08851129	0.30617213	-0.08108273	0.101886466	-0.19875224	-0.19946691	-0.37223256	-0.10395112	0.090271614	0.21532553	0.03115599	0.037043817	0.24506643	-0.17212734	0.050251096	-0.3140528	0.15409322	-0.06565032	-0.015412468	-0.011113901	-0.2025316
c100	-0.19739391	-0.20997088	-0.21443674	-0.020497825	-0.20083733	-0.29495707	0.22026362	0.17520979	0.1497626	-0.15158352	-0.022205101	0.036469635	0.009186889	-0.32686228	-0.080357194	0.29739973	0.2887602	-0.057030346	-0.13475122	-0.23518759	-0.18659289	0.047874045	-0.06950026	0.13478091	0.023189686	0.14078574	0.13120733	0.22579053	-0.16886082	0.17533547	0.3169875	0.17956625
c102	-0.09777422	0.34120032	0.15872489	-0.17900163	0.5240543	0.08896136	0.28930143	-0.0046483167	-0.31392652	-0.13467853	0.16184843	-0.13405652	0.24536021	0.038885914	-0.105912164	0.1827621	0.25104713	0.118594	-0.17045039	-0.10156845	0.07089776	-0.3637116	-0.30146053	0.14446284	0.030352015	-0.06566192	0.04933129	-0.26890874	-0.27072486	-0.09034096	-0.27144206	0.13712892
c108	0.32801616	-0.08039557	0.17031614	-0.22953077	0.27869874	-0.03419525	-0.0039144834	-0.18102849	0.08869207	-0.4266193	-0.14923345	0.068442374	0.19220445	0.03225688	-0.25648746	0.32391912	0.1113397	-0.23022181	0.21503055	0.16630708	0.24852438	-0.06500525	-0.025021909	0.042076398	-0.23111098	-0.21000664	-0.1728965	-0.019074898	-0.43189004	-0.0043025035	0.11901727	0.26804414
c109	0.11617814	0.274661	0.12766701	0.26178497	0.16041796	-0.011375821	0.2272018	-0.022561574	-0.0112829935	-0.35079575	-0.09160198	-0.29444498	0.02552138	0.09993306	0.2056915	-0.17090905	-0.032532074	-0.037399508	0.15818714	-0.06806799	-0.11159995	-0.1448067	0.09725386	0.110735156	0.34710166	0.2854119	0.0051718336	-0.23916681	0.11152812	0.13742279	0.20344296	-0.22316639
c111	0.49079067	0.044731237	-0.2502409	0.15570477	-0.0040985495	-0.22529465	0.15871799	0.15860906	-0.017337808	0.20067611	-0.11025625	-0.023974296	0.17374663	0.10999569	-0.36387038	0.13026635	0.12647843	-0.14375009	-0.041983828	-0.08808069	0.18548967	0.2286468	-0.08806845	0.20256396	0.3338274	0.36672503	0.050807096	0.04496794	-0.2366151	0.0020144216	-0.14687498	0.31744823
c130	-0.111562036	0.08298243	-0.29174042	-0.0048020035	0.13118276	0.0969379	-0.0048595686	-0.1311161	0.108532	-0.20007789	0.027225273	0.17129122	0.28173614	-0.36223993	0.1179477	-0.033700608	0.2039847	0.120906524	-0.35935202	0.059937436	-0.11300798	-0.20652403	-0.022414276	0.25717464	-0.23788762	0.03486355	-0.17671806	0.09933778	-0.22274895	0.32780647	0.11171867	-0.231625
