	dim_0	dim_1	dim_2	dim_3	dim_4	dim_5	dim_6	dim_7	dim_8	dim_9	dim_10	dim_11	dim_12	dim_13	dim_14	dim_15	dim_16	dim_17	dim_18	dim_19	dim_20	dim_21	dim_22	dim_23	dim_24	dim_25	dim_26	dim_27	dim_28	dim_29	dim_30	dim_31	dim_32	dim_33	dim_34	dim_35	dim_36	dim_37	dim_38	dim_39	dim_40	dim_41	dim_42	dim_43	dim_44	dim_45	dim_46	dim_47	dim_48	dim_49	dim_50	dim_51	dim_52	dim_53	dim_54	dim_55	dim_56	dim_57	dim_58	dim_59	dim_60	dim_61	dim_62	dim_63
c020	-0.04683118	0.24792512	-0.08185125	-0.075768545	0.21302104	-0.20305133	0.20687932	-0.2621499	0.1707943	0.272614	-0.3512755	0.21993731	0.5415928	-0.29917148	0.281088	0.19225243	0.0024330635	0.057321545	-0.093321875	-0.41515347	-0.19751035	0.23344699	-0.36089903	-0.4042543	-0.12766492	-0.045971796	-0.31080604	0.10208006	0.052710164	-0.076509096	0.07115963	0.29572007	0.28057057	-0.33200842	-0.23997636	-0.13534695	0.064434834	-0.01235724	0.36427116	0.0053282413	0.17574304	0.021931857	0.07349159	0.12654378	0.10689836	-0.22542265	0.1798201	0.27320936	0.20766355	0.2108025	0.21739167	-0.124885775	0.038372442	-0.014748994	0.062696874	-0.21143839	-0.042072546	-0.117551476	0.24858382	0.38360173	-0.46236047	0.14878255	-0.012067225	0.32290882
c021	-0.009303966	-0.37978077	-0.020746006	-0.3588868	-0.4246798	0.012506001	0.19021083	-0.87768364	0.2715234	0.2708123	0.1877706	-0.012944027	-0.18691742	-0.108587034	0.35269424	-0.102811895	-0.1248449	0.08512142	-0.47424942	0.015611313	-0.08396834	0.18322887	-0.24824716	-0.32138136	0.0050451853	0.09189724	-0.30285203	0.19414152	0.07959815	-0.13033603	-0.20312922	-0.35756502	-0.30754107	0.16201167	-0.5822524	-0.1277645	0.0047302456	0.086741455	0.5891352	-0.018411348	-0.121489905	0.22864369	-0.55289596	-0.13960452	0.31000656	-0.66653246	0.25338715	0.3280151	-0.3819742	-0.09749827	-0.24049748	-0.38602588	0.11706776	0.24152063	-0.17695083	-0.09780349	-0.36863816	-0.009380082	-0.12800379	-0.113932684	0.23758636	-0.39559576	-0.07993114	-0.18846828
c022	0.03505131	0.11085652	0.2867397	-0.32746175	0.015635258	0.12371457	-0.035698764	0.06482013	0.06329432	0.027732443	-0.256939	0.2319993	0.29880872	-0.20083253	-0.32725403	0.12485832	-0.30506134	0.028739685	-0.23547344	-0.16532323	-0.5257129	0.15351172	-0.19046645	-0.22619078	-0.030577105	0.042728733	0.0685248	0.18633564	0.016666617	-0.41640523	0.1259693	0.40674806	-0.035868052	-0.55204386	-0.17278266	0.2756023	0.08135088	0.09671886	0.14409699	-0.17577419	-0.2633876	-0.22690454	-0.19472463	0.2919508	-0.11455559	-0.4992309	0.19266556	-0.034364544	0.3177009	0.24553254	-0.12972274	-0.19473602	-0.09360927	-0.1918715	0.21819264	-0.14187203	-0.3044439	-0.3066568	0.3058243	0.054041453	-0.22625163	-0.134457	-0.05232153	0.28483537
c028	0.17673422	-0.46727797	0.26069078	-0.031548742	0.32120845	0.02766512	-0.10152991	-0.031684894	0.039215554	-0.25007343	-0.53503275	0.42512816	0.17834169	0.42294917	0.2872133	-0.02986651	0.07996272	0.009351723	-0.19856337	0.3377862	-0.11025383	0.20421512	-0.27755442	-0.13889588	0.0029313182	-0.31907317	-0.1371263	-0.17850316	0.044151146	0.19088642	0.005596123	0.047280155	-0.36253676	0.08114664	0.045444366	0.06931913	-0.06868881	-0.07313383	0.3463234	-0.18613881	0.50873095	0.119175084	0.02637817	0.11575574	-0.23372759	-0.8304458	0.28828236	-0.047304355	0.17791878	0.096783414	-0.060875807	-0.33679664	0.04781005	-0.340064	-0.15190043	0.0143227875	-0.24777675	-0.16461071	-0.081263684	0.043789316	0.11323041	0.24746701	0.07297542	0.78202975
c029	-0.24384092	-0.16356383	-0.3075216	0.08111331	0.25489992	-0.008424422	0.08008958	0.12401368	0.6228461	0.3510559	-0.3803371	0.034060966	0.38483876	0.036444813	-0.073450975	0.14469823	-0.0377405	0.1017144	-0.15957901	0.033926617	0.16115147	0.32520646	-0.26863986	-0.0333301	-0.07253141	-0.06439122	-0.14126733	0.258599	-0.19736707	0.079144515	0.251013	0.10739189	0.2822663	-0.76299924	0.3442599	0.08670093	0.07064349	-0.20289052	0.15169622	0.01981365	-0.2628094	0.04639013	0.04055781	0.15818597	0.026103908	-0.09905366	-0.27429372	0.31685594	0.4851575	-0.02283622	0.033759642	0.24731421	-0.52951133	-0.32654008	0.23007402	-0.41844767	0.11948265	-0.13780034	0.16191196	-0.16272967	-0.32111993	0.3754542	-0.17905001	0.061563794
c048	-0.23063236	0.17342266	0.10273866	0.18162586	0.1760328	0.19545242	-0.10795409	-0.01701851	0.38140857	0.24897228	-0.23087394	-0.18821913	0.07646398	-0.030020159	-0.15036592	-0.012263707	0.14065562	-0.03296571	-0.13936229	-0.1968817	-0.050356746	0.34347963	-0.10127007	-0.008930408	0.017600145	0.34287587	-0.00735567	-0.042678513	0.14751233	0.010280161	0.23243387	0.20229381	0.28547964	-0.5574751	0.29231465	0.119799785	0.026744828	0.006948493	-0.17083314	-0.114256814	-0.06644472	-0.008010671	0.27612603	0.2017713	-0.073188506	-0.016057607	-0.08353424	0.13472678	0.16193697	0.22609435	0.09037809	0.085227996	-0.3193339	0.0024032772	0.30680278	-0.12822083	0.19533151	-0.22092551	0.13871028	-0.25172433	-0.251192	0.20521589	-0.27951068	0.13933752
c051	-0.19694896	-0.014558981	-0.12402037	-0.2655922	-0.19835277	-0.03166368	0.23979157	-0.14798675	-0.21084493	0.32535797	-0.6710016	0.348033	0.11004464	0.41914806	-0.4011872	0.1036662	0.03253467	0.23631927	-0.35465667	0.32645252	-0.121297054	0.13028423	-0.3541039	0.03471359	0.27356586	0.61745274	-0.1357032	-0.05197997	0.12154608	0.057543367	0.16822396	-0.0935848	0.00270807	0.035439342	0.25878245	-0.3074865	-0.055779625	0.32333994	0.47777095	-0.053385906	-0.032473557	0.088571936	0.5401995	-0.13487716	0.0326653	-0.2622245	0.18631136	-0.36784098	-0.040303886	0.21669625	0.32198095	0.049045287	0.060888946	-0.00783878	-0.18237707	-0.018627524	-0.29173332	0.15126188	0.419892	-0.15581404	0.06105061	0.27338952	-0.14091796	0.24127366
c052	-0.2789766	0.5857974	0.13872334	-0.0514184	-0.049769044	-0.018641565	-0.027647678	-0.3898918	-0.20116414	0.012982752	-0.36744672	0.091912165	0.12579603	0.3628624	0.19595008	0.07219762	-0.039016824	-0.19848435	-0.01738895	-0.5192974	-0.03353231	-0.05500091	-0.16429703	0.13176131	0.06278834	-0.092688546	0.1285838	-0.07108063	-0.45020157	-0.3989042	-0.24774055	0.1232122	-0.11258615	-0.36662385	0.4550406	0.20373003	0.2497349	-0.11501615	0.51047575	0.01286338	-0.11779187	0.056101743	-0.14189675	0.19653617	-0.006565889	-0.49221325	-0.22908723	-0.18052241	0.13096063	-0.085349366	0.23713559	0.3534537	-0.009887353	-0.1149175	-0.20779182	-0.07388508	0.012804139	-0.3575464	0.0330774	0.20611937	-0.3343261	0.09267075	-0.19954868	0.26957986
c058	-0.17870384	0.37125498	0.10073055	0.18083574	0.15900415	-0.102067865	0.09656278	-0.30580166	0.2480868	0.09033832	-0.92101043	-0.48524204	0.7656198	-0.43040055	0.47692746	-0.112424634	0.07812668	0.018973496	-0.3364734	-0.1802788	-0.4973224	0.46465585	-0.10121639	-0.08422384	0.20166256	-0.2372838	-0.16744736	-0.11052671	-0.07805013	0.15221459	-0.062102962	-0.001988024	-0.13332646	-0.20171146	0.4404892	0.26434025	-0.21213128	0.15583828	0.25901943	-0.2100612	0.079736225	0.10754081	0.1242354	-0.018139625	0.1384922	-0.25790077	0.22608382	0.17410213	0.33724368	0.30713362	0.33114368	0.13805746	-0.41813082	-0.07540198	-0.1324544	0.05519664	-0.09305207	-0.2905306	0.054751296	0.037261613	-0.039537225	0.082642436	-0.051533483	0.8026114
c068	0.017512996	-0.1299598	-0.34063527	0.12899987	0.13573007	-0.08851952	0.09567678	-0.026953159	-0.040332556	0.095226765	-0.2253637	0.21047673	0.078202836	-0.0062944004	-0.25509313	0.030067623	0.16010495	-0.061226044	-0.110371575	-0.059398003	0.058518507	0.23278235	-0.355106	-0.012857521	-0.038190246	0.22145677	0.18342148	-0.05832224	0.06535024	-0.32889357	0.47484425	0.23862948	0.22319469	-0.53650886	0.42576012	0.27091375	0.041776974	-0.07315395	-0.05479315	-0.19889219	-0.15611492	0.07716836	-0.080160215	-0.045895256	0.03902396	0.06264269	-0.83500886	0.104450114	0.44635203	0.0482468	0.1186626	0.17039001	-0.28967506	-0.16767216	0.038627602	0.07213608	0.26218155	-0.19637883	-0.014991523	-0.28662932	0.0025752794	0.2556979	-0.26461002	0.30789205
