	dim_0	dim_1	dim_2	dim_3	dim_4	dim_5	dim_6	dim_7	dim_8	dim_9	dim_10	dim_11	dim_12	dim_13	dim_14	dim_15
bin_0	1.1387678	-1.918437	0.067612015	0.15566249	0.7920704	-0.81028223	-0.9120921	-0.14732842	0.49718866	0.33879077	-0.21255103	-0.44371393	0.598046	-0.72203183	-0.31257474	-0.97925466
bin_1	1.4961045	-0.49696395	-0.57878554	-0.26482242	1.3403543	0.5304221	-0.6837004	0.36669832	-0.31418452	0.21563902	-0.15794694	0.66156614	0.91648537	-0.36476886	-0.059449457	-0.061638802
bin_2	1.1319808	-0.1039466	0.47415733	-0.35382923	-0.31543162	-0.35282457	-0.114164464	-0.079405956	0.3907242	0.21554403	0.15156953	0.3014186	0.15480319	-0.52558124	0.17821725	-1.0920713
bin_3	0.3173138	0.3157398	0.21494992	-0.68843466	0.004704509	0.1966068	-0.44477385	0.11616297	0.055842053	0.49979746	-0.140636	0.22249171	-0.41201854	-0.2767609	-0.09411949	-0.24954028
bin_4	0.4644102	0.24751587	0.5080509	-0.15819377	-0.29855725	0.019638149	0.31394047	0.2073415	0.23421212	-0.37814268	-0.14181344	-0.42654723	-0.1217304	0.14501064	0.36745185	-0.80541754
bin_5	-0.14285599	0.07493041	0.07584035	0.011109149	-0.14382923	0.24912418	-0.3403519	-0.05327681	-0.09042956	0.36302122	-0.0855138	-0.27859432	0.27363685	0.014988454	0.10744028	0.33714366
bin_6	-0.26465568	-0.033574753	0.10224045	-0.42202678	-0.48999992	0.22584207	0.32618633	0.19800355	-0.29279745	0.07039911	-0.452263	-0.100328445	-0.20840515	-0.10208878	0.1511443	0.34175432
bin_7	-0.22422741	0.4078805	-0.69569904	0.09536648	0.18136658	-0.61815965	0.2882926	0.6506853	0.17698352	0.38507822	0.28125358	0.17851356	0.31259128	0.07935569	0.14976723	0.26951325
bin_8	0.48806557	-0.44300613	0.3348824	0.26146498	-0.81902945	0.11817923	0.04412407	-0.1532997	0.73822224	-0.065233305	-0.26001108	0.51198804	-0.034492366	0.3244112	0.06976996	-0.1902542
bin_9	0.3207789	-0.20633107	0.28263512	0.46262458	-0.5950595	0.29564053	-0.23756902	-0.0040170345	0.27712777	0.08723195	0.4867111	0.31808168	0.30034405	0.49378952	-0.017427603	-0.25324735
bin_10	-0.4201107	-0.2059913	0.39572397	-0.1522392	-0.83012706	0.2621962	-0.07612355	0.0074428716	0.168281	-0.3218529	0.5968391	0.11342759	0.091266654	0.06820648	0.29300353	-0.54672223
bin_11	0.23782215	0.5547442	-0.20933965	-0.1379186	-0.09542696	0.2747647	-0.44677013	0.43785977	-0.100425914	-0.3187686	0.37506342	0.74177426	0.23126142	-0.10643093	-0.2219519	0.30510926
bin_12	0.81131387	-0.6273817	-0.056940656	0.46739203	-0.1782797	-0.16317564	-0.18601587	-0.31470844	0.3539973	-0.31528297	0.00090615393	-0.11222337	0.24096194	-0.7435674	-0.64386344	-0.20054081
bin_13	0.5002172	-0.37237906	-0.25400406	0.006936685	0.05388096	-0.1509131	0.1143426	0.25464067	-0.57082236	0.5297469	-0.16886409	-0.05170274	0.2758634	-0.61932355	-0.68895924	-0.39502594
bin_14	1.1589046	-0.5653189	0.15605375	0.388655	-0.11887191	-0.037442412	-0.32764497	0.25841904	-0.17503755	0.011464033	0.27220315	-0.040054712	0.2779178	-0.18584941	-0.1594838	-0.58124465
