	dim_0	dim_1	dim_2	dim_3	dim_4	dim_5	dim_6	dim_7	dim_8	dim_9	dim_10	dim_11	dim_12	dim_13	dim_14	dim_15	dim_16	dim_17	dim_18	dim_19	dim_20	dim_21	dim_22	dim_23	dim_24	dim_25	dim_26	dim_27	dim_28	dim_29	dim_30	dim_31
bin_0	0.37027997	-0.6653016	0.008027466	-1.0059808	0.17427835	0.32536125	0.42572892	0.1937436	-0.081683174	-0.099986605	-0.18372567	-0.35154152	-0.07897827	0.13951631	0.48926914	-0.26293322	-0.32421532	0.46197155	-0.1354022	0.6546177	-0.12165965	0.04168692	-0.09387909	-0.061413694	0.08863536	0.9804564	-0.4727891	-1.0358222	0.6768602	-0.13083792	-0.9188573	-0.9671622
bin_1	-0.34647223	0.014063926	0.015709968	-0.33658963	0.043039095	-0.40450096	0.25345668	0.24946786	0.18660395	-0.19615471	-0.39365637	-0.7384675	0.16463849	-0.23972335	0.9606533	-0.18080255	-0.012024636	-0.8922718	0.6370286	-0.6843915	-0.1217837	0.6481692	-0.912466	0.7132178	-0.46598086	-0.18274555	-0.036705323	0.378359	0.08661727	0.70740837	-0.05669783	0.23364003
bin_2	-0.18993588	-0.20762661	0.27713478	0.19997962	-0.36659327	-0.29638928	1.5815812	0.15005596	0.35405952	-0.52980816	-0.151091	-0.46852967	0.34516975	-0.8320597	0.7251231	0.02859091	-0.16701126	-0.4066279	0.6293829	-0.43726552	-0.15724501	0.2833058	-0.7567405	0.37347838	-0.31306118	-0.60925317	-0.099575765	0.51678604	0.10426631	0.5546668	-0.3280111	-0.48750988
bin_3	-0.37831625	0.23923333	-0.7074253	0.23849437	0.09879915	0.070765935	0.36039168	-0.11100667	-0.05778188	-0.01768177	-0.38849586	-0.3743495	0.06846576	0.010492094	0.1868655	0.030803332	-0.31834587	-0.15310831	0.37421864	-0.3360209	-0.14673503	0.26161924	0.09374928	0.24778655	-0.31629202	0.06739449	0.042942416	0.44545856	0.03072774	0.35806325	0.10463052	0.29607555
bin_4	-0.04667613	-0.37093076	0.25609738	-0.08014726	-0.64212155	-0.09713067	0.16239108	0.16832234	0.23092553	-0.23995548	0.025464665	-0.047326345	-0.07025913	0.20832898	-0.33151013	-0.20294341	-0.48873255	-0.14090228	0.02029988	-0.07496178	0.14542635	0.10873161	0.3591098	0.6362578	0.25201035	-0.12804858	0.0465008	-0.28097653	0.3625341	0.21175152	0.14045744	0.5081199
bin_5	0.14035517	-0.16347222	0.271421	0.096867196	0.18147872	-0.16659991	0.22335127	0.32460994	0.12686133	-0.049606044	0.12536235	0.118731014	0.39217293	-0.08008259	-0.38326728	0.05294598	-0.5341366	0.11263375	0.1293146	-0.36299706	0.25773272	-0.10313171	0.36691642	0.71365535	0.10558937	0.04270235	0.12997139	-0.25841835	0.03737211	0.15364066	0.40529177	0.11643055
bin_6	0.3930113	-0.23330925	-0.40380546	0.08565943	-0.14663707	0.6560257	-0.054572273	-0.08636076	-0.15349895	0.21663795	0.4022279	0.092403635	-0.22148183	-0.21257877	0.45102355	-0.011223102	-0.26883388	0.1253786	-0.18884629	0.2566717	-0.21678609	-0.21434319	-0.3079004	0.14439784	0.0034116062	-0.06460493	-0.32345974	0.2889773	0.4115522	0.14471385	0.46029934	0.29116157
bin_7	0.25998932	0.17486407	0.11801462	0.21184264	-0.22339953	0.07107503	-0.26158693	0.03160712	0.14221494	-0.42456564	0.4039859	-0.07575703	-0.2549611	0.5016588	-0.2234503	0.23163798	0.31429347	0.34975028	-0.16878551	0.2541713	0.2711088	-0.15023683	0.2465826	0.20183861	-0.06350258	-0.22598584	-0.61469626	-0.1286262	0.5571081	-0.23089592	-0.16056068	-0.016211487
bin_8	-0.13818106	-0.29458433	-0.22679818	-0.07267002	-0.2420916	0.07652461	-0.054750495	0.8065616	-0.25206503	-0.12222584	0.15135208	0.35914946	-0.22076353	-0.30858597	-0.2951154	0.1855612	0.070045084	-0.2546721	0.06366212	-0.08529104	-0.14618438	0.2293816	-0.137244	0.42049608	0.11890924	0.12474612	-0.045780696	0.27090374	0.0945723	-0.07443235	0.11390473	0.23287413
bin_9	-0.14096543	0.15191865	-0.22378837	-0.296408	-0.13446508	-0.329451	0.10105639	0.31008318	-0.037019666	0.30006182	-0.101776145	0.1278206	-0.27373978	-0.12688507	0.15297873	0.12170365	-0.22775514	0.021782693	0.06371891	0.016600186	-0.34425586	0.0799799	0.43999878	0.45281658	-0.21918267	-0.43168148	0.017682912	-0.44763783	0.14119606	-0.32754362	0.35258383	0.39029372
bin_10	0.15686284	-0.06510714	-0.17393096	0.28741184	0.15558308	-0.27361205	-0.11516115	0.15302473	0.11881325	0.2963853	-0.38242596	0.14452054	0.20834479	-0.25607437	0.18889688	0.15443943	-0.48391804	-0.055656675	0.47591758	0.11484649	0.051760618	0.1861715	0.07087359	0.5370941	-0.09909796	0.029067893	0.05169279	-0.1259485	-0.03289396	0.4739717	0.3038389	0.30370268
bin_11	0.16052711	0.19272216	0.060007885	-0.18828389	-0.43431166	0.1769357	0.24431136	0.054508556	0.17857286	0.059200443	0.29637313	-0.13214456	-0.4219509	0.23828599	-0.65102345	-0.25939634	-0.20036885	0.21649832	0.21728744	0.023932436	0.047153853	0.22226185	0.0921228	0.038163435	-0.2855374	0.41662222	-0.08317462	-0.68355656	0.15861112	-0.44372892	-0.049071718	-0.08383875
bin_12	-0.18810053	0.041326918	0.26097167	0.071814544	-0.4424921	0.22622532	0.38884744	-0.37991765	-0.015534375	0.49820024	0.102312975	0.42583156	0.37580517	0.3940143	-0.6553966	-0.514453	-0.30414745	-0.1322972	-0.057784036	0.25109524	-0.27048805	0.14726755	0.25267348	-0.052866217	-0.19522877	0.12735207	0.017849518	-0.028346868	0.115770794	0.34624895	0.4100938	-0.63903713
bin_13	-0.34526813	-0.46983904	0.11550713	0.1564404	-0.34621626	-0.38926628	0.20238827	-0.20872737	0.18281429	0.05656488	-0.007378953	0.15710561	0.10400655	0.059500046	-0.22680028	-0.008167859	-0.26031372	-0.13676782	0.014857767	0.13833311	-0.41044408	0.14281736	-0.70032406	0.010764498	-0.41898656	0.21366444	-0.018997272	0.20385872	0.2672493	0.14503618	-0.09488605	-0.8612029
bin_14	0.42298228	-0.021772547	0.7038959	0.15520947	-0.23734607	-0.0206784	-0.13729712	0.16937216	0.06410194	0.2765695	-0.18233682	-0.12901165	0.09111243	0.42149982	0.20836541	-0.34310693	-0.091060825	-0.21204846	0.24593042	0.14485906	0.06448397	0.25339618	-0.3708043	0.12535201	-0.4021984	0.3362647	0.40660912	-0.3913704	0.027621811	0.2643145	0.14298502	-0.17604081
