	dim_0	dim_1	dim_2	dim_3	dim_4	dim_5	dim_6	dim_7	dim_8	dim_9	dim_10	dim_11	dim_12	dim_13	dim_14	dim_15
1	-0.092183836	-0.271807	0.1818262	0.3253712	0.32397217	0.31246683	0.2988433	-0.34024	0.3928441	-0.030596575	-0.11060247	0.32656395	0.22849943	-0.054574654	-0.08272835	-0.1867027
2	0.08411629	-0.078946196	-0.005254263	0.43854958	-0.19655147	-0.081984565	0.3355724	0.34894624	0.40429136	-0.05933621	-0.44344708	0.03394286	-0.12621696	-0.36026096	0.027715055	0.05792871
3	0.12250414	-0.12798241	0.18508597	0.47594857	0.11252755	0.18254209	0.3061701	-0.33674946	0.4005658	0.031476352	-0.22121151	0.33292735	0.19167982	-0.025654621	-0.21875702	-0.21961813
4	0.11878998	-0.0014143348	0.08292024	0.53196406	0.23715797	0.11165447	0.12147481	0.3619994	0.2851709	-0.15353547	-0.30332142	0.11336345	-0.07159425	-0.4451888	0.2311293	-0.12257547
5	-0.10032645	-0.06416926	0.10621228	0.051450495	0.3145347	-0.103558905	0.08204737	0.60769796	0.12748942	0.0011742044	0.005276174	-0.20875868	-0.03190081	-0.58373785	0.17339133	-0.23347068
6	-0.16498186	-0.12849592	-0.029996572	0.26954812	0.31618243	0.08752029	0.15194756	0.43334934	0.22476526	-0.10145699	-0.26380217	-0.114897914	-0.0939381	-0.5383741	0.3491149	0.0066801477
7	0.09794052	-0.12721911	-0.069624424	0.5391353	0.044975378	-0.02855404	0.34623048	0.074420944	0.32748282	-0.12202147	-0.35632956	0.17399922	0.0011788429	-0.51856977	0.04492615	0.011891806
8	0.4149024	0.07091741	-0.055720292	0.5696104	-0.093832135	0.10694024	0.3071464	-0.20508827	0.34954235	0.062000234	-0.380596	0.18489243	-0.07119469	-0.14254767	-0.06352511	-0.06433206
9	0.21192043	-0.038247336	-0.18620814	0.27015054	0.12609254	-0.18366444	0.31240243	0.20852669	0.13932526	-0.080047496	-0.120103575	0.05555768	-0.026094925	-0.7706352	-0.037661962	-0.1263046
10	-0.2550841	-0.22740127	0.4620096	0.2669459	0.26628357	0.18839401	0.06312614	0.35693404	0.3611571	-0.20488185	0.115106404	0.15005758	0.12575114	-0.18075962	0.1879552	-0.26216298
11	-0.101223014	-0.0038378206	0.13929781	0.10617721	-0.6172966	-0.106655866	0.29219297	0.42926136	0.43588144	-0.019243207	-0.18346277	-0.0324315	-0.17105007	0.027723348	-0.16589564	0.119865455
12	0.048233222	0.25219482	0.0022367246	0.037595898	-0.11035884	-0.29232776	0.2476865	0.5394722	0.215467	0.049415883	-0.3483562	-0.2637415	-0.21616052	-0.4336872	-0.08213083	-0.036116607
13	-0.18372978	-0.09721382	-0.13959914	0.31343055	-0.05604493	-0.13661176	0.13906749	0.37937376	0.16797374	-0.10593412	-0.26266286	-0.15498057	-0.18006578	-0.67870915	0.14343983	0.088912226
14	-0.50125784	-0.36994877	0.21930781	0.20232235	-0.0097424835	0.092462726	0.38396785	0.13270672	0.5094691	-0.1024536	-0.15575911	0.10882235	0.10729168	-0.16418447	0.019091051	0.064577974
15	0.1298008	-0.20900445	-0.025081579	-0.07251879	-0.02415654	-0.24494801	0.32524753	0.34921837	0.16030733	0.01749017	0.2985192	-0.020091953	0.055973705	-0.6592748	-0.14169063	-0.26811206
16	0.37087142	0.22448292	0.03514527	0.5746169	-0.37211758	0.042657144	0.19993238	-0.029017664	0.30466723	-0.01087605	-0.35972664	0.22386275	-0.06575752	0.034727942	-0.14580888	0.016953163
17	0.03598904	-0.14280756	0.15680249	0.0051792366	-0.059194084	-0.15611427	0.20165774	0.5365348	0.17798676	-0.17795953	0.347288	0.0050603882	0.06083261	-0.59980893	-0.016157918	-0.22264336
18	-0.08159005	0.09596704	0.2591601	0.028486151	-0.20067522	-0.305868	0.18396027	0.66113615	0.26373675	-2.6130538e-05	-0.090864025	-0.2182687	-0.07046636	-0.36980984	-0.14055783	-0.15637738
19	0.35568178	0.26292574	0.23008302	0.22210371	-0.51663494	0.18882357	0.14421225	0.0035977038	0.3271795	0.100922965	-0.095843986	0.103796646	-0.028375966	0.4469614	-0.20092417	-0.023962712
20	-0.3533502	-0.41720048	0.04122009	0.07433753	0.31968477	0.35779887	0.29951105	-0.39379752	0.34342062	0.076092936	-0.122016676	0.18203822	0.20768936	0.013597365	-0.0589388	-0.017697476
21	-0.0024962479	0.093735136	-0.07849409	0.13967307	0.1685183	-0.12076709	0.1956075	0.5593224	0.16938972	-0.03219173	-0.29752392	-0.21392906	-0.17560089	-0.5855932	0.18086886	-0.031093711
