	dim_0	dim_1	dim_2	dim_3	dim_4	dim_5	dim_6	dim_7	dim_8	dim_9	dim_10	dim_11	dim_12	dim_13	dim_14	dim_15	dim_16	dim_17	dim_18	dim_19	dim_20	dim_21	dim_22	dim_23	dim_24	dim_25	dim_26	dim_27	dim_28	dim_29	dim_30	dim_31
1	-0.37912264	0.033105165	-0.060978994	-0.029255534	-0.22839023	-0.13658082	-0.3317773	0.14253192	0.003963088	0.012558778	0.11069195	-0.20249769	0.25080147	-0.00059550366	0.15327422	0.030497888	0.018043518	0.30998525	0.17562743	-0.02123794	0.18459436	0.030858787	0.109185055	-0.37886468	0.029737141	0.15981239	-0.07828416	0.2457078	-0.022098854	-0.06980472	0.30080453	0.04077337
2	0.07062618	-0.033934277	-0.0901695	-0.0046601202	-0.17027839	0.038418826	0.0703774	0.12397079	0.24471144	-0.07386346	-0.04921571	0.032444566	0.005940715	-0.37140608	-0.4644061	-0.057137243	-0.2627377	0.10693198	0.21237497	0.16032276	0.040903464	-0.118699946	0.2630288	0.2681857	-0.04770705	0.100191295	-0.12733765	-0.31106734	0.06709967	0.12272442	0.047073998	0.23231839
3	-0.42622295	0.031238334	-0.020608522	0.063870214	-0.218402	-0.16256073	-0.25455394	-0.0664003	0.042505275	-0.1448963	0.23067726	-0.092294514	0.37923425	0.16614115	0.14578757	-0.026098603	0.024164246	0.25360325	0.15367883	0.06672331	0.16381034	-0.13853066	0.14705685	-0.31199846	-0.010972572	-0.05297801	-0.20242295	0.18819843	0.053724084	-0.03989255	0.19741076	0.104416944
4	0.08253419	-0.05406252	-0.18882851	0.024556382	-0.041284587	0.5115358	0.2557928	0.0053964625	0.24913178	-0.10940519	-0.0595789	0.168829	-0.20972493	-0.2100109	-0.1868828	-0.036016315	-0.35574946	0.07476432	-0.06231666	-0.2184057	-0.0089167915	0.13124101	0.18770623	-0.0862703	-0.100933075	-0.04474344	-0.23516059	0.083325945	0.10237845	0.11568173	0.18394238	0.13758616
5	0.0049103186	-0.16469292	-0.3457016	0.11016384	0.1497096	-0.03574368	0.099998616	-0.10695079	-0.04935489	-0.07178773	-0.007801036	0.039623454	0.30244693	-0.29215828	-0.13047858	-0.013314636	0.17116581	-0.10836459	-0.30654848	-0.28155634	-0.1734477	0.36732405	0.1057934	-0.02567666	-0.29225102	-0.030274488	-0.25458056	-0.09615132	-0.083674155	-0.016594723	-0.1534149	0.10236798
6	0.094183885	-0.064797096	-0.022161666	-0.14756837	-0.14624318	0.12323343	0.059522912	-0.18102363	-0.11072311	0.0021324796	-0.03450562	-0.10754684	0.031585824	-0.25831822	-0.17123136	-0.16493511	-0.16928373	0.26459396	0.12216708	0.014939427	-0.0135071585	0.35219526	0.48482612	0.19517705	-0.3046007	0.09891472	-0.12237595	0.2818747	0.15641984	-0.0724845	-0.06705847	-0.010196718
7	0.13384017	0.07881989	-0.06535243	-0.15526387	-0.14991058	-0.094083965	-0.11951562	0.10978996	0.13503301	0.015353748	-0.10558144	0.05224625	-0.01997675	-0.09956656	-0.18018495	0.09317149	-0.2436708	-0.05760871	0.18625802	0.18114598	-0.03378316	-0.1495247	0.45267624	0.0974875	-0.071382	0.02207344	-0.07387769	-0.03311857	0.51501083	0.06812033	-0.09939735	0.3821182
8	-0.24083076	-0.021713547	0.03668454	0.029443905	-0.24097243	-0.13143075	-0.29147545	0.25461593	0.10495852	0.0953562	-0.114057295	-0.33283722	0.04926656	0.104127616	0.14641657	0.057894964	-0.2870718	-0.00982057	0.2060233	0.10366365	0.1111758	-0.3866223	0.12570235	-0.19683391	0.17622572	0.16613445	-0.026086757	0.018324938	0.08648293	-0.22489698	0.17563407	0.17768382
9	-0.15087922	-0.3474032	-0.20468622	-0.08485578	0.02167494	0.23073381	0.09780272	0.07265324	0.116893224	-0.18914369	0.043795947	-0.0061162165	0.11755177	-0.1942852	-0.22591797	-0.12236501	0.171005	0.11865676	0.11793582	-0.19979805	-0.2579644	0.013195749	0.27962524	0.07999966	-0.1711977	0.19990762	-0.29531088	-0.2919537	-0.14590043	0.18733352	0.08865551	0.12452942
10	-0.301052	0.15303436	-0.048050717	0.103065416	-0.085623235	0.22308835	0.015422847	0.01786838	-0.031999942	0.20756575	-0.11472452	-0.25024542	-0.13882855	-0.27631235	-0.015258646	0.22780105	-0.27189657	-0.053650815	0.19939901	-0.20247579	0.011593574	0.021460995	0.013063199	-0.33116657	-0.13004915	-0.0950904	-0.119013295	0.28806353	0.009866265	0.12082696	0.35636082	-0.12219345
11	0.15260187	-0.13856144	-0.15914659	-0.098650634	-0.109649934	0.036252957	0.07295257	0.16208062	0.16749898	-0.07534851	0.07377202	0.109813236	-0.065296404	-0.14743944	-0.3769381	-0.071697325	-0.29152763	-0.008017107	0.18994334	0.1577726	0.023593627	-0.11146342	0.4370373	0.27354977	-0.13350466	0.022814754	-0.09440443	-0.16683877	0.27329117	-0.043812495	-0.05226026	0.30626696
12	-0.021639792	-0.20261303	-0.16861434	-0.16106705	-0.14305425	0.10501049	0.1372414	0.007589994	0.0870603	0.02407096	0.121097825	-0.091904975	0.06877214	-0.20104901	-0.30296123	-0.17828266	-0.26907855	-0.060181227	0.24257636	-0.025120325	-0.17570533	-0.017568596	0.48217124	0.35372794	-0.23955062	0.14617522	-0.18446782	0.030862719	-0.040832683	0.062170308	-0.10000818	0.013092196
13	0.21731323	0.11713839	0.02700975	-0.0029273287	-0.13639952	-0.2308024	0.1551614	0.17066482	-0.11796061	0.09963032	0.14099887	0.10490462	0.0064759683	-0.1526722	-0.28260443	-0.10826617	0.09214649	0.025162283	0.31038257	0.2476244	0.19995756	0.114877135	0.32318053	0.4707815	-0.21075	-0.061035067	0.1033177	-0.019586192	0.13150601	0.065129176	-0.12914664	-0.011027451
14	0.21120061	0.32356137	0.051581964	0.2935457	-0.3278119	0.2876899	-0.18591459	0.08402093	0.21731828	-0.1996502	0.08431104	-0.014588091	0.09210043	-0.049598645	-0.107638724	-0.03278838	-0.05891061	-0.08517996	-0.08992296	0.21992277	0.16888699	0.14329016	0.2349728	-0.058376662	-0.010751123	0.0025151772	-0.064406425	0.1943744	0.4162578	-0.141419	-0.010583749	-0.04151849
