	dim_0	dim_1	dim_2	dim_3	dim_4	dim_5	dim_6	dim_7	dim_8	dim_9	dim_10	dim_11	dim_12	dim_13	dim_14	dim_15	dim_16	dim_17	dim_18	dim_19	dim_20	dim_21	dim_22	dim_23	dim_24	dim_25	dim_26	dim_27	dim_28	dim_29	dim_30	dim_31	dim_32	dim_33	dim_34	dim_35	dim_36	dim_37	dim_38	dim_39	dim_40	dim_41	dim_42	dim_43	dim_44	dim_45	dim_46	dim_47	dim_48	dim_49	dim_50	dim_51	dim_52	dim_53	dim_54	dim_55	dim_56	dim_57	dim_58	dim_59	dim_60	dim_61	dim_62	dim_63
1	0.39687148	-0.012066022	0.009480512	-0.16194451	-0.22401492	-0.053289328	0.10782724	0.07158799	0.036901787	0.07553723	-0.12398819	-0.070605785	-0.032268688	0.18670446	0.0015237859	-0.14098553	0.16734697	0.008965456	0.26272008	0.039401565	-0.21222337	-0.031338092	0.20452112	-0.08111173	-0.066182025	-0.16154376	-0.05950341	0.1310735	0.08391234	-0.013760932	0.03141733	0.064807855	-0.05563262	-0.034096196	-0.022021398	0.20011903	-0.013141226	-0.044427454	0.03143421	-0.11837215	0.043456845	0.14523472	0.04567698	0.20929435	0.1695529	-0.0030022454	-0.045173768	0.1548597	-0.031738568	0.21917914	-0.010486745	-0.1399315	-0.22604688	0.1075966	-0.0821947	0.12876749	0.047250662	0.15187304	-0.016538277	0.06481361	-0.0030813876	0.06068313	0.15400678	-0.09396538
2	-0.03154495	0.032435436	-0.08616574	-0.15686977	-0.029773608	-0.16044721	0.13898478	-0.07891042	-0.14145237	-0.25147626	0.06302714	-0.20508075	-0.09667451	-0.017590309	0.011046982	-0.16504543	0.067764565	0.10966458	0.031213937	0.159362	-0.15151772	0.13911769	0.06361766	-0.18480234	-0.088603616	-0.06799941	-0.09479592	-0.06598173	-0.004747833	-0.11534396	0.003584016	0.009083512	0.039515823	-0.030809792	0.20580506	0.031695165	-0.06448301	-0.08607184	-0.2795208	0.04097061	0.025541103	0.040597353	0.0301935	-0.1402522	0.094216704	0.1288993	-0.17806333	0.11935028	0.19941433	0.112554625	0.018209396	-0.080232635	-0.24833232	0.13727038	-0.039467625	-0.14328422	0.042210575	0.05400352	-0.06664864	0.038512353	0.39721063	0.08751265	0.085567854	-0.089200124
3	0.1686321	-0.03040919	-0.00065346604	-0.12839893	-0.0029813964	-0.14072846	0.11601793	0.27406237	0.11169447	0.22893664	-0.21759924	0.06440502	0.07429066	0.12077049	-0.029514689	-0.08112458	0.038251977	0.15159728	0.14384577	0.060106136	-0.18851446	0.22339545	0.115833074	0.109063394	0.09478194	-0.091660745	0.20150065	0.10158972	0.12504719	0.07895285	0.07858374	0.029802196	0.0518028	-0.15873873	0.08871221	0.04067923	-0.17465866	-0.15328868	0.13607052	-0.0717843	0.19343685	0.15304875	0.24244112	0.02969666	0.12748219	-0.003080889	-0.035754193	0.07127865	-0.11092698	0.17730185	0.14366011	-0.18347731	-0.01746152	0.0850156	-0.08859172	0.029302446	0.014674197	-0.11196964	-0.10607906	0.02873587	0.1346857	0.07979394	0.11478953	-0.100412145
4	0.090811156	0.040285304	-0.11286484	-0.10415436	-0.18482076	-0.04657767	0.06179965	-0.19484837	-0.087318	-0.054405432	-0.036596548	-0.13967976	-0.09068843	0.209722	0.13324554	-0.08714483	0.06741221	0.07467958	0.20106456	0.11487486	-0.226401	0.02763102	-0.14034255	0.01643531	-0.07701556	-0.22534895	-0.19227803	0.014611111	-0.06064036	-0.14577907	0.07761585	0.0052315095	0.12756827	-0.0865857	0.21141939	0.14937666	-0.16582653	0.022937112	-0.22465211	-0.005839685	-0.18642615	0.18170023	-0.0023009463	0.045749277	0.14556612	-0.08852785	-0.15811345	0.18555689	0.11290681	0.09991721	0.0065223873	0.03250976	-0.137085	0.1265369	-0.19920847	-0.045075603	-0.00829207	0.13304232	-0.012009545	-0.04919703	0.08521587	0.07804122	0.11690118	-0.20854856
5	-0.080797404	0.04998786	-0.11012431	-0.20578627	0.073938504	0.090053365	0.17006473	0.024287794	0.08761296	0.13184296	0.10301553	0.029202387	-0.15792117	0.13434038	-0.09449329	-0.010736359	-0.18088718	-0.07636582	0.024924252	-0.016238721	-0.24878372	0.121337496	-0.16642097	-0.113921806	-0.099509545	-0.088587426	0.010897456	0.13171068	0.08645194	-0.3136951	0.0276415	0.03328384	0.15583354	-0.076563604	-0.09435383	-0.14831066	-0.2997955	0.02363436	-0.2071407	0.25518677	-0.17490564	0.09873115	-0.12759028	-0.17292611	0.110357404	-0.05150561	-0.09725615	0.113357335	-0.028317453	0.056324176	0.054388095	-0.025893446	-0.109837286	0.07680634	-0.12474161	-0.141722	-0.12692842	0.07793148	-0.08972346	-0.08973771	0.009396351	-0.041973904	0.02914822	-0.14068128
6	0.26357585	0.016525172	-0.11623317	-0.010982863	-0.15526077	-0.25193757	-0.13628937	-0.15021363	-0.06306813	0.064393416	0.0514782	-0.09120012	-0.18524514	0.1477807	-0.0072856615	-0.05742809	0.052495345	0.1224708	0.16037515	0.0492115	-0.23378138	-0.043876864	-0.044165984	-0.13634352	-0.08948387	-0.11831772	-0.020321762	0.15471694	-0.1649754	-0.038937956	-0.017938832	-0.031541057	0.11014104	0.06623384	0.21541707	0.10732079	-0.114981905	0.12300854	0.12008783	-0.15003316	-0.060143743	0.12249251	0.08490191	-0.013921297	0.0667237	0.110594794	0.01126464	0.15696828	0.29611632	0.19952093	-0.09322421	-0.0035780387	-0.056971893	0.0828725	-0.09615782	0.07553575	-0.093438305	0.17785318	0.08786739	-0.16651015	0.113415405	-0.000576633	0.10013563	-0.20670886
7	0.29640114	-0.010889483	-0.18304868	-0.15151167	-0.10070014	0.048504427	0.072492965	0.03970107	-0.029850269	-0.18558683	-0.08719912	-0.04038127	-0.08528725	0.13964367	0.007413364	-0.018485365	0.09937969	0.105433226	0.1601504	0.040199563	-0.14359114	0.2644634	0.033016942	0.05967429	0.021717584	-0.10932201	-0.20306718	0.022312567	0.13988574	0.017211862	0.10480488	-0.070103794	0.0065632067	-0.21811111	0.1461629	0.20121574	-0.04951445	-0.045101777	-0.24584456	-0.13532229	0.058662053	0.19154565	0.20493035	-0.06957737	0.1039122	0.12272632	-0.21566479	0.17097127	0.001661786	0.105845936	0.070917144	0.0052381665	-0.18885404	0.0326136	-0.033689924	-0.16675714	0.10729558	0.08976958	-0.017588934	0.06654009	0.12867515	0.0668288	0.10095467	-0.11127246
8	0.142154	-0.017224425	-0.20187017	-0.09844778	-0.024572518	-0.036182076	0.17461406	0.07198703	0.034884818	-0.27547842	-0.13811319	-0.036901094	0.16278057	-0.017269714	-0.17045042	-0.095781386	0.08008513	0.09997589	0.087484464	-0.03150787	-0.11442255	0.31790745	-0.001580153	-0.08753946	-0.09459652	-0.078540064	-0.092043035	0.06696896	0.1501892	0.041436035	0.041697387	-0.06547269	0.1010746	-0.13000397	0.08183755	0.14208542	-0.0043414338	-0.2110111	-0.23160231	0.046091054	-0.12648201	0.16019805	0.14018667	-0.14093651	0.08060445	0.2701005	-0.15475686	0.084830895	0.10906135	0.111783706	0.14945164	-0.15013415	-0.1287384	0.0719824	0.104295984	-0.07731541	-0.01882023	-0.0112520745	-0.030570196	0.107685134	0.08384495	0.12208756	0.08370907	-0.16653709
9	-0.005709018	-0.04029091	-0.06110377	-0.27033165	-0.0087675955	-0.05853116	0.079017356	-0.08462895	-0.03220287	-0.12117135	0.04648737	-0.0861597	-0.11487251	0.08931814	-0.092629746	-0.110561855	-0.03590755	0.030615892	0.025943702	0.08611599	-0.25275525	0.21526015	-0.14194208	-0.30709115	-0.18584555	-0.05210391	-0.111036986	-0.0668945	0.005330874	-0.30676126	0.0030267145	0.099685594	-0.009955273	-0.084029146	-0.073116936	-0.04388536	-0.21314336	0.031538814	-0.25029626	0.17215204	0.029947437	0.042127	-0.06852432	-0.07745604	0.13830422	-0.025914602	-0.08836772	0.15283796	0.13339296	0.02685989	0.11435943	-0.11235688	-0.18527392	0.04828995	-0.17061616	-0.09822622	-0.09234232	-0.027816381	-0.055860586	-0.061024714	0.16624245	-0.018687615	0.0128537165	-0.25061882
10	0.010779383	-0.0871194	-0.13591722	-0.119042665	-0.16650435	-0.16891144	0.13304389	-0.027930126	0.1279171	0.03873296	-0.037838276	-0.02357901	0.03555012	0.15080489	-0.16158338	-0.13993514	0.091838755	-0.023337333	0.20095241	0.22141378	-0.24606512	-0.12511128	0.04941111	-0.0026128679	-0.14333752	-0.10899195	-0.0031580096	0.2612479	-0.051056996	-0.07241763	-0.1655987	-0.0014057205	0.06695344	0.19492033	0.06529681	0.15968569	-0.11280507	0.044766337	0.22986317	0.10548109	-0.0018276942	0.11740888	-0.15153188	0.1737331	0.105490066	0.06288867	-0.023324233	0.1489984	0.1575852	0.2761753	0.014456052	-0.016674208	-0.10579784	0.10918729	-0.15488918	0.055127	-0.017829118	0.030213099	-0.0144157605	0.034574814	-0.16778807	0.09612959	0.12041875	-0.14286882
