	dim_0	dim_1	dim_2	dim_3	dim_4	dim_5	dim_6	dim_7	dim_8	dim_9	dim_10	dim_11	dim_12	dim_13	dim_14	dim_15	dim_16	dim_17	dim_18	dim_19	dim_20	dim_21	dim_22	dim_23	dim_24	dim_25	dim_26	dim_27	dim_28	dim_29	dim_30	dim_31	dim_32	dim_33	dim_34	dim_35	dim_36	dim_37	dim_38	dim_39	dim_40	dim_41	dim_42	dim_43	dim_44	dim_45	dim_46	dim_47	dim_48	dim_49	dim_50	dim_51	dim_52	dim_53	dim_54	dim_55	dim_56	dim_57	dim_58	dim_59	dim_60	dim_61	dim_62	dim_63
1	-0.12715407	0.09684865	0.12588903	-0.12078059	-0.13320634	0.12836342	0.22091982	-0.010007579	0.11962633	0.19720922	-0.08361687	-0.09845252	-0.10609466	0.09053207	0.07122933	-0.19284712	0.0130592575	-0.33666104	-0.09864715	0.08984665	-0.11295363	-0.073403925	-0.05942752	-0.041470245	-0.09350132	0.022062719	-0.09544348	0.22177325	0.066511095	-0.2104957	0.15679991	0.059680823	-0.032491848	0.104469165	0.16590166	-0.27692166	-0.08720509	-0.15775494	0.11723336	-0.09552383	-0.1277347	-0.0711928	-0.046775278	-0.2026444	-0.18868044	-0.05311333	0.013965369	0.106745996	-0.029146105	0.045150533	-0.04528392	0.030692028	-0.025057847	0.18454935	0.094371356	0.0030044087	0.004632274	-0.038909785	0.10552273	-0.07931956	0.036183674	0.19539228	-0.17111714	-0.082295455
2	-0.13787644	0.07096514	0.07657807	-0.15513097	-0.037168186	0.099891074	0.078677125	-0.0750152	0.14815581	-0.11338348	-0.06321919	-0.12355906	-0.19139208	0.0015150069	0.20259547	-0.21270724	-0.069132015	-0.11437612	-0.1667874	0.13923745	-0.06516381	-0.12906028	-0.089217916	-0.14951211	-0.114905626	0.018749997	-0.12828676	0.035947204	0.11953419	-0.22469366	0.06776489	-0.026092805	-0.060242996	0.14433873	0.19751438	-0.33895636	-0.109603435	-0.17769499	0.18461828	-0.079901576	-0.18841216	0.051514182	-0.011251976	-0.017040942	-0.21472023	0.087185666	-0.15936254	0.011068412	-0.031662963	0.044299524	0.058865793	0.06749197	-0.01257085	0.18961628	0.07215816	0.015979227	0.10450796	0.009093629	0.13763474	-0.06832825	0.059277687	0.22222579	0.037896194	-0.08056507
3	-0.06136635	0.09375791	0.25788826	-0.088555835	-0.12021614	0.256732	0.1085211	0.14724064	-0.042616617	0.09517803	-0.07170183	-0.15213452	0.04275527	0.083140105	-0.053224187	-0.16658655	-0.023584161	-0.09021815	0.0515406	0.080560274	0.1226634	-0.037884057	-0.07132824	0.036860198	-0.17224853	-0.08528573	-0.09759988	0.2726288	0.08908242	-0.1787668	0.19721712	0.020712916	-0.042780183	0.10746143	0.111621015	-0.26105532	-0.081026584	-0.11362697	0.09214281	-0.12913993	-0.13449213	0.23644628	0.21197172	-0.09648932	0.06217566	0.016295925	0.16518636	0.07573488	-0.035797942	0.019085098	-0.075647175	-0.053914197	0.064052485	0.1786906	0.100913085	-0.04419963	-0.2173297	-0.03739187	0.060251877	-0.076570064	-0.055093884	0.2030005	0.07366964	-0.098720014
4	-0.09978289	0.08091075	0.15060385	-0.09012522	-0.018891364	0.15239622	0.06976495	0.123953	-0.0036813086	0.08956057	-0.003281456	-0.061611433	0.02859011	0.18081953	-0.12534498	-0.1577729	-0.1389484	-0.006798211	0.06338454	0.064291164	0.055540964	0.0312821	-0.048568297	-0.05804105	-0.047460068	-0.030418431	-0.08710461	0.034328237	0.0927821	-0.12389226	0.338529	0.018387455	-0.024321849	0.08998412	0.09963147	-0.13050896	-0.0981234	-0.07547439	0.07324771	-0.32746875	-0.06821919	0.5288998	-0.12159456	-0.016084138	-0.049835164	-0.038999338	0.02322341	0.26033756	-0.04041529	-0.017549016	0.07503784	-0.0464066	-0.06896971	0.15512979	0.1142574	0.010139606	0.02797082	0.042241327	-0.019605797	-0.07129147	-0.03324071	0.17542428	0.04759664	-0.07468141
5	-0.057599943	0.097716525	-0.029747808	-0.10266396	-0.1682083	0.15133806	-0.38182104	-0.045071043	-0.063554354	0.07839834	-0.111582436	-0.17962724	0.068203144	0.040679537	-0.10816574	-0.006811187	0.027394624	0.13669951	0.19882232	0.12926511	0.008307543	0.0020921668	-0.053219095	0.03898486	-0.18145369	-0.13425803	-0.07668497	0.06694391	-0.017840138	-0.117108285	0.10014976	0.17511553	-0.087961406	0.009246101	0.054650262	-0.2887724	-0.05478655	-0.050211694	0.010650399	-0.046255533	-0.05623953	-0.04503013	0.29201847	-0.0703252	-0.085442275	-0.25270617	-0.036635704	0.100014046	-0.029087678	0.12832047	0.057717077	-0.16435654	-0.17491503	0.027062414	0.07031696	0.11540119	0.052549664	-0.07581082	-0.011527359	-0.055829775	-0.03709053	0.05554681	0.33785746	0.009493033
6	-0.10445446	0.05651828	0.09945588	-0.13420151	-0.18155548	0.10530687	0.11297392	0.05883115	0.11816607	0.24512775	-0.109649755	-0.11277536	-0.026547369	0.16978168	-0.009970578	-0.13883863	-0.028913163	0.0030994033	-0.020441702	0.10079846	-0.014536572	-0.07954251	-0.047689267	-0.0039286446	-0.13672103	-0.07943552	-0.1816633	0.3775765	0.07524685	-0.18838431	0.073410414	0.067658715	-0.02804611	0.02471938	0.075006194	-0.33192232	-0.043055434	-0.099376515	0.06350832	-0.056654725	-0.0595307	-0.13462678	0.101093374	-0.36329943	-0.14463475	0.022297893	0.052354813	0.14764012	-0.07794975	0.11928829	-0.0018667266	0.036054563	-0.15731563	0.15714544	0.071487054	0.10284843	0.011804455	-0.07063938	0.015862873	-0.067826785	0.059787832	0.16528831	0.0074044215	-0.06642197
7	-0.14607911	0.0980757	0.029854853	-0.12071406	-0.048478633	0.10072803	0.12123194	-0.09903813	0.10658727	0.0052132667	-0.070231274	-0.117800936	-0.15315068	-0.07100638	0.13318835	-0.1800266	-0.03917676	-0.27385294	-0.11666617	0.1248382	-0.094201826	-0.18206784	-0.090289734	-0.115398735	-0.11247282	0.001787101	-0.10998914	0.035770178	0.08098034	-0.2202602	0.045702014	0.012586121	-0.07456238	0.12641868	0.20213757	-0.32829568	-0.11701062	-0.18577306	0.16633831	-0.009524993	-0.19451067	-0.09259568	-0.09194708	-0.060268223	-0.2710071	0.07000742	-0.084969975	0.043281436	-0.02095276	-0.029706374	0.016188951	0.009447212	0.012497976	0.19523585	0.09043555	-0.070468254	0.13684644	-0.04368329	0.13437302	-0.06023476	0.041264635	0.1978922	-0.13917892	-0.08629111
8	-0.11651285	0.16146033	0.01788798	-0.07833564	-0.16381662	0.17469002	0.050896462	0.017578553	0.0036826953	0.263514	-0.12583421	-0.16952792	0.0836526	-0.020957705	-0.16333786	-0.17255259	-0.00037988072	-0.19244538	0.14598413	0.10053307	0.014754391	-0.04782293	-0.091320336	0.027508048	-0.114833064	-0.07209368	-0.12816764	0.14083382	0.107010566	-0.19630648	0.14557987	0.14320205	-0.08119272	0.13140535	0.15902635	-0.3002741	-0.10959334	-0.15935458	0.1328656	-0.11062536	-0.15304281	0.07647679	0.03715055	0.12854873	-0.17023756	-0.047880106	0.08400415	0.17807138	-0.08620778	0.033870805	-0.05243406	-0.049340278	-0.0044127563	0.18652289	0.11333628	0.08823099	-0.034445815	-0.13184369	0.12896423	-0.08592436	0.025620459	0.20030464	-0.031589553	-0.10933376
9	-0.13903348	0.1372365	-0.07594236	-0.09835107	0.02396765	0.20616695	0.09510064	-0.11921488	0.12930502	-0.10526474	-0.095348984	-0.15866283	-0.10680317	-0.06904503	0.07365375	-0.22703971	-0.0795311	0.0020355368	-0.09776693	0.07584368	-0.1462973	-0.039958272	-0.120180264	-0.057574727	-0.01909247	-0.042528614	-0.062306713	-0.21094835	0.16863802	-0.15893808	-0.0807581	0.20433716	-0.056551583	0.18167539	0.17591736	0.04905668	-0.12990177	-0.1552194	0.2224951	-0.03534322	-0.18246008	0.12581444	0.110477135	-0.02734131	-0.020122398	0.16415526	-0.17367317	0.019201748	0.019683406	-0.03333557	0.0012654918	0.16656464	0.05232513	0.2890859	0.15564042	0.010993863	-0.068387404	0.01785959	0.18525814	-0.03558454	0.005616878	0.20811689	0.0032945008	-0.15764008
10	-0.1277155	0.12151651	-0.054866783	-0.077955954	0.034361877	0.1731488	0.11785705	-0.09495363	0.1438967	-0.1522527	-0.075539336	-0.11430999	-0.14607354	-0.07135046	0.14530763	-0.22197668	0.010155093	-0.008948653	-0.15838687	0.0448798	-0.15534736	0.017281884	-0.122251816	-0.041111108	0.024747051	-0.018100303	-0.02603868	-0.18377142	0.16889839	-0.12816131	-0.08135213	0.20817639	-0.035204694	0.17991604	0.16295741	0.123591006	-0.12587872	-0.15437485	0.21344371	-0.032534417	-0.16144173	0.10235826	0.14305852	-0.06112429	0.06042263	0.10568108	-0.115189575	-0.060316622	0.019110203	-0.017885052	-0.018002197	0.23596323	0.024760794	0.2626417	0.16055101	0.0608699	-0.17195545	0.041100137	0.21705629	-0.03029375	-0.057346474	0.17168108	0.019583572	-0.15887727
