	dim_0	dim_1	dim_2	dim_3	dim_4	dim_5	dim_6	dim_7	dim_8	dim_9	dim_10	dim_11	dim_12	dim_13	dim_14	dim_15	dim_16	dim_17	dim_18	dim_19	dim_20	dim_21	dim_22	dim_23	dim_24	dim_25	dim_26	dim_27	dim_28	dim_29	dim_30	dim_31	dim_32	dim_33	dim_34	dim_35	dim_36	dim_37	dim_38	dim_39	dim_40	dim_41	dim_42	dim_43	dim_44	dim_45	dim_46	dim_47	dim_48	dim_49	dim_50	dim_51	dim_52	dim_53	dim_54	dim_55	dim_56	dim_57	dim_58	dim_59	dim_60	dim_61	dim_62	dim_63
c020	0.100838535	-0.29802755	0.006992018	-0.07079938	-0.25167373	-0.14918453	0.196398	-0.12928826	-0.18371768	-0.24961479	-0.271804	-0.042530052	0.21354605	-0.22765404	-0.027592648	-0.114310995	0.21301243	0.105204605	-0.010683168	0.23798902	0.17874558	-0.2698393	-0.4695594	-0.012716786	-0.04464527	-0.1291335	-0.25782815	-0.08170989	0.047735207	-0.03516861	0.08385062	0.124861255	-0.15633592	0.08004475	-0.2761009	-0.22458038	-0.025621554	-0.094001815	-0.22461393	0.18794252	0.23352017	0.0627639	0.24815558	-0.32597986	-0.39540634	-0.16895449	-0.0750662	0.017238993	0.084948964	0.087829195	-0.27183408	-0.032207336	0.32462546	0.20206761	0.031626593	0.0027647049	0.10864003	-0.10877713	0.34086883	-0.17937416	0.28435552	0.065091655	-0.027860396	-0.121634744
c021	-0.29797974	-0.3636932	-0.23356993	0.12715393	0.22139381	-0.56584054	0.16603713	0.06375923	-0.35903636	0.28986856	-0.09623204	0.1675455	0.17820969	0.2950955	-0.034174763	0.33653238	0.011653902	0.13758714	0.26305997	0.054276597	0.18418923	0.2825585	0.03751452	-0.2971318	0.24419023	0.23924296	-0.032780204	-0.13243902	-0.124944896	-0.12293937	0.07387715	0.1324323	0.030826317	0.22054406	0.01583791	-0.2356845	-0.20801038	-0.22042811	-0.28426534	0.15913107	-0.10033194	0.036437348	0.1688243	-0.124780916	0.23442054	-0.15620123	0.0054969746	0.087095514	-0.033069015	0.19174032	0.089198075	0.42314273	-0.2425169	-0.429806	0.035416063	0.08297549	-0.11695886	0.06515154	-0.08935259	0.07763951	0.18541437	-0.41372874	0.12755787	0.10528354
c022	-0.13246053	-0.27045524	-0.18735987	-0.18660612	-0.30478358	0.03299653	0.0977872	-0.1562951	0.024219327	0.09297897	0.03725154	-0.07110399	0.043841105	0.16874114	-0.15703492	-0.04015216	0.34752446	0.14364864	0.16381735	-0.0969685	0.1663418	-0.2390688	-0.11211389	-0.122385144	-0.07846321	-0.16525522	-0.08991404	-0.07760955	0.008412932	-0.25231144	0.23604305	-0.046614893	0.25439423	0.2206077	0.082430914	-0.22167522	-0.054786038	-0.26195794	-0.1851433	0.019078033	-0.13051021	-0.08457034	0.36255056	-0.053628415	0.06333006	-0.1238226	0.119227506	-0.020069944	-0.121431015	-0.0033406878	-0.2254756	-0.10771361	0.24923496	-0.02787272	0.29812506	0.04399307	-0.2244363	-0.12418355	0.15252642	-0.1531671	0.2629008	0.24666347	0.007618489	-0.09766837
c028	-0.12281824	-0.0907266	0.35918486	-0.06788478	0.05455688	-0.1629638	0.33510038	-0.12709287	0.35643858	-0.03103479	-0.08149032	0.077493005	-0.028783083	-0.08673421	-0.20682137	0.22350672	-0.025750218	-0.2887861	0.13359393	0.15764713	-0.073045686	-0.13219453	-0.15955842	0.0329902	0.09561244	0.03347168	-0.1611895	-0.18843809	0.1290442	0.033216473	-0.1096629	-0.18515912	0.14148849	0.2495813	-0.26762086	0.053724192	0.46722287	-0.24849121	-0.2846663	0.28679293	-0.13790745	-0.3766077	-0.046399754	-0.21634072	0.09170043	0.17087883	0.028454408	-0.03391964	0.21101327	-0.30697423	-0.15994634	-0.11707397	0.10853811	-0.1482244	0.22944938	-0.161814	-0.40118787	-0.030064652	0.12271806	0.15327741	0.05943931	0.07215484	-0.056072496	0.011422032
c029	-0.05562712	-0.37438312	0.22344463	-0.13970108	-0.019231802	-0.2514293	0.1818383	-0.28390133	0.2032983	-0.25507548	-0.23269694	0.2232765	0.26403272	-0.15707609	0.16204925	0.15506023	0.01666227	-0.18879151	0.33664966	0.18823513	-0.11932849	-0.02734131	-0.2237123	0.03588187	0.044314295	0.024401315	-0.060246054	-0.20040797	0.10060574	-0.21900104	0.12388735	-0.16694273	0.2815229	0.17594725	-0.036749836	0.11506383	0.14322285	-0.27402318	-0.0017268341	0.1852507	0.03129171	-0.24766205	0.017644158	-0.1349769	-0.02130886	-0.04574919	0.13844015	-0.28332525	-0.119300276	-0.011576081	0.038197942	-0.08552146	0.13710779	-0.034431357	0.24121346	0.16043489	-0.14087021	0.04140964	0.22585864	-0.08508889	0.34256053	-0.08212562	-0.15253438	-0.12570418
c048	-0.40542543	0.091005564	-0.01814096	-0.13323991	-0.059838537	0.07576324	0.21424013	0.114218056	-0.04465517	-0.32505706	0.0356147	0.06104414	-0.14045796	-0.00570742	-0.32206506	0.0075553604	0.020109953	0.0096610505	0.0099486355	0.011808653	0.17551914	0.15302876	-0.31395236	0.17237702	0.19093017	0.06487799	0.02286849	-0.41500634	0.1575034	-0.13704513	-0.04484909	-0.14562784	0.08926308	0.18634881	-0.103235334	0.22454703	0.0772229	-0.07544455	-0.14022624	0.06937763	0.04319977	0.109726794	0.020836372	0.011540822	0.013473356	-0.14003856	-0.055307653	-0.17284988	-0.2507737	-0.16524948	-0.35470772	-0.23402324	0.17727755	-0.15645546	-0.010309303	-0.085698575	-0.23059963	0.011677903	0.096636906	0.13111454	0.104074284	-0.17133671	0.07842814	-0.10976869
c051	0.025628561	-0.034913417	0.2574902	0.013522907	0.10087075	-0.25788346	0.26170972	-0.22492594	0.122496925	-0.2711249	-0.14149155	-0.07219683	-0.047881268	-0.31145585	-0.35677114	0.03758047	-0.20440955	0.32576916	0.09483222	0.0676794	0.16837771	0.11212624	-0.040145896	0.015071373	0.25425577	-0.1464009	0.22924769	0.016806388	0.16794445	-0.3452826	0.021027448	0.18740201	0.21030605	0.42222765	-0.31009337	-0.21817985	0.13746522	-0.33521724	0.085713215	0.064941466	-0.1517216	-0.14429677	0.100090526	-0.065400206	-0.18400717	0.12314604	-0.20623781	0.038678817	0.36390042	0.19651878	-0.062869646	-0.09939576	0.32383147	-0.2040414	0.47170013	0.09687886	-0.21355042	-0.13786629	-0.45166856	-0.049134422	-0.09216384	-0.344068	-0.2953023	-0.11936126
c052	-0.012495475	-0.26369855	-0.12565377	-0.11262315	-0.14268301	-0.01971115	0.1465936	-0.20953518	0.08146962	-0.2435096	0.082554296	-0.14850393	0.3648535	-0.04772913	-0.32444605	0.19551128	-0.0437074	-0.106616125	-0.02867041	-0.13358118	0.06968503	0.06489574	-0.26809287	-0.17024642	-0.009278647	0.034113675	0.010595222	0.046377447	-0.035957616	0.21102014	0.2713774	0.21288347	-0.16377026	0.36104846	-0.08235903	0.0048648226	-0.18591222	-0.35591027	-0.19950287	-0.08212719	0.25874716	-0.4243134	0.14276287	-0.25414014	-0.3872	0.34196463	-0.15281425	-0.27680403	0.20816527	-0.0438887	-0.28181848	0.25447562	0.19345716	0.21216473	0.1895844	0.26125076	0.19396019	0.1995416	-0.12866753	0.08356375	-0.018703213	-0.010674396	0.0024455953	-0.10985619
c058	-0.12636073	0.03931758	0.2468304	0.3049451	0.16113567	-0.04014529	-0.013235474	-0.28299662	0.028438056	-0.30023637	-0.025975924	0.34472996	0.036082946	-0.14084439	-0.15119931	0.17651702	0.04389522	0.2698535	-0.083348244	0.2519632	0.079009965	0.05818086	-0.16837667	0.08592558	0.18776459	-0.067676	0.33410475	-0.17187613	-0.26618493	-0.12670809	0.088451914	0.043969534	0.12620415	0.27488405	-0.28079218	-0.043419715	-0.12092126	-0.08013974	-0.077858396	0.3434119	0.027960593	-0.16847983	0.13805267	0.05807561	-0.18617809	-0.16731088	0.002099492	-0.21284355	-0.043882445	0.20959502	-0.3912775	-0.042075362	-0.1428918	-0.0542701	0.1637932	0.06960952	-0.06808606	0.13796528	-0.31172666	-0.038068004	-0.23292737	0.041251116	-0.106413364	0.081031814
c068	0.045844305	0.15590365	0.16393742	-0.29363212	-0.24288967	-0.23016508	0.2511925	-0.24066663	0.24755573	-0.06847793	-0.15342918	0.086306795	-0.43521392	0.09390053	0.04213712	-0.15816444	-0.21568094	0.21831156	0.46377328	-0.0032259156	0.11232883	-0.10649446	-0.2738304	-0.028259834	-0.20713966	-0.10444748	-0.030110657	-0.065987706	-0.026630314	-0.075374484	-0.05804156	0.18380721	-0.064493015	0.10442243	-0.06125419	0.046538673	0.006208853	-0.021263245	-0.057772372	0.26741543	-0.038095083	0.035511695	0.08302016	-0.32897902	0.1220576	-0.020085001	-0.043323774	-0.15224774	-0.044986755	-0.26093587	-0.21796751	-0.46890098	0.17002335	-0.07933831	0.16772704	-0.1447645	-0.31415638	-0.31513232	0.09146657	0.22731727	-0.16982883	0.14519684	-0.061044	-0.04034211
