	dim_0	dim_1	dim_2	dim_3	dim_4	dim_5	dim_6	dim_7	dim_8	dim_9	dim_10	dim_11	dim_12	dim_13	dim_14	dim_15	dim_16	dim_17	dim_18	dim_19	dim_20	dim_21	dim_22	dim_23	dim_24	dim_25	dim_26	dim_27	dim_28	dim_29	dim_30	dim_31
Leukocytes [#/volume] in Blood	0.20482786	-0.14037552	-0.0576978	-0.32948834	-0.100366	-0.18492913	0.11585511	0.14569621	0.1091622	0.250139	-0.32773688	-0.2697564	0.16681741	0.33685964	0.21773916	-0.25454795	0.010532219	-0.29579812	0.2807399	0.17749394	-0.055319678	0.39576527	-0.04232756	-0.24223927	0.28019768	0.0925785	-0.1815245	0.07281463	-0.02213246	0.12407195	0.19073264	-0.13756408
Hemoglobin [Mass/volume] in Blood	0.23707844	0.5786295	-0.016187161	-0.4588747	-0.04088113	0.04271876	0.12660812	-0.1519597	-0.14952128	0.746932	-0.3228538	-0.3843366	0.2545288	0.11664902	-0.28571343	0.0025403977	-0.34160468	-0.22169635	-0.12486032	-0.6168438	0.24354334	0.31331426	0.027710777	0.19177793	0.21610636	-0.14666697	-0.16569896	-0.23179032	-0.15819107	-0.074221835	0.18474798	-0.22858258
Platelets [#/volume] in Blood	-0.21428505	-0.47400805	-0.39561602	0.011587395	0.17589688	-0.20569575	-0.070865154	-0.07706729	-0.21258025	0.30569023	-0.3631938	0.1577762	-0.30570477	-0.22801735	0.17668591	-0.14223108	0.0024139122	0.13157411	0.048536982	0.29319814	-0.20458156	0.27250394	0.26782024	-0.041294716	-0.10340398	0.38496396	0.08577362	-0.010167612	-0.096106805	-0.54467493	0.08377754	-0.3116784
Erythrocytes [#/volume] in Blood	0.1504247	-0.09740998	-0.11334698	0.27741465	-0.14506058	0.29386672	-0.22996582	0.35566583	0.16898419	-0.062556125	-0.18755397	0.20846628	0.28286242	0.1994631	-0.01165072	0.49523333	0.07167608	-0.1284279	0.014367695	-0.11320394	-0.09603369	-0.1920641	0.3366764	0.004315662	0.3384808	0.30380684	-0.17975636	0.049328946	0.36349246	0.026740983	-0.04102755	0.28687367
Hematocrit [Volume Fraction] of Blood	0.3511006	-0.5567911	0.3938887	0.1346537	-0.148096	-0.3513121	0.507922	0.28208542	-0.69316953	0.19775587	-0.18198834	0.1707313	0.03956194	0.03135974	-0.31414482	0.16854513	-0.12622115	-0.4158401	0.08965254	-0.25676465	0.19317296	0.08894081	-0.29728386	-0.046782646	0.2714512	0.04061101	0.32945338	0.21167429	-0.23198406	0.24072814	0.52020293	-0.26200154
Erythrocyte mean corpuscular hemoglobin [Entitic mass]	-0.19962776	-0.101387165	-0.2403434	0.03446698	0.053327054	-0.1395304	-0.022355761	0.2014523	-0.5418533	0.33164614	0.12783276	-0.15541409	0.1838155	0.11777635	-0.18634959	0.081202276	0.20091051	0.0134429885	0.082933664	-0.2702348	-0.17824244	0.17178121	-0.084461235	0.13120033	0.16102561	-0.2478095	-0.026777422	-0.33629274	-0.044247076	0.121223904	-0.4184547	0.24860519
Erythrocyte mean corpuscular volume [Entitic volume]	0.1489399	-0.29872838	-0.3805634	0.24728125	0.10658842	-0.19721973	-0.14371584	-0.40380576	-0.08689129	-0.18599729	0.044613265	0.2614998	-0.17147067	0.10584222	-0.047647372	-0.19696867	-0.017962873	0.13782042	0.25571945	0.035187	-0.3215849	0.30113307	-0.1301652	-0.3684825	0.4223656	0.042463563	-0.45025027	0.26108834	-0.16293281	-0.04048925	-0.43206832	0.16295613
Erythrocyte mean corpuscular hemoglobin concentration [Mass/volume]	0.0068933535	0.32129604	0.57754934	0.036637723	0.32163182	0.16286601	-0.16880558	0.046674218	-0.22929275	-0.19380873	0.2518389	-0.12159729	-0.18820067	0.31812552	0.21574098	-0.097966686	0.3329774	-0.07383116	0.34911078	-0.31906277	0.28488085	0.20939606	0.10471589	-0.31096086	0.040825903	0.119014665	-0.029416524	0.008902961	0.3755692	0.12311702	0.26562282	0.24234386
Erythrocyte distribution width [Ratio]	0.053640343	0.33096102	-0.1739632	-0.27351093	0.12005238	0.113917165	-0.16183123	0.17920351	-0.0031596706	-0.112492375	-0.2428143	-0.026982466	0.14506425	-0.06232657	0.013496352	-0.06738305	-0.19204238	0.10192802	-0.36149555	-0.17900383	-0.3379559	0.33264574	0.120473385	-0.23415804	0.34356925	-0.016275547	0.17743443	-0.12724993	0.0346586	-0.060219757	0.16995546	-0.19689578
Platelet mean volume [Entitic volume] in Blood	-0.011885465	0.38870952	-0.08677868	-0.16032809	-0.08241052	0.35909048	0.32291022	0.2592392	0.09093415	-0.25107875	-0.0008890079	0.14461577	-0.0076396125	0.37743777	0.038743105	-0.07176498	-0.21614705	-0.035460718	-0.29564455	-0.1566646	0.14105855	-0.04647223	0.15542845	-0.31299964	0.06888699	0.2858351	-0.18793058	0.07255628	0.5632172	0.16097274	-0.45415467	0.33395872
Granulocytes [#/volume] in Blood	0.16498034	0.062154703	0.27957729	-0.6417738	-0.15383025	-0.046419475	-0.088437736	-0.42415592	-0.26386115	0.33985892	-0.22046243	-0.14432633	0.21656834	0.051717132	-0.2692132	0.11489786	-0.0076124505	-0.044893444	-0.018331222	-0.45054895	0.2919349	-0.02094632	0.20600307	-0.16160654	0.1652961	0.12004191	-0.07965124	-0.1835146	-0.27652463	0.34311113	0.2994695	-0.39666465
Eosinophils [#/volume] in Blood	-0.27144882	0.16748564	-0.17244239	-0.41058344	-0.22939089	0.23504348	-0.3516618	-0.1584783	-0.31765234	-0.0029720755	0.2463188	-0.10043618	-0.11240377	0.21965627	-0.2922388	0.3301625	0.17889746	-0.31021065	-0.21774018	-0.07993881	0.059579115	0.51219714	0.2898209	0.15360354	0.18619347	-0.32882497	-0.20905244	-0.042485207	0.12191332	-0.31171963	0.18126382	0.14281568
Basophils [#/volume] in Blood	0.15875782	0.1249249	-0.061412293	-0.22538957	-0.16372873	-0.18872166	0.13109672	-0.17555273	-0.31372538	0.14641875	-0.15009865	0.037823733	-0.18759917	-0.09691076	0.10760767	0.1729004	-0.038575754	0.089749165	0.32766265	0.136985	0.109277695	-0.20816787	0.15823734	0.161969	0.15129152	0.4111064	0.11288098	-0.18935582	0.07728618	0.015771661	-0.2992054	-0.2654553
