Sample ID,dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15,dim_16,dim_17,dim_18,dim_19,dim_20,dim_21,dim_22,dim_23,dim_24,dim_25,dim_26,dim_27,dim_28,dim_29,dim_30,dim_31
TCGA-05-4244-01,15.529378,2.1630445,2.528482,1.4344993,1.7092558,2.5626252,9.370042,7.3827314,8.484883,3.4875448,5.97287,2.050511,3.8227549,5.6097784,6.9571366,4.8102236,4.5918527,10.324269,5.949826,2.931008,5.811059,7.307995,6.0016847,4.6396227,4.014585,3.80107,6.540322,7.8695917,0.4964916,5.871913,7.7192097,3.9106774
TCGA-05-4249-01,15.447172,1.9849114,2.5072803,1.3655504,1.831126,2.587735,9.412606,7.4088097,8.48777,3.4758,6.0201993,1.986157,3.864136,5.5881934,6.9470663,4.8180656,4.6968336,10.28007,5.9621778,2.921467,5.7845016,7.2772264,6.0054116,4.57565,4.0472927,3.7164443,6.4984965,7.824027,0.65211767,5.783271,7.67005,4.015477
TCGA-05-4250-01,15.5761175,1.7120725,2.5917325,1.151189,1.8147547,2.6786723,9.435698,7.562653,8.602878,3.536307,5.894783,1.9032874,3.8047519,5.6190395,7.037319,4.83458,4.7002926,10.228311,5.8801303,2.7871637,5.98496,7.1588993,6.2747574,4.7491155,4.11935,3.638998,6.39841,7.9179254,0.47772235,5.8283343,7.66608,3.8931477
TCGA-05-4382-01,15.511171,2.2451248,2.5568736,1.500221,1.7474931,2.5386753,9.504489,7.3322325,8.38019,3.6786623,6.106294,2.1574132,3.9930203,5.577369,7.062585,4.8077035,4.619744,10.301603,6.022014,2.9300897,5.7742434,7.2816334,5.9901633,4.705569,3.8708608,3.812968,6.576691,7.870093,0.80363643,5.8515773,7.636153,3.9003386
TCGA-05-4384-01,15.708783,1.6673523,2.634567,1.0909086,1.8240912,2.7877893,9.474812,7.792567,8.576317,3.6130776,5.7677875,1.8413913,3.9086456,5.5270023,7.044234,4.783525,4.6155634,10.167595,5.7292542,2.725284,6.2626877,7.0513606,6.5950074,5.026071,4.1842556,3.6361632,6.367111,7.9700403,0.23337615,6.072539,7.802566,3.775812
TCGA-05-4389-01,15.553804,2.415187,2.5674257,1.5825484,1.7008485,2.5357535,9.511784,7.345172,8.309672,3.7251434,6.110508,2.2226713,4.0508323,5.5600667,7.0606294,4.7775173,4.5439243,10.3156595,6.004319,2.9535022,5.819726,7.283995,6.0191417,4.789746,3.824476,3.8746347,6.611508,7.8884883,0.7551439,5.950829,7.690436,3.838757
TCGA-05-4390-01,15.393874,2.2026358,2.5633504,1.6203682,1.9404452,2.5133255,9.515271,7.236938,8.216488,3.5904942,6.084192,2.2973154,3.958083,5.5353093,7.036674,4.728222,4.668767,10.231154,6.0163927,2.9518404,5.7901177,7.282139,6.0403767,4.708573,3.9156477,3.8949363,6.6022744,7.856142,0.8586069,5.9419336,7.630103,3.992668
TCGA-05-4395-01,15.487146,2.300551,2.5729654,1.6046202,1.7671868,2.5001378,9.554103,7.230995,8.309017,3.6988068,6.0958176,2.2912655,3.9791534,5.53224,7.1310024,4.763116,4.6404676,10.268698,6.0351624,2.927587,5.779164,7.2797437,6.0041275,4.7687764,3.832382,3.8926141,6.6583195,7.8987474,0.84535915,5.941648,7.6005583,3.9082305
TCGA-05-4396-01,15.625197,1.5813173,2.6162288,1.1049777,1.8973424,2.7679567,9.490057,7.752644,8.541631,3.584356,5.8311253,1.8352505,3.9335804,5.51252,7.034408,4.810428,4.6857176,10.162493,5.782038,2.739142,6.1735654,7.0757203,6.5036435,4.9296193,4.1660776,3.6180575,6.343418,7.93584,0.39451435,5.9816527,7.746504,3.8514335
TCGA-05-4397-01,15.633803,1.6272378,2.6164126,1.1357949,1.9058145,2.7734363,9.486716,7.781636,8.496543,3.6005034,5.8267207,1.8602434,3.951888,5.501162,7.0196867,4.80405,4.655018,10.172585,5.7679396,2.738932,6.2017756,7.079789,6.5277605,4.9697924,4.153591,3.6468732,6.3468566,7.9444494,0.37286127,6.0266848,7.776293,3.8219335
