	dim_0	dim_1	dim_2	dim_3	dim_4	dim_5	dim_6	dim_7	dim_8	dim_9	dim_10	dim_11	dim_12	dim_13	dim_14	dim_15	dim_16	dim_17	dim_18	dim_19	dim_20	dim_21	dim_22	dim_23	dim_24	dim_25	dim_26	dim_27	dim_28	dim_29	dim_30	dim_31
bin_0	-0.16262996	-0.24165857	-0.016450128	-0.22796203	0.0008530814	-0.19727945	-0.11084746	-0.18587598	-0.08433517	0.065251775	0.1663468	-0.10050265	0.089237206	0.05076111	0.24460292	-0.23712033	0.2266586	0.114581876	0.104500666	-0.27850583	-0.078982435	0.28555036	-0.045807604	-0.09097275	-0.29362166	-0.17485432	-0.132898	-0.29766542	0.11349705	-0.30482203	-0.14470385	0.022078168
bin_1	0.7253462	-0.6337787	0.3333063	-0.091059215	0.288373	0.13680968	1.3595121	-0.8643542	-0.035981912	0.82622707	0.6523756	0.25071806	-0.24990511	-1.5519238	0.058444668	-0.4480952	0.44934335	-0.14072414	-1.0602067	0.1582432	-0.8187957	1.9875878	-0.015230004	0.3384913	0.14710209	-0.5908885	-0.6968757	0.23211162	-0.20086056	-0.74784493	-1.9791808	0.04418682
bin_2	0.5134828	0.64437294	0.30172983	-0.19299662	-0.314515	0.7321851	-0.3257682	0.9916861	-0.15228772	0.9393112	0.53159976	-0.037181266	-0.26162565	-0.62428665	0.2670935	-0.24200833	-0.8140016	-0.10961154	0.68024635	-0.013009516	0.9950374	0.96617234	-0.020206282	0.09223711	-0.43525413	-0.32828668	-0.23522796	0.3445868	0.22250219	-0.2253592	0.23641317	0.22553119
bin_3	-0.34796962	0.47964537	0.47373417	-0.38739747	-0.08258025	-0.19317834	0.0766384	0.60336614	-0.031013587	0.031444658	1.1968393	-0.57975394	-0.07924525	-0.43902928	0.7016053	0.4224	-0.26905596	0.4156386	0.57445204	-0.118496954	0.59651875	0.62861085	-0.1743261	-0.5583355	-0.39691353	0.16506137	-0.086220026	-0.12822033	0.5930108	-0.1397701	-0.28158665	-0.26271418
bin_4	-0.12829782	0.27239147	-0.25812662	-0.28227243	0.51578873	-0.17600547	-0.40788624	-0.8466337	-0.18285541	-0.07366933	0.3297233	-0.0756003	0.37880078	-0.33779532	0.14457637	0.34109876	-0.023786083	0.049550876	0.15938233	-0.26452342	0.13669303	0.45085052	-0.33412874	-0.20225434	-0.38872877	-0.33494043	-0.61510223	-0.2920578	0.4193569	-0.2440921	-0.28371418	0.4411798
bin_5	0.108889095	0.039925497	0.12554641	0.04316193	-0.2984625	0.6133387	-0.14890885	0.4537577	-0.20324276	0.087999195	-0.11097084	-0.013750673	-0.47252303	0.32861704	0.7342073	0.017571693	0.119813666	-0.3707571	-0.34535813	0.05004297	0.21935576	0.07697048	0.3769462	0.45525458	0.27110514	0.011794613	0.051492345	0.35784948	0.41159236	-0.02131165	0.1738533	-0.19475245
bin_6	-0.13559411	0.68466663	-0.24193868	-0.33219036	-0.05568948	0.35335827	0.07291508	0.31038785	-0.013021708	0.24590524	-0.13460894	0.53531885	-0.45791584	0.12039821	0.3798676	-0.71426934	0.11739966	0.0009042139	-0.056269526	0.30131784	0.2163244	-0.17459995	0.43810523	-0.034525942	0.06272075	0.14720234	-0.24279515	0.051538162	0.21740161	-0.2441084	0.3744682	0.06368276
bin_7	-0.27184492	0.22806053	0.076036654	-0.13756843	-0.05066536	-0.105135776	-0.20699657	0.22766063	0.3000345	-0.19989118	-0.098534755	0.40312082	0.09981244	0.113149285	-0.11986342	-0.6018387	-0.22823043	0.12276839	0.30027524	-0.030547284	-0.037894405	-0.371763	0.1478085	-0.011515868	0.053746242	0.13308904	-0.062183518	0.29692712	-0.25814846	-0.21402177	0.23144832	0.13520493
bin_8	-0.06533083	0.008286928	-0.050389905	-0.018612638	0.23251791	0.24688183	-0.11645165	-0.09133233	-0.04983211	0.23907785	-0.033962533	0.23316443	-0.01531707	-0.13725643	0.67046654	-0.07306982	-0.40656942	0.10247807	-0.18472551	-0.058554117	-0.077600695	0.1243062	0.2577733	0.7071186	0.0022891702	-0.10894551	0.15600242	0.3194554	0.08318632	0.10743143	0.14606228	0.17809361
bin_9	0.21542473	-0.12867785	0.18773717	-0.38130933	-0.1529938	-0.010917261	-0.069822125	-0.23905253	0.20999706	-0.26550335	0.4721464	-0.18994278	-0.22990863	-0.032505695	-0.32850635	0.00037003527	-0.13227198	-0.039044943	-0.13392517	-0.16872433	0.042104527	-0.22946383	0.07937453	-0.6167206	0.047322765	-0.26706865	-0.09292599	0.10325201	-0.16587953	-0.10301761	0.15177917	0.11179634
bin_10	-0.08631044	0.8189174	-0.3054372	-0.2527868	0.101855725	0.18801385	-0.19483767	0.06391929	-0.19354779	0.04708246	1.525484	-0.12233738	-0.021786733	-0.24545895	-0.20293085	-0.69259375	-0.23109436	0.0795004	-0.08599419	-0.3210938	0.32296124	0.074444264	0.18152705	0.0016906002	0.2510761	-0.1326748	-0.048931655	0.20300141	0.24054654	0.03394681	-0.13899578	-0.40395254
bin_11	0.10980738	0.20590468	-0.06618494	0.11682582	0.1500243	-0.39541677	-0.29274473	0.11753975	0.15730424	0.47772443	1.1079862	0.00969141	0.12535277	-0.04694846	0.24679966	0.2523083	0.3119061	0.45366186	0.032438286	-0.18294956	-0.090896696	0.04801783	-0.13401859	-0.25127238	-0.026443673	-0.3175482	-0.08097596	-0.24648117	-0.18669921	-0.32041016	-0.30621383	0.06191033
bin_12	0.22068109	0.5839572	0.18920654	-0.010617418	-0.29201558	0.2856623	0.25472906	0.5197335	-0.41981265	0.589045	0.99497634	0.38339168	-0.9297239	-0.21484327	0.1289491	-0.8016791	-0.071358755	-0.1684344	0.19072734	-0.5224791	0.6870463	0.9334378	-0.108567394	0.0590296	0.36414635	-0.3766236	-0.1773417	0.2608634	0.24177255	-0.56736064	-0.066413455	0.06305562
bin_13	-0.57548344	-0.53990966	-0.8839996	-0.32283133	0.59538674	1.0037749	0.2577699	-0.8675283	-0.58313423	0.1362544	-0.39686662	1.043285	0.27291733	0.29275528	-0.10428453	-0.16989212	-0.33329132	-0.56209195	0.8917228	0.05378515	-0.7099467	0.5166069	0.76512015	-0.17447667	-1.0301142	0.3623715	-0.77506024	-0.2767014	0.35166377	0.38843054	-0.7414782	1.0750742
bin_14	-0.45399198	0.23477904	-0.43985617	-0.31614476	0.4047749	0.2783341	0.27632836	-0.363842	-0.28469694	-0.47895542	0.009548456	1.0315013	0.28252402	0.50953925	0.5598824	0.3225475	-0.18930458	-0.45918623	0.3252513	-0.97256845	-0.12304709	0.2137647	0.1822832	0.030842815	-0.41190764	-0.049797315	-0.22783135	-0.346202	1.1161623	-0.10768722	-0.4797764	0.8598612
