	dim_0	dim_1	dim_2	dim_3	dim_4	dim_5	dim_6	dim_7	dim_8	dim_9	dim_10	dim_11	dim_12	dim_13	dim_14	dim_15	dim_16	dim_17	dim_18	dim_19	dim_20	dim_21	dim_22	dim_23	dim_24	dim_25	dim_26	dim_27	dim_28	dim_29	dim_30	dim_31
bin_0	0.10695267	-0.09827036	0.21032184	-0.04533856	-0.25461665	-0.08466935	-0.17202497	0.22848238	-0.101648115	-0.17426392	-0.013228777	0.15085842	-0.11024282	-0.19372281	-0.16374008	0.25994626	-0.1901636	-0.074917056	0.21438417	0.15193306	0.005303071	0.1025936	0.21943824	-0.06372592	-0.27517238	0.25599438	0.1158893	-0.22739904	-0.272774	0.26782644	-0.15842412	0.14108236
bin_1	0.045897756	-0.12678503	-0.30170742	-0.01919855	-0.15493102	-0.20268333	-0.00022144247	-0.10244187	-0.00091173453	-0.22142567	0.28017426	-0.03665825	0.015850635	0.22721446	-0.2877576	-0.16155982	-0.12114632	-0.14070794	-0.14086474	-0.28294143	0.078721024	0.036210597	0.0744139	-0.2956444	-0.04991504	-0.3157712	-0.042084746	-0.30972457	0.21979733	-0.20028785	-0.012662497	-0.0432921
bin_2	-0.24134037	-0.09689449	-0.26030612	-0.23174226	0.11836947	-0.19117235	0.07582984	0.1953002	0.06133466	0.26110923	-0.11820845	0.27205378	0.22030759	-0.14640364	-0.14416757	-0.10580639	-0.26739538	-0.20945114	-0.16307023	0.0075012804	-0.15097423	0.25999552	0.06689426	0.26865232	0.13086423	0.008543005	0.121386856	0.20545702	0.070292525	-0.20895544	0.14801742	-0.029332558
bin_3	0.24717782	-0.0068279384	-0.21373639	-0.27852824	0.049445096	-0.2117029	-0.2129545	0.29678375	0.15035492	-0.20691875	-0.053000916	0.036378667	-0.17992638	-0.0005173148	0.25199515	-0.15515992	-0.16595162	0.26845345	-0.09021466	-0.09321988	-0.27895758	0.077768065	-0.013202128	-0.17963019	-0.15599242	-0.14959373	0.10819267	-0.2521382	0.047981624	-0.14420973	-0.20451945	0.16042876
bin_4	-0.29250664	-0.12896861	-0.2151019	-0.12101482	-0.01102259	0.055931907	-0.22106074	0.14017418	0.27993748	-0.1265514	-0.1078951	-0.040387645	0.12374181	0.031562723	0.04707711	0.11287761	-0.24174559	-0.23120216	-0.1580432	-0.0854355	-0.22034818	-0.13834308	0.22424893	-0.20403954	-0.065818705	0.29449576	0.16093042	-0.23195782	-0.052457985	-0.10303297	-0.2820398	0.24237873
bin_5	-0.06549317	0.18402964	-0.029724535	-0.3183665	0.15240248	0.17841819	0.07849943	-0.09999436	0.2853958	-0.08736889	-0.14158303	-0.29557025	-0.26510796	0.05466649	0.2778139	0.06951422	0.03014205	-0.21385115	-0.022119388	0.1728916	0.0099127	0.17756888	0.14387904	-0.08492221	-0.10404047	0.087226555	-0.010796418	-0.29172447	-0.2267377	0.23477286	0.15585949	-0.25606778
bin_6	-0.21490555	0.0073829875	-0.044430424	0.057923283	-0.2029098	0.29027063	0.1909578	-0.17864788	-0.16464488	-0.23648056	0.27652258	-0.14230457	0.103828765	0.29343176	-0.08586531	0.057044826	0.009121341	0.101141006	-0.07652692	0.07017931	0.0007003516	-0.11540479	-0.202606	0.2843086	-0.1483973	-0.16777752	-0.332752	-0.094445094	0.15487608	-0.01277453	-0.27040723	-0.20973426
bin_7	0.0990004	-0.123776756	0.0099630235	0.26967314	-0.09366017	-0.14386773	0.068836756	0.24470325	0.20817792	0.070625365	0.2047651	-0.26826912	0.2600842	0.032654274	0.1694633	0.2630609	-0.15937579	-0.11232559	-0.087638326	0.062506825	-0.10525243	0.2509663	0.22448769	0.019142985	-0.22948456	0.07900109	-0.20349179	0.033592936	0.24392414	-0.16985744	0.20102313	0.27291748
bin_8	0.19762008	0.16720495	0.27326366	-0.20640804	-0.1274755	-0.24397828	0.038701337	-0.27220428	-0.13419816	0.2751284	0.28892452	0.16713867	-0.051592585	0.09226073	-0.09430437	0.02451165	-0.26152283	-0.24081673	0.123815544	-0.16559437	-0.16425224	0.11664036	0.091462426	0.032356814	0.050273225	-0.14046277	0.24644308	-0.09956113	0.13349955	-0.21696313	-0.034649283	-0.24581201
bin_9	-0.14617123	0.090826094	-0.089727655	0.2691092	-0.26538888	0.27004883	-0.18175669	-0.25341195	0.11310172	-0.038010754	0.2754063	-0.1640311	-0.013107795	-0.1208984	0.14281656	0.0645407	0.27573013	-0.17786701	-0.006265709	-0.23600201	-0.13647306	-0.27308622	0.037848063	0.056216042	-0.08098808	0.19765842	-0.060987875	-0.24285325	0.2654372	0.10027758	0.18394592	0.09536127
