	dim_0	dim_1	dim_2	dim_3	dim_4	dim_5	dim_6	dim_7	dim_8	dim_9	dim_10	dim_11	dim_12	dim_13	dim_14	dim_15	dim_16	dim_17	dim_18	dim_19	dim_20	dim_21	dim_22	dim_23	dim_24	dim_25	dim_26	dim_27	dim_28	dim_29	dim_30	dim_31	dim_32	dim_33	dim_34	dim_35	dim_36	dim_37	dim_38	dim_39	dim_40	dim_41	dim_42	dim_43	dim_44	dim_45	dim_46	dim_47	dim_48	dim_49	dim_50	dim_51	dim_52	dim_53	dim_54	dim_55	dim_56	dim_57	dim_58	dim_59	dim_60	dim_61	dim_62	dim_63
bin_0	-0.14732078	-0.09730152	-0.06643164	-0.17227714	0.20191836	-0.15359493	0.0702919	-0.120669164	0.1429271	-0.06731279	-0.010010837	0.17727508	0.10173552	0.108746916	0.22165412	-0.073663466	0.121503405	0.19367231	-0.1511888	-0.05640854	0.14771071	0.14398035	0.15022534	0.04920218	-0.049883842	0.18453299	0.12969865	-0.13258444	0.05384729	-0.025845569	-0.024730299	0.16982035	-0.02373062	0.17016228	0.009889656	-0.11221438	0.16683428	0.21965377	-0.057176057	0.03101099	0.013700706	-0.13085726	-0.15674174	-0.19801176	-0.1954835	0.19451912	0.0664239	-0.14859547	0.109236725	0.12230823	0.2040857	-0.1415563	0.028620318	-0.03541716	-0.021339368	-0.09710238	0.021558277	-0.00457123	-0.110086575	0.10539382	0.12395034	-0.018277235	0.11291374	-0.094833314
bin_1	-0.10661821	0.12934378	0.07199089	-0.0130348485	-0.08050549	0.2057525	-0.14103836	-0.13814579	0.14100038	0.10894769	0.08676664	0.20624724	0.15051237	-0.12343532	0.1886084	-0.07880969	-0.089231424	-0.13608406	-0.06935162	0.05692006	0.077823676	0.13920608	-0.07456255	-0.1489666	0.06310541	-0.03500194	-0.20461553	-0.026906608	-0.05159064	-0.088793516	-0.019959396	-0.08265734	-0.10370791	0.13119447	0.022315457	-0.21239223	0.057020806	-0.11395119	0.15046896	-0.15672581	-0.17249434	-0.19929063	-0.14577019	-0.1265752	0.049429994	0.13924691	0.04117486	-0.015704352	0.1101668	0.10194516	-0.033476096	-0.08125021	-0.018400908	0.09840621	-0.20163329	0.17250893	-0.15078884	0.16415654	0.08498322	0.13143069	-0.17249931	-0.14920326	-0.19747089	-0.14339136
bin_2	0.05576892	0.025246294	0.09615351	-0.16065557	0.1012117	-0.20758569	0.10723577	-0.0346193	0.026585178	-0.17527808	0.20625232	0.2037501	-0.08473767	0.12054337	0.22031036	0.107029445	0.100336954	0.009003974	0.015946522	0.20527658	-0.031011144	-0.19687672	0.09361921	0.16098309	-0.11980308	0.13736106	0.14116023	0.17982566	0.018688126	-0.11289687	0.046195902	0.034173753	-0.046349585	0.032763906	-0.061046463	-0.004543887	0.18790196	0.18476094	0.19929399	-0.06573778	-0.0062360917	0.068000816	-0.2125573	0.20010777	-0.16496089	0.11924656	0.10951574	0.090485014	-0.21245846	0.05753233	-0.031143248	0.08986257	-0.017672531	0.025688829	-0.2117792	-0.03483349	-0.14011963	-0.0010608337	-0.12283396	0.105964094	0.14099799	0.111970946	-0.11957708	-0.0014003416
bin_3	-0.008332573	-0.054904006	0.080856614	-0.1639073	-0.058204494	-0.14219457	-0.09219084	-0.105068944	-0.13432363	-0.13620277	0.19545208	-0.055834554	-0.09426791	0.018994417	0.21234514	0.06732805	0.0952587	-0.09024987	-0.02021045	0.17515445	0.025703494	-0.16811527	-0.13186136	0.1434009	-0.060099944	0.07536207	-0.2051156	-0.12029229	0.119816825	0.02033617	0.1999815	-0.08735434	0.16757672	-0.17077096	0.047633853	-0.108166434	0.20061873	-0.1062853	-0.11516824	0.20518503	-0.00038901428	0.012348122	0.068551145	-0.16832118	0.0798445	0.080562495	0.15468377	0.16313058	-0.18449052	0.047377963	0.111141786	0.099506006	-0.10639013	0.21068719	-0.07398154	-0.16887113	-0.09649755	0.15445411	0.077871315	0.17647555	0.14079757	-0.11721451	-0.020729188	0.113409325
bin_4	0.11166135	0.035059832	0.07742786	-0.068544954	-0.0819468	0.18097201	-0.08085702	-0.025298813	0.13207658	0.11500633	-0.08314544	-0.058656015	0.1315368	-0.20738064	0.17325363	-0.05689136	0.19004993	0.037718732	-0.09448946	0.0053591887	0.13207054	-0.21831216	0.122232765	-0.095005706	0.14057721	-0.20961817	-0.18353263	0.22484985	0.2128168	-0.12097031	0.15950097	-0.007361423	0.1362757	-0.16592404	0.063023046	0.12051877	0.012551163	-0.039626207	0.1327028	-0.20967315	-0.21273793	0.0861471	0.01736342	0.17521255	-0.06975296	-0.14350569	0.07290346	-0.069501095	0.15012032	-0.11242615	-0.09737472	-0.023551663	-0.13962911	-0.09141414	0.010307757	-0.08398974	0.09308317	-0.066113755	-0.0938105	-0.11319124	-0.11621771	-0.16594434	-0.09348816	0.11664399
bin_5	0.048076157	-0.1289204	0.04897156	0.120899044	-0.04333707	0.1083804	-0.13955109	-0.1016652	0.04726556	0.15784486	-0.107606	-0.15781094	-0.10390176	0.06580557	0.10460571	0.10577318	-0.05502854	-0.15152	0.1732852	0.14759153	-0.1212784	0.14016755	0.045826986	-0.14192806	-0.024509618	0.173813	-0.17428207	-0.044727616	-0.1450008	-0.045105517	0.19361289	0.022595325	0.02685924	-0.1320837	-0.005049513	0.13569036	-0.06972974	-0.1911852	0.07748384	-0.08740891	0.14753301	0.001023255	-0.013099892	0.19205657	0.03791039	-0.18455532	0.17218854	0.005593085	-0.1991103	0.1977718	-0.18514225	-0.17501761	-0.11942687	0.07354424	-0.14310263	0.030791601	-0.19646743	0.02571495	-0.061289344	0.15467885	-0.17473818	-0.13476984	-0.19617362	0.08085135
bin_6	-0.20392317	-0.0035475453	0.008111556	-0.14639884	-0.14600751	-0.0731666	0.18276618	0.21753787	-0.08603734	-0.1687401	0.04273164	0.20439851	-0.164754	-0.13738999	-0.19443206	0.07437079	-0.11818797	-0.03738233	-0.06341869	-0.010845852	0.15228797	0.21058886	-0.13560645	-0.1328319	0.121861316	0.08751723	-0.13988738	0.007366977	-0.0568172	0.06596221	0.10397299	-0.047691427	-0.14465775	-0.06866902	-0.0895837	-0.19095924	0.1390567	0.14141017	-0.17207785	0.049340528	0.1451925	0.02351728	0.085541405	0.12109378	-0.0898081	0.09127945	-0.08666915	0.08004664	0.04118521	0.018321645	0.17892092	-0.0753385	-0.17144324	-0.11666908	0.09928526	-0.030155215	0.085263655	-0.13846035	-0.075084254	0.22984117	-0.00283848	0.18002288	0.20381097	0.083678015
bin_7	0.10264104	-0.07698677	-0.10309229	-0.16586354	-0.10817011	0.16355845	0.082787566	-0.09867639	-0.16559142	0.15057558	0.14728962	0.1385324	0.011456131	0.18435204	0.07270799	-0.05088427	0.17805694	-0.15603946	0.053894795	-0.073980026	0.20081045	0.17488171	0.019393113	0.14383385	-0.20210673	0.11283145	0.06653921	0.08724585	-0.034221034	0.10011722	0.094914556	-0.07513459	0.15894124	0.1497879	0.106658	0.020287167	-0.19856417	0.031338714	0.16827059	0.09711422	0.1211798	0.12779444	-0.17377315	0.08743455	0.19031428	0.03390606	-0.022441631	0.12479246	-0.12330574	0.01652905	-0.18670116	-0.0073007117	-0.039261993	0.08470371	0.108551994	-0.1332914	-0.10404653	-0.17836642	0.15525052	0.14059244	-0.105250925	0.11230871	0.170649	0.14694847
bin_8	0.0528585	-0.07009382	0.06533276	-0.15073927	0.021323038	0.08848513	0.15694402	-0.19221844	0.08567552	-0.10867569	-0.19968088	-0.18198013	0.007032736	0.12944482	-0.17216283	0.022029547	0.18995985	0.15119807	0.06821803	-0.104904294	0.19248323	-0.013269793	0.15037617	-0.073918626	-0.003970634	0.20329204	0.04308079	0.14835574	-0.0037835555	-0.019902512	0.027545927	0.008529841	-0.018498182	-0.07504458	-0.14370696	-0.1724794	-0.13910474	-0.20071256	-0.15678445	-0.07587351	0.0647503	-0.034674067	0.08353512	-0.13261239	-0.076702856	-0.0018866332	0.17188069	0.14805624	-0.086607985	-0.18643022	0.05274943	-0.1576377	0.20277056	-0.20694984	0.11325792	-0.050351147	-0.18999979	-0.0022193594	-0.08523297	0.06366973	-0.1958611	-0.111129805	0.1034474	-0.1957541
bin_9	0.05871121	-0.012082994	0.19032466	0.09312445	-0.03462856	-0.045359388	-0.06035847	-0.1942202	0.06074706	0.09494888	-0.17880763	-0.17232859	0.09608269	0.06527999	0.17349938	-0.051470276	0.065898396	0.13663858	0.032044683	0.07768271	-0.14068262	-0.06627526	0.15929008	0.14238523	-0.13038656	-0.13521008	0.07996666	0.03287039	0.16401494	-0.052389126	-0.11565766	-0.18454725	0.1943626	0.10032187	0.08173763	-0.13078642	-0.20419155	-0.1438334	-0.036361657	0.12740512	-0.19028819	0.18808079	0.11300398	-0.070267476	0.14048974	-0.18430607	-0.11395668	-0.018071292	0.16288671	0.10055585	0.03758505	-0.17682585	0.18933345	-0.054480813	0.16859755	-0.07337074	0.18219048	-0.050008994	0.11438247	-0.062223993	-0.047139935	-0.11660265	0.16350354	0.14664765
bin_10	0.01834403	0.18946461	0.07484205	-0.18041508	-0.099323355	-0.0021921806	-0.13828894	0.1822803	-0.027427226	0.016290119	0.10944553	-0.08608873	-0.0130101545	-0.053960342	-0.11153202	0.08850258	-0.026101395	0.19306064	-0.13129106	0.09671923	-0.06589833	-0.1716043	-0.20430928	0.17291716	0.14124133	0.025409399	0.048612684	-0.18280374	-0.054810453	-0.003613308	-0.11760399	0.0050268928	0.19671233	0.009289875	-0.11752754	-0.12742372	0.11614403	0.16456407	-0.06551342	-0.043038458	0.20646395	0.16503403	-0.20481092	-0.20964603	-0.1479715	0.13965172	-0.1332703	0.07810497	-0.1480767	0.007990277	0.04171796	0.17383271	-0.12751266	0.190328	0.09922671	0.11949349	0.025604023	0.14073822	0.057785813	0.042270932	-0.16002236	0.02840942	0.177632	0.16039233
bin_11	0.078766234	-2.1319676e-05	-0.07863639	0.074168585	-0.05458223	-0.13514802	-0.033006877	-0.0928251	-0.20414709	0.19180913	-0.18434341	0.13465114	0.02102879	-0.1221554	0.0932804	0.21240638	0.12797129	0.1686449	0.08842143	-0.035371285	-0.19269533	0.052118525	0.07369619	-0.15937272	0.1760368	-0.17093953	-0.017330151	0.18655047	0.078091905	0.09025025	0.14219551	-0.024922313	-0.1368127	-0.1984243	0.05353661	-0.20456563	0.1297789	-0.17943743	-0.061377637	-0.1489225	0.10439173	0.096218966	-0.040837128	0.017160136	-0.096570775	0.013174576	0.044198383	0.19262645	-0.107461534	-0.10575383	-0.08153504	-0.020077385	-0.07710247	0.19522466	0.076879814	0.035549536	0.13267857	0.1820401	-0.1758237	0.03582532	0.10328171	0.16854672	-0.18007739	0.11187752
bin_12	0.14567123	-0.1549665	0.072155796	0.17432487	0.15050276	0.057919823	-0.09858575	-0.19542362	0.19329752	-0.07149062	0.15412128	0.005880177	-0.14499481	-0.15299904	-0.12695347	0.13959156	-0.114781216	0.05507198	-0.11530263	-0.03396277	-0.099880256	0.055236664	-0.19953382	0.14704244	0.17452025	0.17829089	0.020862702	-0.16065542	-0.085858025	-0.1988283	-0.10359233	0.116430506	-0.13244672	-0.1014756	0.04837912	0.19677292	0.18402581	0.1298987	-0.13708322	0.014787198	0.09847701	-0.0049818056	-0.1518049	0.02332266	0.17833367	0.008256259	-0.18588716	0.13171364	0.061073583	0.02641924	-0.023331827	0.1763247	-0.035279837	0.09324773	0.08645891	0.17820981	0.15469646	0.058807723	0.026829453	-0.14944659	-0.075460784	0.012210275	0.18003175	-0.06698695
bin_13	0.17757186	0.13610634	-0.078392714	0.17556743	0.1477064	0.19856475	-0.1451695	-0.15570073	-0.14996238	0.1816715	-0.10224789	-0.037182257	-0.056185447	-0.06384521	0.17592198	-0.16509368	0.036494512	0.13849019	0.173455	0.05824972	0.14828269	-0.16703573	0.068570375	-0.037158795	-0.0050400794	0.19124517	0.031175721	-0.20159613	0.019744124	0.07791108	-0.07878032	-0.15131293	-0.1350087	0.10955396	-0.08840473	0.06607037	0.17639591	0.00021999225	-0.10798211	-0.11846819	0.024397459	0.071038716	0.118325464	-0.14256397	-0.12858707	0.19682314	-0.16464427	-0.19493344	0.19435443	-0.014867944	-0.023446139	-0.17070104	-0.10292952	0.07386828	-0.08982088	-0.21128543	0.10629245	-0.0857917	0.012425231	-0.047402315	0.028750561	-0.03075836	0.17551742	-0.01600176
bin_14	-0.10099845	0.018799605	-0.076125875	-0.1315251	-0.026622973	0.0063329856	-0.1495829	-0.10293613	0.08440854	0.20642474	0.04447385	-0.124194674	0.12692507	-0.036213547	-0.017537527	0.07489288	-0.20708458	0.053866748	-0.20813857	0.18826096	-0.09883706	-0.17621441	-0.14800213	-0.181202	0.101806425	0.12790991	-0.07385678	-0.033514906	-0.008695945	0.014935666	-0.13400923	0.016178539	-0.024832401	0.07130985	0.091999546	0.16102959	0.18906005	0.012673442	0.039241225	-0.15260033	-0.21155557	-0.14919378	0.19223998	0.14033864	0.15292941	-0.11366396	0.19286813	-0.13297947	-0.045166306	0.1759761	-0.04763662	0.11275586	-0.13156159	0.04221542	0.0058976533	0.21034928	-0.20954093	0.16386782	-0.0988901	-0.14759012	-0.077906035	-0.109705955	0.14558373	-0.039485425
