	dim_0	dim_1	dim_2	dim_3	dim_4	dim_5	dim_6	dim_7	dim_8	dim_9	dim_10	dim_11	dim_12	dim_13	dim_14	dim_15
TCGA-05-4244-01	0.2566395	0.1674765	0.24232064	0.15215684	0.2129328	-0.2841792	-0.106939934	0.03873723	0.30786604	-0.57194144	0.047770377	-0.09111953	0.07171201	0.23238292	0.117651775	-0.42392474
TCGA-05-4249-01	-0.18882559	-0.072481066	0.07913609	0.027300239	0.20072867	-0.066267736	-0.4880802	0.1457241	0.1767493	-0.4838988	0.11450301	-0.19981413	-0.10372904	0.31012073	0.41358075	-0.22698851
TCGA-05-4250-01	0.012625002	0.27212024	0.24495488	0.278172	0.31415218	-0.038929116	-0.15245445	0.06576226	0.261161	-0.48076147	0.2552905	-0.131815	0.26795706	0.19223732	0.114282936	-0.39614716
TCGA-05-4382-01	-0.008401621	0.5435692	0.31680852	-0.43491653	-0.14353947	0.12832631	-0.056215107	-0.13404733	0.3888563	0.0041624797	-0.06441901	-0.0052364636	0.1169631	0.19203053	0.122787125	-0.36838192
TCGA-05-4384-01	0.5409924	0.34574157	-0.057093818	0.22820094	0.25023603	0.31311154	0.12775359	-0.33104932	0.04821946	-0.23503497	0.27565777	-0.17853373	0.23380403	-0.014875601	-0.11784783	-0.10808001
TCGA-05-4389-01	0.13871427	0.18255526	0.13722481	0.0780761	0.19159262	-0.20910437	-0.25640142	-0.03496982	0.31731462	-0.6206802	0.08192209	-0.104192264	0.009087941	0.27849072	0.093087174	-0.43046927
TCGA-05-4390-01	0.266828	0.50185907	0.20036699	-0.15423886	0.044173874	-0.054745205	-0.026076147	-0.24937217	0.4030251	-0.29573783	0.023410486	-0.038512092	0.18357278	0.19965976	-0.086041816	-0.46076173
TCGA-05-4395-01	-0.23728043	0.09769175	-0.064651154	0.103299685	0.1861723	0.072209135	-0.56390315	-0.035679463	0.14484476	-0.49021822	0.26749977	-0.24712104	0.0024132458	0.30279768	0.19853324	-0.18746509
TCGA-05-4396-01	-0.18362106	0.42038935	0.1108474	0.20100474	0.2563429	0.24635223	-0.24565674	-0.08165472	0.21824405	-0.3343559	0.35872793	-0.14737761	0.32599023	0.15911683	-0.0038972248	-0.31940114
TCGA-05-4397-01	0.08395092	0.04326308	-0.04091386	-0.4417812	0.23521459	-0.20220336	0.083438024	-0.09196493	0.34024504	-0.23234066	0.03877881	0.3537437	-0.16007309	0.01351215	0.09090728	-0.5934198
TCGA-05-4398-01	-0.1482312	-0.2326688	-0.26929146	-0.48588133	0.12034413	-0.16083555	-0.23577838	-0.050633933	0.17725313	-0.29939315	0.10981592	0.2198764	-0.40052286	0.13917163	0.20740321	-0.33544704
TCGA-05-4402-01	0.17706475	0.1504976	-0.020827113	-0.18366706	-0.7170926	0.14278254	-0.05071891	-0.24852483	0.099414416	0.25278366	0.057554483	0.4226821	0.028923884	0.004159195	0.17316394	0.16214341
TCGA-05-4403-01	-0.09629897	0.3314541	-0.09265201	0.2623526	0.36560982	0.3294605	-0.20128132	-0.21026546	0.11976239	-0.31415275	0.4169408	-0.11307694	0.30013517	0.045510337	-0.11293586	-0.26822224
TCGA-05-4405-01	0.00609136	0.1850299	0.001431131	-0.21999356	0.25763783	-0.07522548	-0.2560859	-0.2221783	0.40937966	-0.46470374	-0.05133276	0.07131096	-0.057305783	0.15453602	-0.058056716	-0.5554735
TCGA-05-4410-01	-0.088736095	-0.15298563	-0.33354685	-0.3435728	-0.26832193	-0.123058625	-0.36162698	0.024571342	-0.04813997	-0.24710251	-0.09386515	-0.031378336	-0.4436381	0.27311498	0.4006656	0.12568098
TCGA-05-4415-01	0.2861103	0.5978487	0.20035248	-0.101456404	-0.061075043	0.05683721	-0.042971496	-0.24295102	0.33041257	-0.24549644	0.14030421	-0.17386846	0.25518918	0.2598462	-0.08497877	-0.2884986
TCGA-05-4417-01	-0.2371125	0.12618843	0.067993335	-0.26182556	0.16553128	0.02013188	-0.44463387	-0.09565647	0.36141092	-0.40646145	-0.098017834	-0.012682259	-0.14031251	0.2198451	0.1754327	-0.46435958
TCGA-05-4418-01	0.49491766	0.5360946	0.21644378	0.092007436	0.018595057	0.121616624	0.08575374	-0.21523476	0.20851865	-0.25907034	0.18495618	-0.21608257	0.2812349	0.18530878	-0.027453821	-0.19453976
TCGA-05-4420-01	-0.1358932	0.33286446	-0.0036062323	-0.6070403	-0.14473881	0.060192198	-0.024242675	-0.18231888	0.32433742	0.083256945	-0.39417213	0.24658607	-0.09604363	0.023904236	0.0651316	-0.31856295
TCGA-05-4422-01	0.16873996	0.15685862	-0.029196803	-0.31004405	-0.558699	0.06146813	0.1254245	-0.17949556	0.09213011	0.43547922	0.112372085	0.4568271	0.091045596	-0.07720952	0.20817435	0.09504668
TCGA-05-4424-01	0.12268894	0.09267187	0.02306819	-0.205332	0.27985668	-0.24417508	-0.09559586	-0.073900275	0.3634745	-0.47891632	0.059070583	0.16156612	-0.10874789	0.1318623	0.10830053	-0.5908593
TCGA-05-4425-01	0.6335386	0.27892804	-0.022399785	0.20640038	0.24267317	0.03679487	0.12885183	-0.2863249	0.12865286	-0.38416094	0.21259657	-0.12251669	0.17229657	0.055814367	-0.13578726	-0.20812947
TCGA-05-4426-01	0.5103925	0.35119238	-0.1900182	0.07259058	0.13611144	0.08007233	0.038730156	-0.4497504	0.12249801	-0.28743264	0.26501617	-0.114202216	0.18255606	0.07867804	-0.3186033	-0.15540174
