	PCA_1	PCA_2	UMAP_1	UMAP_2	tSNE_1	tSNE_2
TCGA-05-4244-01	0.9342828862353688	-0.866242576362552	16.547895	7.1231923	-10.283986	-0.14953655
TCGA-05-4249-01	-2.1246711430568475	-1.7142127888189729	16.473623	5.2532806	-11.123869	7.8494377
TCGA-05-4250-01	0.8924297299602502	-4.36475772159493	15.628226	6.8526525	-15.040342	-3.617846
TCGA-05-4382-01	-3.2332040365741705	-1.2849627944163586	16.948362	4.9625597	-14.538077	8.591112
TCGA-05-4384-01	4.822738006566892	-0.4803262000415501	14.110439	9.442357	-8.4186325	-16.238815
TCGA-05-4389-01	-2.3226426295624996	-3.3745148540370384	17.349365	5.560281	-18.79492	7.31492
TCGA-05-4390-01	-4.9563193958994045	-0.8689632376361168	16.425945	4.092566	-12.383913	13.866082
TCGA-05-4395-01	-1.8901817292541194	-4.843782979756887	14.566479	5.427074	-3.4217353	16.629152
TCGA-05-4396-01	1.5103532631759145	-0.40493584916610054	13.688954	7.685143	0.19116952	-10.166372
TCGA-05-4397-01	1.5423155124064811	-1.3090556660693216	17.544964	6.4899073	-21.572271	2.104267
TCGA-05-4398-01	-3.1038333519823107	-2.544328005814682	14.985667	5.1812325	-3.7392929	13.14054
TCGA-05-4402-01	-0.9759454059540038	-1.036147134068969	16.236988	6.460994	-8.470222	3.0719054
TCGA-05-4403-01	2.280765117817464	0.1651342168346728	13.217536	8.383195	-0.6348813	-18.0214
TCGA-05-4405-01	-2.408054934611352	-2.518131685577524	17.346926	5.5504127	-17.769526	6.694019
TCGA-05-4410-01	0.28761948238591095	-1.3774216353937145	16.62838	7.089192	-11.347699	0.5834433
TCGA-05-4415-01	-1.1895620848251705	-2.9755079101029467	14.786374	5.8305216	-2.5548499	13.393661
TCGA-05-4417-01	0.9658439050757721	-0.7461722519341338	16.143711	7.387012	-8.895041	-1.6127411
TCGA-05-4418-01	3.5288747599124672	-1.6657079460480932	15.018056	9.435502	-12.52415	-14.18905
TCGA-05-4420-01	-3.33519872330871	-1.2778889447404458	17.16398	4.7714	-15.093723	10.025153
TCGA-05-4422-01	-0.42410975711172605	-0.9998096170655502	13.37076	7.009598	-2.5180795	-21.345411
TCGA-05-4424-01	-0.0711887026830349	-2.7551500604726726	17.151985	6.6310654	-16.082628	1.639887
TCGA-05-4425-01	3.227858340825297	0.4670916991736368	15.635467	8.584909	-7.3796525	-7.656924
TCGA-05-4426-01	4.075377043581446	0.084387634632459	15.499488	8.787738	-6.9358916	-8.556469
TCGA-05-4427-01	-4.604606051858272	-3.689621328117939	14.251068	4.5351887	0.94926524	17.139488
TCGA-05-4430-01	-0.15219299998757443	-3.122146876226622	17.321373	6.703726	-17.178375	0.3964214
TCGA-05-4432-01	-2.8263794759952345	-1.3275284783790133	17.348547	5.18606	-18.158031	8.409838
TCGA-05-4433-01	-0.4514978113682121	0.5617581602724463	13.242198	7.0105705	-1.438885	-21.695953
