,dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15,dim_16,dim_17,dim_18,dim_19,dim_20,dim_21,dim_22,dim_23,dim_24,dim_25,dim_26,dim_27,dim_28,dim_29,dim_30,dim_31,dim_32,dim_33,dim_34,dim_35,dim_36,dim_37,dim_38,dim_39,dim_40,dim_41,dim_42,dim_43,dim_44,dim_45,dim_46,dim_47,dim_48,dim_49,dim_50,dim_51,dim_52,dim_53,dim_54,dim_55,dim_56,dim_57,dim_58,dim_59,dim_60,dim_61,dim_62,dim_63
154,-0.019940717,0.22179998,-0.2015819,-0.1028578,0.15585785,0.009322469,0.11218028,0.11566371,0.0409439,0.016607227,0.1978091,0.1407533,0.008621764,0.018138725,-0.118198045,0.06228543,0.21704608,-0.0952237,0.011022624,0.058561314,0.08301073,-0.022967994,-0.07270274,-0.16776572,0.2375791,0.30732766,-0.15310594,0.07732917,-0.050227683,-0.08522222,-0.15765814,0.005715613,-0.01763956,-0.03332405,0.13399725,0.04037146,-0.03600438,0.07381898,-0.10481109,0.010826836,0.03398196,0.009983794,0.29107216,0.061250467,0.091430105,-0.03040699,-0.10871446,-0.19186875,-0.0062183235,-0.08132458,0.043210216,0.089025594,-0.20038542,0.17115282,-0.19551718,-0.101611964,0.0799629,-0.034132995,0.07407983,0.21384934,-0.17505063,-0.069779284,0.029439032,0.19502991
526,-0.09273494,0.1705918,0.058358762,0.005227588,0.12658933,0.122315936,0.32926947,-0.14371039,0.06794786,-0.047627296,0.2103072,-0.050722826,0.002129202,0.02796969,-0.08955025,0.14166199,0.09561207,-0.13877018,0.005546163,-0.04866213,-0.014073323,-0.08911548,0.11483098,-0.018539574,0.31009313,0.28778842,0.05139046,-0.039341044,-0.07174417,-0.15238939,-0.074664876,-0.067950614,0.03550676,-2.7695223e-05,0.19099067,0.23715346,0.02395128,0.03957292,-0.06173087,0.047521994,0.00023729118,-0.035004828,0.18500744,0.13760723,0.08898278,-0.06681787,-0.12695879,-0.12624373,0.13577272,0.07177644,-0.049148764,0.12956144,-0.08403111,0.1671731,-0.034205962,-0.13968468,0.17576724,-0.18345033,-0.047804274,0.19985166,0.009167914,0.124314636,0.027467845,0.13960232
271,-0.025501825,0.3342258,-0.07333911,-0.21435383,0.07508939,-0.108625844,0.31106836,0.14507644,-0.013849111,0.12752225,0.14710663,0.050729204,0.01068334,0.15879355,-0.038627237,0.05975003,0.15794942,0.017338624,0.03855359,0.080934025,0.08822694,-0.10037368,0.042524885,-0.03280077,0.25384375,0.24592856,0.094459124,0.08321217,-0.15730381,-0.15689808,-0.01528429,0.11191566,0.032415908,-0.01880561,0.15642197,0.10103782,-0.11367685,-0.023095127,-0.016729733,0.030861206,-0.042945422,0.08320193,0.21953434,0.045934375,-0.12490035,-0.062158648,-0.06839311,-0.26190558,0.018356118,0.10355975,0.008067201,0.0611925,-0.0833004,0.16367374,-0.23877975,-0.0904055,-0.0029889233,0.10781081,0.0024287219,0.1426,-0.091477744,-0.089177705,-0.034761604,0.085020795
466,-0.048710577,0.29764062,-0.15203048,0.08333697,0.039455745,-0.036590137,0.2563921,-0.11645541,0.16262451,-0.07763241,0.25139058,-0.02467674,-0.07469433,0.0968757,-0.08765147,0.1627887,-0.014719853,-0.06546003,-0.031611223,0.052790564,0.002087212,-0.100726224,0.040921565,-0.06507625,0.2902162,0.317141,0.07168236,-0.063206494,-0.11130424,0.0004194058,0.045792095,-0.010567097,-0.08730445,0.02893053,0.098212875,0.2205,0.027273787,0.093669884,-0.07789073,0.045849796,-0.009037374,0.002563051,0.12571688,0.16772312,0.073101535,-0.0038591526,0.008921042,-0.09145704,0.07922749,-0.14873548,-0.07777917,-0.06482289,-0.10542391,0.059306227,0.14698726,0.056435768,0.09120984,-0.3034012,-0.060646012,0.24519637,-0.024536023,0.115933634,-0.0017802131,0.14123653
255,-0.049982574,0.17987663,-0.04955358,-0.1014023,0.14417529,0.0021986205,0.40025327,0.09053003,-0.052621003,0.1346718,0.11559067,0.009479009,0.027975801,0.012182219,-0.028796399,0.10351853,0.17741838,-0.18647881,0.024926519,0.09786059,0.031059088,-0.06185125,0.0006100994,-0.06576307,0.19594184,0.27483532,0.06812119,0.056914754,-0.077790186,-0.14625418,-0.2035025,0.15860859,-0.029617691,0.004480928,0.2670025,0.08895376,-0.17586528,0.046241816,-0.061038826,-0.047546756,0.026040543,-0.0025131586,0.2332749,0.007505212,0.07753235,-0.051059045,-0.025505388,-0.1999275,0.041299626,0.20513706,-0.061177876,-0.05071088,-0.023952655,0.17942025,-0.14666975,-0.1073815,0.10964777,-0.036381017,0.103918776,0.14354676,-0.039519962,0.020410968,0.042146824,0.16442262
257,-0.09796936,0.209594,-0.31878793,0.013695822,0.052946795,-0.0064130635,0.2956943,0.026897468,0.13344857,-0.09909999,0.17856854,0.035280786,-0.075162806,0.05800772,0.03430789,0.08151598,0.20654412,-0.0797862,0.13840215,-0.012664104,0.18646905,-0.025097124,0.10483205,-0.10443523,0.09172623,0.32858983,0.032656174,0.023264656,-0.1075935,0.14087822,-0.27113605,0.025988001,0.045035414,-0.19968039,0.12456257,0.0144400615,-0.060885537,0.09448849,-0.004672948,0.005728096,0.020575222,0.007884464,0.06893714,0.046102837,0.082493804,0.08328774,0.02895514,-0.24651316,0.0075897644,-0.09152565,0.06833165,0.0068529905,-0.13840052,0.17762361,-0.07284082,-0.05101276,-0.051227394,-0.1573351,0.020932006,0.17322926,-0.14492755,-0.028728573,0.08622637,0.1222051
706,0.08793369,0.44067582,-0.21177307,-0.02388046,0.08832916,0.050052434,0.32853565,0.04440716,-0.07562542,0.11468479,0.23888332,0.08707764,0.029245766,0.029458478,-0.0363085,0.065736756,0.12088308,-0.021027885,-0.13081823,-0.054132827,0.09917166,-0.050042816,0.041558765,-0.03299312,0.17207853,0.26333684,-0.010750882,-0.05573258,-0.2286289,0.034003217,-0.0996261,0.079088114,-0.06604,-0.09677795,0.12846549,0.071774624,-0.013253925,0.021419246,0.015507623,0.115886405,0.036176287,0.08514725,0.17130643,-0.07777501,0.12747942,-0.056484763,-0.07591806,-0.15083532,-0.01699467,0.12914914,0.08481525,0.13268156,-0.10794303,0.18030877,-0.1649784,0.080434635,0.0062346053,-0.11441916,0.03384967,-0.05709217,-0.14342494,-0.10986186,-0.054019224,-0.07217134
48,-0.0039895787,0.2457657,-0.18326472,-0.04203767,0.25248334,0.01297208,0.3215855,0.00084666634,-0.11781447,0.10435816,0.20404676,0.1349404,0.0057302318,-0.012246789,0.051737323,0.08258264,0.20745434,-0.14476395,-0.015930029,-0.1238633,0.21367975,-0.057069793,0.11499145,-0.043237142,0.06876553,0.24825622,0.011303822,-0.058702465,-0.19039913,0.025812754,-0.05918753,0.017259043,-0.04421188,-0.1508973,0.0811772,0.026677849,0.071429074,0.094856136,-0.045226783,0.11016879,0.03034102,-0.01370088,0.38290018,0.042973947,0.15127,-0.06955151,-0.08458866,-0.1929559,0.07272496,0.0068544415,0.040734265,0.03154136,-0.090236574,0.19789562,-0.07244084,-0.023813702,0.10713522,-0.053581156,0.04890476,-0.0045296783,-0.122263625,-0.108126834,0.008731481,0.04219254
39,-0.19934218,0.16197363,0.04688913,-0.12940969,0.13155887,-0.11271319,0.18532184,0.0017883914,-0.1240899,-0.08394935,0.13424698,0.034436606,-0.011079223,-0.0032319247,-0.05075583,0.07678034,0.10717078,0.09067571,0.10221138,0.02938839,0.03218183,-0.065864705,0.18972322,-0.09029573,0.34589505,0.35920846,0.04335576,-0.00787794,-0.042146467,-0.07900066,-0.02448693,0.03629087,-0.051207133,-0.08791532,0.011920587,0.046628293,0.11522469,-0.022197409,0.04736159,0.08862953,-0.0024932832,0.036978602,0.32464626,0.05516484,-0.10261165,0.06748412,-0.15669084,-0.055766586,-0.069116965,0.04094004,0.16849336,0.18313116,-0.14178585,0.20307663,-0.042495884,-0.047498044,-0.048654355,-0.13015,-0.06321101,0.15075399,-0.09102758,0.05242483,0.008113848,0.2817205
364,0.11412071,0.19672927,-0.350281,0.006392545,0.0732901,-0.16938181,0.23457615,0.022002755,-0.012964183,-0.0633457,0.18684156,0.033047415,-0.16023459,0.01583903,-0.15268312,0.2040669,0.023289822,-0.043284602,-0.065173574,0.010120047,-0.07022593,-0.04528005,-0.032154903,-0.040438995,0.19535471,0.35686216,0.16896151,-0.035220444,-0.12204973,-0.008022212,0.048978213,0.15566081,-0.05457491,0.02475126,0.064212784,0.17124972,0.012636808,0.15358996,-0.063857496,-0.099483356,0.031341072,-0.047191788,0.22639091,0.06191043,0.13779731,-0.12103939,0.05319767,-0.12851767,-0.069686085,-0.08659734,-0.1671106,-0.1199776,-0.030254664,0.11553654,0.11802725,0.036557388,0.05009267,-0.20142806,-0.027452936,0.15645337,-0.09003422,0.0011567422,-0.017572934,0.06788845
