,dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15,dim_16,dim_17,dim_18,dim_19,dim_20,dim_21,dim_22,dim_23,dim_24,dim_25,dim_26,dim_27,dim_28,dim_29,dim_30,dim_31,dim_32,dim_33,dim_34,dim_35,dim_36,dim_37,dim_38,dim_39,dim_40,dim_41,dim_42,dim_43,dim_44,dim_45,dim_46,dim_47,dim_48,dim_49,dim_50,dim_51,dim_52,dim_53,dim_54,dim_55,dim_56,dim_57,dim_58,dim_59,dim_60,dim_61,dim_62,dim_63
245,0.10719211,0.03575755,-0.057096545,-0.11197872,0.18046108,-0.008374924,-0.0076626344,0.049534306,-0.015195252,-0.11072734,-0.11460315,0.079098076,-0.15782824,0.20930898,0.05047587,-0.1178126,-0.21247706,-0.030138552,-0.10492039,0.28844354,0.08753434,-0.12557647,-0.0050239274,0.015943626,-0.12046614,0.12469267,0.24879493,0.17350298,-0.07877533,-0.09148184,0.15891798,0.14644048,-0.09530602,-0.046985917,-0.1483512,0.15264484,-0.21319346,-0.17046,0.080118455,-0.065504834,-0.0765253,-0.20714717,0.20755397,0.0743944,0.01799609,0.12355005,0.11914889,0.18949795,0.02700538,0.08224228,0.15145464,0.11098565,0.12792052,-0.14952748,-0.036393583,0.10407506,-0.036757287,0.14830333,-0.14209136,-0.03541213,0.053067274,0.11159999,0.016654754,0.114400744
102,0.16758412,0.13015334,0.072017066,-0.06469314,-0.09915991,0.060145047,0.03376291,0.110687114,-0.0017437236,-0.12640195,-0.17482823,0.1602088,-0.12640858,0.026706418,-0.051328585,-0.19562148,-0.24040729,-0.11735991,-0.171082,0.10776581,0.035554897,-0.19285037,-0.033595137,-0.08389734,-0.06947252,0.103009425,0.020009374,0.23219836,0.04399708,0.00559067,0.19515269,0.052296184,0.10815672,-0.01798762,-0.059227858,0.13074416,-0.1832822,-0.2704681,0.10862122,0.024600789,0.098724805,-0.002005914,0.01964398,0.15223633,0.09695082,0.09548498,0.17360766,-0.12941307,-0.061007045,0.16887498,0.1445519,0.24128254,0.08030117,-0.14839043,-0.06476535,0.011715432,0.032277986,0.13914119,-0.113223396,0.014039354,0.0370321,0.24724866,0.004914446,0.16356151
682,0.19953866,0.10262559,0.036531717,-0.10612706,0.25079417,-0.12315451,-0.044310424,0.24559791,0.15219031,-0.117629156,-0.12517938,0.09516895,-0.019766103,0.1935706,-0.12855336,-0.1257892,-0.2205212,-0.10359261,-0.09547764,-0.0047403206,0.0903077,-0.21208593,0.033904243,-0.13304338,0.11277414,0.019768396,-0.10201401,0.1666325,-0.0410244,0.05110395,0.18269235,0.056124434,-0.12402276,-0.014684346,-0.09377432,0.13879766,0.033391416,-0.19964387,0.057221014,0.10829556,-0.007623564,-0.06572839,-0.17538494,0.12078608,0.062926404,0.15986572,-0.0936859,0.074126035,0.13614196,0.118715614,0.16747186,0.22278558,-0.051583346,-0.22475627,0.107443444,-0.08111189,0.06094633,0.09536936,-0.087447666,-0.0700027,-0.0074867816,0.14847557,0.05656691,0.08229633
303,0.13737293,0.045871455,0.012209857,-0.0035607966,0.02016466,-0.14442167,-0.026000828,0.14480157,0.06657697,0.0014780704,-0.11727092,0.16264872,-0.15450437,0.089964874,-0.047003116,-0.18801346,-0.22002114,-0.015686389,-0.21443842,0.023427887,0.038246684,-0.1799409,-0.13175878,0.06895067,-0.2858788,0.1281301,-0.1030401,0.22051926,0.10557556,0.20759007,0.1858775,-0.0029029187,0.16042557,0.031821348,0.08881338,0.12071627,-0.076412186,-0.22354642,0.12446644,0.218037,0.042516492,0.033053875,-0.1431882,0.10428327,0.005644802,0.08857619,0.11368844,-0.007668582,-0.21166433,0.08439587,0.055427294,0.1336947,0.1305324,-0.11357887,-0.14887474,0.0005039683,0.04103276,0.12900712,-0.0833838,0.0899937,0.04961515,0.14782862,0.019125072,0.1350234
614,0.17126496,0.08086715,0.09885663,-0.019997722,0.15242453,-0.20626262,-0.048455432,0.27062,-0.06365222,-0.006640558,-0.105581,0.13031073,-0.033953078,0.14284855,0.0066405954,-0.16874947,-0.1826107,-0.050817072,-0.17454074,-0.01155291,0.016958958,-0.19934002,-0.10597172,0.033676274,-0.17347446,0.079700574,-0.27381596,0.19819944,0.07516755,0.09838591,0.15625386,0.04170189,0.030721834,0.0812949,0.07251081,0.123637326,0.012104835,-0.20449631,0.09145521,0.22008735,0.01138512,-0.030829804,-0.38559672,0.108270735,-0.0071053444,0.07268417,0.035973407,0.023339082,-0.091060236,0.080746785,0.060383886,0.15815592,0.049342964,-0.14714491,-0.015893472,-0.09574772,0.080354996,0.095154904,-0.056656454,0.024809105,0.0128679555,0.13825059,0.03649432,0.082096115
692,0.17547612,-0.023639875,0.17233899,0.11291258,0.18070947,-0.1687196,0.06764251,0.22534753,-0.050531633,0.026786089,-0.1422196,0.094419956,-0.008452924,0.13033363,-0.032100238,-0.13805068,-0.13787071,-0.073541276,-0.1383889,0.009018684,-0.07147712,-0.15225694,-0.008130254,-0.05592806,-0.034737214,0.053161677,-0.22285666,0.18934262,-0.098992586,0.18859841,0.12576212,0.0766211,-0.15716156,0.099674515,0.251521,0.07907188,-0.07135474,-0.18214276,0.060405895,0.31482598,0.24512625,0.0063239546,-0.17830344,0.037935816,-0.11590706,0.04233043,-0.08665321,-0.035190217,0.026500504,0.04773701,0.034048412,0.1725343,-0.009205647,-0.1362755,0.03636713,-0.06955011,0.1670214,0.0773595,0.06525691,0.07209399,-0.17658651,0.10387115,-0.016220706,0.040160064
39,0.1546757,-0.10134779,-0.061952505,-0.07219037,0.009898892,-0.20534843,0.03934104,0.16557704,0.042661414,-0.029388772,-0.09627321,0.12958781,-0.11538022,0.09341409,-0.06752201,-0.110025525,-0.19430962,-0.11654492,-0.15548472,0.06970446,0.06662107,-0.17160526,-0.10193826,0.04667455,-0.073298894,0.07367233,-0.10958502,0.19514957,-0.049551688,0.19753447,0.17749128,-0.10225067,-0.028581649,0.067045435,0.25009373,0.11462405,-0.07788383,-0.20462014,0.07750899,0.28406107,-0.13826686,-0.17869431,-0.20953116,0.12881689,0.02161182,0.09431375,-0.06835473,-0.037936445,-0.18664688,0.091208205,0.108608566,0.11471807,0.12941687,-0.116820835,-0.06408063,0.044848964,0.04339191,0.064517036,-0.13936365,0.08036575,-0.045968227,0.16493298,-0.08306199,0.17748725
361,0.16614152,0.083235666,-0.00026228256,-0.12816204,0.03439905,-0.1806228,0.07369763,0.23505779,-0.048102673,-0.120527476,-0.13688767,0.09735417,-0.06093284,0.080751106,-0.015035368,-0.117475815,-0.17644255,-0.142793,-0.13345443,0.0958039,0.06631663,-0.19078901,-0.07477396,-0.0017381896,-0.12290098,0.07803423,-0.2032641,0.20378484,0.03297944,-0.054895088,0.15169924,0.021306794,0.063523665,0.140376,0.016082097,0.08279427,-0.056945127,-0.21583994,0.069701076,0.19978355,-0.080666095,-0.015375564,-0.37608528,0.13712822,0.111382395,0.09353713,-0.00066474214,0.048915442,-0.122035675,0.121730365,0.09374778,0.17802025,0.10714072,-0.13976398,0.027812535,0.006116738,0.09904596,0.09270267,-0.14078479,0.07334666,0.026877882,0.20107387,0.004888976,0.16105351
437,0.17655505,0.08122611,-0.18721719,-0.019868487,-0.019411223,0.014011073,0.018987052,0.12297328,0.29968157,-0.085506104,-0.16429935,0.12621805,-0.16990998,-0.03432329,-0.15432072,-0.14292349,-0.20566742,-0.0197174,-0.15220262,0.16280437,-0.033647146,-0.17402786,-0.13712177,0.16415253,0.040355965,0.13034306,0.056471404,0.17329338,0.07189301,0.19330335,0.1578401,-0.0056972844,-0.089585684,-0.08916342,-0.05682405,0.0993459,-0.32048523,-0.22010921,0.15783305,0.044430915,0.10078743,-0.05074936,0.01103427,0.06245629,-0.028413726,0.07651408,0.087275095,-0.07165317,-0.040432,0.10718477,0.1142543,0.11043913,0.08914504,-0.1268072,-0.024025885,0.05539469,-0.064065605,0.13357507,-0.019945903,-0.04674896,-0.12352437,0.16347668,-0.053687442,0.16976896
740,0.20334035,0.07331435,0.032075252,0.012168872,0.26754892,-0.15163493,0.110146426,0.18779443,0.0055959057,-0.019534346,-0.12594369,0.11681042,-0.05397076,0.2686235,-0.011999244,-0.16053957,-0.19270784,-0.030475704,-0.16348417,0.07299225,0.07267251,-0.16739906,0.029138135,-0.09159921,0.0054988717,0.079897225,-0.027319245,0.17440504,-0.12490832,0.14730206,0.1454295,0.12851124,-0.29409173,-0.021983467,0.081792206,0.16593808,0.026919551,-0.15940091,0.12412802,0.20932446,0.22822262,-0.006219397,0.09464352,0.037465226,-0.09081058,0.13676174,-0.024659837,0.17335345,0.15180151,0.08258758,0.05471853,0.1346719,-0.005235586,-0.15269963,-0.07985662,-0.011776768,0.08899336,0.1560674,0.016268909,0.019627398,-0.0069474927,0.09455003,0.067748345,0.0012853311
