,dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15,dim_16,dim_17,dim_18,dim_19,dim_20,dim_21,dim_22,dim_23,dim_24,dim_25,dim_26,dim_27,dim_28,dim_29,dim_30,dim_31,dim_32,dim_33,dim_34,dim_35,dim_36,dim_37,dim_38,dim_39,dim_40,dim_41,dim_42,dim_43,dim_44,dim_45,dim_46,dim_47,dim_48,dim_49,dim_50,dim_51,dim_52,dim_53,dim_54,dim_55,dim_56,dim_57,dim_58,dim_59,dim_60,dim_61,dim_62,dim_63,dim_64,dim_65,dim_66,dim_67,dim_68,dim_69,dim_70,dim_71,dim_72,dim_73,dim_74,dim_75,dim_76,dim_77,dim_78,dim_79,dim_80,dim_81,dim_82,dim_83,dim_84,dim_85,dim_86,dim_87,dim_88,dim_89,dim_90,dim_91,dim_92,dim_93,dim_94,dim_95
1,-0.11122547,0.09439477,-0.035057057,0.04314503,0.11151779,-0.11406175,0.1189102,-0.007823936,-0.078152515,0.058578633,0.116790906,-0.06350147,0.0837865,-0.09634224,-0.059610624,-0.021371316,0.058486357,-0.21029498,-0.06223508,-0.010675482,-0.022021404,-0.0051107435,-0.0063862507,-0.07190706,0.022565214,-0.3063909,0.062359132,0.05256777,0.1392323,0.054058082,0.027437054,0.13202472,-0.0401177,0.030453768,0.05167519,0.079666056,-0.24377485,0.12687159,-0.09763377,0.035258267,0.07428635,0.13946107,0.07025056,0.148572,0.07799884,0.032593634,-0.11993033,-0.11980462,-0.09442654,-0.09645891,-0.06053209,-0.03143225,0.03783676,-0.18877801,-0.07565878,0.12260254,0.09960525,0.14288095,0.08254244,-0.0054471395,0.020574663,-0.11238916,0.09532678,0.064529106,0.0064158738,0.11177029,0.17199382,0.005135315,0.15444161,-0.08564952,-0.12513345,0.104125485,0.047377083,0.02749088,0.07781347,-0.030647434,-0.010153236,0.090605214,0.08518931,-0.07158203,-0.05153545,-0.06689973,0.14618488,-0.19897899,0.03885795,0.10825033,-0.13434833,-0.1735534,0.07952357,-0.08853343,0.18901089,0.10772263,-0.10421481,-0.0017306927,-0.1484091,-0.07273185
595,-7.25379e-05,0.12651926,-0.09834643,-0.059383772,-0.1557461,-0.09055602,-0.022211775,0.06808212,-0.060880035,-0.07126561,0.12640803,0.08665266,0.061950766,0.011825914,-0.05058132,-0.14403467,-0.0760614,-0.12580432,-0.06417461,0.0035951422,0.04840639,-0.06294792,-0.005537153,-0.091813065,-0.026768068,0.017602725,0.043732144,0.14163007,-0.017982494,-0.014484663,-0.06421821,0.082918,-0.092420354,0.15151265,0.018810127,0.06116317,0.24932048,0.08241272,-0.1469578,-0.051707424,0.09798378,0.07150155,0.057238795,0.08046562,0.040563595,-0.029448971,0.044523064,-0.01939686,0.054196943,0.009034993,-0.13910207,-0.011022539,-0.025627084,0.011079109,-0.096720375,0.068682864,0.11376519,0.102535784,0.05687461,-0.20968795,0.035265032,0.22785078,0.04597093,0.1200204,0.050327454,-0.14662711,-0.12186739,-0.03831472,-0.12883404,-0.11539201,-0.11416349,0.046352673,0.070662916,0.01234543,0.07439218,0.15731181,0.046546325,0.15329807,0.27900365,-0.14062445,0.050145037,-0.16589144,-0.14155433,0.043760836,0.17430764,-0.032979358,-0.11749604,0.016556798,0.102713324,-0.029056275,-0.05467481,0.0866874,0.13195157,-0.12274433,0.25725585,-0.023038175
210,-0.0018514008,0.14487621,-0.07576743,-0.10496518,0.035138004,-0.10964343,-0.055687994,0.065450266,-0.03929362,-0.08785689,0.07371521,-0.08535009,0.08534948,-0.21867698,-0.0949182,0.024151692,-0.14468892,-0.20010054,-0.08553011,-0.03932834,-0.05911402,-0.10471099,-0.06369665,-0.0742161,0.072349705,0.011621151,0.0013413368,0.09867463,-0.10402461,0.027258342,-0.24428369,0.11360526,-0.023929298,0.09491039,-0.030973824,0.09891923,0.024860628,0.10199094,-0.033271894,0.09604422,0.111196116,0.13204075,0.051339656,0.11389373,-0.12303113,-0.10880454,0.06938867,-0.14596081,0.09803239,-0.01736482,-0.13482,0.0669651,-0.038350623,0.037904155,-0.12674095,0.0920256,0.111984625,0.09465889,0.055732094,-0.17546375,0.067952335,0.20471148,0.035601366,0.14994177,0.056941785,0.08472838,0.07682446,-0.04217881,-0.12860186,-0.112929665,-0.09638197,0.07360858,0.05193294,-0.119622916,0.09909937,0.07151316,-0.09180961,0.10984135,0.23737566,-0.091475345,0.056160197,-0.14475861,-0.1526162,-0.07813662,0.1018212,-0.04750298,-0.116243765,-0.030646164,0.08907458,0.095880374,-0.05004359,0.063974924,-0.0045986776,-0.051864725,0.22216193,-0.018189713
511,-0.022423321,0.067005016,-0.08477973,0.12861402,0.020974124,-0.11630283,0.03659785,0.12678038,0.11805626,-0.055223543,0.09398024,0.060943697,0.11637592,-0.022494473,-0.066968314,-0.18672471,-0.01914589,-0.25809404,-0.04047561,-0.1031987,0.12370636,0.006217389,-0.15533054,-0.031505976,0.044598006,-0.10828919,0.048782744,-0.014598164,-0.06996792,-0.11190102,0.025987405,0.118350476,0.023668177,0.027224781,0.11896644,0.07469948,0.006723242,0.071846746,-0.12585005,0.066317044,0.0063033383,0.13423729,-0.05426977,0.10692864,-0.0685922,0.028417958,-0.09448347,-0.025655786,0.025602497,0.029080363,-0.008854015,0.029657304,-0.096905954,-0.058876414,-0.093023464,0.12145634,0.10300465,0.10734878,-0.021446954,-0.2069539,-0.0107055195,0.15621886,0.07700996,0.08890744,-0.20989753,0.07181048,-0.11286474,-0.15749507,-0.11083641,-0.14949249,-0.113241546,0.038817074,0.111031145,-0.028014444,0.10539799,-0.11632721,-0.13121162,0.07084014,0.03349192,-0.0052605746,-0.19659144,0.025636945,-0.22741635,0.11324554,0.2808361,-0.11813068,-0.13335909,0.061166395,0.088695735,-0.0152601125,0.0021346153,0.07615153,0.025381401,-0.06839321,-0.12041627,-0.059453394
630,-0.049555648,0.01677149,-0.089350894,-0.22807956,-0.055389933,-0.12632145,-0.08222316,0.07060357,-0.19400981,-0.0067371656,0.15581626,0.11219678,0.11007193,-0.053163495,-0.052464295,0.07216982,-0.12711106,0.06499059,-0.09668906,-0.06490598,0.04409792,-0.088036984,-0.061687633,-0.032466687,-0.014889487,0.00036138418,-0.051852338,0.10838484,0.10714919,-0.14475928,-0.18167938,0.12866545,-0.09446035,0.045168772,0.12077805,0.07702656,0.26398534,0.13762859,-0.1858669,-0.086070485,0.07505326,0.12789524,0.11407481,0.12106412,-0.043653727,0.006985074,-0.03405877,-0.024853714,0.09138902,-0.04550968,-0.080462664,-0.016589005,-0.010889762,-0.015551223,-0.12169377,0.12208065,0.14159049,0.10403669,0.09693984,-0.09530713,0.06398468,0.08681211,0.06898608,0.11941289,0.10289024,-0.20743158,-0.11455322,-0.054530427,-0.14667152,-0.13502528,-0.14481811,0.056780174,0.12339098,0.016377736,0.11645755,0.12395855,0.07069576,0.098839246,0.017049031,-0.12790811,0.05484172,-0.15365197,-0.12147265,-0.039579034,0.035704754,-0.024829218,-0.120041125,-0.048703477,0.09568114,-0.010608601,-0.05670651,0.108403884,0.049161583,-0.0602364,0.13110058,-0.051020276
622,0.01772967,0.05956382,-0.09950996,-0.076835826,0.12617321,-0.09962115,0.13151915,-0.034129944,0.027454793,-0.10391559,0.10988199,-0.08386124,0.037664372,-0.17387043,-0.11713208,-0.028469263,-0.019082418,0.049406067,-0.12682433,0.01518823,-0.068280876,-0.048082367,-0.0366594,-0.14710228,0.06763688,-0.23282981,0.06635945,0.12878235,-0.13441846,-0.026274884,-0.033467386,0.13223489,-0.04660591,0.20265622,0.0054493267,0.0969199,-0.05008738,0.10921581,0.060961384,0.14627543,0.16646905,0.11244625,0.16073082,0.11987658,-0.003337971,-0.11637796,-0.00037147215,-0.1726961,0.10328667,-0.058683272,-0.13655949,0.07691418,-0.059238385,-0.09300585,-0.1280787,0.07401135,0.12789194,0.1310177,0.17759481,-0.08864801,0.15763757,0.15878722,0.0859965,0.108983375,0.040432416,0.09090104,0.04488462,0.0057670446,-0.046940323,-0.110578634,-0.13606901,0.09651892,0.045596324,-0.14644189,0.09555329,0.064933635,0.015192842,0.16314313,0.14248003,-0.1346706,0.12512948,-0.062021784,0.048859153,-0.11414336,-0.085964,0.028546203,-0.11749148,-0.08560263,0.10408368,0.0735551,0.01286317,0.098444596,0.01940543,0.031080538,0.033453807,-0.11252998
130,-0.059507933,-0.01980149,-0.101816684,-0.20386997,0.074140325,-0.08877794,0.032984138,-0.08803848,-0.025179977,-0.03749539,0.13868637,-0.08220316,0.017347869,-0.021725753,-0.093700044,-0.07105521,-0.19169812,0.26653928,-0.17688768,-0.0066126287,0.1732446,-0.035802834,-0.110790715,-0.04241076,0.04072559,-0.011478102,0.057282906,0.12081844,0.053552378,-0.019479591,-0.17791584,0.12225535,-0.04349658,0.06870026,0.15664428,0.14029172,0.12562539,0.124187805,0.059370268,-0.023228778,0.12537242,0.12505102,0.14601234,0.09915137,0.002661922,-0.04418334,-0.15441775,-0.06841198,0.078576475,-0.060758654,-0.091982074,0.11596082,0.0019515014,-0.02937015,-0.113752194,0.105025016,0.0669755,0.092177235,0.22824495,-0.0013579172,0.16355388,-0.05428598,0.10262692,0.041297857,0.047871586,-0.047528625,0.11908659,0.0046843523,-0.10450782,-0.09711501,-0.14797896,0.117963985,0.09135527,-0.18351975,0.09301409,0.060719315,0.039073117,0.115598686,-0.09145609,-0.12307891,0.070592575,-0.15734798,0.01815637,-0.02584999,-0.11602532,0.017458223,-0.105577946,-0.058567338,0.06928251,-0.044989683,0.009789799,0.10005566,-0.06135877,0.16268584,0.04138839,-0.08317048
243,-0.0001509075,-0.04264987,-0.122431755,-0.113221824,-0.12122121,-0.07062084,0.13171615,-0.07300641,0.046063323,-0.16420448,0.11734432,0.069539964,-0.0074040727,0.14500612,-0.038536817,-0.16735186,-0.012878622,0.2766909,-0.12040834,-0.03289836,0.0030249867,-0.018021746,0.046137676,-0.1817286,0.060377337,-0.06076317,0.15833856,0.15031223,-0.112783924,-0.10487738,-0.007993981,0.102424644,0.024603397,0.042114552,0.007666325,0.09815303,0.09027345,0.09896794,0.14663884,0.020759802,0.1341474,0.07985226,0.24801974,0.111135125,0.088258676,-0.108671494,0.060046323,-0.022704272,0.025183,-0.07841562,-0.12778848,0.059177328,-0.06805399,-0.017403472,-0.09416467,0.07494793,0.07799107,0.10613695,0.21636502,-0.11448064,0.15629409,0.14970838,0.008649157,0.0568788,-0.011813629,-0.08774143,-0.08064939,0.007368586,0.010035983,-0.083644316,-0.08849361,0.147766,0.034491297,-0.04605561,0.111188255,0.18913044,-0.037632473,0.1677666,0.16836917,-0.14753893,0.11807287,-0.08353146,0.03222562,-0.056155387,-0.05740494,-0.12401222,-0.13252012,-0.0026930536,0.086505756,0.012415797,0.012778087,-0.02102344,0.08135633,0.0802785,0.012241317,0.015159528
670,-0.019178277,0.12397459,-0.19404954,0.06906209,0.09541538,-0.118546225,0.040650997,-0.040105395,0.13451917,-0.004052976,0.103062965,-0.014611628,0.0031037324,0.009452434,-0.10823186,-0.18750681,-0.17181598,0.1453049,-0.14736755,-0.025496429,0.21937902,-0.09045798,0.0015570016,-0.09716354,0.075963825,-0.10758785,0.08842165,0.0761384,0.07538107,0.014358391,0.04720805,0.13639411,0.00067879877,0.040263,0.12088101,0.11544413,-0.043209363,0.10718709,0.07723705,0.164964,0.107878745,0.120861016,0.091536894,0.10933477,-0.01014094,-0.007120393,-0.09857734,-0.10401983,0.04774548,-0.021393523,-0.050845776,0.043535426,-0.10461588,-0.13979763,-0.09550641,0.110149525,0.10393174,0.121774964,0.13139147,-0.042671904,0.12473635,0.008172254,0.09896972,0.08960781,-0.22927998,0.09710912,0.004015937,0.0123600485,0.07254303,-0.12385768,-0.16208719,0.10431635,0.09210414,-0.0815801,0.13729899,0.044857785,-0.15137762,0.13609599,-0.030581556,-0.08714979,-0.032467328,-0.039727394,-0.16316603,-0.15533583,-0.06742874,-0.05517153,-0.11469656,0.031382915,0.069905676,-0.054646093,0.013305007,0.09829394,-0.031603776,0.19114463,-0.14599453,-0.070716105
325,-0.08833329,0.011555521,-0.12856428,-0.087976724,-0.14312586,-0.0735268,-0.016289052,-0.08318548,-0.048610017,-0.12017741,0.05009686,0.18144026,-0.0290705,0.1522893,0.049634315,-0.018867087,-0.0071627917,0.31628066,-0.090790674,0.0011596228,0.008141163,-0.07352276,0.2047129,-0.118049234,0.024804022,-0.101943694,0.18832363,0.03773528,0.069122784,-0.27470294,-0.10535104,0.073612005,0.012374477,-0.012987123,0.068463154,0.033355754,0.121947855,0.08794296,-0.056132935,0.11760681,0.07871456,0.055652462,0.14747004,0.1061823,0.15989523,-0.014540098,-0.007097955,0.0436338,-0.0348611,-0.23850566,-0.041475203,-0.030628411,-0.04764241,-0.1525329,-0.036979485,0.059080876,0.083711274,0.0729022,0.15379451,-0.04713253,0.11953977,0.030505568,-0.028464235,0.028615445,-0.06849849,-0.06329817,-0.12156359,-0.020711461,0.11420305,-0.059880473,-0.047995847,0.11211861,0.027175771,0.04167895,0.09674012,0.18780254,-0.011511822,0.1167785,0.14345367,-0.09408065,-0.016021214,-0.15238681,-0.061787978,-0.23922269,-0.028032443,-0.07506963,-0.105091125,-0.02199848,0.052007813,-0.021031657,0.0779955,-0.024786467,0.004553018,0.12312406,-0.06695633,0.04098295
