,dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15,dim_16,dim_17,dim_18,dim_19,dim_20,dim_21,dim_22,dim_23,dim_24,dim_25,dim_26,dim_27,dim_28,dim_29,dim_30,dim_31
531,-0.0062542646,-0.23725979,-0.3106495,0.005580762,0.15700652,0.10237704,0.1995658,-0.20504022,-0.047253575,-0.19249184,0.19039914,0.09769386,0.1234943,-0.20147757,0.20792966,-0.10241652,0.032149885,0.18919848,-0.07090475,-0.017010106,-0.2088665,0.020590456,-0.0588913,-0.08713026,0.0068425243,0.21158476,-0.1691195,-0.117648706,-0.5650545,-0.12842627,-0.1047722,-0.06491684
466,-0.004585749,-0.24649575,-0.3027156,0.0072591556,0.14610836,0.10443556,0.19771272,-0.20774509,-0.03012319,-0.19319238,0.19673973,0.09747198,0.11497975,-0.20202874,0.21295556,-0.103967614,0.04001579,0.19196439,-0.073493324,-0.012313637,-0.21118078,0.024531752,-0.046638723,-0.08543304,0.0003768237,0.21496633,-0.17503187,-0.11802724,-0.55909467,-0.12590896,-0.114473596,-0.07344557
185,-0.003184686,-0.23805524,-0.31185937,0.0068631466,0.15304552,0.10393803,0.19795306,-0.20511721,-0.046793155,-0.19494627,0.19234516,0.099543214,0.12324566,-0.2000133,0.20724939,-0.102515385,0.03720246,0.18949953,-0.071082376,-0.015549464,-0.20658246,0.02155199,-0.055011418,-0.08521159,0.0079462025,0.21437542,-0.17271982,-0.11509713,-0.5640005,-0.12505968,-0.10707837,-0.0667656
52,-0.008839112,-0.23916194,-0.30856588,0.0017087875,0.15324965,0.104822725,0.19893497,-0.20586263,-0.045463413,-0.19253048,0.19068733,0.10005799,0.1217679,-0.20138177,0.20924214,-0.1023984,0.033090364,0.18975066,-0.06947372,-0.018429583,-0.20726791,0.019450799,-0.056381393,-0.08538713,0.0074818437,0.21004944,-0.17205274,-0.11648483,-0.5663831,-0.12664233,-0.10599766,-0.06660355
157,0.002038245,-0.24333295,-0.3065533,0.014773269,0.14809854,0.10226078,0.19966666,-0.20636961,-0.033013705,-0.19441769,0.19270155,0.09676328,0.11534726,-0.20251824,0.21102792,-0.104781225,0.04270017,0.18895078,-0.0756513,-0.009496936,-0.2113558,0.028009707,-0.047798228,-0.086521536,-0.0018009285,0.21544747,-0.17320295,-0.116034485,-0.5600054,-0.12768047,-0.112706386,-0.07395798
19,0.014348861,-0.24530157,-0.29751876,0.01778589,0.14294694,0.091121,0.20577952,-0.20975359,-0.027259512,-0.18756287,0.19413075,0.09021908,0.10109567,-0.2054872,0.21695775,-0.112292945,0.054463692,0.18563128,-0.08252391,-0.003866437,-0.21135952,0.03338459,-0.038998425,-0.09173173,-0.0073366244,0.21834683,-0.18036126,-0.114199646,-0.5556214,-0.13556665,-0.11971216,-0.08447045
407,0.0075574345,-0.2532098,-0.2955176,0.018485833,0.13939063,0.0882518,0.20624459,-0.21382649,-0.013482214,-0.18951683,0.19335221,0.09026948,0.09832502,-0.20652677,0.21730489,-0.115783654,0.0502077,0.1875729,-0.079861924,0.009886816,-0.21983479,0.032423593,-0.038767714,-0.093938425,-0.015615975,0.2181404,-0.18071035,-0.11844639,-0.54846746,-0.13457568,-0.120655194,-0.07881829
75,-0.008898882,-0.23308472,-0.31400397,0.00256313,0.15729375,0.10434032,0.19720982,-0.20543201,-0.05494966,-0.19329043,0.18773186,0.10097356,0.12759809,-0.20099445,0.20196453,-0.10154989,0.030536862,0.1919674,-0.06910324,-0.016898869,-0.20782761,0.017688535,-0.059613768,-0.08432766,0.010786078,0.20890443,-0.16920881,-0.114635475,-0.5686175,-0.12989236,-0.101454176,-0.060226187
336,0.0057375515,-0.24344046,-0.3087511,0.016359907,0.14955302,0.09801178,0.20226772,-0.20669904,-0.036432374,-0.1941504,0.1944893,0.096766144,0.11509787,-0.2013077,0.21066558,-0.10545779,0.04524697,0.18580373,-0.07578121,-0.0063262847,-0.20749013,0.02650215,-0.050397407,-0.08738355,7.4529007e-06,0.22017558,-0.17407879,-0.11361879,-0.5583414,-0.1272584,-0.1123301,-0.07404941
91,-0.013796513,-0.23418045,-0.31203666,-0.003634303,0.15954208,0.10698627,0.19461246,-0.203322,-0.05443606,-0.19269878,0.19109312,0.10133507,0.13007212,-0.19957632,0.20722413,-0.10006568,0.026507815,0.19086435,-0.0669135,-0.027058797,-0.2029585,0.014356052,-0.06142063,-0.085081756,0.01656066,0.20929988,-0.17037769,-0.11814772,-0.56849223,-0.124614485,-0.10277433,-0.06160737
224,-0.0043910975,-0.23410413,-0.31883138,0.012276139,0.15711305,0.109637946,0.1944781,-0.20183292,-0.05253081,-0.19424914,0.19280358,0.10084771,0.13041359,-0.19870907,0.2035299,-0.09734694,0.035877995,0.1898682,-0.07026595,-0.021594763,-0.20620705,0.02074388,-0.05820298,-0.07942875,0.009369925,0.21462423,-0.16577838,-0.113353334,-0.56563187,-0.12503104,-0.10568952,-0.06530619
757,-0.012412693,-0.2337933,-0.31497553,-0.00037413777,0.15974028,0.10828096,0.1950729,-0.20237318,-0.055757593,-0.19358663,0.19106476,0.10267234,0.13106544,-0.19909105,0.20565191,-0.09879393,0.027845325,0.18947665,-0.06630084,-0.02563958,-0.20302773,0.015358173,-0.06264515,-0.083840474,0.015307453,0.2098176,-0.16914415,-0.11628451,-0.56859815,-0.12383688,-0.1014028,-0.061442617
706,0.0044677593,-0.23882444,-0.31419986,0.019645263,0.14963105,0.10030471,0.20035954,-0.20647372,-0.04172796,-0.1955436,0.1909856,0.0981791,0.11680057,-0.20088567,0.2046061,-0.10506732,0.04456266,0.18682796,-0.07366168,-0.0072081476,-0.20917997,0.025678009,-0.051646736,-0.084295094,7.5951524e-05,0.2195964,-0.17055328,-0.11211894,-0.5622746,-0.12925547,-0.10827749,-0.067776136
