,dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15,dim_16,dim_17,dim_18,dim_19,dim_20,dim_21,dim_22,dim_23,dim_24,dim_25,dim_26,dim_27,dim_28,dim_29,dim_30,dim_31,dim_32,dim_33,dim_34,dim_35,dim_36,dim_37,dim_38,dim_39,dim_40,dim_41,dim_42,dim_43,dim_44,dim_45,dim_46,dim_47,dim_48,dim_49,dim_50,dim_51,dim_52,dim_53,dim_54,dim_55,dim_56,dim_57,dim_58,dim_59,dim_60,dim_61,dim_62,dim_63,dim_64,dim_65,dim_66,dim_67,dim_68,dim_69,dim_70,dim_71,dim_72,dim_73,dim_74,dim_75,dim_76,dim_77,dim_78,dim_79,dim_80,dim_81,dim_82,dim_83,dim_84,dim_85,dim_86,dim_87,dim_88,dim_89,dim_90,dim_91,dim_92,dim_93,dim_94,dim_95,dim_96,dim_97,dim_98,dim_99,dim_100,dim_101,dim_102,dim_103,dim_104,dim_105,dim_106,dim_107,dim_108,dim_109,dim_110,dim_111,dim_112,dim_113,dim_114,dim_115,dim_116,dim_117,dim_118,dim_119,dim_120,dim_121,dim_122,dim_123,dim_124,dim_125,dim_126,dim_127
359,0.07862133,-0.07813002,0.07867322,-0.029233279,0.0042135594,-0.025336491,-0.20754728,-0.010672681,0.037742134,-0.032800373,-0.0012822899,0.029551005,-0.0589046,-0.027281078,0.04148179,-0.06858537,0.07030232,-0.033419434,-0.14217548,-0.021769444,-0.042587765,-0.005731467,0.030772593,-0.094997525,-0.18176055,-0.026631318,0.0783666,0.02040229,-0.027829956,0.032875933,-0.008869938,0.022841208,-0.009452865,0.03773967,0.21153286,-0.053707786,-0.011921794,0.06415726,-0.20659876,-0.1336709,0.12830777,-0.115573674,-0.033874195,-0.044831425,-0.05277429,0.042240195,-0.13542414,0.12663598,-0.0143951615,0.08263428,0.14489788,0.14773867,-0.13756554,-0.104964495,0.024924552,-0.12248098,-0.010408249,0.013732045,0.07313927,-0.12595463,-0.07795407,-0.080730826,0.05577685,-0.10832108,-0.05175487,-0.0140553815,0.048625674,-0.0076671676,-0.0100317625,-0.077518135,-0.14165851,-0.07309972,-0.14893161,0.15192318,-0.026115855,0.028267968,0.08718687,-0.08202063,-0.14534073,-0.079199344,0.0255568,0.05461028,0.121800765,-0.1038256,0.0016433606,-0.050416954,0.005974118,-0.061504144,-0.056941792,-0.037227996,0.21142061,-0.041806128,-0.026362762,-0.04855236,-0.08231381,0.09667286,0.05486857,0.05827472,0.034267023,-0.09851849,-0.02530653,0.12872835,-0.1144328,-0.18355891,0.016024102,0.20679186,-0.12582883,0.07113997,0.06470365,0.022434503,0.026749443,-0.044880707,0.07472506,0.043143276,0.003947753,-0.062047087,0.118643,0.10560906,0.092046805,-0.08830644,0.06578147,0.07918605,-0.13304433,0.009878526,0.009738053,-0.034718823,0.16147894,0.13741152
613,0.083395705,0.077451274,-0.06606778,-0.0014978542,0.14164704,0.021477088,-0.14952965,0.023122527,0.09377718,0.036494464,-0.0890515,-0.026735127,-0.07907349,0.030343423,-0.03338518,0.018181311,0.04635939,-0.04236417,-0.09001942,0.05506016,0.1050013,-0.026374947,0.05974667,-0.038752872,0.1017894,0.05023004,0.010488021,0.03812367,-0.02916456,0.030472836,-0.056551218,-0.13097665,-0.0107157845,-0.002352445,-0.03384698,0.06535967,0.07161729,-0.039023954,-0.16173437,-0.12442045,-0.044222113,0.05762957,-0.13455741,0.00632438,-0.038487256,-0.016031569,-0.039793584,0.04638207,-0.010951759,-0.076951,0.08642943,0.09854106,-0.18543589,0.04427427,0.044831555,-0.17302127,-0.053101424,0.0742465,-0.034434605,-0.10349167,0.01782961,-0.02464051,0.014517106,0.03562232,0.003888967,-0.0376307,0.024056038,-0.046721354,0.027905611,-0.081064895,-0.03175835,-0.020891028,-0.08330398,0.14499602,-0.21313803,0.059267186,0.07125943,0.020458613,-0.11997122,-0.1985962,-0.090490066,0.103061646,0.10622828,-0.09170006,-0.079163514,-0.12433909,-0.006823609,0.05721265,-0.050351,-0.025802758,0.14611295,-0.07511379,-0.099635996,0.2145543,-0.014694765,0.06346984,0.03616635,0.02182205,0.028784575,-0.16062382,0.040322974,0.1664376,0.19721144,-0.015080946,-0.019102044,0.16239446,0.037550546,0.09777677,0.07455128,0.111597694,0.11219151,-0.09489606,0.13341632,0.028826434,0.10775733,-0.029821951,0.05635068,0.1354315,0.011738396,-0.2782409,0.07249644,0.05331386,-0.026881155,-0.08318182,0.13372506,-0.015348895,0.038586896,0.06046192
538,0.07071457,0.02246837,0.15113942,-0.021652611,0.10898706,0.0628081,-0.06071428,-0.06252321,0.014560537,-0.12275719,-0.0068306252,0.1261355,0.018394912,0.073676646,0.062209543,0.108679764,0.10236832,-0.080298975,0.04451291,0.07807917,0.11059445,-0.002498015,0.049366187,-0.09958334,-0.06921451,0.052449908,0.06139984,-0.007571165,-0.09818345,0.11721533,-0.17237416,0.038916916,-0.06316385,-0.08205258,0.024463635,-0.103523724,0.12631331,-0.0365063,-0.20407294,-0.09139568,0.011146992,-0.13978317,0.034480695,-0.059532024,-0.14039612,-0.035429366,-0.14076035,0.008473824,-0.057569224,0.13221504,0.10014599,0.059376914,-0.18353166,-0.1444616,-0.04431199,-0.10946221,-0.036169086,-0.019429445,0.18443707,-0.09223603,-0.10388736,0.005718407,0.055523198,-0.065053254,-0.057405926,-0.049864314,0.04734024,-0.10687035,-0.0457911,-0.056522794,0.015126661,-0.08420303,-0.0009521842,0.14018033,0.01189457,0.10460602,0.057613455,0.055326805,-0.057776496,-0.049212426,-0.14642206,0.070679866,-0.024866343,-0.06883946,-0.05115346,0.1138045,0.017272782,-0.06823844,0.028180376,0.017710576,0.098353416,0.015569417,-0.044016827,-0.020379238,-0.04551769,0.14034747,0.063280806,0.17883258,0.10255776,-0.22862296,-0.0050771795,0.12021058,0.057040986,-0.13920096,-0.00498939,0.15099238,-0.050745916,0.08728993,-0.0047779027,0.08022781,0.07270698,0.057996333,0.093346804,0.11159397,0.078250095,-0.037070382,-0.019076262,0.062041838,0.14670281,-0.13574252,0.0970375,0.0848017,0.011592811,0.03219395,0.004954297,-0.020216495,-0.07193575,0.13086408
204,0.11874685,0.08495123,0.019470328,0.062897295,0.04957727,0.022463975,0.010529792,-0.15548922,0.22430564,-0.049672753,-0.094294585,0.06039673,-0.04527508,-0.012502383,0.1446889,0.15662159,-0.08779763,-0.071845524,0.18949303,0.15181985,0.010006623,0.05553911,0.10708384,0.018749345,-0.10299807,0.009397516,-0.16023734,0.060838267,-0.02576716,0.039705455,-0.11292761,-0.065215066,-0.06486153,0.08668879,0.00890597,-0.14413051,0.047567297,0.090482794,-0.13266343,-0.107312195,0.22343723,-0.09678335,-0.014487135,0.048686434,-0.078724585,-0.07557148,-0.07766116,-0.13767987,-0.080570154,0.091687985,0.022655861,0.06917621,-0.12238187,-0.023113199,-0.037414573,-0.13734512,-0.06967234,-0.008813179,0.092065684,-0.15188909,0.03761372,-0.04345085,0.06260488,0.016403314,-0.08740499,-0.026441189,0.022854237,-0.08571169,0.0132029895,-0.07978909,0.05470684,-0.058708344,0.036315504,-0.020573847,-0.012288829,0.04592432,-0.005642127,-0.05191092,0.05194068,0.0484699,-0.0893991,0.031360526,-0.11577198,-0.050534226,-0.08738414,-0.18178159,-0.13383879,-0.048739947,0.020244027,0.008865315,-0.06312613,0.03193788,-0.060066927,-0.121316195,-0.06233065,0.0143158315,0.0045638494,0.07369858,-0.013669919,-0.11379634,-0.2752901,0.05550478,-0.09392466,-0.1843491,-0.027965538,0.09642689,0.052608028,0.050649952,0.010553043,-0.014050375,0.038445484,0.002430927,0.044023927,-0.073308505,-0.048495706,0.031107089,-0.22234356,-0.069525294,0.06799789,-0.075606674,-0.10714142,0.039525498,0.053710192,-0.024379702,-0.019456761,-0.014400947,0.100730196,0.04868691
658,0.020768546,0.10055355,-0.2768851,0.022568258,0.13760635,0.053951684,-0.01755553,-0.04818235,-0.004902384,-0.021984069,-0.10299809,0.06647157,-0.12391646,-0.07567163,-0.04328859,0.2386689,0.023187792,-0.0113227395,-0.02389598,0.087672204,0.03240435,-0.027980307,0.057722542,0.016825031,0.024016576,0.050529223,-0.05808764,0.081010774,-0.058228955,0.06651021,-0.18081495,-0.032976914,-0.09742769,-0.08130964,-0.029994955,0.007379811,0.114302695,0.030322608,-0.120801404,0.017139956,0.033303358,-0.0019886908,0.016853848,0.04266357,-0.06705522,-0.06726661,-0.18375777,0.05430307,-0.013628794,0.00577143,-0.033031195,0.09865928,-0.11770323,0.005810195,0.12586373,0.0046068016,-0.005686992,0.1438767,-0.12161767,0.04598656,-0.012237892,-0.15508498,-0.04608246,0.068363756,-0.020780183,-0.07872884,0.021560002,-0.002980376,0.04242412,-0.1852866,-0.02925358,-0.021162884,-0.079501964,0.037743732,-0.26651478,-0.06569566,-0.0059686927,0.02852679,-0.028738543,-0.049319796,-0.05359775,0.01759205,-0.07269099,-0.0956808,-0.04729759,-0.1676026,-0.2363097,0.053250566,-0.051416874,0.034174886,0.14063025,-0.020869063,-0.11915963,-0.017916715,0.040723402,0.04116942,0.049638283,-0.088304065,-0.011319586,-0.13687195,0.09556329,0.082041234,0.04056746,-1.5924661e-05,-0.057172462,0.10423882,-0.018901473,0.05319194,0.02332754,0.20875518,0.040112335,-0.18151206,0.06303187,-0.004670087,0.22891492,0.02663887,0.006041722,-0.03851511,-0.024901144,0.0074795345,-0.00817034,-0.012625761,-0.051129222,-0.12869896,-0.040360264,-0.096318275,0.05455635,0.059363477
399,-0.039239626,0.026509201,-0.03759001,0.08965443,0.099863626,-0.004210043,-0.017299483,0.0382021,-0.010578755,0.028277429,0.01705582,-0.102648236,-0.06503395,0.19159913,0.1325723,0.22431156,-0.0358247,-0.05775904,0.044729516,0.10876734,0.17584537,0.0017595249,0.046979517,-0.043156654,-0.09626973,0.09208786,0.057793528,0.015996996,-0.096331075,-0.050263003,-0.18463288,-0.0076859137,-0.07561108,-0.04935549,-0.109972045,-0.041268714,0.047982827,-0.0049813157,-0.21469545,-0.0042044325,0.14548269,-0.044654902,0.116100475,0.06066005,-0.0049708714,0.019899718,-0.012051323,-0.06805341,-0.14542635,0.034280885,0.085177034,-0.003504213,-0.22570497,-0.03409511,-0.007447084,-0.03041582,-0.041075442,-0.08406561,0.04808484,-0.0418826,-0.04291554,0.019639537,-0.002717446,0.08066188,0.014504991,0.01423204,-0.009451595,-0.030018916,0.129557,-0.06655199,-0.038172152,-0.059855852,0.044584963,-0.0011883692,0.06188738,0.36066234,-0.034007285,0.058359016,-0.004109752,0.10640084,-0.065656364,0.14367795,-0.07522794,-0.021636898,-0.08421818,-0.023021976,-0.04094816,-0.0980349,-0.1343356,-0.055014048,0.004940783,0.040015213,0.0064041046,-0.20825647,-0.00937684,0.07681736,0.08311931,0.018298356,0.13119458,-0.06970635,0.018368999,0.09125414,0.21992166,-0.012286492,0.05480804,0.040407747,0.052855678,0.0010549735,-0.1388529,-0.037823483,0.017982304,-0.04106373,-0.036046818,-0.013610103,-0.19073044,0.05870129,0.011124793,-0.15561812,-0.039890345,-0.04305479,-0.08127655,0.020176535,0.082854755,-0.039748903,0.06267282,0.03682334,0.07495566,-0.038132373
678,-0.070277795,-0.047887363,-0.05855378,0.027015265,0.03966077,0.11283201,-0.017815549,-0.114081495,-0.052286617,0.019856025,-0.06969834,-0.1732753,0.015188644,-0.0013087088,0.058806803,0.072024725,0.05066648,-0.036958005,0.116426446,0.0013878555,0.025685402,0.05416451,0.023300372,0.068776645,-0.09978706,0.012075804,0.13502605,0.07122497,-0.23153055,0.138199,0.10802233,-0.2625931,-0.15191586,-0.13582902,0.008526221,0.07253139,0.04104571,0.045292884,-0.13603382,-0.028601496,0.26437637,-0.029092314,0.07481228,0.030220114,-0.15331474,-0.102032155,-0.060663577,-0.04109899,0.013143637,0.018732706,0.035646275,0.0062406086,-0.073880665,0.055609155,0.0007633023,0.044800237,-0.111223936,-0.006035948,0.039485183,-0.053707656,0.09772737,-0.01784573,0.042079326,0.058418177,-0.019721935,-0.055932514,0.10410163,-0.096377075,0.043565787,0.031204183,-0.10291274,-0.04895596,-0.17114235,-0.04783879,0.03271175,-0.001234724,-0.09249023,-0.006756129,-0.050773807,0.11754027,-0.09276909,-0.029815067,-0.1286414,-0.0911665,-0.1342553,-0.059612535,-0.09183237,0.029977446,-0.13008258,-0.17927626,-0.05731922,0.061076306,0.016683131,-0.045664445,-0.062126998,0.0289578,-0.006305391,-0.123227015,0.020924913,-0.11921489,-0.085665934,0.00032262594,-0.0628955,0.053975515,-0.08204276,0.15850648,0.04912787,0.055512086,0.12549327,0.019497015,0.13361092,-0.15998374,-0.0084908875,-0.06327784,-0.0680148,-0.008113383,0.17644121,0.006332873,-0.043284554,-0.10754719,-0.07192571,0.018026857,0.015784325,-0.08726533,-0.12671536,0.0252364,0.122192904,0.07288744
713,0.11505391,0.0811739,-0.16727483,0.004000138,-0.039358266,-0.013701616,-0.1435857,-0.06300577,0.15024328,0.047721993,0.0056863306,0.16833724,-0.14587276,-0.015789118,-0.06502131,0.06006146,-0.18202256,-0.021428714,0.06881022,0.012431338,0.115443476,0.006525902,0.077343166,-0.08239417,-0.049469706,0.09074457,0.056584008,0.06614467,-0.074339025,-0.031129707,0.024727367,0.016536132,-0.040598143,0.12157473,-0.0014349156,-0.180178,0.13596742,0.026213754,-0.17225091,-0.021552995,-0.021132683,-0.05409146,0.08300444,-0.03965132,-0.18726742,0.05700538,-0.107171066,0.121442184,-0.05227388,-0.057465177,-0.019011445,0.19400999,-0.22380015,-0.05768441,-0.003427086,0.055025447,-0.026094297,-0.0062399106,0.038902402,0.06744896,-0.02733035,-0.085761026,-0.06979863,-0.04256387,-0.044181224,-0.027154258,0.05321963,-0.034894917,-0.08554767,-0.22463764,-0.123427704,-0.068323985,-0.02898128,-0.059024747,-0.16578162,0.14282961,0.07389226,-0.049167573,-0.09240542,-0.0083971815,-0.050109915,0.10581356,-0.05737753,-0.043674886,0.06132338,-0.16271657,-0.06779806,-0.09496228,-0.026026538,0.0717189,0.0788237,-0.138986,-0.033238415,-0.028935421,-0.032290574,0.0815548,0.08966361,0.09655177,0.011731588,-0.1320173,0.19865236,0.13514039,0.014030704,-0.017086083,0.0016769222,0.07649502,-0.09698763,0.009939526,-0.10527371,0.054963104,0.094112195,-0.061570868,0.030025642,-0.031405706,-0.025066901,-0.032604817,0.03505301,-0.050514057,0.0372595,-0.093868814,0.02622226,-0.008706278,-0.19641577,-0.048624855,0.014499978,-0.035469133,0.05049139,0.030987242
313,-0.12708187,-0.022558862,0.08666571,0.10661207,0.050322708,0.055285595,-0.060655665,-0.110948086,-0.16057703,0.07583803,-0.039922662,-0.06626997,-0.11741272,0.0986802,-0.022820229,0.027708467,0.000610297,-0.0005201077,0.010780853,-0.003122461,0.01288194,0.03839579,0.021747988,-0.09446752,0.016409721,0.0021312335,0.24621631,0.0075150705,-0.06337946,0.12883087,-0.09995539,-0.013848508,-0.07238166,-0.11089468,0.07748827,-0.03262411,0.083280414,-0.013990331,-0.164364,-0.121805094,0.05662796,0.046952605,0.018665252,0.037954733,-0.20502959,-0.057994384,-0.10326307,0.03846833,-0.09171621,0.110783644,0.026962714,0.07765599,-0.20446777,-0.10638323,-0.017825656,0.014799664,-0.03602242,-0.012167361,-0.17571145,0.07442695,0.14669393,0.023188997,0.029102372,0.03437235,0.0008070158,0.021255456,0.022313,-0.097697854,0.089045525,-0.06157063,-0.025915807,-0.10084981,-0.12611727,0.22010326,0.19947714,0.16236912,-0.0040866598,0.047108285,0.040144518,0.062081628,-0.08168717,0.050117325,0.04522056,-0.051440112,-0.0864235,0.048494935,-0.10198577,-0.07526527,-0.10583682,-0.12478849,0.17675558,-0.11808914,0.033056613,-0.02834878,-0.024594856,0.12592627,0.1462055,0.06391859,0.06313515,-0.04179171,-0.027349507,-0.06621496,0.12742768,-0.14027597,-0.07105201,0.07989013,-0.029191373,-0.0053295535,0.023360148,-0.05120424,-0.06781321,0.006026769,-0.026984747,0.026499134,0.05682916,0.020391932,0.19016351,0.083018,0.04199905,-0.026873775,-0.04792669,-0.0037562374,0.017143626,-0.13809933,-0.07036937,-0.09777669,0.105188005,0.06845341
186,0.03435444,0.14492393,0.1458706,0.02796404,0.06831417,0.07775156,-0.104487605,-0.015173189,0.07338298,-0.21827316,-0.07746442,0.01329919,-0.06835488,0.0077442154,0.021613326,0.03483735,0.03731054,-0.064838156,-0.021980405,0.041304912,-0.063460685,0.007855004,0.073083505,-0.099742204,0.033541925,-0.035955455,-0.15040627,0.04412282,-0.045024846,0.13526532,-0.19037755,0.06690963,-0.10213343,-0.0509578,-0.047364034,-0.019163067,0.10319728,-0.060582213,-0.18205678,-0.13654727,-0.019560285,-0.045572355,-0.13253282,0.007143728,0.07893656,-0.05977321,-0.12003976,0.027106792,0.00264909,-0.055448174,0.08063604,-0.019834742,-0.1608938,-0.1341601,-0.03584321,-0.1742106,-0.039151285,0.02346383,-0.012755999,-0.08859804,0.044320017,-0.03982451,0.11333325,0.009036662,-0.056171864,-0.045042142,0.043466154,-0.08792998,0.14313701,-0.024615709,0.05420845,-0.046959884,-0.059763737,0.24532016,-0.2004034,0.043736648,0.037370127,-0.0032512264,0.049878232,-0.1771466,-0.17568974,0.015686935,0.07634273,-0.07075074,-0.076866955,-0.0014420705,-0.025881315,-0.040345967,0.06970145,0.0134365475,0.11412931,0.030192127,-0.04120784,0.037328474,-0.010456698,0.10559196,0.042206563,0.09446343,0.107534304,-0.13093203,-0.0007511259,0.06494467,0.023420556,-0.20743473,-0.06326643,0.046010356,-0.018352129,0.13504766,-0.052715532,0.07809497,-0.029642725,-0.005884453,0.12800732,0.1306437,0.11764307,0.017947497,0.039454263,0.14111815,0.07624952,-0.047889553,0.0689404,0.11450257,0.043443166,-0.036495525,-0.022332704,-0.06610047,0.03101532,0.15104128
