,dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15
154,0.43860427,-0.24073654,0.28854236,0.16513015,0.21098873,-0.10983765,0.3321559,-0.27318472,0.14023907,-0.10328724,-0.29229075,0.12709531,-0.13435335,0.3300976,-0.35338983,-0.11742006
526,0.3966214,-0.20231971,0.25613338,-0.12381298,0.25177515,-0.058269937,0.28781673,-0.17182559,0.26730368,0.0067646825,-0.39973074,0.16853131,-0.03448848,0.25546634,-0.43426645,-0.16416821
271,0.47653317,-0.22750959,0.30889046,0.10072412,0.23232377,-0.09189665,0.09267844,-0.32916152,-0.02767536,-0.11446516,-0.2703849,0.34313363,-0.12038792,0.13758446,-0.4414134,-0.057056323
466,0.44527748,-0.23431727,0.28973874,0.13486688,0.2103987,-0.10590702,0.3013273,-0.25535408,0.15407476,-0.07962511,-0.31052417,0.18158711,-0.13422401,0.30494085,-0.3885614,-0.10832674
255,0.44775182,-0.23435286,0.2529657,0.33641142,0.19822654,-0.14876196,0.21959426,-0.29569072,0.045028795,-0.10895786,-0.24374962,0.27309453,-0.23783374,0.2597172,-0.31316423,0.019249974
257,0.40712714,-0.21408717,0.27427402,-0.12487124,0.27897987,-0.043019503,0.2692934,-0.21971476,0.21343242,-0.047115542,-0.38889205,0.17236161,-0.03373425,0.24123056,-0.43967226,-0.12554029
706,0.33889577,-0.13600047,0.16800925,-0.22704157,0.28547892,-0.027092667,-0.02611649,-0.08195173,0.15298995,0.046031445,-0.4153016,0.5324714,-0.11062171,0.0018328497,-0.44294906,0.08530982
48,0.3367887,-0.13846661,0.19263647,-0.29678783,0.22432733,-0.047334813,0.08343834,-0.041577958,0.26891735,0.117852345,-0.42839694,0.39784846,-0.030676404,0.06910495,-0.48621804,-0.104004726
39,0.4099832,-0.20574638,0.26191437,-0.19599767,0.23939645,-0.06842107,0.11935109,-0.14009035,0.17067087,-0.020587208,-0.39950287,0.36845893,-0.07073999,0.11312704,-0.47788778,-0.124941535
364,0.40321693,-0.2407037,0.22384161,0.48066652,0.121071585,-0.20343134,0.20457096,-0.2894525,-0.02382968,-0.17368647,-0.15358691,0.25555965,-0.3131347,0.23494609,-0.20206033,0.05424059
588,0.46158203,-0.24936005,0.3089595,0.15624352,0.22324455,-0.100609526,0.26232678,-0.31349874,0.06852488,-0.12830235,-0.2745443,0.1826345,-0.1238474,0.27772996,-0.3832903,-0.09255086
193,0.43352297,-0.18734781,0.2608956,-0.15477835,0.27770022,-0.026688617,0.065776534,-0.20314053,0.09965596,-0.001933268,-0.3725161,0.3719425,-0.03540436,0.10016155,-0.5077181,-0.073522754
112,0.4299654,-0.19360359,0.26543745,-0.10069949,0.29501936,-0.026633874,0.16039741,-0.21781126,0.15243971,-0.021760082,-0.38517332,0.3089843,-0.0563064,0.18089041,-0.47951347,-0.05262235
546,0.40128937,-0.14427392,0.15422261,0.38452092,0.2413023,-0.07428657,0.29244253,-0.19895333,0.16234078,0.08706403,-0.28514546,0.2115505,-0.22980927,0.40332288,-0.26577938,0.10744281
601,0.4084578,-0.2265022,0.26341772,-0.12678988,0.215274,-0.12534752,0.10100368,-0.14415121,0.13110298,-0.08360121,-0.37677124,0.4576489,-0.1575718,0.080593035,-0.43819636,-0.06664659
110,0.42113376,-0.25388384,0.28685388,-0.08427389,0.24412991,-0.12531592,0.08232193,-0.25018513,0.08876516,-0.13807729,-0.3615159,0.41145027,-0.13963126,0.040068835,-0.4188906,-0.025057513
114,0.37477013,-0.14176728,0.15652178,-0.14858739,0.26269212,-0.046038035,0.072612554,-0.05428758,0.24401407,0.15514694,-0.43323,0.45490244,-0.103283174,0.11455497,-0.4585223,0.035424817
690,0.46103603,-0.21101403,0.28587642,0.2901334,0.14873828,-0.14724608,0.03469689,-0.3151474,-0.10989553,-0.11242029,-0.18744206,0.4140129,-0.22167246,0.11099248,-0.3741087,-0.0042586853
437,0.43825394,-0.2670004,0.29629126,0.26428226,0.17337188,-0.14517747,0.30334368,-0.28895068,0.04801546,-0.1965196,-0.23262314,0.16569033,-0.20455377,0.30718943,-0.2980158,-0.06966459
609,0.42773685,-0.18413383,0.2398483,-0.121103175,0.2529593,-0.059637018,0.030695846,-0.16019575,0.09475425,0.008520334,-0.3776165,0.46606058,-0.10317279,0.070180625,-0.48179254,-0.015532445
385,0.4570942,-0.20552595,0.26166463,-0.047586657,0.24378158,-0.07899641,0.13399424,-0.19718623,0.13090327,0.022738408,-0.36750937,0.35728818,-0.085779585,0.16631255,-0.48318696,-0.08201181
723,0.32281756,-0.20466202,0.20636062,-0.3380666,0.2368519,-0.07991573,-0.008907918,-0.061561048,0.1495758,-0.077798955,-0.41335496,0.50089467,-0.10972432,-0.056772623,-0.40646636,0.0036379404
753,0.4476136,-0.20672992,0.2838633,-0.092057616,0.26601774,-0.045064606,0.13353236,-0.22727397,0.109899394,-0.038487736,-0.35851723,0.31970003,-0.05202106,0.15895742,-0.49209952,-0.10551645
175,0.4914425,-0.20174359,0.2898618,0.19726534,0.17804065,-0.11763936,0.048993137,-0.29633796,-0.056472424,-0.021785414,-0.2358216,0.3933236,-0.14870909,0.14183109,-0.44392797,-0.07625515
751,0.4044503,-0.21806473,0.26725975,-0.20668656,0.24526463,-0.08002147,0.087906815,-0.1628483,0.14572628,-0.047041647,-0.39918438,0.39132592,-0.07653277,0.06801181,-0.46643335,-0.099695385
471,0.2911856,-0.23347233,0.14943247,0.1563665,0.048975985,-0.19785854,0.53514606,0.02278703,0.3299061,-0.031384118,-0.26981878,-0.01930991,-0.19442853,0.47456914,-0.15387207,-0.12562203
207,0.39024478,-0.25175428,0.24237995,-0.151595,0.2969784,-0.09589398,0.10544817,-0.18711632,0.13925895,-0.14702144,-0.4124023,0.4168138,-0.15161161,0.0631714,-0.38077688,0.047859002
66,0.3077161,-0.09292922,0.08593137,0.33230466,0.057164222,-0.15493812,0.40207812,0.008180937,0.34426606,0.26701698,-0.27560642,0.10183882,-0.21371594,0.45931926,-0.22671483,-0.0752436
380,0.44711128,-0.20362383,0.2890514,0.29062885,0.08512791,-0.17414008,-0.05118933,-0.29799044,-0.18725379,-0.122870386,-0.13239667,0.4639833,-0.22578578,0.03000319,-0.35383254,-0.03969206
698,0.36309698,-0.17259142,0.21421157,-0.28143334,0.23307182,-0.07235906,0.07205047,-0.07948393,0.2097326,0.05972764,-0.42012694,0.41818357,-0.055083673,0.054478895,-0.47802272,-0.09363245
727,0.4240817,-0.18811172,0.27528977,-0.15893237,0.29172623,-0.011026812,0.13801081,-0.22701472,0.14169265,-0.016042195,-0.3775437,0.28523138,-0.009346352,0.15438746,-0.4994372,-0.1016145
77,0.31762654,-0.123705186,0.14246231,-0.27414313,0.28522334,-0.012436791,-0.048983283,-0.04680927,0.16169935,0.072223656,-0.4198119,0.5370136,-0.09470317,-0.01930446,-0.4310857,0.10534735
681,0.4848728,-0.21957114,0.31224275,0.16099378,0.21558447,-0.09588289,0.13885508,-0.33128577,-0.0026638275,-0.06545151,-0.26369157,0.28701216,-0.11563492,0.19548894,-0.437993,-0.09458212
7,0.41997257,-0.21790713,0.29297528,0.04065042,0.2865764,-0.039357595,0.30794024,-0.29668516,0.16379063,-0.096360326,-0.33321851,0.12565042,-0.06516505,0.30580297,-0.39351693,-0.08108825
303,0.4026972,-0.2249574,0.26889625,-0.16362038,0.2860915,-0.042172458,0.24817455,-0.19947372,0.2145146,-0.08243432,-0.3991243,0.21263358,-0.04482816,0.21096274,-0.43540296,-0.09863745
375,0.4498294,-0.24125634,0.2583101,0.3483374,0.18316408,-0.15642129,0.22700444,-0.29754886,0.026050748,-0.12379632,-0.22939247,0.25641945,-0.24062312,0.26468748,-0.30128086,0.014061447
416,0.41886324,-0.20523073,0.26422366,0.44498977,-0.0026379526,-0.23275977,0.015004889,-0.25910014,-0.16738218,-0.12077913,-0.07956983,0.41345713,-0.29779503,0.0867819,-0.2744075,-0.04082668
249,0.45900398,-0.20398396,0.28120738,-0.06099826,0.22780474,-0.0740906,0.044973817,-0.22115529,0.04609869,-0.023948567,-0.33377185,0.41327477,-0.08411329,0.08691704,-0.49931848,-0.087999724
156,0.48746225,-0.20222798,0.2871892,0.120561615,0.21815471,-0.089819245,0.032815427,-0.30353966,-0.052319825,-0.036028672,-0.26091167,0.39923358,-0.12166055,0.11893193,-0.46077782,-0.05328734
9,0.4564308,-0.2052743,0.2668312,0.42477322,0.039777394,-0.20496589,0.033093963,-0.27115056,-0.14556406,-0.0609064,-0.11209459,0.393882,-0.25842655,0.12950598,-0.31783408,-0.05009768
115,0.40766683,-0.2125468,0.28077096,0.072525844,0.30533874,-0.03246708,0.31530154,-0.30459002,0.17324863,-0.104211435,-0.3398183,0.12919453,-0.08525277,0.31384355,-0.37231728,-0.025186637
232,0.44511488,-0.22332773,0.28524053,0.16312449,0.15292473,-0.11826061,0.35060576,-0.23441663,0.14868948,-0.01452306,-0.2659743,0.06802397,-0.076515734,0.36386585,-0.37945226,-0.22102603
531,0.3716076,-0.28431755,0.25755087,0.007660347,0.2324556,-0.17457719,0.050576065,-0.2443712,0.03158097,-0.2774745,-0.31813893,0.47935793,-0.260641,-0.016799225,-0.27811977,0.11549784
332,0.39609027,-0.22576417,0.30095777,-0.08525825,0.26287583,-0.051326066,0.32248282,-0.2667514,0.20471433,-0.09039099,-0.35600144,0.068640165,-0.013016688,0.27288878,-0.39465246,-0.18839774
725,0.43928063,-0.23757428,0.26337588,0.014403876,0.2946122,-0.06918508,0.18636838,-0.23945111,0.11049917,-0.10901072,-0.3639917,0.33250657,-0.14759845,0.20543514,-0.40653288,0.031014355
532,0.463202,-0.22890328,0.30631757,0.13378313,0.23340438,-0.083418876,0.24058905,-0.30286738,0.072433785,-0.09968705,-0.29111913,0.21133609,-0.117701545,0.26926273,-0.41468236,-0.08576481
55,0.45980203,-0.21273641,0.29568857,0.22098264,0.14024524,-0.15096915,0.0032396733,-0.30305597,-0.10536263,-0.11011401,-0.19945246,0.4471924,-0.20251296,0.06739456,-0.40337634,-0.038622454
658,0.48531124,-0.19961497,0.29540738,0.17641953,0.20366634,-0.089316845,-0.0050843335,-0.34822935,-0.1267424,-0.07138126,-0.20848104,0.38773978,-0.12290785,0.09133475,-0.4413735,-0.047603644
44,0.41098937,-0.2452565,0.2958986,-0.1941789,0.23183227,-0.08973755,0.095691286,-0.19680932,0.1155788,-0.12581685,-0.3658936,0.37337005,-0.0718841,0.054818086,-0.46134776,-0.111803405
76,0.4698503,-0.25477526,0.27689674,0.16771351,0.19968566,-0.15828888,0.16376172,-0.26811317,0.050531387,-0.0931403,-0.29329216,0.34269768,-0.20740683,0.18462758,-0.3900559,-0.04426195
643,0.47655943,-0.20922297,0.30789676,0.118002765,0.23627593,-0.070493095,0.1410906,-0.3244115,0.023293165,-0.06693258,-0.27543536,0.2936077,-0.10077997,0.19677293,-0.4604109,-0.080620855
369,0.4399166,-0.19216557,0.17265101,0.27298868,0.15475126,-0.14255928,0.360158,-0.11465654,0.20371693,0.10868221,-0.31215134,0.1445887,-0.18079899,0.423882,-0.30024046,-0.06259479
521,0.4426741,-0.22347088,0.27036965,-0.04492525,0.2835753,-0.05185352,0.20661098,-0.22344968,0.14396481,-0.069028705,-0.37165284,0.28313792,-0.09232747,0.22085144,-0.44750816,-0.043748435
429,0.42326644,-0.23587288,0.2571322,0.4433815,0.07810032,-0.20543556,0.17982161,-0.2550565,-0.050650157,-0.15777265,-0.14750719,0.31087178,-0.31242174,0.22967821,-0.245806,0.013231313
700,0.41937625,-0.29746228,0.2993682,0.021721521,0.2519911,-0.11816615,0.24191527,-0.26905477,0.08895779,-0.27402875,-0.32332343,0.2655229,-0.1819541,0.18903925,-0.3318764,0.011823236
367,0.35907677,-0.1399434,0.17916103,-0.2579897,0.2976801,-0.0038808344,-0.0057678143,-0.09660024,0.15552954,0.06426524,-0.41778904,0.47189748,-0.05753607,0.028860547,-0.47286293,0.039138503
537,0.3402354,-0.16649336,0.18164332,-0.28041983,0.23397562,-0.071810275,-0.02860662,-0.042433474,0.15774167,0.039116185,-0.41848361,0.5286975,-0.109738715,-0.027193265,-0.4341777,0.003952025
121,0.41912752,-0.20739818,0.26637366,-0.14185339,0.2903721,-0.049834933,0.13874236,-0.22169493,0.16521217,-0.030723153,-0.39778545,0.32601124,-0.059835803,0.132041,-0.46608448,-0.06354422
558,0.34597462,-0.16605501,0.16547745,-0.17639565,0.2695361,-0.08388825,0.055513263,-0.053914405,0.2269365,0.038202148,-0.4582229,0.5116537,-0.17143138,0.043048386,-0.3829613,0.07703963
73,0.36502394,-0.15521328,0.17514339,-0.13101709,0.287214,-0.037282944,0.23391451,-0.08654759,0.33043844,0.12890072,-0.45110092,0.2799613,-0.07495586,0.23970367,-0.4211412,-0.025018346
23,0.41840374,-0.2067651,0.26504198,-0.11869346,0.2997053,-0.03493493,0.20905226,-0.2218135,0.18502595,-0.049195748,-0.39764366,0.25179356,-0.054068327,0.19961081,-0.45513394,-0.07624497
415,0.3669782,-0.15873823,0.2143059,-0.23521504,0.27247512,-0.022237431,0.18730122,-0.106869504,0.28122583,0.0738138,-0.4344038,0.2799832,-0.018912971,0.17375489,-0.47358736,-0.105682366
197,0.3740172,-0.21735941,0.24061218,-0.0038953356,0.29727542,-0.08416562,0.3365269,-0.23004931,0.2994431,-0.025663428,-0.41414255,0.14496343,-0.11338164,0.2834391,-0.3388906,-0.049333494
20,0.3027188,-0.18028572,0.1825693,-0.3668622,0.231428,-0.06987708,-0.0068366993,-0.023737548,0.18145767,-0.045993004,-0.41469336,0.5074392,-0.09951344,-0.0566168,-0.41384947,-2.3816017e-05
143,0.4457808,-0.23676872,0.30576968,0.005946849,0.2345281,-0.10009374,0.2633249,-0.27777535,0.1503323,-0.05139466,-0.3425685,0.16598913,-0.06621654,0.24566707,-0.41159606,-0.1894023
108,0.48335573,-0.20352305,0.2840929,0.24394707,0.13811606,-0.15137152,0.029250406,-0.28430796,-0.07613172,-0.026578791,-0.21165064,0.42133975,-0.18277372,0.118199416,-0.42302832,-0.07677754
61,0.38717687,-0.16871051,0.18802045,0.32337815,0.15240023,-0.1372719,0.3306492,-0.10610839,0.21563776,0.047061414,-0.3068946,0.26315302,-0.27460915,0.39556113,-0.2730131,0.022027355
