,dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15,dim_16,dim_17,dim_18,dim_19,dim_20,dim_21,dim_22,dim_23,dim_24,dim_25,dim_26,dim_27,dim_28,dim_29,dim_30,dim_31,dim_32,dim_33,dim_34,dim_35,dim_36,dim_37,dim_38,dim_39,dim_40,dim_41,dim_42,dim_43,dim_44,dim_45,dim_46,dim_47,dim_48,dim_49,dim_50,dim_51,dim_52,dim_53,dim_54,dim_55,dim_56,dim_57,dim_58,dim_59,dim_60,dim_61,dim_62,dim_63
TCGA-05-4415-01,0.049120385,-0.14430578,0.0402569,0.17071125,-0.105108224,-0.083384424,-0.024043716,-0.20332481,0.0978668,-0.010309323,-0.07198512,0.16839753,0.12823173,0.18825997,0.019738264,0.13563424,-0.14100936,-0.08066049,-0.064210884,0.07225487,-0.07764208,-0.14044918,0.27074677,0.12443317,-0.07682394,0.13332532,0.1101462,-0.06493926,0.10049813,0.089263305,-0.096406326,0.04835254,-0.14125754,0.012587591,-0.17209582,-0.022418857,0.0070801033,-0.04446274,0.01610804,0.16726108,0.034520388,-0.13912909,0.3736473,0.11390936,-0.060331326,-0.044543725,0.10034229,0.04579858,0.09974132,0.13047875,0.09856633,-0.12946554,0.133,-0.1975567,-0.11071544,-0.16042137,0.15097103,0.19176883,0.14828576,-0.07706628,0.1768986,0.026242463,0.056921117,-0.09942204
TCGA-67-6216-01,-0.07678614,-0.15558875,-0.15761246,-0.031012086,0.003013118,0.062173683,-0.011144632,-0.16260806,-0.1235644,0.18271853,-0.040697042,0.18087584,0.100883774,0.22357582,-0.0017783379,0.13575663,0.02661084,-0.132123,0.03362638,0.08659578,-0.07337658,-0.064245485,-0.10473109,0.07383667,-0.15740155,0.19216269,-0.06107084,-0.08729653,0.1113095,0.051845174,-0.03553393,0.19937971,0.13744466,-0.12721056,-0.123856,-0.17160349,-0.20466657,0.10540784,-0.19029696,0.07184076,0.1183556,-0.08383313,0.24610019,0.08142444,-0.1355346,-0.04861446,0.07693478,-0.050800342,0.0046393117,0.16493757,0.056991007,-0.15364634,0.14661126,-0.18555413,-0.054177888,-0.15321845,0.027048437,0.19304523,0.095203415,-0.18104461,-0.15288489,-0.06127368,-0.17781518,-0.05879275
TCGA-78-7162-01,-0.097874954,-0.12860888,-0.09411603,0.15974511,-0.13185088,0.15503818,-0.030421555,-0.14291199,2.0979325e-05,-0.13637666,-0.15360595,0.15170135,0.15766943,0.15633772,-0.06414941,0.09668838,-0.00079928874,-0.05449498,-0.12080807,0.025750825,-0.13061659,-0.07761869,0.004230025,0.13220675,-0.13236623,0.13561957,0.031510245,-0.0030837406,0.063259244,0.07438871,-0.16685303,0.07613118,-0.007889141,0.14139521,-0.1788633,-0.047282916,0.09015987,0.14464557,-0.045490544,0.17760217,0.16711226,-0.1832202,0.26008338,0.1397677,-0.10413002,-0.04687641,0.086357825,0.18422128,0.10295514,0.19383357,0.026933629,-0.16213644,0.2521695,-0.14358297,-0.078998014,-0.10882155,0.16223681,0.1559163,0.16222185,-0.06333124,-0.0035656604,0.15772751,-0.049486473,-0.06354871
TCGA-49-4512-01,0.1382709,-0.121770054,-0.0021632297,0.1887208,-0.12138382,-0.11085066,0.029262139,-0.16049385,0.08348272,-0.07853222,-0.041048072,0.13413285,0.120478384,0.13090794,0.030167669,0.07907698,-0.13895269,-0.012936288,-0.103652634,0.06485935,-0.07531723,-0.08227727,0.29690528,0.11384879,-0.12317687,0.12318863,0.1402452,-0.04130666,0.08883691,0.07231114,-0.14744027,0.13898532,-0.249831,0.015885277,-0.18031023,0.012478581,0.04751332,-0.12647396,0.033201378,0.118584044,0.09044902,-0.13674334,0.31175467,0.11643986,0.06056145,-0.015764395,0.12209432,0.033122055,0.14317228,0.07896766,0.0778148,-0.15353595,0.12744883,-0.16830269,-0.11863723,-0.13768579,0.19427775,0.15033382,0.115349144,-0.09592303,0.20337993,0.012094774,0.052903388,-0.06213739
TCGA-86-8673-01,0.21256916,-0.11454534,-0.0070347483,0.12976797,-0.13260184,-0.21256848,0.17089634,-0.117824614,-0.0975343,0.027277257,0.121861435,0.12768424,0.11317802,0.03799436,0.16992095,0.064142235,-0.15260996,0.012065878,-0.111063324,0.08154905,-0.11383171,-0.017316984,0.20518254,0.113070816,-0.123480335,0.06227319,0.1000668,-0.005959006,0.10839882,0.134164,-0.14016424,0.2240399,-0.19064236,-0.14605667,-0.19437909,-0.023149986,-0.09022188,-0.18516357,-0.0079566585,0.05978013,0.07157342,-0.110217065,0.18401901,0.0051952056,0.24446042,0.014128565,0.12987764,-0.17316538,0.111283414,0.04547148,0.06416877,-0.10015486,0.06285809,-0.15015098,-0.1532679,-0.1198331,0.118113495,0.11948302,0.032098852,-0.115325965,0.086458415,-0.21234298,-0.053419825,0.0034362264
TCGA-55-6712-01,-0.089282416,-0.13943341,0.12588213,0.108226225,-0.12368512,-0.11491852,0.11861877,-0.19008434,-0.0077266744,0.06255073,-0.03847204,0.15511036,0.09129784,0.05827339,0.07829808,0.053645436,-0.21690784,-0.042748217,-0.10553108,0.03167721,-0.14985287,-0.11535759,0.3267717,0.17255697,-0.003048342,0.08259954,0.20161836,-0.06326003,0.11970544,0.06784714,-0.0742461,-0.1597359,0.0039748335,0.05825,-0.13646775,-0.0049013128,0.037161484,0.048437603,0.09900025,0.09804613,0.022516634,-0.111268245,0.24261922,0.098719075,-0.17474765,-0.044922337,0.17501552,0.057647135,0.13493931,0.13759775,0.069422804,-0.06181367,0.18842743,-0.14556861,-0.14100109,-0.1613469,0.14699514,0.19040348,0.16635165,0.017485524,0.21565859,0.03701106,0.077265516,-0.0027014897
TCGA-69-7978-01,0.018328166,-0.1459071,0.068366095,0.1859686,-0.11846316,-0.09379879,-0.002556063,-0.20017973,0.098974384,-0.02369995,-0.074829936,0.17548476,0.1094037,0.16127576,0.0068199476,0.13228828,-0.13162667,-0.07593113,-0.091452025,0.05139744,-0.07900815,-0.12618656,0.26674068,0.12708615,-0.056216013,0.107592344,0.13482834,-0.05238523,0.093504705,0.06914372,-0.11018466,-0.010510475,-0.12251883,0.058667935,-0.16161817,-0.016647272,0.02932661,-0.0037828917,0.040773284,0.16716306,0.04166593,-0.14103518,0.35195723,0.13322714,-0.085883215,-0.03944631,0.12191445,0.07432258,0.1152644,0.13045323,0.08323706,-0.115973294,0.14887926,-0.187424,-0.107969284,-0.16347247,0.16595492,0.1896651,0.15443218,-0.061669704,0.21650493,0.052257504,0.058639944,-0.10230272
TCGA-NJ-A55A-01,-0.02154134,-0.13127315,-0.18840058,0.07273352,-0.05217792,0.12587848,-0.056386884,-0.18310702,-0.04739225,0.014519182,-0.058532104,0.17194155,0.13726065,0.19341105,-0.047760203,0.122582346,0.10075102,-0.10932283,0.0041445266,0.08320749,-0.082003795,-0.04898007,-0.17354822,0.12613502,-0.1990022,0.18085249,-0.095158026,-0.030168312,0.12055057,0.0740387,-0.074422024,0.3117601,-0.023994615,-0.07136438,-0.17866683,-0.10470627,-0.09626522,0.047145147,-0.20474352,0.11411573,0.1492054,-0.12520635,0.2101836,0.10803362,0.002987072,-0.025205048,0.04842575,0.0018256065,0.017749878,0.16065918,0.062331423,-0.19531368,0.15497358,-0.1692261,-0.072659716,-0.16522914,0.08562415,0.19915774,0.11364615,-0.1668686,-0.11490571,0.008805593,-0.13009822,-0.070010394
TCGA-78-7147-01,0.05990556,-0.122763254,0.04326585,0.15961318,-0.110732585,-0.11560772,0.016210843,-0.19273385,0.080609545,-0.015965464,-0.05854141,0.15790053,0.1097578,0.16044906,0.0203768,0.09968518,-0.17843866,-0.04510383,-0.0773907,0.069130056,-0.08222136,-0.12867934,0.326654,0.12140186,-0.07061227,0.12679712,0.1528225,-0.06809618,0.11298142,0.06138884,-0.1044167,0.014563502,-0.15136303,0.032029927,-0.16675659,-0.027654983,0.03549916,-0.053260002,0.04287282,0.1334263,0.036434133,-0.11754784,0.34144443,0.13019133,-0.056730997,-0.03698299,0.13502985,0.043598898,0.12899084,0.10933273,0.09510708,-0.1159377,0.14636816,-0.18544944,-0.11499752,-0.15008095,0.1786188,0.19183326,0.14872451,-0.059978258,0.20961562,0.038917217,0.0698755,-0.06744052
TCGA-50-6591-01,0.097015135,-0.12537536,0.027207293,0.15184483,-0.10142191,-0.17004797,0.06210774,-0.180561,0.04839244,0.018959899,-0.027145859,0.14167993,0.09786671,0.14259915,0.05083722,0.080948554,-0.2078535,-0.02555158,-0.08520292,0.07423426,-0.07647137,-0.10550729,0.35448626,0.12096647,-0.085652374,0.1329762,0.17018296,-0.06855842,0.11044476,0.047841392,-0.123051934,0.053752016,-0.16001354,-0.009452955,-0.16340731,-0.03497893,0.020601457,-0.099521235,0.054926924,0.101855,0.057294052,-0.10847439,0.3133536,0.12588929,-0.028130945,-0.024841418,0.15558493,-0.0034620038,0.137205,0.08488363,0.087128714,-0.12374456,0.13584842,-0.18091403,-0.12080979,-0.16015382,0.17401278,0.17470124,0.12402114,-0.071149796,0.2184161,-0.014403617,0.058540646,-0.05241569
