,dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15,dim_16,dim_17,dim_18,dim_19,dim_20,dim_21,dim_22,dim_23,dim_24,dim_25,dim_26,dim_27,dim_28,dim_29,dim_30,dim_31,dim_32,dim_33,dim_34,dim_35,dim_36,dim_37,dim_38,dim_39,dim_40,dim_41,dim_42,dim_43,dim_44,dim_45,dim_46,dim_47,dim_48,dim_49,dim_50,dim_51,dim_52,dim_53,dim_54,dim_55,dim_56,dim_57,dim_58,dim_59,dim_60,dim_61,dim_62,dim_63
TCGA-44-7670-01,-0.11986154,-0.006576323,-0.019323679,-0.14016804,0.03503561,0.013408305,0.12795441,0.030747553,-0.053055704,-0.20782809,0.22366801,-0.1205962,-0.21381669,-0.14377593,0.27407017,-0.04235016,-0.21993406,-0.121987104,-0.1443068,0.056462668,0.052628,-0.1554024,-0.005270159,-0.27210987,-0.024224406,0.0062951893,-0.074408,-0.0045345523,-0.04065189,-0.10461178,0.22055237,0.23503163,-0.06930809,-0.040044304,-0.14243872,0.111873165,0.09669491,0.11764262,-0.07562852,-0.1614971,0.054241274,-0.027079418,-0.096914135,-0.21990119,0.08355634,-0.112756714,-0.023260439,0.053049255,0.25822482,-0.08925421,0.015478283,-0.12005392,0.099595994,-0.1332698,-0.020452634,0.0146543225,0.13801572,-0.1189614,-0.0513827,-0.03156816,0.11107497,0.0744905,0.1748715,-0.021388615
TCGA-38-6178-01,0.1617848,-0.01074415,-0.011718527,-0.06768392,-0.021728959,-0.040557463,0.3027211,0.038646743,-0.0658092,-0.30592918,0.2279197,0.01683297,-0.042546075,0.011401175,0.05951629,-0.081179686,0.16137448,-0.015548207,0.018437248,-0.06996048,-0.016360195,-0.014281596,-0.10724567,-0.41431677,0.06111982,0.016839541,-0.14261775,-0.010917611,-0.047339913,-0.028839618,0.136243,0.29739663,0.024862094,-0.07852901,-0.1901371,0.042909402,0.15055609,-0.07147231,-0.08522225,-0.15009281,-0.1207132,-0.0809992,-0.0063661966,-0.17932476,0.17204228,0.033012945,0.03189561,0.09628523,0.21035507,0.047216523,0.07640466,-0.090050206,-0.032287557,0.002779967,-0.03715515,-0.065465935,0.22565971,-0.18509929,-0.023468176,-0.022230474,0.08960551,-0.02516526,0.021368241,-0.05163018
TCGA-38-4628-01,0.06765848,-0.11049097,-0.076014526,-0.058747604,0.09142913,-0.16656405,0.1442619,0.08836014,-0.075190604,-0.19082253,0.19140346,0.036700718,-0.20447868,0.022741666,0.1709391,0.0083659645,-0.039403647,-0.102661945,-0.007829395,-0.0035382619,-0.033983257,-0.14219585,0.07598653,-0.3011585,0.05267671,0.036662135,-0.060286388,-0.12005988,-0.048324876,-0.0601211,0.0678953,0.14938457,0.023357525,-0.1109594,-0.17692104,0.10314828,0.31722865,-0.025981313,-0.044133283,-0.23049417,-0.027891122,0.052053478,-0.21215542,-0.31751418,0.13681671,0.06884974,-0.026672658,0.039506238,0.27591753,0.09676322,-0.039918076,-0.04412519,0.17497216,0.06637117,-0.05950952,-0.04025238,0.11243819,0.0037793359,0.010953882,-0.05527136,0.10656832,0.094229795,0.14477862,0.008346786
TCGA-MP-A4TC-01,0.022947328,0.020963898,-0.16099922,-0.03357256,-0.27644253,-0.10576538,0.00023247104,-0.02851974,-0.050493743,-0.27475628,0.0175364,-0.06994935,-0.0053013745,0.035182886,-0.05931481,-0.24188688,-0.045720443,-0.039840583,-0.116041385,-0.28216085,0.1264145,0.055769958,0.09879387,-0.024646968,0.06865076,0.07820206,-0.061614167,0.11880795,-0.060651258,0.36746454,0.060228672,-0.024424518,0.185586,0.003423235,0.21121222,0.00731415,0.0070004123,-0.17647178,-0.24651326,0.06304308,0.0981652,-0.10926566,0.073581494,0.13058494,-0.009649567,-0.0057772864,0.14096464,0.11966531,0.15136807,0.013658278,0.018465107,0.007424777,0.05224783,-0.047516245,0.10235589,-0.09299233,0.059379634,-0.2719764,0.024568954,0.14266118,-0.012170548,0.1749548,-0.06216835,-0.071049035
TCGA-69-8255-01,0.06344917,0.06557805,-0.030919198,-0.13394733,-0.096979655,-0.058219366,0.2197257,0.00050222897,-0.00290567,-0.28424737,0.24663939,0.030791955,-0.08632046,0.016518563,0.03431686,-0.13693789,0.018180469,-0.14187686,-0.12622924,-0.057102777,0.096532084,-0.05517233,-0.08949193,-0.3000445,0.0008842077,0.010233726,-0.041756723,0.20849003,-0.052561935,0.13528098,0.25153765,0.25319612,0.0125751905,-0.05144557,-0.09673863,0.052703038,0.10599117,-0.00053697475,-0.047521804,-0.13095213,-0.06900615,-0.14885789,-0.029422004,-0.120697305,0.035721246,0.09856884,-0.08598519,0.060792077,0.14781503,0.01765692,0.18227835,-0.07570179,-0.1116451,-0.022015318,-0.027791828,-0.1551252,0.25558385,-0.26251847,0.02997659,-0.094853885,-0.027756106,0.07377368,-0.070616916,-0.18274881
TCGA-05-4398-01,-0.0013103822,-0.05962451,-0.08858192,-0.17325258,0.015612813,0.08049005,0.13010032,-0.023629041,-0.0441988,-0.2276728,0.17561045,-0.05263815,-0.20333722,-0.10147369,0.25433385,0.059521943,-0.13657777,-0.17395894,-0.042336755,0.12488704,0.10152547,-0.19684625,0.018955434,-0.25890183,-0.050395906,0.027505979,0.062211342,0.027083063,0.02141277,-0.08715501,0.23033123,0.19825253,0.051931582,-0.09356593,0.023788676,0.15314852,0.08988381,0.12830362,-0.17745933,-0.12553793,0.18002921,0.03751898,-0.15791576,-0.2540181,0.031905044,0.051788796,-0.08068625,-0.00472627,0.18477204,-0.011838916,-0.0051826434,-0.081704326,0.15875764,0.069285475,0.097648434,-0.053312473,0.12560438,-0.119745456,0.0008172202,-0.036179785,-0.04640338,0.2653409,0.08210657,0.034263216
TCGA-69-7764-01,-0.00908911,-0.070967816,-0.0699719,-0.057103466,-0.063279375,-0.15942621,0.22209184,0.033457138,-0.003438725,-0.24702229,0.2873838,0.10123105,-0.14074238,0.030205837,0.1546808,-0.13752322,-0.06731855,-0.07146871,-0.12256813,-0.12580116,-0.0039620767,-0.06946281,0.06444933,-0.29051644,0.0631767,0.019947754,-0.076859936,0.080541685,-0.047442988,0.048449844,0.17228255,0.24703194,0.035562612,-0.021858273,-0.15737289,0.05913271,0.24215093,0.047413945,0.015335237,-0.21329302,-0.115946785,0.026828025,-0.11484485,-0.23230119,0.04271699,0.064301886,-0.045931194,-0.019413223,0.23419636,-0.0037874146,0.09298818,-0.02147668,0.0036878271,-0.033376954,-0.089009516,-0.08604275,0.20332216,-0.18660517,0.029590882,-0.11343147,0.12976064,0.017486876,0.018215932,-0.17109735
TCGA-49-AAR0-01,-0.04856357,-0.08091604,-0.02460203,-0.059063826,-0.13241379,-0.2010308,0.14232962,0.15635037,-0.11838149,-0.23132595,0.28914163,0.06458168,0.01581169,-0.1218541,0.097657874,-0.23452564,-0.15678097,-0.014944155,-0.053952176,-0.044929422,-0.0015968059,-0.15084311,0.04309268,-0.31952268,-0.0109138405,0.05388794,-0.12810266,-0.008654593,-0.050060406,0.11720105,0.10396499,0.273618,-0.045602743,-0.041009933,0.1377647,0.14055055,0.108244985,0.19731851,0.014927544,-0.25683832,0.040446624,-0.08432073,-0.09069998,-0.20899737,-0.03004783,0.15966082,0.02118614,-0.06034254,0.09468713,-0.16761003,0.16918738,-0.0005842723,0.004747807,-0.00055365457,-0.08085813,-0.076896496,0.03682748,0.022387085,0.09830997,0.12820119,0.095120914,0.021003237,0.03905208,-0.06280612
TCGA-38-4631-01,0.08485643,0.038290907,-0.036359895,-0.14129548,-0.078768685,-0.025589233,0.2534197,-0.011024562,-0.03813709,-0.29852468,0.28123456,-0.023317963,-0.06951356,-0.032522604,0.049221136,-0.060774677,-0.028835688,-0.12915577,-0.124646224,0.003063621,0.11297851,-0.06780502,0.0034544843,-0.29231125,-0.017959982,-0.0002538491,-0.048716657,0.138347,-0.010698261,0.06252314,0.2712342,0.26238596,0.08053512,-0.004922818,-0.07902881,0.05359346,0.002263358,0.03936258,-0.110401,-0.13134024,0.05131515,-0.09407587,-0.024913313,-0.08449606,-0.007548179,0.17641236,-0.04897111,0.026078241,0.17427471,0.008640014,0.20578215,-0.08128669,-0.06312127,0.028619876,-0.012270339,-0.16035226,0.2533517,-0.3225931,-0.0024383122,-0.049345046,-0.024745356,0.0873435,-0.053102925,-0.14329813
TCGA-50-5935-01,0.092459515,0.121501654,-0.0937681,-0.053845532,-0.10591235,-0.10311982,0.26412636,-0.04246408,-0.0324426,-0.28494287,0.2518358,-0.022929909,-0.112372585,0.0015060349,0.049453836,-0.048231352,0.053189807,-0.02136138,-0.06727993,-0.11340217,0.036602955,0.045858383,0.03763759,-0.24011087,0.040770907,-0.06443316,-0.14738579,0.07462678,-0.12935257,-0.007963394,0.1658825,0.1742204,0.10923673,0.006279888,-0.16460846,-0.02187009,0.012183291,-0.06175888,-0.16464128,-0.176961,-0.0059214565,0.024766393,0.029027315,-0.04278376,0.053061184,0.14347777,0.06661284,0.08819855,0.21275783,0.12786555,0.15528868,-0.11739566,-0.05609617,-0.0063750665,-0.020855434,-0.11565106,0.3491955,-0.332472,-0.07160996,-0.0020531372,0.05994986,-0.04771991,-0.02906385,-0.123805866
