,dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15,dim_16,dim_17,dim_18,dim_19,dim_20,dim_21,dim_22,dim_23,dim_24,dim_25,dim_26,dim_27,dim_28,dim_29,dim_30,dim_31
TCGA-97-8171-01,0.14622249,0.2725217,0.01659969,0.13377208,-0.29705104,0.2796551,-0.18183056,0.34580314,-0.19115277,0.06844383,0.16767482,-0.17585237,-0.25892296,-0.114958234,-0.06257977,-0.11844271,0.10760435,-0.14330713,0.0095080435,0.030534128,0.2091676,-0.021746702,-0.14281544,-0.16614047,-0.11585096,0.03575553,0.056962967,-0.13664342,0.3152693,0.3263438,0.023158427,-0.014798007
TCGA-55-8092-01,0.19850707,0.1827379,0.0012313207,0.053925637,-0.2127051,0.2239255,-0.18940678,0.27281478,-0.1778958,0.14690213,0.20336941,-0.20755269,-0.31614596,-0.14633611,-0.2633411,-0.09071237,0.07717181,-0.14112131,-0.10582043,0.013142487,0.35812992,-0.09307524,-0.20491062,-0.027899351,-0.10467055,0.11179759,0.0971171,-0.12487584,0.22376753,0.2179977,0.048941173,-0.12884316
TCGA-55-6979-01,-0.2945589,0.073704675,0.14989878,-0.40227303,0.2483438,0.07211145,0.024066787,-0.062420283,-0.10705382,0.31668702,0.10025923,-0.16627023,0.0066056023,-0.29778823,-0.033892147,-0.2987144,-0.17595205,-0.2565299,0.10106933,0.04412281,-0.016330061,0.13393721,0.10511814,0.24882904,-0.10068521,0.23118587,-0.054664154,-0.017257249,-0.10362245,0.08428163,0.1756847,0.08906945
TCGA-53-A4EZ-01,-0.09443032,0.13942637,0.10424992,-0.28469297,0.16832417,0.13332422,0.026748175,0.040503453,-0.12060696,0.31498095,0.2052814,-0.24035712,-0.2161641,-0.3207904,-0.3172884,-0.22881372,-0.12031347,-0.2579031,-0.112440936,0.068439126,0.14583346,0.06592457,0.008809082,0.279635,-0.08607046,0.2499411,0.061666943,0.0361964,0.038876247,0.04131181,0.17652276,-0.057927344
TCGA-55-6986-01,-0.15329461,0.14599954,-0.08551283,-0.18302478,-0.13848782,0.16465831,-0.17844608,0.06082048,-0.14189321,0.10589231,0.15135148,-0.10439881,-0.06115563,-0.20031004,0.09856326,-0.15994777,-0.10742452,-0.23474582,0.3155839,0.034920417,-0.16192576,0.061836008,-0.1736215,-0.024780301,-0.21062328,0.09715001,-0.3004171,-0.36693844,0.106496625,0.2710145,0.02220719,0.30981797
TCGA-55-8207-01,0.115672514,0.20277128,-0.009026298,-0.07730757,-0.22601722,0.2760737,-0.09700813,0.010581752,-0.130416,0.109537676,0.26418296,-0.27142698,-0.26949084,-0.22358692,-0.3526925,-0.045774586,-0.1073854,-0.20148854,-0.04767774,0.023058645,0.008613785,-0.14493652,-0.15488513,0.1792129,-0.2462718,0.21280907,0.07700528,-0.035582528,0.2821532,0.2251633,0.026572656,-0.06911404
TCGA-05-5425-01,0.09651563,0.33397627,-0.045286447,0.29552,-0.39794677,0.1509153,-0.15204267,-0.042315483,-0.16779508,-0.15421163,0.28597894,-0.16941357,-0.11534293,-0.05181909,0.26108187,0.18650089,-0.017981699,-0.135125,0.28380376,0.102382295,0.017470272,-0.06840968,0.06848215,-0.055016436,-0.14290862,0.053281635,-0.049435996,-0.03527388,0.24592252,0.1551295,0.07764896,0.25005436
TCGA-55-7724-01,-0.012333364,0.15099718,-0.07879969,-0.14325859,0.014248231,0.02719428,0.067584984,-0.21563426,-0.023211025,-0.029370595,0.34102455,-0.19442223,-0.29676017,-0.24454029,-0.39930817,0.18027517,-0.22672145,-0.22793919,-0.006340308,0.078817554,-0.051518258,-0.06661128,-0.040434808,0.36759302,-0.1547083,0.19361702,0.07647341,0.21221238,0.12917842,-0.08074352,0.05089123,0.10692084
TCGA-91-6847-01,-0.19728869,0.12870775,0.17630129,-0.32458124,0.15308484,0.23134825,-0.05659971,0.28558767,-0.13626036,0.27278748,0.069317296,-0.1659897,-0.033233095,-0.28063372,-0.10482778,-0.35587347,-0.14761451,-0.25817025,0.039813332,0.026636707,-0.025549313,0.10568022,0.06237869,0.12086446,-0.12021527,0.21625865,0.11648362,0.068854496,0.09966641,0.29275435,0.08287195,0.020775272
TCGA-75-6206-01,-0.031212997,0.27832055,0.13273032,-0.12014428,-0.2763559,0.29042482,-0.14465985,0.12876455,-0.20526813,0.13617735,0.1640669,-0.25443885,0.015802728,-0.18673883,0.15955733,-0.20505045,-0.14446871,-0.23103113,0.20869155,0.06798104,-0.051710635,-0.045578633,0.07646411,0.07468032,-0.1826172,0.21533129,0.12427718,0.06825067,0.23665425,0.3553767,0.084269755,0.09224658
