,dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15,dim_16,dim_17,dim_18,dim_19,dim_20,dim_21,dim_22,dim_23,dim_24,dim_25,dim_26,dim_27,dim_28,dim_29,dim_30,dim_31,dim_32,dim_33,dim_34,dim_35,dim_36,dim_37,dim_38,dim_39,dim_40,dim_41,dim_42,dim_43,dim_44,dim_45,dim_46,dim_47,dim_48,dim_49,dim_50,dim_51,dim_52,dim_53,dim_54,dim_55,dim_56,dim_57,dim_58,dim_59,dim_60,dim_61,dim_62,dim_63
TCGA-97-8171-01,-0.0615574,-0.040422607,-0.18920597,-0.07041821,0.16310322,-0.017019639,-0.06691374,-0.17817855,0.07615422,-0.11295381,0.20040612,0.18491404,0.15282898,0.13270453,-0.115402214,0.0064817723,0.16966645,0.055026993,-0.03490985,-0.32317913,-0.0330805,0.19486414,-0.0957461,-0.016951514,-0.0002007132,-0.05479339,-0.1675384,0.12692456,-0.083090134,0.017164083,0.03935046,0.12693653,-0.09687872,-0.00093186466,-0.19819482,0.098638125,-0.038226686,0.031967904,-0.13756531,-0.0760264,0.0804171,0.0032557277,-0.19208029,0.20358449,0.09088019,-0.06816923,0.031200798,-0.21256503,-0.030244408,-0.17321923,-0.021190958,0.08562941,-0.044825844,0.2522611,-0.002661423,-0.21011174,0.0940658,0.07689807,0.06394876,-0.106272094,-0.16646318,-0.14256288,-0.0749693,-0.15379784
TCGA-55-8092-01,-0.13171138,-0.03239367,-0.053824548,-0.1583135,0.0675104,-0.19147712,0.15776795,-0.1237084,0.016996078,0.07431768,0.086072125,-0.010629799,-0.058179528,0.21739891,-0.23279923,0.08215406,-0.034402907,0.115017876,0.15655145,-0.15173936,-0.0035489774,0.18737562,-0.13978405,0.052797113,-0.018107438,0.017255103,-0.24551924,0.118051805,0.06438163,-0.099983364,-0.07393826,0.048436314,-0.13500305,0.045928493,-0.23182754,0.14808102,-0.052303392,0.12372363,-0.16449739,-0.10570538,0.0894202,0.098378256,0.010931715,0.23680249,0.08684572,-0.094583556,0.12029212,-0.021060448,-0.16133283,-0.06726636,0.051705446,0.0029416797,0.07454087,0.13583145,-0.059214585,-0.23529284,0.17550756,-0.13861626,-0.043878693,-0.11019851,-0.17638735,-0.028703302,-0.18604214,-0.16373865
TCGA-55-6979-01,-0.08453076,0.059975248,-0.08744696,-0.1121137,0.13484068,-0.12465809,0.06397409,-0.1611631,0.06796007,0.016310591,0.08864397,0.124176666,0.034401897,0.15557902,-0.16858569,0.024530001,-0.0010797125,-0.01594399,0.0058630076,-0.23935944,0.0454018,0.23861718,-0.10684717,-0.0918688,0.088035725,-0.06177593,-0.21442601,0.08905607,-0.047864605,-0.022792505,0.0042833625,0.12524417,-0.11473718,0.008977403,-0.2164733,0.09432681,0.100967735,-0.0002943621,-0.13514142,-0.03312616,0.048642505,0.053867456,-0.10080855,0.30000085,0.093279615,-0.09090225,0.16444781,-0.29740354,-0.064717196,-0.10902324,-0.022148188,0.0945392,-0.025910746,0.26697084,0.060867418,-0.21093105,0.14935786,0.018396566,0.0033104126,-0.08467347,-0.20633796,0.010652319,-0.15586911,-0.15280716
TCGA-53-A4EZ-01,-0.12543637,-0.039490998,0.0061254264,-0.13783005,0.044850387,-0.23321731,0.21827254,-0.12418363,-0.041837603,0.11999934,0.042968135,-0.07629297,-0.075562604,0.19072327,-0.20824718,0.10176123,-0.069649264,0.07049476,0.2125416,-0.098400265,-0.025715936,0.16487302,-0.1296215,0.07391967,0.022555236,-0.0010126393,-0.23954928,0.09126644,0.106198505,-0.101494856,-0.11309533,-0.008253421,-0.12802652,0.061372843,-0.20965761,0.13791296,-0.027480798,0.08137123,-0.17871104,-0.08510143,0.0984956,0.14096507,0.07661621,0.21562462,0.09718438,-0.12533526,0.11636273,6.696942e-05,-0.14728731,-0.03435727,0.05435063,-0.0038069068,0.08620194,0.13888422,-0.03600617,-0.2227149,0.15837032,-0.15932421,-0.063517235,-0.13890004,-0.15594204,-0.003398223,-0.17624845,-0.16175634
TCGA-55-6986-01,-0.08104374,-0.07920993,-0.21138534,-0.099264555,0.13819924,0.064620756,-0.2361396,-0.12093176,0.12303657,-0.1989493,0.15120327,0.15883777,0.067071855,0.19600369,-0.13955037,-0.0063635753,0.118423216,0.1564636,-0.11216548,-0.21654718,-0.0018072594,0.19446741,-0.15606104,-0.0010418704,-0.102045126,0.046840306,-0.19500104,0.16958344,-0.03036522,-0.0069690403,0.11688395,0.13450159,-0.05020539,0.017733926,-0.19411924,0.14286613,-0.10096763,0.17534065,-0.09815419,-0.16337243,0.10627978,-0.14040756,-0.17791021,0.05739062,0.043754123,0.045844793,-0.011899315,-0.04907057,-0.06712293,-0.16506098,0.012925163,-0.03289133,0.05177367,0.11178393,-0.10158553,-0.18377729,0.12226368,0.00047008,0.007469691,-0.053208582,-0.18243878,-0.093404286,-0.02467057,-0.19496922
TCGA-55-8207-01,-0.096376665,0.033669498,-0.10295656,-0.0814599,0.12736326,-0.10547365,0.0036237305,-0.15431459,0.01669065,0.014043315,-0.038352456,0.19025682,0.10090606,0.14321977,-0.08364628,0.028739331,-0.04235703,0.051960066,-0.0029766602,-0.1600227,0.051480185,0.2253782,-0.13313775,-0.13135639,0.05106287,0.10193624,-0.23138101,0.14722091,-0.0809614,-0.030527461,0.044684287,0.13395056,-0.06481629,0.08637111,-0.23307149,0.13052157,0.16533083,0.068154894,-0.15076964,-0.11270868,0.0673192,-0.019187229,-0.031698916,0.21137781,0.089512266,-0.12115842,0.13531113,-0.2571142,-0.016148956,-0.122399025,0.0052340054,-0.15730514,0.005812337,0.24939884,0.022053275,-0.22888069,0.16150597,0.120051645,0.0019577134,-0.041051935,-0.2112919,0.10991518,-0.095548056,-0.19760625
TCGA-05-5425-01,-0.08214808,-0.047428403,-0.21144383,-0.123323336,0.14123695,0.039106302,-0.14903376,-0.14894007,0.13609818,-0.14373137,0.25277448,0.19453858,0.14320803,0.14983486,-0.14636882,-0.0125368675,0.18803346,0.119806856,-0.029759819,-0.25948444,-0.09202722,0.16841759,-0.115792245,0.03886948,-0.051111784,-0.027375748,-0.18079647,0.15386659,-0.087401345,0.025375541,0.08750929,0.16507845,-0.07681384,-0.020238642,-0.15828547,0.1129809,-0.117009394,0.11682236,-0.1180132,-0.12583603,0.059649237,-0.0060145427,-0.21832396,0.13847865,0.09692964,0.0074605965,-0.01299486,-0.089138545,-0.047052756,-0.1357745,-0.03957544,0.07288733,-0.0039527477,0.15817071,-0.0753968,-0.17335187,0.12840304,0.026499718,0.013321521,-0.080949835,-0.13583888,-0.20800757,-0.07768623,-0.13399261
TCGA-55-7724-01,-0.05137942,0.016317982,-0.09237307,-0.045950003,0.12866934,-0.11316449,-0.025101032,-0.1296365,0.03848723,-0.08585169,0.009395145,0.064045094,-0.07803094,0.15619586,-0.122979335,0.002842274,-0.1047861,-0.022486608,-0.13562785,-0.20102818,0.14803265,0.2194277,-0.11178559,-0.13203813,0.06665085,-0.045297947,-0.20677245,0.08851071,0.024776043,-0.08993925,0.018921947,0.08377306,-0.064995624,0.042759147,-0.2575038,0.10590977,0.13684654,-0.0019444354,-0.11059201,-0.012981487,0.10108422,-0.111691006,-0.0836641,0.21476774,0.03218402,-0.05458632,0.16967395,-0.34405681,-0.086454034,-0.15530615,0.04150187,0.0131236715,0.02705655,0.24092606,0.112831876,-0.22903505,0.11982244,-0.0022093048,0.028289096,-0.089077935,-0.24579015,0.11092264,-0.09086486,-0.18524165
TCGA-91-6847-01,-0.09503542,0.002558812,-0.04001466,-0.07203481,0.10826325,-0.18698275,0.18496929,-0.16124365,-0.0033299802,0.11095808,0.028439518,0.09395482,0.08503236,0.1280788,-0.13565439,0.051732965,-0.059777096,0.0101116905,0.11506668,-0.19069956,0.0045735254,0.19700624,-0.10740794,-0.08159901,0.095986255,0.005273006,-0.21879852,0.092323735,-0.019260045,-0.04495399,-0.05202408,0.06269242,-0.09907852,0.04596008,-0.22340032,0.104489796,0.115906484,0.0051364433,-0.17779128,-0.04917863,0.081500515,0.118306585,-0.0018767036,0.32780883,0.08454444,-0.16202103,0.13744701,-0.2559543,-0.051516578,-0.09355216,0.014120693,-0.014987885,0.0039466647,0.28271547,0.07429493,-0.23266566,0.1430142,0.038943525,0.0019570922,-0.10539796,-0.17049176,0.017927347,-0.15122028,-0.15071231
TCGA-75-6206-01,-0.11537588,-0.039266735,-0.087344974,-0.13096341,0.09292617,-0.16787432,0.16260499,-0.13074441,0.044989616,0.037466288,0.16518888,-0.0015783131,-0.053030334,0.2129256,-0.24755707,0.052845277,0.020282948,0.094857536,0.119507775,-0.22920394,-0.02313538,0.17772269,-0.116114564,0.057704892,-0.009557515,-0.06089415,-0.22023925,0.09363807,0.06659648,-0.07434343,-0.06976384,0.046534527,-0.13582583,0.0071517215,-0.22232611,0.115038574,-0.09407751,0.06547496,-0.15776956,-0.058489405,0.09620063,0.11042416,-0.045101658,0.27547762,0.08379857,-0.08243999,0.10356419,-0.06876649,-0.16565381,-0.08771685,0.034849204,0.11782489,0.04402605,0.16439696,-0.02959259,-0.2253266,0.14179146,-0.14145078,-0.00797836,-0.13464351,-0.17699592,-0.11059477,-0.16754426,-0.14767502
