,dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15
TCGA-17-Z057-01,0.25816223,-0.16404445,-0.68700224,0.3047479,-0.05183795,0.07494239,0.27430445,-0.134077,-0.025758596,-0.023105545,-0.072077185,0.30899984,0.24199761,-0.04629122,0.17881735,0.21335506
TCGA-55-6970-01,0.34319523,-0.3356931,-0.0037323132,-0.08997504,-0.23749317,0.31187394,-0.08573555,0.2666541,0.08707696,0.14306885,-0.26465365,0.37154642,0.3192116,0.08472576,0.07520244,0.4224038
TCGA-55-7911-01,0.25516602,-0.44763058,-0.029825654,0.12465436,-0.34556377,0.35616392,-0.09174536,0.2739228,0.09719867,-0.19194221,-0.021518664,0.20051514,0.22034627,0.21912794,-0.28522724,0.3514086
TCGA-05-4396-01,0.5460253,-0.33696288,-0.20031632,0.22138241,-0.28342694,0.15180537,-0.020565359,0.16670834,0.061527427,0.17162594,-0.16913003,0.3310568,0.24233706,0.13587366,-0.15810235,0.30652153
TCGA-75-6214-01,0.37168685,-0.41274282,-0.25926867,-0.11839782,-0.24650659,0.31266606,-0.015070237,0.0595414,-0.063949764,0.018828627,0.010746662,0.3291984,0.3210094,0.110952154,-0.00687362,0.46863666
TCGA-62-8394-01,0.26821476,-0.41457513,-0.20447417,0.014400971,-0.30434784,0.37169674,-0.10309944,0.20783143,-0.032464437,-0.1581458,-0.033730607,0.37038058,0.2559604,0.12032139,0.007204119,0.43027115
TCGA-44-A479-01,0.14434227,-0.43018657,0.11993025,0.064569585,-0.33493873,0.36751232,-0.13360004,0.34080476,0.12501514,-0.2577209,-0.13681304,0.23198757,0.17181873,0.20132165,-0.20051187,0.35981143
TCGA-44-7669-01,0.16969909,-0.45784163,-0.018202981,-0.18909636,-0.3200439,0.40821183,-0.09157673,0.20858744,0.022335986,-0.16234922,0.053446144,0.19188981,0.2557298,0.20028836,-0.13969296,0.4614899
TCGA-91-6849-01,0.38111427,-0.29898584,-0.019923577,0.37357324,-0.24662657,0.17282934,-0.0405191,0.2824624,0.18296547,-0.031602804,-0.3772055,0.4078888,0.17882267,0.13135163,-0.101617895,0.22493236
TCGA-78-7161-01,0.3727285,-0.38736963,-0.07446846,-0.023766253,-0.2551058,0.29716396,0.002836934,0.1811928,0.08271456,0.06851825,-0.21830444,0.37975347,0.34362364,0.1328901,-0.01928897,0.42328292
TCGA-17-Z054-01,0.06345445,-0.049324773,-0.21816713,0.54733646,-0.09754844,-0.036150027,0.014128075,0.149773,0.1278111,-0.067032814,-0.5821178,0.34829924,-0.03489142,-0.10993661,0.34431142,0.007481731
TCGA-55-8301-01,0.33429837,-0.36330408,-0.008004044,0.2075409,-0.35006648,0.23495445,-0.0746813,0.2466903,0.11910501,-0.012056984,0.084422275,-0.07550348,0.24702403,0.26443967,-0.5127189,0.21896274
TCGA-55-8619-01,0.12007524,-0.20718426,0.20288606,0.49304286,-0.32140046,0.14279924,-0.3465843,0.41689086,0.10699079,-0.13652599,-0.4111626,0.18303038,0.0040245866,0.073362626,-0.047329195,0.022682456
TCGA-05-4382-01,0.28436276,-0.42814356,-0.23704126,-0.1943312,-0.30385154,0.34433472,-0.15150584,0.1511158,-0.093400374,-0.07481975,0.11012922,0.22565608,0.20155811,0.1424078,-0.00062318065,0.49690926
TCGA-86-7713-01,0.3063578,-0.42295957,-0.15370962,0.15180133,-0.35842282,0.3047269,-0.083635375,0.21611431,0.0825293,-0.08846454,0.14412887,-0.0109557435,0.22107148,0.25308147,-0.40496728,0.30512726
TCGA-44-2659-01,0.17466144,-0.46011856,-0.23445201,0.07061333,-0.34735882,0.33601654,-0.13780601,0.17506291,-0.06918136,-0.36605164,0.12835325,0.17681693,0.116651095,0.187424,-0.15895438,0.39256495
TCGA-55-8096-01,0.3021096,-0.43613002,-0.17962489,-0.005353624,-0.35372823,0.2831104,-0.08183267,0.15598775,-0.018364329,-0.101956494,0.24287562,-0.016896494,0.197379,0.24343762,-0.38865623,0.36144465
TCGA-91-8497-01,0.16151942,-0.1576607,0.18540557,0.48042035,-0.23379879,0.1832871,-0.21372885,0.37799132,0.20598836,-0.0793519,-0.0035042095,-0.19952427,0.07866527,0.14969464,-0.5351693,-0.05923744
TCGA-05-4395-01,0.3076551,-0.40730143,-0.2537428,-0.18632245,-0.3051107,0.31134114,-0.11668427,0.083665244,-0.15094502,-0.034252875,0.06888177,0.3072535,0.24360467,0.106216244,0.059858218,0.48207495
TCGA-L4-A4E6-01,0.39618605,-0.4331432,-0.25269854,0.25746268,-0.2962462,0.251197,-0.0076554534,0.16829593,0.05025451,-0.1390948,-0.004937589,0.23624188,0.20678855,0.18449567,-0.28709975,0.33030623
TCGA-55-8513-01,0.111691676,-0.19608584,0.20925958,0.5134377,-0.27963498,0.1602749,-0.33962837,0.42850313,0.15021837,-0.100000404,-0.42440245,0.14400886,-0.009295591,0.048384987,-0.053607065,0.009923547
TCGA-55-6980-01,0.34883547,-0.4492632,-0.019177228,0.03264842,-0.29253787,0.28352234,-0.00842676,0.21439017,0.1039418,-0.060398996,-0.18949708,0.2908037,0.27839696,0.18933012,-0.18252178,0.4259723
TCGA-62-A46R-01,0.30110264,-0.4487581,-0.24773423,-0.0309741,-0.28307438,0.3466285,-0.03809135,0.14082831,-0.02959623,-0.1281391,-0.009419037,0.28493914,0.28803232,0.14285582,-0.042630263,0.4693544
TCGA-J2-8194-01,0.24832998,-0.30454248,0.0334828,0.045381483,-0.3000917,0.36466587,-0.19190632,0.3805071,0.21181376,0.1392355,0.06515657,-0.18150902,0.31673864,0.20992815,-0.35066614,0.2625892
TCGA-55-8087-01,0.20666608,-0.40965748,0.044592388,0.29431906,-0.34509557,0.26119965,-0.08312321,0.30781832,0.14847662,-0.30039614,-0.15391046,0.21738276,0.11133542,0.22828433,-0.31070492,0.2600118
TCGA-93-A4JO-01,0.16117859,-0.45078468,-0.053686097,0.09086705,-0.3517355,0.37287357,-0.10290646,0.2769889,0.07489378,-0.3006536,0.059858695,0.13135037,0.17573348,0.23282987,-0.28919,0.35220736
TCGA-44-A47G-01,0.19264138,-0.36679563,0.15154335,0.26210395,-0.39100027,0.3076708,-0.21293263,0.387487,0.11903777,-0.1958351,-0.15837882,0.20602868,0.119895935,0.19002515,-0.26372066,0.23145434
TCGA-55-1595-01,0.06273317,-0.27045572,-0.34973073,-0.22809072,-0.2324247,0.2661223,-0.38634673,0.19412053,-0.31436038,-0.17965695,0.221968,0.054446988,-0.07045546,-0.034047756,0.28043446,0.41072184
TCGA-17-Z020-01,0.06356109,-0.01843907,-0.26228777,0.50846094,-0.11893173,-0.05909137,-0.008187196,0.12320258,0.07600061,0.02594287,-0.56769013,0.33034047,-0.04298376,-0.14954199,0.41632903,0.0048717405
TCGA-75-6205-01,0.18913424,-0.41146407,-0.06842554,-0.22379155,-0.26086986,0.3736693,-0.060877766,0.16918677,-0.018135676,-0.11437909,-0.09641033,0.35047424,0.2897602,0.1204817,0.087264776,0.49851593
