,dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15,dim_16,dim_17,dim_18,dim_19,dim_20,dim_21,dim_22,dim_23,dim_24,dim_25,dim_26,dim_27,dim_28,dim_29,dim_30,dim_31,dim_32,dim_33,dim_34,dim_35,dim_36,dim_37,dim_38,dim_39,dim_40,dim_41,dim_42,dim_43,dim_44,dim_45,dim_46,dim_47,dim_48,dim_49,dim_50,dim_51,dim_52,dim_53,dim_54,dim_55,dim_56,dim_57,dim_58,dim_59,dim_60,dim_61,dim_62,dim_63,dim_64,dim_65,dim_66,dim_67,dim_68,dim_69,dim_70,dim_71,dim_72,dim_73,dim_74,dim_75,dim_76,dim_77,dim_78,dim_79,dim_80,dim_81,dim_82,dim_83,dim_84,dim_85,dim_86,dim_87,dim_88,dim_89,dim_90,dim_91,dim_92,dim_93,dim_94,dim_95
TCGA-69-7978-01,0.07165108,0.048414763,0.11539187,0.09351154,-0.13567707,0.10162608,0.092985645,-0.13529359,-0.019689819,-0.057106983,0.14730737,-0.10700858,-0.07020981,-0.07751851,-0.051105373,-0.025367003,-0.05187183,-0.024505535,0.18945326,-0.14843698,-0.081394024,-0.1124063,-0.04370586,-0.07705207,-0.05303472,-0.021472814,-0.10656715,-0.021036128,-0.004605979,-0.023245884,-0.05784121,0.14304902,-0.16970655,0.08212509,0.0056948205,-0.040491678,-0.07366002,-0.08453265,0.109898604,0.07156803,-0.029184317,-0.021666663,-0.05203312,-0.081866905,0.040373527,-0.05944991,0.102315076,-0.16638054,0.139866,-0.01166191,0.15758172,0.04085526,0.03896996,-0.0044666897,-0.20944424,0.0611444,0.062176544,-0.010783665,0.040184427,0.20884903,0.03809549,-0.06956792,0.035251692,-0.014846468,0.1188031,0.012771854,-0.0069352128,-0.02875659,0.22717485,0.10884489,-0.007433052,0.04732468,-0.18955871,-0.17181365,0.097190514,0.022863267,0.1239227,-0.19074598,0.28834778,-0.12118008,-0.1991365,0.02448802,-0.099103026,0.1637593,0.069566384,0.090228274,0.058501016,-0.035794735,0.057088718,-0.017075092,-0.05727102,-0.018463671,-0.15707587,-0.17345636,0.010703108,0.0122568095
TCGA-78-7160-01,-0.058953397,0.1101375,0.023904664,-0.072436735,0.09035402,-0.18928362,0.09331084,-0.13898064,0.038308162,0.111188464,0.1340741,-0.02085509,-0.1541315,-0.036616635,0.016463699,0.054753024,-0.11693785,0.032336354,-0.10170003,-0.20202807,0.06832962,-0.08394347,-0.030757776,-0.07372729,-0.101372555,0.0628568,0.033824254,0.054434627,-0.0950606,0.04663223,0.07641908,0.060590725,0.16664553,0.09515982,0.05025975,0.021093918,-0.027394922,-0.109872796,-0.097939454,0.0748239,0.06013156,-0.15726766,-0.027423538,0.112839475,0.0814544,-0.08738929,-0.10083357,-0.06480874,-0.1674149,-0.11250965,-0.011229557,0.05833184,-0.0038530116,0.0013141182,0.16429982,-0.011867546,0.040009502,0.13569473,0.077502236,-0.16873387,-0.034690917,0.14498058,-0.124649025,0.009924853,-0.21741825,0.110126674,0.09047642,0.080314785,-0.08790035,-0.029736068,-0.19231497,0.04380258,0.091250874,-0.016055796,-0.07136389,-0.02515732,-0.06427795,0.16410322,-0.05539176,-0.03228198,-0.062322754,0.009626477,-0.01943004,-0.29942077,0.27773193,0.020730056,-0.00036289002,0.042983614,0.10563211,0.12937061,-0.054948267,-0.12874818,0.034565557,0.088741384,0.09988907,-0.09965845
TCGA-44-7660-01,-0.04173509,0.060872894,0.13440607,0.10164472,-0.07582351,-0.063847646,-0.0008716835,-0.12973079,-0.047320064,0.11524789,-0.020149881,-0.06813864,-0.08251725,-0.04578088,0.03677828,0.019882152,-0.11365541,-0.09999278,-0.04039248,-0.0090372395,-0.16722685,-0.090521984,-0.03355405,-0.17598951,-0.050572284,-0.041012157,-0.13343057,-0.073242664,-0.10378666,-0.013755546,0.09789844,0.2006244,-0.14336477,0.08734779,0.024705758,0.04394167,0.031588476,-0.03653068,-0.0022818667,0.060692497,-0.0011919824,-0.03518544,0.041006573,-0.18201287,0.06789229,-0.063391455,-0.04416171,-0.054877218,-0.17958952,-0.046874184,0.2391121,0.0029465242,0.047510717,-0.047000565,-0.17316838,0.08707776,0.0006434962,-0.0011753851,-0.32536697,0.052416254,0.0949986,-0.055936366,0.073611096,0.08027364,0.08760808,0.05765435,0.01147582,0.049956027,0.0722779,0.10690593,0.06512239,0.024991542,-0.13492261,-0.090672374,0.04441697,-0.08057211,0.099920355,-0.3574018,0.08750975,-0.07504184,-0.16674285,0.094646074,-0.108698405,0.065101504,-0.021350585,-0.105212435,-0.050715126,-0.0025167996,0.23704965,0.068473876,-0.027795952,0.05870425,-0.07459809,0.007556778,0.12571448,-0.003869511
TCGA-NJ-A4YI-01,0.05662504,0.033809897,0.07141493,-0.01942535,0.072341174,-0.14599442,0.12792668,-0.14775112,-0.010257095,-0.06655701,0.19917597,-0.06365969,-0.11454309,-0.011916235,0.015991945,0.09490826,-0.18912177,0.06882447,0.1498482,-0.24150719,0.020940954,-0.094239034,-0.017509624,-0.1307879,0.1034359,0.05225707,0.017841961,-0.16205806,0.006654208,0.08152976,0.09981087,0.15259129,0.059017677,0.07779512,0.1558969,-0.0115987845,-0.031623796,-0.15914878,-0.05032642,0.07262916,0.07289056,-0.0007916867,-0.023202715,0.035314254,0.029737063,-0.07565031,0.20695047,0.15115231,0.00081333827,-0.04626779,0.05620586,0.056982905,0.04686338,-0.066269726,0.12834263,0.032382347,0.16205727,0.08040939,-0.17930505,-0.16557941,0.027943837,0.09715822,0.16874981,0.061145168,-0.2782047,0.13607174,0.0802487,0.07114989,-0.029706214,0.123551205,-0.0059663565,-0.048130542,0.16501464,-0.053753864,0.0070066988,-0.045133878,0.0023179918,0.04494216,0.021806102,-0.09279982,-0.019287828,-0.1086551,0.0020237695,-0.1705766,-0.02094412,-0.08367053,0.118012354,0.12660126,0.08998145,0.066562675,-0.04730972,-0.04604352,0.013806967,0.05700968,0.11518491,-0.17407973
TCGA-49-6742-01,0.014149464,-0.059287872,0.16646521,-0.07702603,0.02972276,-0.14854334,0.12967347,-0.1700126,-0.017670387,-0.04318972,0.10949053,-0.13160093,-0.09261965,-0.08135679,-0.043209217,0.103168815,-0.10906538,-0.026007088,0.17034729,-0.14947076,-0.09672291,-0.08647733,-0.058624223,-0.11916469,-0.033836156,0.039323095,0.059623905,-0.10124204,0.14600353,0.09170501,0.061224233,0.12124048,0.031034224,0.11912543,0.10597788,0.15908338,0.09379161,-0.110992536,-0.0864078,0.1404224,0.115043335,-0.06388896,0.02845143,0.1346734,0.039501343,-0.11028947,0.084971234,-0.013272406,0.06287765,-0.08775226,0.15351161,-0.14310001,-2.3532844e-05,-0.06822273,0.019213993,-0.0018789634,-0.04027402,0.08107736,-0.23578143,0.017903809,0.043602645,0.0971691,0.089938544,0.10039006,-0.12267089,0.103115804,0.18762209,0.044709742,-0.10425889,-0.038655616,-0.05690239,0.02947314,0.105172314,-0.05042694,0.036330402,0.016599968,-0.028248552,0.095877334,0.17910147,-0.06175501,-0.20227103,-0.15757135,0.025632476,-0.16543725,0.24628557,-0.19018456,0.09128751,0.082375064,-0.01092621,0.016456837,0.015672179,-0.022743763,0.079832815,-0.043708086,0.018830432,-0.06361581
TCGA-17-Z057-01,0.093411475,0.111794114,-0.053290777,-0.11513084,-0.09145993,-0.11168354,0.113741666,-0.03307536,0.044304077,0.045815043,0.019853376,0.03412951,-0.026902867,-0.03370909,-0.063639,0.116190985,-0.018081281,0.14669792,0.2343873,-0.0493861,-0.034105785,0.16532068,-0.033753328,-0.0045423442,-0.19509333,-0.008819482,0.13541707,-0.06484825,-0.048023686,-0.009945576,-0.05105889,0.15543434,0.011463657,0.065385856,0.054841034,-0.057064973,0.014563251,-0.061159834,0.063097194,-0.05419133,0.019680092,0.011494921,0.12751603,0.18147284,-0.01853166,0.022636823,0.0703076,-0.09520131,0.015941221,0.010671744,0.06321028,0.11924438,-0.01077964,0.062506355,-0.015595372,0.080629565,-0.09912761,0.055170447,-0.09739438,0.05912542,0.040069476,0.009785587,0.13680652,-0.03869999,-0.011637234,0.054136515,0.22148867,-0.0032317156,-0.18815236,0.11851239,-0.17902264,0.17515089,0.08880529,0.009857506,-0.046969373,-0.15128697,-0.040655535,0.1883538,0.099161565,0.06419825,-0.07303653,-0.22894332,0.056306668,-0.188532,0.32209387,0.053106267,0.20976047,0.0033030245,-0.109522305,-0.0155974105,0.06047743,-0.07672707,-0.010171212,-0.083631776,0.0071920725,-0.12796634
TCGA-44-7659-01,-0.11362487,0.024135515,0.052891158,0.14837986,-0.098356076,-0.04707442,0.11691311,0.065044396,-0.05548989,-0.02700477,0.035940465,-0.05215737,-0.02622424,-0.080174394,0.12968618,-0.040254045,0.17000072,-0.049211588,-0.11440213,-0.02787562,-0.049326062,-0.29535306,-0.0041034385,-0.0800518,-0.008683947,-0.13992858,-0.0012803309,-0.113861136,-0.10196602,-0.0009760318,0.09815205,-0.14212132,-0.072792046,0.0077919248,0.09438339,0.09068934,0.00011008545,-0.04192029,0.05091457,-0.103099786,0.0015943798,0.021557182,-0.12067073,-0.025928276,0.023469402,-0.07003722,-0.14888023,0.12720783,-0.025894802,-0.029912682,-0.09494881,-0.09465834,0.043855757,-0.054848317,0.10299215,0.010316063,0.24544933,0.05304444,0.32591796,-0.019971376,-0.02419448,0.054924514,-0.1283448,0.05048631,-0.020514516,0.08776278,-0.16459452,0.049671903,0.14834994,0.02672334,0.050294306,0.020227382,0.021953888,-0.058771696,0.12651438,0.09291157,0.059984226,0.13869889,-0.05930605,0.024433464,0.09691369,0.17586349,-0.072550915,-0.040236834,-0.24029192,0.28445035,0.092518255,-0.10358665,-0.073412575,0.045983754,-0.004370316,0.008648304,0.0261808,-0.011816239,0.15176724,0.066821046
TCGA-50-5946-01,0.05816204,0.006218214,0.037995916,-0.060294848,0.110098615,-0.12183431,0.07316053,-0.1922682,-0.054261778,0.06720438,0.09057862,-0.027309481,-0.13169809,-0.069679596,-0.0552877,-0.13390782,-0.28117064,0.08450236,-0.08541826,-0.16623375,-0.014384687,0.07815992,-0.09641711,-0.0995948,-0.030735616,0.02415472,0.0822351,0.019633055,0.015288952,0.14549889,0.099979095,0.003339529,0.10283154,0.06499927,0.1099234,-0.049691737,0.067374624,-0.11858964,-0.11547683,0.1254505,0.037656914,-0.13036788,0.08128667,0.119589835,0.12341794,-0.07183541,-0.044879366,-0.17155026,0.13509555,-0.07648572,0.05289274,0.074228875,0.05858548,-0.028090201,0.07894603,-0.0705859,-0.09431865,0.14110005,-0.12174563,-0.18827736,0.06122668,0.107824974,0.0011144882,0.027970314,-0.24094868,0.18622349,0.13875724,0.09099228,-0.116183914,0.0014352481,-0.07083745,-0.13314229,0.030479496,0.0002228683,0.03685175,-0.07569895,-0.025133248,0.06910398,-0.011824912,-0.051315177,-0.07346185,-0.058781218,-0.04211792,-0.22806758,0.24006042,-0.10587499,-0.023564491,0.06161267,0.17826024,0.08537038,-0.043532915,-0.004275529,0.08733137,0.067883946,-0.020238984,0.049397472
TCGA-80-5607-01,0.12189152,-0.10940818,0.098026946,-0.120162934,-0.18742034,0.05108006,0.11521398,-0.045882404,0.06340405,-0.1651721,0.15474103,-0.09720831,-0.05837226,-0.04130617,0.06716576,0.115948066,0.044699498,0.045007907,0.120785885,0.007256012,0.028372236,0.05102918,-0.04979143,-0.01143223,0.24452412,0.0252449,0.045921113,-0.07855934,0.09551155,0.021162905,-0.04746277,0.12519544,-0.035589263,-0.029924927,0.047264796,-0.12539285,-0.09449432,-0.10845699,0.14418127,0.18476346,0.113029346,0.11320747,-0.05139519,-0.083346695,0.022389192,-0.08629708,0.23294334,0.051171206,-0.05485044,0.03919822,-0.111610785,0.052564356,0.012228936,-0.030405773,0.016687108,0.04632979,0.27033588,0.077752486,0.26350516,0.11283713,-0.064416274,0.03986464,0.049999874,0.05823168,0.15852928,-0.0070572617,-0.1524099,-0.048964847,0.06889818,0.031951137,0.06787272,0.118582614,0.115281016,-0.07848547,0.010036623,-0.062879026,0.08495747,0.12641953,0.0677687,-0.01613715,-0.04190944,0.18920574,-0.04346134,0.15547258,-0.010424876,0.09474928,-0.004349114,-0.23336186,-0.057344347,-0.061946005,-0.015331981,0.08705746,0.084481336,-0.12997848,0.00058560225,0.049673658
TCGA-69-7974-01,-0.17861481,0.05087558,0.062168755,-0.07829653,0.14873797,0.12108564,0.07864242,-0.034745168,0.007950712,0.10486022,0.24896117,0.016009338,-0.09612292,-0.055269692,-0.16493702,0.03016459,-0.13515204,-0.043635715,0.10353427,-0.16922984,-0.11892292,0.017242212,0.001568599,-0.03762197,-0.032131664,-0.11045901,0.06552745,-0.10734374,0.05700997,0.08271159,0.08759421,0.047952794,0.028702227,0.076621614,0.11033741,0.19939178,0.12315155,-0.117809355,-0.1394679,0.060646076,0.145079,-0.1563108,0.077885404,0.012132026,0.038113248,-0.12568969,-0.05701523,-0.1281087,0.06602568,-0.1600751,0.17081496,-0.22867218,0.05386821,-0.07893393,0.020853471,0.07515159,-0.14763811,0.09190007,0.10455953,0.004399135,0.022650963,-0.17531107,0.004564592,0.09752605,-0.027365917,0.12373337,0.12408583,0.14920019,-0.06831361,-0.14429031,-0.18533567,-0.08489092,0.113302,-0.11461278,0.09706455,0.12758723,0.074567065,0.12192606,0.04245802,-0.07877857,-0.07353405,-0.022207173,-0.051823623,0.039906286,0.009886853,0.017130546,0.02331129,0.08450246,0.105755046,0.083086476,-0.028761955,-0.14420955,0.011274554,0.055469487,0.053410526,0.013891739
