,dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15,dim_16,dim_17,dim_18,dim_19,dim_20,dim_21,dim_22,dim_23,dim_24,dim_25,dim_26,dim_27,dim_28,dim_29,dim_30,dim_31,dim_32,dim_33,dim_34,dim_35,dim_36,dim_37,dim_38,dim_39,dim_40,dim_41,dim_42,dim_43,dim_44,dim_45,dim_46,dim_47,dim_48,dim_49,dim_50,dim_51,dim_52,dim_53,dim_54,dim_55,dim_56,dim_57,dim_58,dim_59,dim_60,dim_61,dim_62,dim_63,dim_64,dim_65,dim_66,dim_67,dim_68,dim_69,dim_70,dim_71,dim_72,dim_73,dim_74,dim_75,dim_76,dim_77,dim_78,dim_79,dim_80,dim_81,dim_82,dim_83,dim_84,dim_85,dim_86,dim_87,dim_88,dim_89,dim_90,dim_91,dim_92,dim_93,dim_94,dim_95,dim_96,dim_97,dim_98,dim_99,dim_100,dim_101,dim_102,dim_103,dim_104,dim_105,dim_106,dim_107,dim_108,dim_109,dim_110,dim_111,dim_112,dim_113,dim_114,dim_115,dim_116,dim_117,dim_118,dim_119,dim_120,dim_121,dim_122,dim_123,dim_124,dim_125,dim_126,dim_127
TCGA-44-7670-01,0.06031919,0.13571773,-0.07022601,0.07460857,-0.06751677,0.08574074,0.034925688,-0.1206728,-0.009105624,0.06912832,-0.17851575,0.045372896,-0.12993623,-0.038556784,0.070005015,-0.12966181,-0.04544062,0.073454894,0.012894696,0.12255199,-0.042729657,0.09751665,0.12643787,0.031762723,0.02476583,0.17107005,0.052712478,0.054754764,-0.07189796,-0.027333366,-0.048103478,-0.10118565,-0.08862742,-0.06681093,0.023457395,-0.08656094,0.051271662,-0.060591772,-0.015493558,-0.1745661,-0.07436877,0.11211996,-0.12435831,-0.011478305,-0.13259514,0.2108861,-0.02184093,0.18932147,-0.07763312,-0.07158069,-0.07872457,0.12790462,-0.065622486,-0.005461903,-0.07516482,0.0761997,-0.010550689,-0.06456185,0.102330595,-0.068380095,0.015656415,-0.031545706,0.034236416,0.1402302,-0.07848167,0.034683123,0.010344044,-0.018360857,-0.06228563,-0.005194015,-0.107958145,0.09478142,-0.12769109,0.02511669,-0.09204134,-0.03145941,-0.032172963,0.08469769,-0.032566894,0.028909083,-0.122650795,-0.06662112,0.063873425,-0.13847001,0.029758144,-0.09472339,-0.02480287,0.0015535307,0.118476525,-0.13265878,-0.053039383,-0.043995604,0.104915485,0.10385543,-0.070085354,-0.062935404,-0.0027225304,-0.020834874,-0.053856395,0.022309355,0.14264345,0.05727323,-0.18932948,-0.06135248,0.039990623,-0.12884063,-0.009365406,0.09121159,-0.020087337,-0.01584532,-0.13731897,0.22999863,-0.012314827,0.01208368,-0.030091725,0.07076317,0.04720111,-0.033017695,-0.10688325,0.068526454,-0.042584118,0.22968611,0.10995558,-0.12477314,-0.058595117,0.050541975,0.061487015,-0.049762655
TCGA-38-6178-01,0.019414095,0.03417177,-0.07399667,0.05493769,-0.021440173,0.09107455,0.14611262,0.012875091,-0.035830647,-0.097120814,0.06461181,-0.0010740398,-0.088706404,-0.009019975,0.017933551,-0.0847745,0.10367941,0.075795546,-0.06525654,-0.06888187,-0.035171453,0.111887865,-0.039376557,0.037286546,-0.03740373,-0.15407795,-0.0151985185,-0.24516162,0.1187372,-0.04052985,-0.060434107,-0.055273965,-0.111016884,-0.093798,0.08801126,-0.05188491,0.0079020215,0.011263935,-0.081782006,-0.021809429,-0.05578139,0.0146840345,-0.016262399,0.066838495,-0.21752574,-0.054015685,-0.059409726,-0.18624745,0.0143723795,-0.11680316,-0.060372107,0.10563161,0.058168907,-0.121361405,0.1277116,0.05149144,0.07319026,0.039931327,0.044542752,-0.049093165,-0.02347357,0.0087827165,-0.0620986,0.01964204,-0.09612452,-0.006150972,-0.009387205,0.019944493,-0.079309255,0.10915481,-0.065142386,0.008134429,0.018151326,-0.0061744135,0.119363725,0.14664944,0.19954817,-0.06689302,-0.029116876,0.07508974,-0.039062712,-0.0104475655,0.08907622,-0.018802851,-0.0076359655,-0.015567893,-0.04846531,0.17634454,-0.07719177,-0.028335033,-0.1497907,-0.052041322,-0.23757091,0.06687986,-0.16300106,-0.029801877,0.17604202,-0.0671376,-0.036210082,-0.1526832,-0.008068473,0.11902841,-0.058553796,-0.052979305,-0.18295322,-0.104857065,0.030739248,-0.0071347714,-0.01015408,-0.023232255,-0.09467117,0.17818137,0.15344805,0.031331003,-0.06830819,0.026138429,0.034272335,-0.08405925,-0.024547936,0.015138362,-0.15956813,0.12824877,-0.04995883,-0.012408866,-0.07338573,0.06602138,0.041772556,-0.12776935
TCGA-38-4628-01,-0.04508637,0.027661828,-0.09491496,0.10513213,-0.14267208,0.102746174,0.08460084,0.007950164,-0.013926332,-0.043090995,-0.037418693,0.044102162,-0.017484363,-0.010366749,0.1714307,0.017361311,0.013545006,0.11885843,-0.031652596,0.09913187,-0.06258385,0.07293362,0.10789963,0.034772467,-0.11090892,0.028485874,0.04369067,0.02748123,0.101359494,0.036840796,-0.054261524,-0.104494974,0.018082054,-0.042728715,0.063774034,0.16829216,0.048002657,-0.020891631,-0.038771555,0.03282806,-0.0736115,0.06335353,-0.055249836,-0.02216904,-0.094704546,0.17232503,0.02725047,0.011214591,-0.022819785,-0.16397756,-0.0767393,0.22314465,-0.036568403,-0.06289074,0.20454523,0.099135526,0.1357742,0.08170821,0.07055061,0.091560185,0.022194069,-0.01456399,0.06094335,0.12473212,-0.057969954,0.03010201,0.032220226,0.036911897,-0.07268635,0.22190638,-0.072498865,0.07342033,-0.09687731,0.031063598,0.10407655,-0.030373404,0.1107127,0.11256617,-0.11115523,0.16831575,-0.040114988,0.08026797,-0.119735725,-0.016254852,0.011560707,-0.01879863,-0.16716047,0.2694518,0.10664147,-0.07887155,-0.043247793,-0.17165501,-0.09308773,0.07819005,-0.14919879,-0.02578025,0.07427596,-0.05247145,0.031147072,-0.19588718,0.018069549,-0.010633366,-0.0727303,-0.04442619,0.028596843,-0.01868837,0.046794843,0.14189613,0.032360956,-0.07653833,-0.07257311,0.1228986,-0.0741506,0.006838225,-0.06746311,0.0051619885,-0.050477013,-0.0028113537,-0.01379148,0.03280222,-0.09466925,0.10709357,0.056103554,0.061900925,-0.02372108,0.04458817,0.0026088695,-0.06529967
TCGA-MP-A4TC-01,0.1426714,-0.016872741,-0.053819887,0.19385186,0.0022667444,0.038931496,0.017227216,0.03798213,-0.05219135,-0.14891034,-0.026591472,0.01336032,-0.00876292,0.009813452,0.31702995,0.08581704,-0.12059887,-0.013806851,-0.040507097,0.25278452,-0.088723935,-0.06276935,0.00261968,0.08887623,0.16214202,-0.05150454,-0.048816293,0.049650583,0.026505668,-0.060746953,-0.08996924,-0.07221231,0.08393949,-0.07194569,0.078428455,0.09885079,0.1270008,-0.05136628,0.18977386,-0.0672386,0.10281588,0.07029059,-0.021977192,-0.14030379,-0.015295722,0.14608227,-0.06879458,-0.06510278,0.082503125,-0.10679999,-0.07495697,0.006118746,0.056875035,-0.0050563104,0.06590048,-0.015479844,0.008317488,-0.17233545,0.034658927,0.058483195,-0.011746952,0.032023147,-0.021590713,0.100291766,0.11443587,0.026404869,-0.07028799,-0.06029764,-0.04912325,0.025835846,-0.060217153,-0.008213792,-0.0018537892,0.15567262,0.017873388,-0.26793173,0.015981391,0.02625193,-0.01088926,-0.027310498,-0.0894406,-0.024342647,-0.003138903,-0.06495587,-0.03477692,-0.03276139,-0.14282738,-0.023328612,0.038439337,-0.046104744,0.05180184,0.04595483,0.13711001,0.0531223,0.049089245,-0.041642815,0.047190316,-0.07544057,0.00034108965,-0.2592238,-0.033842243,-0.095495075,-0.09391378,0.1243414,-0.055459782,0.025177328,-0.008315408,-0.09044939,-0.060325656,0.005516251,0.08499541,0.007886259,-0.16700111,-0.048703928,-0.058365166,0.002629978,0.029833974,0.047349025,0.07627658,0.10146317,-0.023725927,0.075391665,-0.017891182,0.05705833,-0.07895231,0.097803876,0.065997556,-0.07658617
TCGA-69-8255-01,0.01664331,-0.11757975,-0.01577357,0.11234749,0.02768876,0.053385336,0.04162868,-0.11415647,-0.015355677,0.02356032,-0.08811303,-0.032580014,-0.12085367,0.00460302,-0.06819026,-0.03968066,-0.042027917,0.03329655,0.0832487,0.1497516,-0.054850407,0.12703536,0.08511389,0.022838982,-0.013501615,0.11304653,0.09452095,0.032985754,-0.057045188,-0.025929818,-0.07484567,-0.024148285,-0.037619688,-0.03601039,0.012814168,0.033077035,0.06584975,-0.11234777,0.026508823,-0.09737458,-0.13712287,0.063608736,0.0059616207,-0.043113172,-0.083272934,0.17962325,-0.058462333,0.27504942,-0.02036479,-0.0831596,-0.045692414,-0.03644306,0.020720618,-0.0977006,-0.097695865,0.1495384,-0.03698379,0.016246632,0.13637054,-0.1733093,0.018859662,-0.06390726,0.092974834,0.19808143,-0.14887053,-0.004555032,0.019980242,-0.09420313,-0.037847202,-0.056693774,-0.039021276,0.03524052,-0.12308956,-0.030372007,0.030913822,-0.03504432,0.048900634,0.036230896,-0.0023523753,-0.009396975,-0.041271973,-0.030260283,0.035793908,-0.16448605,-0.015041596,-0.057349686,0.026535038,0.020520266,-0.013150296,-0.11227948,0.027890205,-0.11462624,0.022689812,0.09967798,0.16679406,-0.08637497,0.07360833,-0.008074654,-0.040678207,-0.10160287,0.06491435,0.0817706,-0.090633504,0.029940713,-0.15339263,-0.21533087,0.05235048,-0.066016786,-0.021194475,0.022232752,-0.15679964,0.1676435,0.0073395926,0.08666939,0.0009694031,0.060581457,0.030563846,0.027309908,-0.089001514,0.16908592,-0.24032767,0.1674317,-0.061239634,-0.039819542,-0.08360154,0.011026648,0.055837736,-0.12153135
TCGA-05-4398-01,0.12598301,0.100376554,-0.07278198,0.052013237,-0.027743712,0.11134678,0.060403816,-0.011846707,-0.050992712,-0.07921446,-0.07836231,0.008114953,-0.08626138,0.027797017,-0.020458149,0.11865675,0.0829399,-0.01233597,0.14732906,0.10147835,-0.044401705,-0.012840767,0.0037297774,0.08336915,0.15133879,0.11429529,-0.048900813,0.009002588,-0.023342265,-0.080553345,-0.033014286,-0.09315366,-0.08034137,-0.082228586,0.074001156,-0.017705893,0.04382894,-0.020548668,0.058167297,-0.13075356,0.027589956,0.123168916,-0.009981744,-0.061549366,-0.18215892,0.16194916,-0.10043068,0.14530063,0.044980988,-0.06716583,-0.10066018,0.19202605,0.027614543,0.032011192,-0.05817949,0.047575895,-0.014114928,-0.023984108,0.09474449,0.09909201,0.028631248,0.06720977,0.07723341,0.06816089,0.13436733,0.046853308,-0.030470686,-0.010917218,-0.08318854,0.011655784,-0.120099366,-0.017325973,-0.07548605,0.06876072,-0.048167635,-0.08283516,-0.10000037,0.13854298,-0.052386563,-0.17526084,-0.10121605,-0.080452986,0.034969427,-0.10923451,-0.058903635,-0.027762333,0.06506737,-0.018874317,0.03533183,-0.08417448,-0.05160339,0.13909574,0.14812608,0.087410904,-0.094761826,-0.1359282,-0.060077503,-0.049754456,0.007527554,-0.06385475,0.009310581,0.011776395,-0.14541543,0.049157526,0.09092061,-0.07960915,-0.0663255,-0.049495593,-0.062067725,0.07847563,0.10610492,0.21449877,-0.12271548,-0.00523127,-0.075614095,0.08467745,0.029950961,-0.07184713,-0.0257981,0.07870632,0.12003127,0.1980048,0.16321959,-0.12081192,-0.1611847,0.12298459,0.07503914,0.050286263
TCGA-69-7764-01,0.083253466,-0.02540806,-0.08539474,0.068718456,-0.036429815,0.11001104,0.025238844,0.05502649,-0.057434265,-0.057228506,0.0047377152,0.08774613,-0.10511942,0.039833795,-0.16490121,-0.058184095,0.05768003,-0.07141627,-0.12570326,0.14006706,-0.12682949,0.0124254525,-0.22153452,0.026512671,0.040130094,0.30218416,-0.051124685,-0.106334865,-0.03113147,-0.06518349,-0.059313845,-0.14418723,-0.09096486,-0.045525312,0.10653822,-0.044369698,0.06274335,-0.040353198,-0.11939254,-0.060796466,0.010554003,0.03407657,0.11860243,-0.11378296,-0.14415592,0.059754107,-0.07189614,-0.15818645,0.1560723,-0.031144533,-0.05162235,0.020882428,0.0037874372,-0.04128302,0.07615884,0.02595562,-0.010374107,-0.03191681,0.04084642,-0.0356178,-0.1164245,0.056597654,0.054621086,0.035659917,-0.026681747,0.17033833,-0.011453114,0.008939338,-0.06937737,0.0514136,-0.102535374,-0.07678801,0.0020750985,0.08581582,-0.08221876,0.015503181,0.0010131114,-0.047910612,0.10798602,-0.056515824,-0.08439205,-0.040597323,0.04400815,-0.078878805,-0.058155708,-0.021739418,0.12637083,0.098690696,-0.03934937,0.008876852,-0.07433742,0.03666698,0.029697824,0.0593014,-0.047691133,-0.11014097,0.09616587,-0.093317434,-0.037838247,0.043975614,0.034628864,-0.024198037,-0.097706705,-0.0269053,-0.11114669,-0.08318285,-0.032024216,-0.15342854,-0.049279038,0.10606513,0.092982225,0.2129095,0.10279011,-0.015198892,-0.09665417,-0.029421622,0.0004704458,0.043172862,0.0009990683,0.15918972,-0.07581166,0.14846154,-0.031891335,-0.07417802,-0.08918754,0.051687654,0.1087112,-0.24269585
TCGA-49-AAR0-01,0.1618514,-0.018178077,-0.08459479,0.007993037,0.0012928838,0.07975548,0.10210886,-0.068094134,-0.0779626,-0.22843428,-0.029970864,0.014569757,0.037599664,0.05981618,-0.19922753,0.06301732,0.11339416,-0.037452225,0.089415446,-0.029538145,-0.09637145,0.025396373,-0.011918143,0.08268163,0.16154295,0.026685124,-0.025727062,-0.21429524,-0.14568281,-0.08558473,-0.025706667,-0.052331213,-0.032059968,-0.07612896,0.058029015,0.033206362,0.022113856,0.00013817538,0.077311434,-0.045923404,0.09838234,0.073331326,0.055260547,-0.045341745,-0.09386801,0.019878544,-0.14911324,-0.041940004,0.100523375,0.10150096,-0.043591637,0.25978687,0.1397446,0.03886488,-0.12017361,0.016207026,-0.057638783,-0.039898288,0.049317494,0.037012767,0.03411443,0.13235933,0.08550776,0.07689658,-0.028133228,0.00730843,0.046161614,0.010485784,-0.10663333,0.15145162,-0.093111746,-0.08583081,-0.03308528,-0.055349186,-0.008780767,-0.023321183,-0.0032338987,-0.0054482855,-0.017998016,-0.004662429,-0.105962865,-0.0991284,0.055524252,-0.059086576,-0.11024263,-0.03315395,0.14835717,-0.030581294,-0.06593449,-0.08941151,-0.060147237,0.013502532,-0.044005655,0.025964634,-0.09011681,-0.08561697,-0.039508432,-0.062808864,0.017426321,-0.09104834,0.065609954,0.05300457,-0.112909354,0.0077197077,0.15333499,-0.17199661,-0.17346123,0.03211083,-0.0822076,0.08523709,0.16853069,0.11274118,-0.108483605,-0.029920956,-0.10331997,0.07035075,-0.0022238945,-0.12424223,0.0061529386,0.07230164,0.010745638,0.13499431,0.14791235,-0.07415214,-0.1112928,0.10358753,0.038877957,0.05184293
TCGA-38-4631-01,0.10416014,0.10739077,-0.12336935,0.03802118,-0.15053011,0.07697364,0.11325748,0.022453493,-0.026930014,-0.11092186,-0.039313156,0.081189245,0.017959174,0.037129544,-0.045973655,0.17254,0.22244689,0.064878404,0.022303484,-0.020529473,-0.00014194145,0.05961601,-0.09574681,0.053496696,-0.05655114,0.12580025,-0.08712076,-0.039657924,-0.121412545,0.015328169,-0.11256969,-0.092888355,-0.08379403,-0.043957125,0.039588783,0.09677015,0.1130337,-0.02868847,0.10534449,0.0060881544,0.1274206,0.10864437,-0.027433176,0.07938908,-0.07245468,0.042753033,0.038882595,0.020538455,0.01973539,-0.047487415,-0.08184814,-0.119173944,0.08390924,-0.10277616,0.08399706,0.04629751,0.020286515,0.022165287,0.24582085,0.16849904,-0.02837433,-0.20114364,0.20982337,0.19126852,-0.05178385,0.061123192,0.023608005,-0.02487078,-0.06099091,0.061382987,-0.06605743,0.03725002,0.013971438,-0.018503137,-0.047269218,0.15511596,0.08022986,-0.10995338,-0.02990705,0.0021504485,0.03768002,-0.017063698,-0.1118687,-0.07535236,-0.13983564,-0.06280396,-0.01306955,0.088584125,0.11804054,0.050323002,-0.06421476,-0.08174438,-0.11698831,0.058973096,-0.08374889,-0.045368534,-0.10877472,-0.043366004,-0.05687267,-0.0075300056,-0.042620577,0.114818014,0.03195911,-0.09265787,0.006315496,-0.114597894,0.008259987,-0.015580997,-0.036558185,-0.117462985,-0.06730879,-0.041099243,-0.21768698,0.0009830754,-0.103207156,-0.081889816,0.12800512,-0.036024235,-0.12589143,0.05844739,-0.048144393,-0.0015393998,0.075240195,-0.10741366,-0.027379276,0.08097708,-0.04087315,-0.017367722
TCGA-50-5935-01,0.21177389,0.03510503,-0.08831482,0.0624305,-0.1256228,0.08643679,-0.028973674,-0.03153826,-0.10434934,-0.11517024,-0.08255366,0.042538013,0.046920393,0.0051713344,-0.11805281,0.08996767,0.12639728,0.035151187,-0.07968268,-0.014484931,-0.030407965,0.02708168,0.1153579,0.023218542,0.115217164,-0.012570763,-0.0903549,0.0831664,-0.038102716,0.0071846806,-0.08193484,-0.085379094,-0.06164863,-0.07466837,0.034785666,-0.079569295,0.04997045,-0.0023527879,0.019399194,-0.07730551,0.071568996,0.06302533,-0.0038164095,-0.0409561,-0.114468396,0.09468877,-0.04355345,0.029246558,0.055598676,0.14096984,-0.06897175,0.13492428,0.19222896,-0.055497646,0.0013028204,0.1469156,-0.051317826,-0.12959386,0.12115764,-0.022309178,-0.04787512,-0.11088436,0.14006011,0.0615396,-0.12655056,-0.04128549,0.04892814,-0.078538775,-0.05477527,-0.074320816,-0.03997541,-0.02489567,0.015978355,0.022407064,-0.030290961,0.020712964,-0.15306745,0.047442548,-0.048815675,0.045852043,-0.06822588,-0.06041336,-0.031661484,-0.031011261,-0.055133637,-0.055886425,0.15918608,0.07775414,-0.1174704,-0.08158387,-0.019920941,0.023600016,-0.010762119,0.055360064,0.016564637,-0.07569615,0.27737623,-0.060513105,-0.031512443,-0.18821044,0.12733704,0.15743086,-0.06781758,0.04342931,-0.17250806,-0.08055274,-0.08347618,-0.06764499,-0.017629158,-0.016273344,-0.065463476,0.06695466,-0.09891562,-0.056530703,-0.016902685,0.13157612,0.094410494,-0.09109149,-0.07214724,0.09885102,-0.1496452,0.108385004,0.06974198,-0.10146128,-0.13348882,0.07975919,0.03968513,-0.16769809
