Sample ID,dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15,dim_16,dim_17,dim_18,dim_19,dim_20,dim_21,dim_22,dim_23,dim_24,dim_25,dim_26,dim_27,dim_28,dim_29,dim_30,dim_31,dim_32,dim_33,dim_34,dim_35,dim_36,dim_37,dim_38,dim_39,dim_40,dim_41,dim_42,dim_43,dim_44,dim_45,dim_46,dim_47,dim_48,dim_49,dim_50,dim_51,dim_52,dim_53,dim_54,dim_55,dim_56,dim_57,dim_58,dim_59,dim_60,dim_61,dim_62,dim_63
TCGA-MP-A4SY-01,12.697344,0.5688008,6.951014,4.292224,2.6137516,5.115844,5.410283,2.5650175,3.900978,3.2724116,5.5613422,4.198116,2.51129,5.5574007,3.096123,3.5825274,3.9282491,6.6416864,5.527143,4.1525965,4.031949,4.8921237,5.3450356,5.906031,3.4300313,7.2811956,3.5523305,4.779243,2.850271,6.8900385,5.7326813,4.5612984,6.1033897,5.146113,5.079705,6.314284,6.517202,2.5585132,6.4662304,6.199805,4.5239444,6.868365,5.244363,4.0317535,5.5273905,4.5216775,8.122918,4.9363875,5.1313014,5.4875536,3.7340422,5.9444013,5.588184,3.5384278,4.324698,4.865835,6.2126255,4.2271314,6.284916,4.355702,3.8262355,6.58709,6.112345,6.341695
TCGA-17-Z015-01,-8.734637,7.3507056,2.051486,8.125564,5.58741,4.595805,6.821372,4.1293097,5.1703353,5.4581604,5.0105534,5.7544484,5.111084,5.8366194,2.6733007,6.902183,3.4753368,3.1694999,2.867844,4.4709444,6.0664306,3.229265,4.048127,5.691661,6.202679,4.937358,5.931961,3.8064113,5.7542753,3.3910472,5.4317656,4.7889924,2.2512126,4.2500896,4.465985,6.095238,3.278651,5.2254214,4.2025,6.7015123,4.205949,7.4525537,6.1786823,6.1505103,4.3182,4.892175,3.6853771,8.825478,4.185429,2.380544,4.2064686,6.8128724,4.468949,4.458237,8.069858,4.102568,3.1091728,5.482469,6.005548,6.388141,5.247054,2.359755,4.4600153,5.5772634
TCGA-44-7662-01,12.45775,1.359859,6.4350724,4.360596,3.7569826,4.972097,5.492666,2.9631996,4.210724,4.112595,5.4566846,3.3861737,3.1115859,5.2465177,3.7141194,4.14452,3.4857206,6.8146667,5.5492816,4.296339,4.021152,5.4809837,5.807105,5.7086816,4.1301885,6.4187903,3.601766,4.7619557,2.8485548,6.403599,5.414679,4.4894743,5.967833,5.451389,4.7823987,6.1192408,6.461459,3.517287,6.186673,6.2273817,4.567063,6.5658336,5.124272,4.306171,5.4795594,5.1881824,7.6392407,4.9315195,5.3352246,5.407503,4.0807915,6.003342,6.1680384,4.013033,4.923126,4.5778112,5.681953,4.2916164,6.7368517,4.124546,4.3798184,6.37942,5.6999826,6.0050755
TCGA-91-6840-01,12.301481,1.2350504,6.4281597,4.2639875,3.615907,4.9163194,5.480536,3.1019306,4.1558595,4.078201,5.382664,3.503488,3.1456337,5.2533035,3.617419,4.180089,3.5571504,6.671482,5.527039,4.161132,3.9916577,5.385826,5.814084,5.7183156,4.2349014,6.418291,3.803017,4.875864,2.8471978,6.514721,5.5046577,4.562166,5.7967997,5.43237,4.836646,6.0437574,6.4685807,3.5575671,6.1884456,6.2711487,4.5913234,6.4829893,5.068815,4.2971187,5.4727774,5.16789,7.484692,4.861809,5.3408427,5.4339294,4.0335374,6.0407743,6.1744647,4.0642266,5.010557,4.492656,5.6880474,4.2903953,6.650384,4.104167,4.241306,6.290728,5.635081,5.849626
TCGA-44-2665-01,12.018669,1.0303293,6.833096,4.5578923,3.1021972,4.9973645,4.9803104,2.948081,3.8754547,3.5423925,5.5812745,3.7440996,2.8201513,5.297621,3.5533671,4.1107664,3.947553,6.911272,5.279479,4.026083,3.402349,5.025542,5.653081,5.4956,3.7745287,6.864431,4.022324,4.702993,2.9928064,6.8412137,5.4415026,4.8349905,5.604869,5.1528435,5.0325685,5.941778,6.349488,2.7213595,6.567274,6.4861684,4.5689335,6.7300963,5.139881,3.6239204,5.1311975,4.330843,7.770724,4.6737022,5.41142,5.434658,3.7337801,6.4666157,5.8233542,3.5570562,4.843755,4.3198214,5.544818,3.982024,6.2891197,4.2997227,4.016191,6.3442073,5.9051948,5.914212
TCGA-95-7039-01,12.375293,1.3307844,6.47495,4.415251,3.692791,4.984655,5.450676,2.953392,4.210921,4.0713725,5.470255,3.3747349,3.0987985,5.2170997,3.7467144,4.1955733,3.4973664,6.834811,5.518961,4.261872,3.9624205,5.3831105,5.837976,5.65132,4.1498685,6.455358,3.6585138,4.727765,2.8463929,6.4189315,5.397363,4.529859,5.9118156,5.4255867,4.781989,6.094295,6.456842,3.4341323,6.221202,6.315218,4.5419993,6.582635,5.099472,4.227411,5.384485,5.133297,7.6337004,4.9117265,5.35637,5.409593,4.0633135,6.014438,6.1820927,3.9672434,4.971138,4.5194077,5.5943666,4.2298865,6.7054906,4.126988,4.3511157,6.3563757,5.7236557,5.9836426
TCGA-78-7147-01,12.966014,0.59362334,6.7282352,4.212927,2.9872062,5.169489,5.5535173,2.401561,3.953988,3.4915664,5.5391946,4.0032525,2.650297,5.5702343,3.1072876,3.5335042,3.6608377,6.7104096,5.666867,4.220849,4.263924,5.129216,5.3775845,6.129992,3.5270236,7.1576066,3.2930415,4.8382044,2.844671,6.7056694,5.7990007,4.3827963,6.3523493,5.2603736,4.956718,6.4213743,6.6411977,2.9777598,6.2430644,6.0146356,4.53505,6.9325294,5.271392,4.262605,5.7298393,4.7011557,8.12304,5.165779,4.9901342,5.4376097,3.8883872,5.8493004,5.7574854,3.5627468,4.2676797,5.0620093,6.308601,4.3060017,6.482936,4.2351813,4.1990595,6.6441054,6.069443,6.478477
TCGA-05-4427-01,13.212973,0.45708153,6.579885,3.9908056,2.992336,5.0430017,5.6273913,2.7239017,3.9400504,3.5552106,5.436084,4.007923,2.8202786,5.5029793,2.6779964,3.5398138,3.7112217,6.4529157,5.7186627,4.0672593,4.218643,5.2124443,5.3158655,6.2458715,3.7575996,7.2157316,3.4973037,4.993612,2.8701682,6.685995,5.8335733,4.567067,6.1117587,5.2020454,4.9411464,6.397798,6.666328,3.2104855,6.065916,5.9161434,4.587246,6.852457,5.119087,4.221342,5.7840085,4.772946,7.849946,5.207277,5.032464,5.467372,3.8671255,5.806148,5.69493,3.5965784,4.4163413,5.093204,6.323401,4.074998,6.40735,4.077598,4.1543593,6.453266,5.937852,6.163348
TCGA-17-Z047-01,-8.693868,7.3261957,2.0627377,8.135994,5.6034346,4.6184344,6.830589,4.151114,5.1842318,5.462122,5.0448365,5.7332067,5.08086,5.823411,2.7245932,6.892342,3.4394147,3.1434815,2.7830057,4.5081496,6.0744085,3.211877,4.0847135,5.659703,6.2433996,4.9351387,5.959499,3.8134215,5.7658887,3.3869212,5.4780955,4.8084908,2.2184327,4.3227262,4.490899,6.057637,3.3140578,5.2783623,4.158561,6.667771,4.2409134,7.4654937,6.1307144,6.157849,4.287456,4.8745084,3.6178558,8.789593,4.208346,2.368893,4.1905107,6.80708,4.469979,4.437767,8.024796,4.084127,3.1489325,5.5131874,5.971621,6.343071,5.2468452,2.3635163,4.461466,5.5565166
TCGA-86-8671-01,11.9072075,0.9468468,7.043148,4.640715,3.053763,4.9799786,4.8469973,3.0407064,3.8824742,3.402137,5.682424,3.7983313,2.8328707,5.347188,3.4497373,4.1822047,4.016342,6.9214506,5.231163,4.1271825,3.2033617,5.049646,5.5758,5.5372143,3.7078986,6.9495864,4.0130525,4.628093,2.9572825,7.0365624,5.419596,4.8952103,5.514039,5.200179,5.098376,5.8468423,6.261476,2.5580497,6.765743,6.53824,4.5821967,6.8182693,5.1413665,3.5033145,5.10096,4.2088804,7.752245,4.510772,5.503878,5.4894495,3.6690512,6.699438,5.876324,3.5550375,4.718616,4.226071,5.6130824,3.9477947,6.3157377,4.1478877,4.0034018,6.33971,5.96399,5.8467817
