Sample ID,dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15,dim_16,dim_17,dim_18,dim_19,dim_20,dim_21,dim_22,dim_23,dim_24,dim_25,dim_26,dim_27,dim_28,dim_29,dim_30,dim_31,dim_32,dim_33,dim_34,dim_35,dim_36,dim_37,dim_38,dim_39,dim_40,dim_41,dim_42,dim_43,dim_44,dim_45,dim_46,dim_47,dim_48,dim_49,dim_50,dim_51,dim_52,dim_53,dim_54,dim_55,dim_56,dim_57,dim_58,dim_59,dim_60,dim_61,dim_62,dim_63
TCGA-44-7670-01,4.52483,7.05569,5.0266814,4.9704266,5.451724,5.9427886,5.054603,4.9686646,6.946518,5.4173303,6.6733294,4.9137607,6.164743,4.24525,4.4187717,7.7222652,7.184978,3.7795908,6.002438,4.162001,6.080512,5.482426,5.0960774,5.3415456,4.8474183,6.6914372,4.325926,4.6544304,6.3661942,4.8157263,6.329911,7.6762233,4.470694,3.816565,4.393033,5.5670147,5.4245067,5.621232,5.171846,5.0134625,3.9893332,4.1489053,6.4902864,5.9196033,6.9391723,4.619243,7.7350874,3.499351,5.144671,4.8274612,5.092059,5.89481,6.383983,4.21889,5.231794,3.9482024,2.767089,5.674546,3.4703102,4.207905,5.980223,5.9028,4.251605,4.4241476
TCGA-38-6178-01,10.471407,4.246518,4.622209,4.8671365,3.7818623,4.718607,4.744645,5.3532333,6.274132,5.8646803,5.348599,4.6587873,4.724217,4.880643,5.1959567,7.3183002,5.474849,4.323746,4.963725,4.1504884,5.746813,4.3156004,6.2006693,4.615939,4.986103,5.186976,5.668408,5.40663,6.898103,2.7995336,5.757344,5.8044705,3.865805,4.0859876,5.4176874,4.809315,4.619844,5.9526954,4.760103,5.525709,4.2353525,4.6570396,5.3294706,6.1047916,8.395555,4.934362,5.527814,4.0242805,3.5505455,4.9785995,4.219416,5.0991163,4.6575313,6.2064304,4.871124,4.9857006,4.004223,5.292622,4.189886,3.6005683,5.660572,5.4889407,4.9429545,3.7013893
TCGA-38-4628-01,9.4966,4.466723,4.6989183,5.022396,3.9700196,4.7833815,4.816627,5.2200947,6.392468,5.7884197,5.3093305,4.741992,5.0032268,4.8072495,5.169183,7.3658423,5.6988034,4.2167883,5.021967,4.0477934,5.8715134,4.3090615,5.951368,4.739912,5.044331,5.4503155,5.5106854,5.438523,6.7815466,3.33127,5.963666,6.1370263,4.0672216,3.8559408,5.4024434,5.0185103,4.8206873,5.9283,5.0883684,5.603106,4.1196556,4.523435,5.4646173,6.046027,8.031382,4.8930078,6.1233387,3.97085,3.9024582,5.0849724,4.3065023,5.379063,5.05426,5.413311,4.8127484,4.82905,3.7413125,5.508018,4.3016586,3.6364756,5.887078,5.5605445,4.8400383,3.703248
TCGA-MP-A4TC-01,7.327882,5.057221,4.817288,5.118133,4.327773,5.0114465,4.9910474,5.113527,6.740834,5.585267,5.662482,4.8618717,5.647791,4.6089997,5.0179257,7.389038,6.308288,3.9936087,5.2798624,3.9122214,6.145929,4.5859547,5.573071,4.991207,5.0894213,5.8783646,5.061946,5.212437,6.7079024,4.223596,6.228557,6.8076024,4.4720836,3.60354,5.196384,5.593995,5.3277583,5.741475,5.7652555,5.497943,3.9190617,4.56479,5.8842072,5.947666,7.373384,4.8421474,7.3522687,3.8365486,4.5897985,5.1383095,4.686828,6.0293603,5.871409,4.033871,4.8569546,4.2826385,3.1872494,5.7889323,4.1801786,3.7478306,6.2546806,5.6905613,4.492962,3.8278131
TCGA-69-8255-01,6.940312,5.334942,4.8687305,5.0719886,4.4586244,5.1570683,5.0316844,5.159532,6.7067556,5.534191,5.804474,4.896015,5.688378,4.592735,4.976755,7.411302,6.4736667,4.002321,5.3241243,3.9059548,6.099186,4.7531815,5.4770737,5.0387087,5.031672,5.934728,4.9058256,5.0823355,6.618811,4.3585806,6.201859,6.9123845,4.435942,3.641977,5.105708,5.5565476,5.3334846,5.718947,5.6741996,5.4666653,3.9711235,4.5041647,6.0173936,5.96179,7.387321,4.7668557,7.3922424,3.802995,4.6588283,5.1155653,4.7203684,5.958555,5.9323325,4.1011868,4.9427896,4.2219996,3.1451561,5.6903133,4.124424,3.806789,6.1890116,5.6505075,4.474512,3.9628825
TCGA-05-4398-01,5.3494363,6.2712755,4.920507,4.8074546,5.0431337,5.676923,4.9904547,5.070962,6.941841,5.3328404,6.4784236,4.931706,6.191323,4.2423396,4.634169,7.7481627,7.047777,3.770641,5.9710765,4.07409,6.3114963,5.191084,5.2386026,5.026882,4.933743,6.5455933,4.656008,4.872162,6.569208,4.66297,6.4679027,7.5076036,4.5594068,3.7455418,4.6548133,5.799222,5.5592127,5.5889015,5.5899844,5.127357,3.7792683,4.3826265,6.2890606,5.917332,6.8916225,4.8519015,8.030818,3.6342025,5.055476,4.8706965,5.173208,6.18554,6.216712,3.9297707,5.0960927,4.0988145,2.776016,5.775372,3.69415,4.0930147,6.264862,5.956793,4.164279,4.188287
TCGA-69-7764-01,10.174579,4.244521,4.6394467,4.9326735,3.7987895,4.7389336,4.7437778,5.3302608,6.3259754,5.8705387,5.36146,4.6533585,4.8167496,4.855225,5.186899,7.306963,5.514388,4.2898827,4.966253,4.132632,5.7942705,4.289257,6.1592836,4.645501,4.968311,5.2286563,5.612768,5.3520265,6.842243,2.918011,5.823345,5.902997,3.9416296,4.006081,5.390836,4.9383163,4.7137175,5.9621043,4.9318037,5.5539007,4.200211,4.661602,5.357277,6.102467,8.263116,4.957099,5.7794876,3.9965677,3.658909,4.9747734,4.257363,5.2406936,4.754855,5.859829,4.836642,4.919714,3.8985467,5.3766794,4.186301,3.6064503,5.7524676,5.5005574,4.8885784,3.6932821
TCGA-49-AAR0-01,9.194595,4.665744,4.692657,4.991601,4.0353127,4.8352337,4.8425984,5.248656,6.4944406,5.747441,5.4470277,4.7820864,5.110814,4.7446985,5.1470156,7.394966,5.746879,4.193262,5.063179,4.031231,5.9124155,4.402807,5.955114,4.792696,5.044594,5.501925,5.4051003,5.3283796,6.8143897,3.44164,5.9701095,6.240372,4.117625,3.898038,5.3494444,5.1109185,4.9170976,5.869084,5.231823,5.5510936,4.0707827,4.641279,5.546773,6.03577,7.9018,4.919433,6.2901707,3.949652,3.9776142,5.0815277,4.3886642,5.5806866,5.1941867,5.2547956,4.8335238,4.715018,3.6780262,5.5173783,4.2168465,3.6268327,5.942152,5.557731,4.715789,3.7586849
TCGA-38-4631-01,4.9366927,6.6315217,5.01042,4.872519,5.2484803,5.8484497,5.0686255,5.057804,6.8980513,5.301777,6.5958858,4.9250875,6.1859765,4.2535033,4.5327263,7.735683,7.175624,3.7586007,6.0275354,4.086459,6.1809845,5.3936996,5.114609,5.162394,4.900956,6.6560187,4.4140553,4.8005958,6.4456463,4.8071866,6.408046,7.574519,4.5197997,3.7218828,4.4817734,5.709027,5.480491,5.57332,5.4033904,5.099273,3.8698523,4.2205477,6.4569483,5.9137607,6.9057074,4.7073007,7.9427905,3.575273,5.143385,4.84807,5.1642528,6.047124,6.3588195,4.0728827,5.1825333,4.008933,2.7146878,5.7177777,3.621999,4.161939,6.121652,5.9112616,4.226995,4.3304996
TCGA-50-5935-01,9.998622,4.410719,4.6662674,4.952964,3.8911817,4.7596707,4.7744246,5.3139505,6.362048,5.8038545,5.3597164,4.7179866,4.8477526,4.8265195,5.1753902,7.3764076,5.572472,4.2753425,5.0026317,4.0805693,5.8264947,4.2978945,6.1453404,4.6325803,5.0342083,5.3056145,5.59255,5.3756824,6.8308554,3.075973,5.87886,5.9944353,3.9804964,4.0368896,5.401362,4.976403,4.7502265,5.9450912,5.021976,5.577688,4.1548753,4.6368885,5.379448,6.061643,8.195627,4.958564,5.8863583,3.9894476,3.7380893,5.0396314,4.256959,5.2907453,4.9380546,5.7728047,4.834895,4.9004316,3.8692758,5.4228253,4.2178044,3.6202571,5.8227587,5.5160823,4.8566875,3.7249384
