Sample ID,dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15,dim_16,dim_17,dim_18,dim_19,dim_20,dim_21,dim_22,dim_23,dim_24,dim_25,dim_26,dim_27,dim_28,dim_29,dim_30,dim_31,dim_32,dim_33,dim_34,dim_35,dim_36,dim_37,dim_38,dim_39,dim_40,dim_41,dim_42,dim_43,dim_44,dim_45,dim_46,dim_47,dim_48,dim_49,dim_50,dim_51,dim_52,dim_53,dim_54,dim_55,dim_56,dim_57,dim_58,dim_59,dim_60,dim_61,dim_62,dim_63
TCGA-97-8171-01,1.6897639,5.7040524,3.714107,2.6526418,5.9235663,5.864352,4.4423122,4.381891,5.193844,4.404932,5.5757246,5.3647237,2.8189347,3.3922563,3.434474,4.402839,4.986393,5.462127,5.720009,2.9003859,6.918143,6.140613,5.2761497,6.2387204,5.5712204,4.3899126,5.5383363,5.604058,5.132076,4.514481,4.2552705,5.290772,7.4804654,3.703254,3.0346787,4.9124527,3.9667072,4.042746,5.046086,4.6947427,5.4433484,4.912066,3.086849,7.2821817,4.4810443,4.3377037,6.589497,4.4563704,6.06781,3.7271893,5.4868846,5.004635,4.9151773,5.567215,5.483469,5.0672507,6.6880813,4.796915,5.30704,5.0241027,5.2948413,4.6805563,3.7331946,2.358523
TCGA-55-8092-01,7.2287207,3.9925928,3.7742107,4.300325,4.641638,6.5411835,4.3188276,3.9057856,5.930856,5.330975,5.0579696,6.7522693,2.934081,3.195635,4.282028,3.5342858,4.475729,5.751129,6.260086,3.9791496,6.383996,6.0865803,5.207733,4.8547177,5.379951,5.483542,3.5027754,6.039639,5.747273,3.539188,4.3805423,5.3665953,7.1827965,3.947934,2.9883995,3.9267907,4.4267287,4.1950636,5.598694,4.141697,5.1494713,4.9557824,3.1152856,7.0833855,5.5777893,4.1004186,6.6801744,5.419254,6.4531503,4.120917,5.702617,4.708477,4.7420278,5.404452,5.108706,4.6826153,7.044697,4.212682,5.7639976,4.906639,5.668524,5.8251176,3.7845998,3.0469651
TCGA-55-6979-01,7.0842767,4.102358,3.6929803,4.2053404,4.874321,6.4746847,4.4264503,3.8578517,5.770782,5.2640085,4.990757,6.58452,2.8209417,3.2556174,4.1984644,3.4895263,4.5881896,5.8615084,6.2354054,3.9107792,6.511931,6.019292,5.198045,4.9252567,5.270844,5.2634163,3.64811,6.1213555,5.6195083,3.6821637,4.370004,5.3238506,7.071308,3.9546788,3.1137347,3.96563,4.268755,4.0457873,5.5082655,4.146408,5.102664,5.083345,3.094911,7.2017884,5.666285,4.004218,6.607111,5.3143916,6.4460454,4.104917,5.6040854,4.764876,4.818509,5.412556,5.009843,4.6717396,7.209279,4.192547,5.7864804,4.7814207,5.439677,5.792923,3.842925,2.9977913
TCGA-53-A4EZ-01,7.059173,4.0734606,3.6869328,4.2139206,4.4595804,6.6492047,4.346481,3.9956193,5.944152,5.398243,4.9090934,6.8150077,2.7991085,3.3367233,4.432656,3.4299686,4.357977,5.708998,6.2985263,4.102784,6.396435,6.0557394,5.1969647,4.8662972,5.272331,5.2998815,3.2762582,6.1699467,5.6388884,3.465808,4.3279753,5.5276585,7.19367,3.7773516,3.0316343,3.8945262,4.509331,4.224637,5.479442,4.288372,5.1652226,5.035172,3.1166968,7.107061,5.8114214,4.129425,6.588971,5.4632573,6.4188,4.238205,5.656953,4.6333957,4.8311405,5.4496956,5.082469,4.6963444,7.2479763,4.248495,5.8108077,5.0235076,5.6965313,6.029596,3.666727,3.0527213
TCGA-55-6986-01,1.8774447,5.4781213,3.6007597,2.9583604,5.9891777,5.9207826,4.103783,4.2367697,5.3214746,4.5537653,5.757716,5.3990984,2.8692327,3.349021,3.5216603,4.4992766,4.9625826,5.155221,5.6943073,2.9940228,6.9970055,6.119642,5.2685146,6.1668196,5.408015,4.325076,5.5069284,5.632689,5.1260357,4.6326084,4.1649675,5.436016,7.547249,3.5536892,2.9614692,4.6300206,3.960995,3.9786935,4.9863524,4.675391,5.460031,4.9173403,3.1062908,7.168064,4.7307243,4.1485915,6.5793757,4.4664426,5.934959,3.7338881,5.5104294,5.0166335,4.957946,5.5609703,5.447697,5.244287,6.8717484,4.5629272,5.386354,5.0899444,5.2968607,4.942566,3.5720723,2.2383966
TCGA-55-8207-01,6.333126,4.223156,3.7638156,4.0103626,4.6228952,6.3903565,4.263463,4.059521,5.8177266,5.2161474,5.162798,6.5671005,2.804009,3.2458239,4.3517957,3.7,4.5000796,5.679065,6.2777534,3.8858986,6.4663987,6.138845,5.1751847,5.1211596,5.391837,5.2984886,3.6852884,6.092295,5.5086966,3.5540302,4.262652,5.4912167,7.166197,3.8591623,3.0302575,4.0712223,4.3231764,4.237074,5.5372934,4.3173323,5.2051697,4.9838066,3.133439,7.0928674,5.524857,4.128252,6.5873423,5.337678,6.3290567,4.142162,5.6740484,4.717253,4.7678833,5.3635554,5.2172265,4.645681,7.0358124,4.3094635,5.7531724,4.9303136,5.711078,5.7836757,3.5955632,2.9256818
TCGA-05-5425-01,6.7645307,4.161999,3.675041,4.196309,4.9214325,6.5278945,4.3303413,3.8331904,5.8107367,5.265478,5.041895,6.6102343,2.880886,3.293812,4.142084,3.5455287,4.5430145,5.822596,6.1885376,3.8927653,6.4906125,6.0542197,5.185028,4.9658804,5.265333,5.2287283,3.6912723,6.057821,5.6953225,3.7367926,4.372627,5.341872,7.2061024,3.870217,3.073628,3.964345,4.3277926,4.058325,5.436746,4.1913223,5.144485,4.9954615,3.091408,7.132828,5.551519,4.0778213,6.630558,5.255745,6.4161854,4.0824776,5.6380525,4.726188,4.8415117,5.448639,5.073945,4.746091,7.198017,4.2092695,5.7580557,4.8770137,5.4979115,5.7468643,3.8485234,2.9976022
TCGA-55-7724-01,4.8677816,4.6905556,3.5379543,3.7241173,4.77627,6.452216,4.1428227,3.9659343,5.722369,5.240356,5.273535,6.521746,2.7388682,3.5577946,4.3767533,3.9325788,4.340816,5.567307,6.1890354,3.825334,6.5954857,6.1647615,5.1298156,5.402677,5.333295,4.8911014,3.7480083,6.084636,5.468571,3.7309122,4.163695,5.861393,7.3962374,3.486965,3.020921,4.1979165,4.3317986,4.1601944,5.175811,4.5433226,5.367388,4.8874726,3.0388825,6.9705687,5.533695,4.2781115,6.414945,5.1551266,6.0118985,4.2483497,5.671723,4.64099,4.925354,5.437327,5.391783,4.828797,7.3234787,4.3082604,5.7432747,5.127709,5.6682076,5.876248,3.4509935,2.8001313
TCGA-91-6847-01,1.87132,5.6421804,3.702992,2.746668,5.7961645,5.8365316,4.444628,4.407917,5.1443987,4.4377875,5.5942936,5.482743,2.8023157,3.3640988,3.5257983,4.354942,4.944604,5.558476,5.8169627,2.977238,6.8902106,6.148748,5.2923036,6.1687574,5.5927615,4.504268,5.4017673,5.592082,5.1557403,4.376654,4.2338796,5.3417063,7.4615765,3.7820785,2.9989364,4.834148,3.9093537,4.064442,5.080653,4.65443,5.3997087,4.921388,3.1190128,7.2596793,4.485599,4.312299,6.608331,4.609537,6.101673,3.767601,5.516002,5.034548,4.876436,5.483403,5.4631095,5.0340624,6.722098,4.749062,5.3566337,4.989367,5.2561274,4.7057495,3.6480875,2.3687801
TCGA-75-6206-01,2.2326055,5.5201683,3.6423676,2.9310644,5.797762,5.921431,4.3660293,4.300059,5.253572,4.5251093,5.6042776,5.5548487,2.7961094,3.3591623,3.6171634,4.3540363,4.8993053,5.465137,5.845559,3.022068,6.850918,6.16567,5.277769,6.06951,5.5627623,4.5405984,5.2954655,5.654884,5.1749763,4.3778114,4.2192554,5.3299,7.4522085,3.74772,3.0487816,4.7465987,3.9989386,4.0583186,5.114723,4.5774946,5.4285817,4.9468393,3.0956233,7.2313623,4.597487,4.3114905,6.6001782,4.631749,6.0682325,3.8287735,5.575354,4.9856772,4.8617964,5.4522867,5.4284005,5.0101542,6.7885485,4.6766505,5.394875,4.99151,5.2756457,4.842593,3.7100227,2.437533
TCGA-55-7570-01,5.5587482,4.520591,3.5659964,3.8427682,4.9276266,6.417653,4.2869987,3.9615047,5.679499,5.19597,5.1417227,6.452203,2.7290723,3.481871,4.2255692,3.711467,4.5186043,5.670226,6.15718,3.79698,6.6302347,6.060763,5.1756268,5.273462,5.2905455,4.9366302,3.7854955,6.1158495,5.46417,3.7761831,4.252346,5.641608,7.227876,3.666384,3.0998201,4.1200886,4.266114,4.0750937,5.2753534,4.381044,5.2944436,5.0488324,3.0478895,7.115211,5.6272726,4.139641,6.4562755,5.198704,6.1863565,4.188531,5.58494,4.725872,4.88689,5.4618106,5.191998,4.821156,7.346016,4.3104267,5.7509775,4.9660435,5.4715223,5.82417,3.630191,2.8172522
TCGA-78-7150-01,6.589546,4.31683,3.5645442,4.0531807,4.6265674,6.630565,4.42223,3.988506,5.827736,5.359712,4.8876634,6.6874676,2.7358966,3.493563,4.3682675,3.4414663,4.367898,5.682931,6.23564,4.056823,6.5552316,5.988836,5.2271914,4.973343,5.2898083,5.0622115,3.332553,6.1662717,5.5954185,3.54316,4.3566875,5.661151,7.1711683,3.67854,2.9896498,3.9332173,4.4613633,4.14043,5.3303614,4.306399,5.248473,5.122192,3.0219622,7.1518617,5.867986,4.1596413,6.4920673,5.4316316,6.3233256,4.302193,5.568522,4.657987,4.8776684,5.5111456,5.094687,4.8305864,7.3681526,4.2590823,5.770695,5.022299,5.50605,6.0588503,3.6773787,2.953637
TCGA-55-7728-01,2.4415593,5.5007343,3.6736205,2.9768572,5.782018,5.990823,4.29992,4.2039046,5.319163,4.5817714,5.657923,5.5570107,2.7986178,3.3940628,3.6004665,4.395247,4.934258,5.428949,5.8408237,3.0594313,6.9857993,6.187704,5.29762,6.0077677,5.4715643,4.5102124,5.357607,5.7264204,5.2623396,4.422035,4.252391,5.3086133,7.490094,3.662016,3.0365484,4.773709,3.9840426,3.9999135,5.0990653,4.5470314,5.356484,4.982488,3.1362493,7.1826086,4.7543902,4.2633977,6.646284,4.608106,6.169916,3.7838888,5.4749513,5.0579886,4.8995976,5.491208,5.357582,5.0543094,6.870047,4.629804,5.3787913,4.905969,5.3011813,4.899197,3.7230704,2.3245695
