Sample ID,dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15,dim_16,dim_17,dim_18,dim_19,dim_20,dim_21,dim_22,dim_23,dim_24,dim_25,dim_26,dim_27,dim_28,dim_29,dim_30,dim_31,dim_32,dim_33,dim_34,dim_35,dim_36,dim_37,dim_38,dim_39,dim_40,dim_41,dim_42,dim_43,dim_44,dim_45,dim_46,dim_47,dim_48,dim_49,dim_50,dim_51,dim_52,dim_53,dim_54,dim_55,dim_56,dim_57,dim_58,dim_59,dim_60,dim_61,dim_62,dim_63,dim_64,dim_65,dim_66,dim_67,dim_68,dim_69,dim_70,dim_71,dim_72,dim_73,dim_74,dim_75,dim_76,dim_77,dim_78,dim_79,dim_80,dim_81,dim_82,dim_83,dim_84,dim_85,dim_86,dim_87,dim_88,dim_89,dim_90,dim_91,dim_92,dim_93,dim_94,dim_95,dim_96,dim_97,dim_98,dim_99,dim_100,dim_101,dim_102,dim_103,dim_104,dim_105,dim_106,dim_107,dim_108,dim_109,dim_110,dim_111,dim_112,dim_113,dim_114,dim_115,dim_116,dim_117,dim_118,dim_119,dim_120,dim_121,dim_122,dim_123,dim_124,dim_125,dim_126,dim_127
TCGA-69-7978-01,3.1294227,6.151523,7.5552883,5.9747562,5.415029,5.087152,6.2203846,3.8655584,5.983597,5.883795,6.054689,2.9074936,4.712437,6.992527,4.3327775,6.1883764,5.805969,8.330844,2.7479985,2.7342138,5.5664644,4.6479616,5.3303947,1.5426103,4.8635483,4.325853,5.205123,6.5561576,7.1014795,5.81197,7.325382,4.6652737,4.0450516,3.8813019,5.050592,4.4336405,4.1533976,6.2169995,5.190103,6.5781417,5.3714995,6.0176396,6.060859,4.838197,4.7767987,4.188407,5.1842995,6.538092,4.8512955,4.1579547,6.0837193,4.1982207,3.8652763,6.7707424,5.6747494,6.072058,4.197025,3.5714846,4.6492743,5.0064216,5.747605,4.5144725,3.2154474,5.5698476,6.744224,4.46015,4.6963096,6.239484,5.178787,4.376751,4.0149584,4.647198,4.660428,3.5725336,4.573032,5.536085,3.9725385,4.506564,4.411533,5.1173654,6.252694,5.0356417,5.149879,5.0128174,4.788148,5.9328413,5.5767593,5.4511847,4.940524,4.9458632,5.8034506,5.496437,4.276609,2.8574035,4.553062,5.0976872,3.7734215,6.1655498,6.0402846,4.3575416,4.9660616,4.751522,3.8957875,4.688538,4.6245265,1.7004818,5.6373906,4.9774427,4.360135,5.739583,4.427936,4.7059755,4.5178123,4.9963846,3.6674063,4.8076,5.097313,5.652977,7.0169177,6.6689615,4.665369,4.981652,6.3979697,5.506973,4.4433517,4.316213,3.073397,5.0661664
TCGA-78-7160-01,6.69143,6.212896,6.4518433,5.287097,5.4516397,5.359567,6.4126034,3.5585778,6.0426354,5.984404,5.8000865,3.060583,3.9957306,6.2405453,3.7558346,6.029427,5.8405805,7.807979,3.5035443,2.345097,5.9590683,4.4988904,5.054974,0.7307767,4.0745816,4.552208,6.089645,6.570128,6.1408777,5.7573795,7.46765,5.3851876,3.79488,3.7541447,5.0165734,4.050765,4.28097,6.3904257,3.953895,6.770282,4.7240777,6.2318115,5.9655037,5.128329,4.83129,4.6555095,4.7174315,5.432562,5.012391,5.030453,6.2901225,4.2141066,3.6734393,6.079612,4.96794,5.3903937,4.426556,3.9462965,4.5939484,4.717619,5.7455416,4.6753416,3.9200568,5.1228404,6.300132,4.708608,4.8255887,6.2533293,4.6850867,3.7378511,3.7780511,4.212288,4.9446735,3.460894,5.094022,5.46021,4.8741827,3.3431127,4.652258,4.380161,6.2833962,5.311744,4.54865,4.3044143,4.5451555,5.5192995,5.0811725,5.6102176,4.1406665,5.307948,5.155671,5.9390306,4.1383657,3.3047347,4.405117,5.233604,3.6872997,6.448824,5.872536,4.081304,5.4639473,4.6089425,3.3414202,4.448885,5.0704737,2.1629446,5.6427817,5.061842,4.529421,5.446238,4.435286,4.6537895,4.6062613,4.7698784,3.1782866,4.466367,4.795429,4.8642726,7.165511,6.434527,4.7593074,4.632318,6.2016077,5.687986,4.5652027,4.1292186,3.664834,5.3369827
TCGA-44-7660-01,3.7015254,6.095327,7.3819356,6.015324,5.3466506,5.2388344,6.2069945,3.8886678,5.9869733,5.8353963,5.996289,2.9742498,4.6737533,6.768263,4.202564,6.1494594,5.9104695,8.582512,2.8524008,2.761052,5.590718,4.2109137,5.6299887,1.1112669,4.709335,4.1944637,5.288082,6.572615,7.0889683,5.417369,7.4298153,4.6240854,3.9033976,3.6464686,4.987505,4.3917317,4.0313888,6.260236,4.801291,6.766766,5.1525464,6.098104,5.9794574,4.4451866,4.70978,4.3576727,5.2651844,6.4970737,4.7804956,4.3479586,6.200652,4.3429346,3.6671703,6.6905584,5.522487,6.1014376,4.2506847,3.4595864,4.649103,4.868603,5.9321423,4.6388636,3.2867093,5.500378,6.7215257,4.5736756,4.7742276,6.3504596,5.074617,4.2054596,3.7034333,4.276523,4.7002187,3.8262062,4.5122485,5.751107,4.233071,4.417273,4.487356,5.3644977,6.2793236,5.263157,4.8048406,5.148616,4.71828,5.8252897,5.476194,5.448712,4.5956664,4.925998,5.7394223,5.5214305,4.182445,3.051042,4.570074,5.0734096,3.7626705,6.2335787,5.8995113,4.2221355,4.943431,4.812422,3.4382236,4.7595587,4.6276784,1.7296373,5.7281513,4.9774513,4.2763376,5.8005466,4.464045,4.7160697,4.4564505,4.9694276,3.701907,4.7382336,5.0362387,5.499365,7.002288,6.534626,4.536076,4.8991313,6.432913,5.4480367,4.4737325,4.32535,3.1718867,5.1928363
TCGA-NJ-A4YI-01,3.3733332,6.0470757,7.5703936,6.048415,5.4202895,5.185306,6.241554,3.7996697,5.9810944,5.8438206,6.074404,2.8700426,4.7408257,6.834383,4.328187,6.1872153,5.871434,8.500575,2.7251503,2.7058268,5.59117,4.4075336,5.6119943,1.2278042,4.8426213,4.2449183,5.2090883,6.547019,7.1395793,5.554056,7.35153,4.6443844,3.9327247,3.739655,4.997675,4.425941,4.067879,6.2492957,4.994751,6.750171,5.3091516,6.0270553,6.064218,4.5400043,4.6994867,4.2132196,5.282287,6.617754,4.829446,4.246812,6.1380258,4.358873,3.7136135,6.777541,5.6629443,6.1665773,4.1738963,3.4163227,4.7244067,5.005747,5.8446627,4.6250815,3.1724677,5.6077933,6.7739754,4.5407634,4.741228,6.396222,5.164935,4.29103,3.814139,4.385538,4.6146836,3.7153535,4.4698477,5.666575,4.058039,4.4706063,4.379913,5.350612,6.2312846,5.1302123,4.9953094,5.1650395,4.783672,5.9146166,5.5624437,5.4924603,4.7399383,4.9436035,5.792081,5.491167,4.1511497,2.983908,4.539235,5.0281115,3.735899,6.203515,5.906532,4.275843,4.906455,4.8311834,3.6430187,4.7693796,4.597335,1.6464539,5.7135415,4.9382834,4.243712,5.8504934,4.4152613,4.7161045,4.474237,4.9921865,3.733429,4.774648,5.09914,5.6076374,7.0162277,6.5887637,4.552537,4.9353576,6.498683,5.460075,4.4669323,4.343655,3.0972881,5.12388
TCGA-49-6742-01,4.3602743,6.031088,7.318337,5.996768,5.3032193,5.218412,6.2517724,3.8900735,5.95452,5.782473,6.01525,3.0770423,4.496523,6.787699,4.120371,6.145841,5.981272,8.684115,2.9506354,2.7361634,5.5567164,4.026237,5.763002,0.92110467,4.581078,4.0504227,5.545268,6.5976377,7.1803455,5.201812,7.5316124,4.8087177,3.8738866,3.5148993,4.8650246,4.341509,3.9659827,6.342026,4.7008066,6.736205,4.964448,6.221742,5.8915634,4.489713,4.666126,4.5108266,5.1944566,6.2764764,4.900037,4.446111,6.249233,4.391154,3.6772032,6.614469,5.428604,6.0361805,4.320735,3.4577427,4.609204,4.725525,5.9835324,4.7208943,3.3746254,5.3885345,6.7313304,4.610369,4.887866,6.3624988,5.0442786,4.1260295,3.5987918,4.1361065,4.7382755,4.0860667,4.5411754,5.900823,4.357231,4.15056,4.511812,5.3340154,6.357718,5.3811607,4.566706,5.07136,4.6380377,5.7240114,5.300558,5.3065076,4.427818,4.979444,5.6380944,5.5887547,4.2322702,3.096376,4.5321484,5.031929,3.7858994,6.267062,5.850298,4.140002,5.031061,4.865295,3.033419,4.7228193,4.5993857,1.8397396,5.789734,4.957562,4.3298807,5.7458353,4.5040708,4.7680445,4.4439983,4.977312,3.597872,4.7464805,5.0130863,5.417753,7.024537,6.482878,4.456009,4.8612027,6.391935,5.475777,4.5086045,4.297261,3.2527223,5.303793
TCGA-17-Z057-01,3.4575,6.0901914,7.516381,6.0316114,5.3979373,5.2150803,6.2455215,3.8357828,5.9972186,5.833217,6.0329895,2.8969145,4.7262297,6.799019,4.284407,6.1758647,5.867643,8.512218,2.776549,2.7284026,5.6090026,4.3399615,5.6186066,1.1844531,4.791703,4.2295957,5.2385044,6.538851,7.119474,5.522059,7.3739524,4.6066604,3.913104,3.7143207,4.99603,4.421285,4.050853,6.250931,4.9163165,6.76494,5.2689476,6.0439425,6.028363,4.468503,4.7102113,4.264272,5.2722993,6.5649076,4.814047,4.273139,6.164304,4.345761,3.6829383,6.7406554,5.6050835,6.1569653,4.1952424,3.4333496,4.693896,4.971108,5.8839817,4.626262,3.2189074,5.5743237,6.753853,4.565056,4.7626853,6.3942184,5.135251,4.2539096,3.7772877,4.348952,4.6422195,3.7437987,4.471837,5.706797,4.1248446,4.448208,4.418796,5.3646436,6.243123,5.1753483,4.925551,5.1734548,4.759712,5.8880463,5.5333643,5.4901958,4.7219625,4.934827,5.7719903,5.5005164,4.1405654,3.015933,4.5596595,5.0460186,3.7422497,6.214402,5.898685,4.2678223,4.9117413,4.8227124,3.593404,4.7678156,4.6133676,1.6659551,5.720301,4.9547043,4.246111,5.84348,4.4311323,4.7065,4.4674664,4.9881153,3.7158587,4.7558336,5.0586762,5.5795474,7.0185914,6.569181,4.5582876,4.9053907,6.467275,5.453205,4.4660397,4.340312,3.1265771,5.1384344
TCGA-44-7659-01,4.327125,6.147687,7.302498,5.8510213,5.375498,5.3070784,6.287148,3.712642,6.0682383,5.8285074,5.963947,2.8713024,4.5770254,6.6330233,4.0745745,6.1341863,5.8588486,8.495235,3.0312173,2.60509,5.73128,4.119263,5.6553183,0.8169173,4.4706125,4.2477975,5.490334,6.497512,6.865845,5.3348026,7.4730954,4.627019,3.800585,3.630832,5.0338345,4.4090967,3.9652452,6.299801,4.4464335,6.797481,5.0506783,6.1682806,5.8923736,4.2924023,4.70197,4.464443,5.205411,6.2082624,4.8292327,4.5778003,6.2370267,4.4045963,3.5643973,6.508743,5.3000402,6.0662403,4.216117,3.5534315,4.5969377,4.8815126,6.017664,4.713301,3.4223738,5.4037604,6.5981045,4.6931076,4.823056,6.4028873,4.9664702,4.0177765,3.5888338,4.120677,4.74238,3.7983654,4.4950557,5.783442,4.4439883,4.088126,4.53666,5.3498864,6.247272,5.330905,4.67619,5.0461016,4.6717076,5.7122684,5.3172607,5.558585,4.467915,5.0062323,5.6814227,5.5951204,4.0868316,3.2303803,4.59029,5.057457,3.7432828,6.2997255,5.8215737,4.2027802,4.9829392,4.8187313,3.339209,4.7424994,4.7484536,1.7547632,5.7756963,5.0045295,4.24783,5.8104067,4.5016613,4.6955605,4.46479,4.9305825,3.6133153,4.6121316,4.9013557,5.3335037,7.0600233,6.455252,4.550083,4.7432046,6.400628,5.457507,4.4966116,4.2832355,3.358244,5.2374344
TCGA-50-5946-01,3.1716325,6.2157106,7.51518,5.9505863,5.3176203,5.022275,6.217742,3.879194,6.0171876,5.920808,5.9523034,2.974688,4.8009224,6.913067,4.2855616,6.1855574,5.783244,8.319346,2.7736156,2.752216,5.5464783,4.5819,5.3129673,1.5166181,4.831569,4.3937473,5.1975293,6.5992603,7.015284,5.7465076,7.3577046,4.5895867,4.0722275,3.8929253,5.1866226,4.482098,4.1630917,6.1444454,5.121193,6.5176,5.362946,6.062855,6.0415616,4.683372,4.7951083,4.185423,5.249023,6.5632267,4.723087,4.1848807,6.0865417,4.1393113,3.85859,6.7798305,5.640497,6.0509872,4.1819754,3.6764328,4.5116267,4.9673977,5.81723,4.4320955,3.2385108,5.518186,6.709663,4.4487114,4.6891212,6.18236,5.140411,4.384978,4.031346,4.7304444,4.7149467,3.6539953,4.6003537,5.4940977,3.979341,4.6519136,4.5125484,5.198157,6.253039,5.064357,5.2247124,5.087841,4.7658796,5.885954,5.5973997,5.439486,4.9213195,4.8894873,5.842618,5.4551744,4.284569,2.8464909,4.6350303,5.129159,3.789782,6.1591344,6.0811677,4.4108915,4.9487543,4.7165647,3.997064,4.6943135,4.634871,1.6952723,5.6128983,5.0259213,4.389674,5.7045765,4.4684286,4.6743884,4.5179863,4.9977098,3.712269,4.787593,5.1059046,5.638884,6.9883637,6.696849,4.6951494,4.9972606,6.3393636,5.47002,4.420072,4.30006,3.0671675,5.055675
TCGA-80-5607-01,6.3780684,6.157568,6.475206,5.407091,5.374055,5.3361025,6.402518,3.6025224,6.0243154,5.9990487,5.8728204,3.0325596,4.082944,6.306315,3.8053806,6.0298142,5.8510213,8.024364,3.4317546,2.4419441,5.906824,4.2916937,5.3893304,0.6061071,4.0898185,4.485268,6.0837207,6.556723,6.278263,5.5926394,7.4905634,5.2339277,3.8075604,3.6710076,4.983767,4.109307,4.2058783,6.4392347,3.924935,6.8877964,4.7557626,6.2022715,5.8871818,4.857683,4.823788,4.650664,4.848659,5.611521,5.016076,4.9981427,6.25622,4.2933674,3.6077163,6.1622972,5.0026436,5.535978,4.4032574,3.8329287,4.5674334,4.7309785,5.83892,4.71151,3.815652,5.164156,6.3304853,4.735206,4.870693,6.333471,4.7464013,3.7944577,3.6669831,4.110237,4.911713,3.6974137,4.9803176,5.626782,4.8100758,3.4198985,4.662623,4.646104,6.30951,5.3341393,4.513931,4.4452205,4.576234,5.510065,5.103377,5.5903463,4.142064,5.2603264,5.2458944,5.8832517,4.1608,3.3107169,4.429155,5.1907744,3.6386817,6.4267516,5.8379397,4.075764,5.348005,4.6687617,3.0663617,4.5199265,5.011624,2.1099596,5.679155,5.0473795,4.4656515,5.5661235,4.4374304,4.665044,4.5730853,4.79929,3.2910242,4.492572,4.840009,4.931713,7.1548285,6.414788,4.6973324,4.656267,6.2545753,5.6527224,4.569391,4.1439657,3.6498604,5.310048
TCGA-69-7974-01,3.1642182,6.1129065,7.558759,6.019579,5.393483,5.126502,6.252135,3.8957129,5.9746537,5.8391194,6.0491843,2.914469,4.7208033,6.95335,4.3472204,6.183363,5.849299,8.40641,2.7216468,2.7657287,5.550337,4.5528555,5.4495263,1.4650279,4.858809,4.240108,5.2381754,6.54842,7.2035437,5.723725,7.3362584,4.667322,4.001102,3.7952492,4.971412,4.4226246,4.102042,6.245544,5.1561112,6.649552,5.3321643,5.996351,6.039532,4.708913,4.737511,4.2157817,5.224483,6.5521793,4.8870096,4.1849165,6.1126,4.2656116,3.8071773,6.7931004,5.6907535,6.124953,4.208953,3.4717836,4.6858954,4.987256,5.796961,4.586558,3.1949496,5.5975122,6.787257,4.498108,4.7225432,6.3229604,5.19634,4.3537436,3.9444914,4.539368,4.6300755,3.6669803,4.5400724,5.6424375,3.9846437,4.454041,4.3834834,5.198121,6.2629085,5.0725017,5.060544,5.0894675,4.790591,5.929492,5.5709486,5.434902,4.8788834,4.94034,5.777151,5.4950433,4.2263694,2.9018445,4.535703,5.06772,3.7588642,6.175104,5.982087,4.3037596,4.938093,4.796943,3.7779155,4.7337804,4.591103,1.6843714,5.678914,4.947509,4.3026686,5.8077693,4.415063,4.7265854,4.492578,5.001664,3.7004676,4.8201094,5.1007013,5.6585135,7.0148726,6.633183,4.60459,4.973811,6.448658,5.482643,4.452464,4.339944,3.0764997,5.0988626
