Sample ID,dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15
TCGA-55-8619-01,6.010683,14.291695,-9.916099,15.9892,3.6834517,-10.22737,-6.0024915,14.8534155,7.626008,8.954558,0.7152169,11.460723,10.022604,3.3373156,10.345687,1.5401834
TCGA-91-6836-01,6.276917,14.626353,-9.402474,16.152533,3.3294506,-9.639971,-4.9912796,13.242553,7.7190456,7.751731,0.9675167,12.2576475,8.817765,3.695381,10.173261,2.6406198
TCGA-44-5645-01,6.024898,14.595658,-9.368675,15.805501,3.4422355,-10.057436,-5.40544,14.27987,7.54847,8.676631,0.48001555,11.812255,9.661639,3.523491,10.226026,1.8318026
TCGA-MP-A4TF-01,6.4449954,14.544932,-9.106019,16.172562,3.1922185,-9.490046,-4.78842,13.241629,7.8593783,7.5959296,1.2198974,12.4790535,8.532959,3.7556956,10.465945,2.294132
TCGA-86-8055-01,6.5999665,14.235008,-9.264732,15.434349,3.3484187,-9.596909,-4.3467813,13.541269,8.073203,7.9288373,1.5522673,12.053953,8.913121,4.4572325,9.882869,2.1642444
TCGA-49-6761-01,5.9780145,14.692888,-9.323392,15.994345,3.1662989,-9.637049,-5.1364894,13.645545,7.5091014,8.272858,0.577599,12.275238,9.284974,3.376305,10.131458,1.8481312
TCGA-73-7498-01,6.012513,14.348725,-9.607164,15.947911,3.6046157,-9.764005,-5.745715,14.340797,7.5798326,8.617673,0.8486194,11.642562,10.180193,3.299172,10.141461,1.7325555
TCGA-97-A4M0-01,6.741371,14.155979,-9.403406,15.516234,3.848238,-9.515775,-4.9529586,13.6872425,8.165935,8.074572,1.5773281,11.545345,9.329676,4.005352,9.725114,2.0688493
TCGA-44-A47G-01,6.1683803,14.597329,-9.712556,15.908496,3.311137,-10.377262,-5.683769,14.678656,7.61374,8.843197,0.53214866,11.62471,9.62698,3.7141402,10.373481,1.641324
TCGA-55-8207-01,6.0644,13.993824,-9.585673,15.526194,3.8466828,-10.068589,-5.496845,14.3390255,7.9120913,8.84757,0.9600195,11.959055,10.043623,3.4703584,10.012509,1.6410073
TCGA-71-6725-01,6.639889,14.538343,-9.13759,15.16311,3.246283,-9.61149,-4.381625,13.798248,7.9015694,8.186533,1.1460984,12.081464,8.717924,4.122733,10.23823,2.0771334
TCGA-L9-A444-01,6.46536,14.190933,-8.955436,15.107688,3.6805027,-9.329534,-4.5239453,13.338936,8.072868,8.171914,1.3185211,12.256489,9.182015,3.6451719,9.887815,2.0694087
TCGA-55-7903-01,6.0790796,14.067394,-9.558742,15.479925,3.8186371,-10.118329,-5.4554157,14.408849,7.8701744,8.8857765,0.92522025,11.913562,9.994669,3.507317,10.047223,1.6655293
