Method,Target,Type,Score,Precision,Recall,F1
POME,Aplasia,AP,0.3174651292631371,0.42857142857142855,0.1348314606741573,0.20512820512820512
UMAP,Aplasia,AP,0.33812384430072695,0.36585365853658536,0.16853932584269662,0.23076923076923078
POME,Aplasia,AP,0.3937891715118019,0.2,0.014084507042253521,0.02631578947368421
UMAP,Aplasia,AP,0.368862280819821,0.5714285714285714,0.16901408450704225,0.2608695652173913
POME,Aplasia,AP,0.4130586670496353,0.5555555555555556,0.16666666666666666,0.2564102564102564
UMAP,Aplasia,AP,0.39926883822626896,0.5,0.24444444444444444,0.3283582089552239
POME,Aplasia,AP,0.39084678250290195,0.5357142857142857,0.15463917525773196,0.24
UMAP,Aplasia,AP,0.5011581865821245,0.6097560975609756,0.25773195876288657,0.36231884057971014
POME,Aplasia,AP,0.49622704838234516,0.7083333333333334,0.15178571428571427,0.25
UMAP,Aplasia,AP,0.5648313274017372,0.6206896551724138,0.32142857142857145,0.4235294117647059
POME,Aplasia,AP,0.5282249767051875,0.5652173913043478,0.09352517985611511,0.16049382716049382
UMAP,Aplasia,AP,0.614308357233201,0.7391304347826086,0.2446043165467626,0.3675675675675676
POME,Aplasia,AP,0.3732050595542567,0.3333333333333333,0.06172839506172839,0.10416666666666667
UMAP,Aplasia,AP,0.40339395444584003,0.5416666666666666,0.16049382716049382,0.24761904761904763
POME,Aplasia,AP,0.40133094792256396,0.5833333333333334,0.0875,0.15217391304347827
UMAP,Aplasia,AP,0.42193944430904473,0.5151515151515151,0.2125,0.3008849557522124
POME,Aplasia,AP,0.41796053315583453,0.6,0.1,0.17142857142857143
UMAP,Aplasia,AP,0.47854990578340995,0.6571428571428571,0.25555555555555554,0.368
POME,Aplasia,AP,0.5250503282825298,0.8,0.08888888888888889,0.16
UMAP,Aplasia,AP,0.5495234703764461,0.65,0.28888888888888886,0.4
Naive,Aplasia,AP,0.21205962059620595,-1.0,-1.0,-1.0
POME,Neutropenic Fever,AP,0.05343902969706378,0.0,0.0,0.0
UMAP,Neutropenic Fever,AP,0.049259680525761546,0.0,0.0,0.0
POME,Neutropenic Fever,AP,0.11482418687601258,0.0,0.0,0.0
UMAP,Neutropenic Fever,AP,0.10817434445358608,0.0,0.0,0.0
POME,Neutropenic Fever,AP,0.09923847299939254,0.0,0.0,0.0
UMAP,Neutropenic Fever,AP,0.14391250925961588,0.0,0.0,0.0
POME,Neutropenic Fever,AP,0.10728711012260159,0.0,0.0,0.0
UMAP,Neutropenic Fever,AP,0.1710891744905432,0.0,0.0,0.0
POME,Neutropenic Fever,AP,0.11971955632268023,0.0,0.0,0.0
