run,dim,method,K,jaccard_index,dataset
0,16,UMAP,10,0.32705380716429655,HANCOCK
0,16,UMAP,30,0.3836921655723521,HANCOCK
0,16,UMAP,50,0.43305456501833595,HANCOCK
0,16,PCA,10,0.33452015543442165,HANCOCK
0,16,PCA,30,0.5008210174270084,HANCOCK
0,16,PCA,50,0.589168931202497,HANCOCK
0,16,tSNE,10,0.3792738264768989,HANCOCK
0,16,tSNE,30,0.39887640891519077,HANCOCK
0,16,tSNE,50,0.44278391413459195,HANCOCK
1,16,UMAP,10,0.4279909284017639,HANCOCK
1,16,UMAP,30,0.4684897341557818,HANCOCK
1,16,UMAP,50,0.48752593568749897,HANCOCK
1,16,PCA,10,0.2900029064671648,HANCOCK
1,16,PCA,30,0.4302205518077673,HANCOCK
1,16,PCA,50,0.5074870936941576,HANCOCK
1,16,tSNE,10,0.46529183607544644,HANCOCK
1,16,tSNE,30,0.48610023629931076,HANCOCK
1,16,tSNE,50,0.4991139519184343,HANCOCK
2,16,UMAP,10,0.45463217944847006,HANCOCK
2,16,UMAP,30,0.5346670233973062,HANCOCK
2,16,UMAP,50,0.5681142036153739,HANCOCK
2,16,PCA,10,0.498003271952446,HANCOCK
2,16,PCA,30,0.6328199166493148,HANCOCK
2,16,PCA,50,0.6811811781690259,HANCOCK
2,16,tSNE,10,0.4911256094959417,HANCOCK
2,16,tSNE,30,0.5502552577813183,HANCOCK
2,16,tSNE,50,0.5846241191950705,HANCOCK
3,16,UMAP,10,0.399866839006377,HANCOCK
3,16,UMAP,30,0.4593535054269578,HANCOCK
3,16,UMAP,50,0.4918370510911406,HANCOCK
3,16,PCA,10,0.34025732563158156,HANCOCK
3,16,PCA,30,0.5088378490356468,HANCOCK
3,16,PCA,50,0.6010367080665306,HANCOCK
3,16,tSNE,10,0.44175072869346327,HANCOCK
3,16,tSNE,30,0.46726329149300255,HANCOCK
3,16,tSNE,50,0.49648327669819614,HANCOCK
4,16,UMAP,10,0.49919028547264,HANCOCK
4,16,UMAP,30,0.5164656496774034,HANCOCK
4,16,UMAP,50,0.5431293494321171,HANCOCK
